YOB,Name,mFrequency,fFrequency,mForF
1949,Terry,8,5,1.6
1951,Terry,7,5,1.4
1952,Terry,16,7,2.286
1952,Leslie,5,7,0.714
1953,Terry,17,11,1.545
1953,Leslie,6,14,0.429
1953,Lynn,6,10,0.6
1953,Robin,5,10,0.5
1954,Terry,23,13,1.769
1954,Lee,9,7,1.286
1954,Kim,5,6,0.833
1954,Leslie,5,10,0.5
1955,Terry,22,15,1.467
1955,Kim,10,14,0.714
1955,Leslie,8,14,0.571
1956,Terry,20,7,2.857
1956,Leslie,9,8,1.125
1956,Robin,8,16,0.5
1957,Terry,24,8,3.0
1957,Leslie,7,10,0.7
1958,Terry,27,10,2.7
1958,Kelly,6,12,0.5
1958,Robin,6,12,0.5
1959,Terry,13,13,1.0
1959,Chris,7,5,1.4
1959,Jackie,6,6,1.0
1959,Kelly,6,19,0.316
1959,Leslie,6,17,0.353
1959,Kim,5,19,0.263
1960,Terry,19,14,1.357
1960,Kelly,7,32,0.219
1960,Tracy,7,10,0.7
1960,Leslie,5,21,0.238
1961,Chris,15,6,2.5
1961,Terry,15,8,1.875
1961,Kelly,7,34,0.206
1961,Jackie,6,5,1.2
1961,Leslie,5,8,0.625
1962,Terry,15,5,3.0
1962,Kelly,8,37,0.216
1962,Leslie,6,8,0.75
1962,Tracy,6,9,0.667
1963,Terry,13,6,2.167
1963,Kelly,11,28,0.393
1963,Tracy,7,16,0.438
1963,Dana,5,6,0.833
1964,Shannon,5,11,0.455
1964,Tracy,5,14,0.357
1965,Tracy,9,13,0.692
1965,Kelly,5,17,0.294
1966,Tracy,7,16,0.438
1966,Kelly,5,23,0.217
1967,Kelly,9,26,0.346
1967,Leslie,7,6,1.167
1967,Tracy,7,21,0.333
1968,Leslie,6,7,0.857
1968,Kelly,5,18,0.278
1968,Stacey,5,7,0.714
1969,Shawn,24,12,2.0
1969,Shannon,7,26,0.269
1969,Kelly,6,24,0.25
1970,Shawn,33,7,4.714
1970,Robin,7,18,0.389
1970,Shannon,7,47,0.149
1971,Tracy,7,31,0.226
1971,Kelly,5,26,0.192
1971,Leslie,5,7,0.714
1971,Robin,5,14,0.357
1972,Shannon,6,30,0.2
1973,Shawn,26,5,5.2
1973,Kelly,7,14,0.5
1973,Jamie,5,10,0.5
1974,Shannon,5,21,0.238
1975,Jamie,10,8,1.25
1975,Kelly,6,22,0.273
1975,Shannon,6,21,0.286
1976,Jamie,11,41,0.268
1977,Jamie,6,34,0.176
1977,Dana,5,9,0.556
