YOB,Name,mFrequency,fFrequency,mForF
1910,Willie,343,257,1.335
1910,Charlie,113,7,16.143
1910,Eddie,64,22,2.909
1910,Jessie,64,108,0.593
1910,Lee,57,12,4.75
1910,Johnnie,43,56,0.768
1910,Jimmie,36,28,1.286
1910,Cecil,24,5,4.8
1910,Bennie,21,6,3.5
1910,Clyde,17,8,2.125
1910,Johnie,17,5,3.4
1910,Tommie,17,16,1.062
1910,Ollie,12,41,0.293
1910,Ira,9,9,1.0
1910,Leslie,8,5,1.6
1910,Mary,8,875,0.009
1910,Cleo,6,18,0.333
1910,Marion,6,10,0.6
1910,Francis,5,6,0.833
1911,James,468,5,93.6
1911,Willie,300,230,1.304
1911,Charlie,104,6,17.333
1911,Eddie,68,12,5.667
1911,Johnnie,59,44,1.341
1911,Jessie,52,97,0.536
1911,Lee,46,5,9.2
1911,Jimmie,34,18,1.889
1911,Cecil,28,6,4.667
1911,Johnie,27,13,2.077
1911,Clyde,22,13,1.692
1911,Bennie,18,7,2.571
1911,Tommie,18,14,1.286
1911,Ira,14,6,2.333
1911,Marion,14,10,1.4
1911,Louie,10,5,2.0
1911,Billie,7,7,1.0
1911,Ocie,7,5,1.4
1911,Jewell,6,27,0.222
1911,Love,6,5,1.2
1911,Mary,6,804,0.007
1912,John,602,5,120.4
1912,Robert,406,5,81.2
1912,Willie,376,287,1.31
1912,Joe,140,7,20.0
1912,Charlie,130,9,14.444
1912,Jessie,86,146,0.589
1912,Johnnie,83,57,1.456
1912,Eddie,76,23,3.304
1912,Jimmie,60,23,2.609
1912,Lee,50,13,3.846
1912,Cecil,49,8,6.125
1912,Clyde,48,10,4.8
1912,Tommie,32,16,2.0
1912,Johnie,31,9,3.444
1912,Bennie,29,6,4.833
1912,Marion,27,15,1.8
1912,Leslie,22,6,3.667
1912,Francis,21,16,1.312
1912,Lonnie,21,6,3.5
1912,Ollie,18,53,0.34
1912,Mary,11,1041,0.011
1912,Ocie,11,6,1.833
1912,Artie,5,8,0.625
1912,Cleo,5,21,0.238
1912,Jewel,5,47,0.106
1912,Jewell,5,41,0.122
1913,James,1010,5,202.0
