YOB,Name,mFrequency,fFrequency,mForF
1910,Willie,127,132,0.962
1910,Charlie,49,5,9.8
1910,Lee,35,9,3.889
1910,Jessie,30,68,0.441
1910,Cecil,25,12,2.083
1910,Eddie,25,5,5.0
1910,Johnnie,15,15,1.0
1910,Johnie,13,5,2.6
1910,Tommie,10,7,1.429
1910,Lonnie,9,5,1.8
1910,Virgil,9,5,1.8
1910,Jewell,7,47,0.149
1910,Ollie,7,40,0.175
1910,Marion,6,6,1.0
1910,Alva,5,6,0.833
1910,Freddie,5,5,1.0
1910,Ocie,5,6,0.833
1911,Willie,99,104,0.952
1911,Cecil,36,13,2.769
1911,Lee,33,10,3.3
1911,Jessie,32,65,0.492
1911,Eddie,19,7,2.714
1911,Johnnie,16,17,0.941
1911,Marion,16,14,1.143
1911,Cleo,13,27,0.481
1911,Jimmie,11,11,1.0
1911,Johnie,11,6,1.833
1911,Bennie,8,6,1.333
1911,Francis,8,10,0.8
1911,Ollie,5,37,0.135
1912,Willie,150,126,1.19
1912,Cecil,45,6,7.5
1912,Lee,41,12,3.417
1912,Jessie,38,73,0.521
1912,Eddie,29,8,3.625
1912,Johnnie,23,20,1.15
1912,Johnie,22,8,2.75
1912,Jewell,16,47,0.34
1912,Cleo,14,16,0.875
1912,Marion,13,5,2.6
1912,Tommie,13,5,2.6
1912,Jimmie,12,14,0.857
1912,Francis,8,11,0.727
1912,Jewel,8,38,0.211
1912,Ollie,7,42,0.167
1912,Merle,5,10,0.5
1913,James,526,6,87.667
1913,Willie,172,136,1.265
1913,Joe,86,7,12.286
1913,Charlie,63,7,9.0
1913,Lee,55,8,6.875
1913,Jessie,46,95,0.484
1913,Eddie,41,7,5.857
1913,Cecil,40,5,8.0
1913,Johnnie,31,22,1.409
1913,Jimmie,19,15,1.267
1913,Johnie,17,5,3.4
1913,Bennie,14,10,1.4
1913,Cleo,13,32,0.406
1913,Fay,13,9,1.444
1913,Marion,12,17,0.706
1913,Louie,10,5,2.0
1913,Opal,9,115,0.078
1913,Jewel,8,39,0.205
1913,Ollie,8,37,0.216
1913,Francis,7,13,0.538
1913,Tommie,7,10,0.7
1913,Alva,6,5,1.2
1913,Connie,6,6,1.0
1913,Jewell,6,45,0.133
1913,Ocie,6,9,0.667
1913,Artie,5,6,0.833
1913,Audie,5,8,0.625
1913,Billie,5,17,0.294
1913,Merle,5,6,0.833
1913,Odie,5,6,0.833
1914,James,648,7,92.571
1914,George,210,5,42.0
1914,Willie,170,146,1.164
1914,Henry,128,6,21.333
1914,Joe,127,6,21.167
1914,Cecil,59,13,4.538
1914,Jessie,58,127,0.457
1914,Lee,53,16,3.312
1914,Eddie,47,14,3.357
1914,Johnnie,42,28,1.5
1914,Charlie,40,14,2.857
1914,Johnie,29,12,2.417
1914,Bennie,25,15,1.667
1914,Tommie,20,6,3.333
1914,Marion,18,12,1.5
1914,Jewel,16,38,0.421
1914,Ollie,14,36,0.389
1914,Francis,13,10,1.3
1914,Fay,12,18,0.667
1914,Freddie,8,9,0.889
1914,Cleo,7,38,0.184
1914,Odell,7,8,0.875
1914,Connie,6,8,0.75
1914,Jewell,6,50,0.12
1914,Merle,6,10,0.6
1914,Billie,5,23,0.217
1914,Odie,5,9,0.556
1914,Vernie,5,5,1.0
1915,Willie,182,165,1.103
1915,Joe,131,13,10.077
1915,Cecil,116,7,16.571
1915,Lee,77,16,4.812
1915,Charlie,70,7,10.0
1915,Jessie,67,144,0.465
1915,Johnnie,47,17,2.765
1915,Marion,46,15,3.067
1915,Eddie,44,19,2.316
1915,Johnie,35,16,2.188
1915,Jimmie,29,19,1.526
1915,Bennie,23,9,2.556
1915,Cleo,21,46,0.457
1915,Ollie,20,53,0.377
1915,Tommie,20,16,1.25
1915,Maurice,19,8,2.375
1915,Francis,18,19,0.947
1915,Odell,16,7,2.286
1915,Jewel,15,55,0.273
1915,Fay,14,26,0.538
1915,Jewell,13,61,0.213
1915,Dean,12,5,2.4
1915,Freddie,12,8,1.5
1915,Merle,9,18,0.5
1915,Ora,8,48,0.167
1915,Odie,6,5,1.2
1915,Connie,5,7,0.714
1915,Hazel,5,219,0.023
1915,Lois,5,176,0.028
1915,Ruby,5,349,0.014
1915,Shirley,5,19,0.263
1916,James,915,13,70.385
1916,John,623,6,103.833
1916,Charles,304,7,43.429
1916,Willie,203,171,1.187
1916,Joe,155,7,22.143
1916,Lee,99,21,4.714
1916,Cecil,98,9,10.889
1916,Charlie,87,6,14.5
1916,Jessie,75,121,0.62
1916,Eddie,57,15,3.8
1916,Johnnie,52,31,1.677
1916,Virgil,49,6,8.167
1916,Marion,40,23,1.739
1916,Francis,36,15,2.4
1916,Johnie,36,10,3.6
1916,Ira,35,5,7.0
1916,Jimmie,32,17,1.882
1916,Bennie,24,7,3.429
1916,Coy,23,5,4.6
1916,Tommie,20,12,1.667
1916,Maurice,18,6,3.0
1916,Cleo,17,50,0.34
1916,Freddie,17,10,1.7
1916,Jewel,17,58,0.293
1916,Fay,15,26,0.577
1916,Ollie,15,78,0.192
1916,Jewell,11,68,0.162
1916,Billie,8,24,0.333
1916,Lois,7,167,0.042
1916,Odell,7,11,0.636
1916,Alva,6,7,0.857
1916,Ora,6,47,0.128
1916,Shirley,6,18,0.333
1916,Bonnie,5,47,0.106
1916,Claudie,5,11,0.455
1916,Mary,5,904,0.006
1916,Merle,5,20,0.25
1916,Thelma,5,199,0.025
1916,Vernie,5,7,0.714
1917,James,985,5,197.0
1917,John,679,7,97.0
1917,Willie,261,208,1.255
1917,Joe,183,9,20.333
1917,Jessie,107,143,0.748
1917,Cecil,104,9,11.556
1917,Charlie,95,8,11.875
1917,Lee,87,25,3.48
1917,Johnnie,53,31,1.71
1917,Marion,47,27,1.741
1917,Eddie,46,17,2.706
1917,Jimmie,37,22,1.682
1917,Johnie,33,13,2.538
1917,Bennie,29,12,2.417
1917,Francis,29,24,1.208
1917,Cleo,28,48,0.583
1917,Coy,24,6,4.0
1917,Freddie,24,15,1.6
1917,Jewel,22,45,0.489
1917,Odell,21,15,1.4
1917,Maurice,17,6,2.833
1917,Tommie,16,10,1.6
1917,Fay,15,31,0.484
1917,Ollie,13,63,0.206
1917,Arlie,12,5,2.4
1917,Billie,12,28,0.429
1917,Opal,9,159,0.057
1917,Otha,9,7,1.286
1917,Sammie,9,8,1.125
1917,Ora,7,57,0.123
1917,Shirley,7,11,0.636
1917,Artie,6,14,0.429
1917,Elzie,6,5,1.2
1917,Ossie,6,8,0.75
1917,Audrey,5,31,0.161
1917,Ivory,5,5,1.0
1917,Jewell,5,73,0.068
1917,Lois,5,176,0.028
1917,Theo,5,6,0.833
1918,James,1156,10,115.6
1918,William,810,5,162.0
1918,John,782,7,111.714
1918,Willie,250,220,1.136
1918,Joe,201,9,22.333
1918,Cecil,106,5,21.2
1918,Charlie,92,11,8.364
1918,Ray,86,5,17.2
1918,Clyde,85,6,14.167
1918,Johnnie,76,60,1.267
1918,Jessie,74,141,0.525
1918,Lee,72,21,3.429
1918,Eddie,53,21,2.524
1918,Johnie,43,23,1.87
1918,Jimmie,42,28,1.5
1918,Marion,41,24,1.708
1918,Bennie,36,15,2.4
1918,Francis,35,19,1.842
1918,Tommie,26,16,1.625
1918,Ollie,23,55,0.418
1918,Cleo,22,42,0.524
1918,Odell,22,8,2.75
1918,Jerry,21,7,3.0
1918,Billie,15,42,0.357
1918,Jewel,14,60,0.233
1918,Freddie,13,11,1.182
1918,Opal,11,182,0.06
1918,Odie,10,6,1.667
1918,Bernice,9,132,0.068
1918,Alva,8,6,1.333
1918,Connie,8,19,0.421
1918,Fay,8,17,0.471
1918,Jewell,8,77,0.104
1918,Ruby,8,375,0.021
1918,Claudie,5,10,0.5
1918,Lucille,5,176,0.028
1918,Mary,5,1048,0.005
1919,James,1222,6,203.667
1919,Robert,507,7,72.429
1919,George,390,7,55.714
1919,Willie,313,222,1.41
1919,Joe,225,9,25.0
1919,Jessie,110,133,0.827
1919,Charlie,105,15,7.0
1919,Lee,98,28,3.5
1919,Cecil,89,7,12.714
1919,Eddie,87,12,7.25
1919,Sam,63,6,10.5
1919,Johnnie,55,42,1.31
1919,Jimmie,51,28,1.821
1919,Johnie,45,23,1.957
1919,Marion,38,33,1.152
1919,Francis,34,29,1.172
1919,Cleo,31,40,0.775
1919,Jerry,29,6,4.833
1919,Louie,28,9,3.111
1919,Bennie,27,9,3.0
1919,Jewel,26,56,0.464
1919,Gene,20,5,4.0
1919,Freddie,18,20,0.9
1919,Odell,18,6,3.0
1919,Tommie,18,13,1.385
1919,Fay,16,23,0.696
1919,Jewell,16,72,0.222
1919,Sammie,16,11,1.455
1919,Tommy,16,5,3.2
1919,Billie,15,33,0.455
1919,Loy,14,5,2.8
1919,Ollie,14,56,0.25
1919,Bobbie,6,19,0.316
1919,Eunice,6,54,0.111
1919,Joy,6,10,0.6
1919,Shirley,6,19,0.316
1919,Artie,5,13,0.385
1919,Bernice,5,119,0.042
1919,Connie,5,10,0.5
1919,Elsie,5,105,0.048
1919,Odie,5,8,0.625
1920,James,1308,8,163.5
1920,Robert,563,7,80.429
1920,Willie,300,189,1.587
1920,Clyde,111,9,12.333
1920,Jessie,108,113,0.956
1920,Lee,99,27,3.667
1920,Cecil,97,11,8.818
1920,Charlie,84,12,7.0
1920,Eddie,78,21,3.714
1920,Sam,65,5,13.0
1920,Johnnie,63,44,1.432
1920,Leo,54,6,9.0
1920,Johnie,47,14,3.357
1920,Jimmie,41,28,1.464
1920,Bennie,37,14,2.643
1920,Lonnie,34,5,6.8
1920,Marion,33,31,1.065
1920,Billie,31,44,0.705
1920,Ira,28,6,4.667
1920,Jerry,28,6,4.667
1920,Odell,26,9,2.889
1920,Cleo,25,42,0.595
1920,Francis,25,25,1.0
1920,Freddie,22,21,1.048
1920,Gene,20,7,2.857
1920,Jewel,19,62,0.306
1920,Ollie,17,55,0.309
1920,Tommie,15,12,1.25
1920,Jewell,14,82,0.171
1920,Otha,11,6,1.833
1920,Fay,10,31,0.323
1920,Loy,9,5,1.8
1920,Merle,8,12,0.667
1920,Connie,7,16,0.438
1920,Bobbie,6,15,0.4
1920,Ocie,6,5,1.2
1920,Sammie,6,5,1.2
1920,Allie,5,20,0.25
1920,Bernice,5,128,0.039
1920,Bonnie,5,76,0.066
1921,James,1336,11,121.455
1921,John,854,10,85.4
1921,Robert,581,5,116.2
1921,Willie,289,232,1.246
1921,Joe,194,10,19.4
1921,Eugene,152,5,30.4
1921,Cecil,125,11,11.364
1921,Charlie,100,6,16.667
1921,Ray,98,7,14.0
1921,Jessie,94,147,0.639
1921,Lee,90,28,3.214
1921,Johnnie,80,44,1.818
1921,Jimmie,58,21,2.762
1921,Sam,52,5,10.4
1921,Eddie,51,24,2.125
1921,Johnie,51,20,2.55
1921,Marion,45,27,1.667
1921,Ira,37,7,5.286
1921,Odell,37,15,2.467
1921,Jerry,31,6,5.167
1921,Francis,30,33,0.909
1921,Bennie,28,9,3.111
1921,Cleo,27,33,0.818
1921,Billie,25,53,0.472
1921,Tommie,25,16,1.562
1921,Freddie,23,21,1.095
1921,Jewel,21,55,0.382
1921,Maurice,18,6,3.0
1921,Tommy,16,5,3.2
1921,Jewell,14,68,0.206
1921,Leslie,14,9,1.556
1921,Bobby,13,5,2.6
1921,Ollie,12,51,0.235
1921,Arlie,10,5,2.0
1921,Otha,9,5,1.8
1921,Allie,7,42,0.167
1921,Bernice,7,120,0.058
1921,Fay,7,24,0.292
1921,Bobbie,6,25,0.24
1921,Frankie,6,22,0.273
1921,Lois,6,180,0.033
1921,Mary,6,1190,0.005
1921,Opal,6,143,0.042
1921,Shirley,6,20,0.3
1921,Artie,5,18,0.278
1921,Claudie,5,8,0.625
1921,Gail,5,5,1.0
1921,Joy,5,12,0.417
1921,June,5,41,0.122
1921,Vernice,5,7,0.714
1922,James,1417,5,283.4
1922,William,869,6,144.833
1922,John,813,7,116.143
1922,Charles,483,8,60.375
1922,George,350,7,50.0
1922,Willie,294,225,1.307
1922,Joe,221,5,44.2
1922,Roy,185,5,37.0
1922,Louis,121,6,20.167
1922,Jessie,117,140,0.836
1922,Cecil,105,12,8.75
1922,Lee,85,22,3.864
1922,Charlie,83,10,8.3
1922,Vernon,79,5,15.8
1922,Eddie,64,23,2.783
1922,Johnnie,64,54,1.185
1922,Johnie,47,18,2.611
1922,Marion,42,34,1.235
1922,Jimmie,41,32,1.281
1922,Bennie,37,12,3.083
1922,Jerry,36,10,3.6
1922,Ira,34,5,6.8
1922,Odell,32,8,4.0
1922,Gene,29,5,5.8
1922,Jewel,27,59,0.458
1922,Billie,25,54,0.463
1922,Cleo,25,42,0.595
1922,Tommie,24,21,1.143
1922,Francis,22,26,0.846
1922,Ollie,20,58,0.345
1922,Freddie,19,15,1.267
1922,Sammie,17,9,1.889
1922,Fay,13,17,0.765
1922,Jewell,12,70,0.171
1922,Noble,10,5,2.0
1922,Bobbie,8,20,0.4
1922,Ivory,8,8,1.0
1922,Shirley,7,26,0.269
1922,Alpha,6,8,0.75
1922,Connie,6,18,0.333
1922,Merle,6,16,0.375
1922,Vernie,6,7,0.857
1922,Bonnie,5,78,0.064
1922,Joy,5,18,0.278
1922,June,5,28,0.179
