YOB,Name,mFrequency,fFrequency,mForF
1912,Guadalupe,5,6,0.833
1915,Guadalupe,7,7,1.0
1916,Francis,11,6,1.833
1916,Guadalupe,11,7,1.571
1916,Lupe,6,26,0.231
1916,Marion,5,7,0.714
1917,Guadalupe,12,19,0.632
1917,Refugio,8,5,1.6
1917,Cruz,5,8,0.625
1918,Lupe,11,48,0.229
1918,Francis,10,6,1.667
1918,Cruz,5,8,0.625
1919,Lupe,9,27,0.333
1919,Guadalupe,7,13,0.538
1919,Cruz,6,12,0.5
1919,Trinidad,6,5,1.2
1920,Cruz,11,5,2.2
1920,Guadalupe,8,19,0.421
1920,Trinidad,8,6,1.333
1920,Francis,7,5,1.4
1920,Dolores,5,25,0.2
1920,Marion,5,9,0.556
1920,Refugio,5,8,0.625
1920,Willie,5,5,1.0
1921,Cruz,7,10,0.7
1921,Lupe,6,43,0.14
1921,Trinidad,6,7,0.857
1921,Guadalupe,5,17,0.294
1921,Refugio,5,5,1.0
1922,Jesus,41,7,5.857
1922,Francis,11,5,2.2
1922,Guadalupe,9,13,0.692
1922,Cruz,7,6,1.167
1922,Dolores,5,26,0.192
1922,Jessie,5,21,0.238
1923,Refugio,7,5,1.4
1923,Billie,6,7,0.857
1923,Francis,6,5,1.2
1923,Marion,6,5,1.2
1923,Cruz,5,12,0.417
1923,Guadalupe,5,18,0.278
1924,Guadalupe,12,26,0.462
1924,Francis,8,5,1.6
1924,Marion,8,9,0.889
1924,Lupe,7,38,0.184
1924,Billie,6,9,0.667
1924,Jessie,6,29,0.207
1924,Dolores,5,39,0.128
1925,Guadalupe,10,19,0.526
1925,Marion,8,8,1.0
1925,Cruz,6,5,1.2
1925,Jessie,5,24,0.208
1925,Lupe,5,34,0.147
1926,Francis,13,6,2.167
1926,Cruz,8,8,1.0
1926,Refugio,8,5,1.6
1926,Trinidad,6,7,0.857
1926,Guadalupe,5,22,0.227
1926,Lupe,5,44,0.114
1927,Jesus,67,6,11.167
1927,Billie,12,11,1.091
1927,Willie,10,5,2.0
1927,Guadalupe,6,27,0.222
1928,Jesus,72,6,12.0
1928,Marion,9,7,1.286
1928,Billie,8,8,1.0
1928,Lupe,8,21,0.381
1928,Guadalupe,6,36,0.167
1929,Francis,13,6,2.167
1929,Cruz,10,10,1.0
1929,Billie,9,25,0.36
1929,Lupe,7,37,0.189
1929,Guadalupe,6,16,0.375
1930,Joe,122,5,24.4
1930,Jose,102,5,20.4
1930,Jesus,74,5,14.8
1930,Johnnie,12,5,2.4
1930,Lupe,10,28,0.357
1930,Guadalupe,8,13,0.615
1930,Billie,5,11,0.455
1930,Dolores,5,56,0.089
1930,Jessie,5,22,0.227
1930,Marion,5,8,0.625
1931,Guadalupe,9,13,0.692
1931,Lupe,8,19,0.421
1931,Billie,7,23,0.304
1931,Cruz,5,11,0.455
1932,Lupe,8,26,0.308
1932,Jessie,5,9,0.556
1933,Billie,5,11,0.455
1933,Jackie,5,6,0.833
1933,Lupe,5,15,0.333
1934,Terry,8,6,1.333
1935,Jackie,8,5,1.6
1935,Billie,6,23,0.261
1935,Guadalupe,6,9,0.667
1935,Mary,6,310,0.019
1935,Pat,6,9,0.667
1935,Frankie,5,6,0.833
1935,Lupe,5,22,0.227
1936,Jerry,52,5,10.4
1936,Jessie,6,8,0.75
1936,Billie,5,10,0.5
1937,Terry,11,7,1.571
1937,Frankie,7,5,1.4
1937,Jessie,6,12,0.5
1937,Billie,5,8,0.625
1937,Jackie,5,10,0.5
1938,Pat,9,25,0.36
1938,Jackie,8,8,1.0
1939,Jackie,7,7,1.0
1939,Lupe,7,28,0.25
1939,Terry,7,5,1.4
1939,Lynn,6,5,1.2
1940,Jerry,77,7,11.0
1940,Terry,14,9,1.556
1940,Lynn,8,6,1.333
1940,Billie,6,19,0.316
1940,Jessie,6,17,0.353
1940,Marion,5,6,0.833
1941,Lee,23,5,4.6
1941,Terry,17,5,3.4
1941,Willie,15,5,3.0
1941,Jackie,14,5,2.8
1941,Guadalupe,7,12,0.583
1941,Johnnie,6,6,1.0
