YOB,Name,mFrequency,fFrequency,mForF
1910,Francis,30,5,6.0
1910,Lee,13,6,2.167
1910,Marion,5,43,0.116
1911,Marion,7,42,0.167
1911,Merle,5,6,0.833
1912,Francis,50,7,7.143
1912,Marion,17,59,0.288
1912,Lee,16,10,1.6
1912,Merle,6,8,0.75
1913,Lee,24,6,4.0
1913,Marion,19,66,0.288
1913,Jean,10,93,0.108
1913,Gene,9,5,1.8
1914,Lee,26,12,2.167
1914,Marion,23,79,0.291
1914,Guadalupe,9,13,0.692
1914,Beverly,8,10,0.8
1914,Alva,7,5,1.4
1914,Jean,6,127,0.047
1914,Merle,6,11,0.545
1914,Laverne,5,12,0.417
1914,Lupe,5,23,0.217
1915,Francis,115,11,10.455
1915,Marion,35,127,0.276
1915,Lee,31,11,2.818
1915,Gene,23,7,3.286
1915,Willie,18,5,3.6
1915,Merle,15,13,1.154
1915,Jerry,12,6,2.0
1915,Jean,11,158,0.07
1915,Beverly,8,21,0.381
1915,Shirley,7,34,0.206
1915,Guadalupe,6,11,0.545
1915,Jessie,5,55,0.091
1915,Mary,5,998,0.005
1916,Francis,119,6,19.833
1916,Marion,23,120,0.192
1916,Gene,20,8,2.5
1916,Merle,14,15,0.933
1916,Jean,8,197,0.041
1916,Lupe,8,25,0.32
1916,Shirley,7,36,0.194
1916,Trinidad,6,7,0.857
1916,Beverly,5,25,0.2
1916,Guadalupe,5,11,0.455
1916,Pat,5,6,0.833
1917,Francis,121,10,12.1
1917,Leslie,48,5,9.6
1917,Lee,39,9,4.333
1917,Gene,27,7,3.857
1917,Marion,20,125,0.16
1917,Merle,16,5,3.2
1917,Jean,11,208,0.053
1917,Laverne,10,27,0.37
1917,Gail,6,11,0.545
1917,Trinidad,6,8,0.75
1917,Carmen,5,59,0.085
1917,Guadalupe,5,11,0.455
1917,Mary,5,1149,0.004
1918,Francis,129,10,12.9
1918,Leslie,55,5,11.0
1918,Jesus,44,5,8.8
1918,Lee,31,9,3.444
1918,Marion,28,132,0.212
1918,Jerry,21,6,3.5
1918,Merle,20,12,1.667
1918,Jean,17,261,0.065
1918,Trinidad,10,12,0.833
1918,Lupe,9,48,0.188
1918,Mary,9,1251,0.007
1918,Lynn,8,7,1.143
1918,Refugio,6,6,1.0
1918,Shirley,6,86,0.07
1918,Beverly,5,54,0.093
1918,Laverne,5,42,0.119
1918,Pat,5,9,0.556
1919,Frank,589,5,117.8
1919,Francis,100,7,14.286
1919,Lee,51,9,5.667
1919,Leslie,48,6,8.0
1919,Marion,25,122,0.205
1919,Gene,20,5,4.0
1919,Guadalupe,18,21,0.857
1919,Lupe,15,76,0.197
1919,Merle,15,17,0.882
1919,Carroll,14,5,2.8
1919,Cruz,13,9,1.444
1919,Trinidad,12,19,0.632
1919,Carmen,10,79,0.127
1919,Jean,9,278,0.032
1919,Billie,8,28,0.286
1919,Laverne,7,40,0.175
1919,Sydney,7,5,1.4
1919,Mary,6,1205,0.005
1919,Clare,5,15,0.333
1919,Kay,5,16,0.312
1920,James,834,6,139.0
1920,Francis,111,14,7.929
1920,Jesus,101,6,16.833
1920,Leslie,65,5,13.0
1920,Lee,43,15,2.867
1920,Gene,34,6,5.667
1920,Jerry,30,9,3.333
1920,Merle,18,14,1.286
1920,Guadalupe,16,36,0.444
1920,Jean,14,327,0.043
1920,Marion,14,165,0.085
1920,Cruz,13,8,1.625
1920,Trinidad,13,15,0.867
1920,Willie,13,7,1.857
1920,Kay,11,25,0.44
1920,Lupe,11,62,0.177
1920,Refugio,10,6,1.667
1920,Billie,9,38,0.237
1920,Clare,9,9,1.0
1920,Laverne,9,39,0.231
1920,Terry,9,8,1.125
1920,Pat,8,6,1.333
1920,Jessie,7,79,0.089
1920,Carmen,5,114,0.044
1920,Kaoru,5,5,1.0
1920,Mary,5,1554,0.003
1920,Shirley,5,156,0.032
1921,John,1489,5,297.8
1921,Francis,158,12,13.167
1921,Jesus,84,9,9.333
1921,Leslie,59,8,7.375
1921,Gene,38,10,3.8
1921,Lee,37,6,6.167
1921,Marion,32,164,0.195
1921,Merle,24,20,1.2
1921,Guadalupe,21,26,0.808
1921,Willie,19,6,3.167
1921,Jean,17,385,0.044
1921,Trinidad,16,14,1.143
1921,Pat,14,5,2.8
1921,Lupe,12,86,0.14
1921,Cruz,10,10,1.0
1921,Lynn,10,6,1.667
1921,Billie,9,32,0.281
1921,Jessie,9,62,0.145
1921,Gail,8,10,0.8
1921,Beverly,7,103,0.068
1921,Shirley,7,199,0.035
1921,Carmen,6,152,0.039
1921,Frances,6,477,0.013
1921,Natividad,6,5,1.2
1921,Terry,6,10,0.6
1921,Dorothy,5,1162,0.004
1921,Kay,5,24,0.208
1921,Laverne,5,48,0.104
1922,Robert,2115,6,352.5
1922,Francis,125,16,7.812
1922,Lee,61,8,7.625
1922,Leslie,54,6,9.0
1922,Jerry,46,9,5.111
1922,Gene,45,5,9.0
1922,Marion,28,149,0.188
1922,Merle,26,20,1.3
1922,Guadalupe,22,36,0.611
1922,Trinidad,22,12,1.833
1922,Jean,17,369,0.046
1922,Lupe,13,113,0.115
1922,Santos,12,6,2.0
1922,Billie,11,32,0.344
1922,Laverne,11,57,0.193
1922,Terry,11,8,1.375
1922,Kay,10,22,0.455
1922,Lynn,10,7,1.429
1922,Pat,10,11,0.909
1922,Gail,9,10,0.9
1922,Jessie,8,93,0.086
1922,Shirley,8,231,0.035
1922,Cruz,6,10,0.6
1922,Mary,6,1733,0.003
1922,Beverly,5,144,0.035
1922,Robin,5,6,0.833
1923,John,1673,8,209.125
1923,Jesus,124,18,6.889
1923,Francis,120,10,12.0
1923,Antonio,102,5,20.4
1923,Leslie,69,12,5.75
1923,Lee,63,15,4.2
1923,Gene,58,11,5.273
1923,Dale,36,6,6.0
1923,Marion,27,153,0.176
1923,Angel,26,6,4.333
1923,Merle,25,24,1.042
1923,Guadalupe,22,49,0.449
1923,Lupe,20,105,0.19
1923,Jean,18,407,0.044
1923,Carroll,17,5,3.4
1923,Refugio,16,5,3.2
1923,Trinidad,16,14,1.143
1923,Kay,15,18,0.833
1923,Cruz,14,9,1.556
1923,Frankie,13,8,1.625
1923,Gail,12,8,1.5
1923,Beverly,11,163,0.067
1923,Terry,8,7,1.143
1923,Alva,7,5,1.4
1923,Mary,7,1829,0.004
1923,Shirley,7,340,0.021
1923,Carmen,6,196,0.031
1923,Jackie,6,5,1.2
1923,Jessie,6,91,0.066
1923,Pat,6,15,0.4
1923,Maria,5,226,0.022
1924,Robert,2584,7,369.143
1924,John,1731,11,157.364
1924,Jesus,166,7,23.714
1924,Francis,109,10,10.9
1924,Lee,77,15,5.133
1924,Leslie,76,12,6.333
1924,Jerry,68,12,5.667
1924,Dale,63,6,10.5
1924,Gene,55,12,4.583
1924,Cecil,43,5,8.6
1924,Willie,30,6,5.0
1924,Lupe,25,107,0.234
1924,Marion,22,194,0.113
1924,Merle,19,15,1.267
1924,Trinidad,19,22,0.864
1924,Billie,16,41,0.39
1924,Guadalupe,14,35,0.4
1924,Pat,13,19,0.684
1924,Jean,12,460,0.026
1924,Jessie,12,106,0.113
1924,Lynn,12,7,1.714
1924,Refugio,12,8,1.5
1924,Laverne,11,83,0.133
1924,Beverly,10,225,0.044
1924,Cruz,10,7,1.429
1924,Jackie,10,15,0.667
1924,Terry,10,15,0.667
1924,Kay,9,23,0.391
1924,Mary,9,1958,0.005
1924,Isabel,8,95,0.084
1924,Carmen,7,195,0.036
1924,Gail,7,11,0.636
1924,Reyes,7,5,1.4
1924,Bobbie,6,7,0.857
1924,Santos,6,7,0.857
1924,Betty,5,1464,0.003
1924,Claire,5,79,0.063
1924,Dana,5,7,0.714
1924,Dolores,5,191,0.026
1924,Rosario,5,16,0.312
1924,Sharon,5,7,0.714
1924,Shirley,5,418,0.012
1925,Robert,2508,6,418.0
1925,William,1590,6,265.0
1925,James,1251,6,208.5
1925,George,1042,9,115.778
1925,Jack,751,5,150.2
1925,Jesus,156,18,8.667
1925,Francis,112,15,7.467
1925,Gene,89,19,4.684
1925,Lee,74,12,6.167
1925,Dale,71,5,14.2
1925,Jerry,63,16,3.938
1925,Willie,29,9,3.222
1925,Marion,27,162,0.167
1925,Merle,26,19,1.368
1925,Guadalupe,23,54,0.426
1925,Lupe,23,110,0.209
1925,Jean,19,457,0.042
1925,Cruz,16,11,1.455
1925,Lynn,15,10,1.5
1925,Trinidad,15,12,1.25
1925,Carmen,13,213,0.061
1925,Jackie,12,24,0.5
1925,Jessie,12,85,0.141
1925,Santos,12,12,1.0
1925,Terry,12,12,1.0
1925,Billie,11,44,0.25
1925,Frankie,11,11,1.0
1925,Pat,11,34,0.324
1925,Laverne,10,54,0.185
1925,Refugio,10,9,1.111
1925,Betty,9,1530,0.006
1925,Gale,9,5,1.8
1925,Kay,8,31,0.258
1925,Mary,8,1890,0.004
1925,Noel,8,7,1.143
1925,Alice,7,410,0.017
1925,Beverly,7,252,0.028
1925,Robin,7,5,1.4
1925,Fay,6,21,0.286
1925,Bobbie,5,10,0.5
1925,Carol,5,153,0.033
1925,Dolores,5,234,0.021
1925,Frances,5,506,0.01
1925,Gail,5,9,0.556
1925,Isabel,5,85,0.059
1925,Natividad,5,9,0.556
1925,Rosario,5,10,0.5
1926,Robert,2485,6,414.167
1926,William,1491,8,186.375
1926,George,950,6,158.333
1926,Edward,578,5,115.6
1926,Jesus,170,7,24.286
1926,Francis,109,9,12.111
1926,Gene,109,19,5.737
1926,Jerry,101,17,5.941
1926,Lee,78,23,3.391
1926,Leslie,69,10,6.9
1926,Dale,56,10,5.6
1926,Guadalupe,37,55,0.673
1926,Willie,30,9,3.333
1926,Jean,24,419,0.057
1926,Marion,21,154,0.136
