YOB,Name,mFrequency,fFrequency,mForF
1914,Marion,9,20,0.45
1915,Marion,6,24,0.25
1915,Jessie,5,15,0.333
1916,Marion,14,14,1.0
1917,Marion,18,35,0.514
1918,Francis,36,5,7.2
1918,Lee,34,5,6.8
1918,Marion,11,29,0.379
1918,Jean,6,46,0.13
1919,Marion,19,24,0.792
1919,Cleo,7,11,0.636
1919,Billie,5,10,0.5
1919,Laverne,5,8,0.625
1919,Trinidad,5,5,1.0
1920,Francis,32,6,5.333
1920,Marion,12,36,0.333
1920,Merle,12,5,2.4
1920,Billie,5,10,0.5
1920,Carmen,5,16,0.312
1921,Marion,13,31,0.419
1921,Laverne,11,10,1.1
1921,Billie,5,16,0.312
1921,Lupe,5,15,0.333
1922,Francis,37,7,5.286
1922,Marion,16,19,0.842
1922,Merle,15,8,1.875
1923,Billie,11,14,0.786
1923,Marion,11,22,0.5
1923,Willie,10,5,2.0
1923,Lupe,8,8,1.0
1923,Jessie,6,19,0.316
1924,Marion,19,18,1.056
1924,Lupe,14,17,0.824
1924,Laverne,10,13,0.769
1924,Billie,5,14,0.357
1924,Pat,5,7,0.714
1925,Francis,32,5,6.4
1925,Marion,13,15,0.867
1926,Lee,33,5,6.6
1926,Billie,9,13,0.692
1926,Marion,9,20,0.45
1926,Carmen,5,22,0.227
1927,Joe,148,5,29.6
1927,Francis,29,7,4.143
1927,Marion,18,24,0.75
1927,Billie,8,21,0.381
1927,Guadalupe,7,13,0.538
1927,Lupe,7,15,0.467
1927,Jackie,5,10,0.5
1927,Laverne,5,7,0.714
1927,Pat,5,5,1.0
1928,Marion,14,15,0.933
1928,Jackie,11,6,1.833
1928,Mary,8,539,0.015
1928,Pat,7,7,1.0
1928,Billie,6,15,0.4
1928,Frankie,5,6,0.833
1929,Robert,550,6,91.667
1929,Lee,29,5,5.8
1929,Marion,8,15,0.533
1929,Jackie,7,9,0.778
1929,Billie,6,20,0.3
1929,Lupe,5,16,0.312
1929,Pat,5,10,0.5
1930,Joe,152,5,30.4
1930,Lee,29,5,5.8
1930,Marion,21,19,1.105
1930,Billie,12,22,0.545
1930,Jackie,8,11,0.727
1930,Pat,7,7,1.0
1931,John,355,5,71.0
1931,Joe,156,7,22.286
1931,Billie,13,17,0.765
1931,Marion,12,13,0.923
