YOB,Name,mFrequency,fFrequency,mForF
1914,John,684,6,114.0
1917,Joseph,788,9,87.556
1918,John,1092,6,182.0
1918,Jean,6,133,0.045
1918,Lee,5,6,0.833
1919,William,589,6,98.167
1920,John,1037,7,148.143
1920,Jean,5,137,0.036
1921,Joseph,732,6,122.0
1921,George,442,5,88.4
1921,Carmen,16,8,2.0
1922,Robert,602,6,100.333
1922,Lee,6,7,0.857
1923,John,1000,9,111.111
1923,Carmen,16,5,3.2
1924,Robert,686,7,98.0
1924,Jean,6,201,0.03
1925,John,1005,7,143.571
1925,Robert,729,5,145.8
1925,William,721,6,120.167
1925,Francis,183,5,36.6
1925,Jean,7,212,0.033
1925,Lee,5,5,1.0
1926,John,952,11,86.545
1926,Joseph,623,7,89.0
1926,Lee,7,6,1.167
1926,Jean,5,231,0.022
1927,John,902,10,90.2
1927,Robert,774,7,110.571
1927,William,654,9,72.667
1927,Joseph,613,5,122.6
1927,Jean,5,278,0.018
1928,Robert,831,5,166.2
1928,William,674,8,84.25
1928,Jean,10,271,0.037
1929,Robert,822,8,102.75
1929,William,579,5,115.8
1929,Joseph,529,7,75.571
1929,Edward,374,5,74.8
1929,Jean,5,283,0.018
1929,Mary,5,624,0.008
1930,John,882,5,176.4
1930,William,638,7,91.143
1930,Joseph,497,5,99.4
1930,James,389,5,77.8
1930,Carmen,11,5,2.2
1931,Robert,926,6,154.333
1931,George,330,5,66.0
1931,Jean,6,234,0.026
1932,Robert,830,5,166.0
1932,Jean,5,221,0.023
1933,Lee,9,5,1.8
1933,Lynn,5,5,1.0
1934,Lee,9,5,1.8
1934,Barbara,6,449,0.013
1935,John,719,5,143.8
1935,William,462,6,77.0
1935,Lee,15,5,3.0
1936,Robert,897,9,99.667
1937,Joan,5,355,0.014
1938,Lee,13,6,2.167
1938,Dale,7,6,1.167
1939,Dale,13,7,1.857
1939,Leslie,9,6,1.5
1940,William,578,7,82.571
1940,Leslie,9,5,1.8
1940,Terry,9,6,1.5
1940,Jean,8,150,0.053
1940,Lynn,8,22,0.364
1941,Lee,24,6,4.0
1941,Leslie,17,14,1.214
1941,Terry,12,8,1.5
1941,Jean,11,132,0.083
1941,Dale,6,12,0.5
1942,Robert,1241,6,206.833
1942,William,854,5,170.8
1942,Lee,30,7,4.286
1942,Leslie,19,18,1.056
1942,Terry,19,8,2.375
1942,Dale,10,14,0.714
1942,Carmen,9,5,1.8
1942,Pat,8,11,0.727
1942,Jean,6,158,0.038
1943,Lee,26,12,2.167
1943,Leslie,20,39,0.513
1943,Terry,20,8,2.5
1943,Dale,9,13,0.692
1943,Jean,9,139,0.065
1943,Lynn,8,52,0.154
1943,Jan,7,7,1.0
1943,Patricia,5,768,0.007
1944,Lee,33,10,3.3
1944,Terry,23,6,3.833
1944,Leslie,16,31,0.516
1944,Dale,11,24,0.458
1944,Dana,10,7,1.429
1944,Jean,5,114,0.044
1945,Robert,1163,6,193.833
1945,Terry,30,6,5.0
1945,Lee,22,16,1.375
1945,Leslie,22,45,0.489
1945,Dale,12,16,0.75
1945,Robin,5,8,0.625
1946,Robert,1472,5,294.4
1946,John,1357,6,226.167
1946,Terry,33,12,2.75
1946,Lee,29,18,1.611
1946,Dale,28,19,1.474
1946,Leslie,28,43,0.651
1946,Pat,9,9,1.0
1946,Robin,8,13,0.615
1946,Jan,7,10,0.7
1946,Dana,6,7,0.857
1947,John,1485,7,212.143
1947,Thomas,781,5,156.2
1947,Lee,36,18,2.0
1947,Terry,32,23,1.391
1947,Leslie,23,57,0.404
1947,Dana,15,6,2.5
1947,Dale,13,20,0.65
1947,Jan,8,12,0.667
1947,Noel,7,6,1.167
1947,Jean,5,137,0.036
1948,Lee,38,12,3.167
1948,Dale,17,32,0.531
1948,Carmen,14,7,2.0
1948,Terry,14,23,0.609
1948,Dana,12,5,2.4
1948,Robin,11,14,0.786
1948,Leslie,8,60,0.133
1948,Noel,7,5,1.4
1948,Jan,5,15,0.333
1949,Lee,33,16,2.062
1949,Leslie,23,48,0.479
1949,Dale,21,30,0.7
1949,Terry,18,16,1.125
1949,Dana,12,14,0.857
1949,Carmen,11,7,1.571
1949,Jan,8,27,0.296
1949,Jean,6,112,0.054
1950,Lee,35,16,2.188
1950,Dale,26,25,1.04
1950,Terry,18,19,0.947
1950,Dana,15,6,2.5
1950,Robin,11,26,0.423
1950,Leslie,10,32,0.312
1950,Jan,7,15,0.467
1951,Dale,40,32,1.25
1951,Lee,35,13,2.692
1951,Terry,20,16,1.25
1951,Dana,19,9,2.111
1951,Leslie,14,57,0.246
1951,Robin,10,58,0.172
1951,Carmen,9,7,1.286
1951,Kerry,9,8,1.125
1951,Jan,5,16,0.312
1951,Lynn,5,138,0.036
1952,David,933,6,155.5
1952,Lee,38,18,2.111
1952,Dale,24,40,0.6
1952,Dana,21,10,2.1
1952,Leslie,19,65,0.292
1952,Terry,19,23,0.826
1952,Kim,16,22,0.727
1952,Robin,11,79,0.139
1952,Jan,10,26,0.385
1952,Kerry,8,5,1.6
1952,Carmen,6,7,0.857
1953,Lee,32,17,1.882
1953,Dale,25,44,0.568
1953,Kim,24,39,0.615
1953,Leslie,24,72,0.333
1953,Terry,22,18,1.222
1953,Dana,15,8,1.875
1953,Robin,14,119,0.118
1953,Jan,13,19,0.684
1953,Chris,12,5,2.4
1953,Kerry,8,8,1.0
1953,Carmen,7,9,0.778
1953,Jean,6,131,0.046
