YOB,Name,mFrequency,fFrequency,mForF
1915,Marion,5,8,0.625
1926,Marion,5,11,0.455
1927,Marion,5,6,0.833
1946,Terry,11,5,2.2
1948,Leslie,5,5,1.0
1950,Dale,15,5,3.0
1950,Terry,9,5,1.8
1951,Terry,15,8,1.875
1951,Leslie,5,8,0.625
1952,Terry,9,5,1.8
1953,Dale,18,6,3.0
1953,Terry,15,7,2.143
1953,Robin,9,29,0.31
1953,Leslie,6,9,0.667
1954,Terry,13,15,0.867
1954,Robin,9,34,0.265
1955,Terry,17,16,1.062
1955,Dale,10,6,1.667
1955,Lee,9,5,1.8
1955,Robin,9,53,0.17
1955,Leslie,6,11,0.545
1956,Terry,23,30,0.767
1956,Lee,11,6,1.833
1956,Robin,7,49,0.143
1956,Leslie,6,16,0.375
1956,Kim,5,24,0.208
1957,Robin,14,49,0.286
1957,Terry,9,26,0.346
1957,Leslie,8,21,0.381
1957,Kim,6,30,0.2
1958,Terry,25,18,1.389
1958,Robin,10,51,0.196
1959,Terry,14,23,0.609
1959,Robin,9,61,0.148
1960,Chris,20,6,3.333
1960,Terry,12,19,0.632
1961,Terry,23,21,1.095
1961,Robin,9,76,0.118
1961,Kim,7,27,0.259
1961,Tracy,5,20,0.25
1962,Terry,17,23,0.739
1962,Tracy,11,25,0.44
1962,Dana,6,9,0.667
1962,Kelly,6,31,0.194
1962,Leslie,6,22,0.273
1962,Robin,6,74,0.081
1963,Terry,13,21,0.619
1963,Chris,12,7,1.714
1963,Dana,5,11,0.455
1964,Terry,14,17,0.824
1964,Tracy,6,45,0.133
1965,Terry,10,7,1.429
1965,Dana,5,15,0.333
1965,Kelly,5,31,0.161
1966,Lee,9,5,1.8
1966,Tracy,7,47,0.149
1966,Dana,5,13,0.385
1966,Terry,5,6,0.833
1967,Shawn,22,5,4.4
1967,Tracy,7,31,0.226
1968,Kelly,8,50,0.16
1968,Terry,8,10,0.8
1969,Shawn,25,6,4.167
1969,Terry,9,8,1.125
1969,Jamie,5,5,1.0
1969,Shannon,5,19,0.263
1970,Terry,12,5,2.4
1970,Lee,6,6,1.0
1970,Shannon,6,34,0.176
1971,Shawn,41,6,6.833
1971,Terry,9,5,1.8
1971,Jamie,5,5,1.0
1971,Kelly,5,41,0.122
1972,Shawn,39,10,3.9
1972,Shannon,8,30,0.267
1973,Jamie,8,5,1.6
1973,Shannon,8,25,0.32
1974,Shannon,10,30,0.333
1974,Nakia,5,8,0.625
1975,Jamie,16,12,1.333
1976,Jamie,9,23,0.391
1977,Jamie,8,31,0.258
1977,Shannon,6,43,0.14
1978,Jamie,6,28,0.214
1978,Shannon,6,35,0.171
1979,Michael,230,7,32.857
1979,Ryan,50,8,6.25
1979,Jamie,7,36,0.194
1979,Casey,6,5,1.2
1980,Jamie,15,28,0.536
1981,Jamie,12,28,0.429
1981,Casey,6,7,0.857
1981,Dana,5,20,0.25
1982,Jamie,5,25,0.2
1983,Ryan,58,5,11.6
1983,Shannon,9,30,0.3
1983,Jamie,6,28,0.214
1984,Casey,5,6,0.833
1984,Shannon,5,30,0.167
1986,Jordan,26,7,3.714
1986,Casey,7,11,0.636
1987,Ryan,79,5,15.8
1987,Jordan,19,12,1.583
1988,Jordan,13,8,1.625
1988,Casey,6,13,0.462
1988,Devon,6,8,0.75
1989,Jordan,31,13,2.385
1989,Taylor,14,25,0.56
1989,Dominique,10,6,1.667
1989,Devon,7,5,1.4
1989,Casey,5,6,0.833
1989,Shannon,5,27,0.185
1990,Jordan,48,17,2.824
1990,Christian,15,5,3.0
1990,Casey,8,14,0.571
1990,Dominique,8,6,1.333
1990,Taylor,8,26,0.308
1990,Devon,7,7,1.0
1991,Jordan,41,17,2.412
1991,Taylor,13,35,0.371
1991,Casey,9,18,0.5
