YOB,Name,mFrequency,fFrequency,mForF
1910,Willie,140,71,1.972
1910,Jessie,15,26,0.577
1910,Francis,13,5,2.6
1911,Willie,107,71,1.507
1911,Clyde,15,6,2.5
1911,Jessie,14,30,0.467
1911,Johnnie,13,11,1.182
1911,Marion,10,12,0.833
1912,Willie,153,88,1.739
1912,Johnnie,32,15,2.133
1912,Eddie,27,5,5.4
1912,Jessie,23,33,0.697
1912,Lee,22,5,4.4
1912,Marion,14,17,0.824
1912,Francis,9,5,1.8
1913,John,271,6,45.167
1913,Willie,152,77,1.974
1913,Johnnie,32,14,2.286
1913,Jessie,20,38,0.526
1913,Marion,17,13,1.308
1913,Francis,14,5,2.8
1913,Ollie,6,16,0.375
1914,Willie,206,87,2.368
1914,Johnnie,45,16,2.812
1914,Eddie,39,5,7.8
1914,Jessie,23,53,0.434
1914,Lee,21,8,2.625
1914,Marion,20,23,0.87
1914,Francis,16,5,3.2
1915,Willie,220,123,1.789
1915,Eddie,50,7,7.143
1915,Johnnie,42,15,2.8
1915,Clifford,36,5,7.2
1915,Clyde,32,12,2.667
1915,Jessie,24,29,0.828
1915,Francis,23,8,2.875
1915,Lee,21,14,1.5
1915,Marion,18,32,0.562
1915,Jimmie,17,6,2.833
1915,Bennie,12,5,2.4
1915,Bernice,6,57,0.105
1916,Willie,200,139,1.439
1916,Eddie,39,5,7.8
1916,Johnnie,35,19,1.842
1916,Jessie,30,60,0.5
1916,Lee,28,14,2.0
1916,Leo,27,7,3.857
1916,Francis,23,12,1.917
1916,Marion,16,30,0.533
1916,Jimmie,15,7,2.143
1916,Freddie,12,6,2.0
1916,Tommie,11,8,1.375
1916,Ollie,5,26,0.192
1917,Willie,213,109,1.954
1917,George,195,5,39.0
1917,Charlie,53,6,8.833
1917,Johnnie,53,30,1.767
1917,Eddie,46,9,5.111
1917,Clyde,29,6,4.833
1917,Jessie,29,56,0.518
1917,Marion,23,31,0.742
1917,Francis,22,12,1.833
1917,Freddie,17,5,3.4
1917,Jimmie,14,11,1.273
1917,Cleo,8,20,0.4
1918,Willie,241,152,1.586
1918,Johnnie,65,23,2.826
1918,Eddie,47,17,2.765
1918,Jessie,40,61,0.656
1918,Clyde,36,6,6.0
1918,Lee,31,9,3.444
1918,Jimmie,25,8,3.125
1918,Francis,22,7,3.143
1918,Marion,19,25,0.76
1918,Johnie,11,5,2.2
1918,Tommie,11,6,1.833
1918,Bennie,9,9,1.0
1918,Ollie,9,20,0.45
1919,Willie,270,138,1.957
1919,Charlie,67,6,11.167
1919,Johnnie,62,28,2.214
1919,Eddie,54,10,5.4
1919,Clifford,39,10,3.9
1919,Jessie,38,65,0.585
1919,Lee,35,8,4.375
1919,Jimmie,31,16,1.938
1919,Marion,27,24,1.125
1919,Francis,25,6,4.167
1919,Ira,22,6,3.667
1919,Tommie,11,6,1.833
1919,Alva,7,6,1.167
1919,Bennie,7,5,1.4
1919,Johnie,7,5,1.4
1919,Bernice,5,70,0.071
1919,Theo,5,6,0.833
1920,Willie,263,151,1.742
1920,Joe,111,6,18.5
1920,Johnnie,61,25,2.44
1920,Clyde,42,6,7.0
1920,Eddie,38,14,2.714
1920,Jimmie,31,7,4.429
1920,Jessie,29,57,0.509
1920,Lee,26,7,3.714
1920,Marion,25,27,0.926
1920,Francis,24,6,4.0
1920,Perry,19,5,3.8
1920,Freddie,13,5,2.6
1920,Ira,10,6,1.667
1920,Mary,6,626,0.01
1920,Billie,5,10,0.5
1920,Cleo,5,19,0.263
1921,James,803,5,160.6
1921,Willie,261,149,1.752
1921,Charlie,72,5,14.4
1921,Eddie,68,8,8.5
1921,Johnnie,59,32,1.844
1921,Lee,36,9,4.0
1921,Francis,35,8,4.375
1921,Jessie,31,62,0.5
1921,Jimmie,30,8,3.75
1921,Marion,30,38,0.789
1921,Freddie,25,6,4.167
1921,Clifford,23,6,3.833
1921,Johnie,19,6,3.167
1921,Ira,15,6,2.5
1921,Cleo,9,26,0.346
1921,Billie,8,18,0.444
1921,Tommie,6,9,0.667
1921,Ollie,5,31,0.161
1922,James,731,6,121.833
1922,Willie,260,130,2.0
1922,Charlie,70,8,8.75
1922,Johnnie,67,35,1.914
1922,Eddie,64,15,4.267
1922,Clyde,52,7,7.429
1922,Francis,37,10,3.7
1922,Lee,35,7,5.0
1922,Jessie,30,57,0.526
1922,Marion,29,28,1.036
1922,Jimmie,26,9,2.889
1922,Freddie,25,5,5.0
1922,Odell,12,5,2.4
1922,Billie,6,10,0.6
1922,Cleo,5,13,0.385
1923,Willie,260,153,1.699
1923,Joe,111,5,22.2
1923,Charlie,69,7,9.857
1923,Johnnie,63,34,1.853
1923,Eddie,53,9,5.889
1923,Clyde,42,10,4.2
1923,Clifford,38,5,7.6
1923,Freddie,31,6,5.167
1923,Jessie,30,62,0.484
1923,Marion,29,32,0.906
1923,Jimmie,22,10,2.2
1923,Francis,21,11,1.909
1923,Jerry,20,5,4.0
1923,Billie,12,11,1.091
1923,Johnie,10,5,2.0
1923,Tommie,6,6,1.0
1924,James,902,6,150.333
1924,John,582,8,72.75
1924,Willie,315,157,2.006
1924,Charlie,64,7,9.143
1924,Eddie,59,16,3.688
1924,Clyde,53,8,6.625
1924,Johnnie,53,42,1.262
1924,Lee,36,14,2.571
1924,Marion,36,46,0.783
1924,Jimmie,35,8,4.375
1924,Freddie,31,10,3.1
1924,Jessie,26,67,0.388
1924,Francis,22,11,2.0
1924,Ira,19,6,3.167
1924,Lonnie,19,5,3.8
1924,Jerry,16,5,3.2
1924,Johnie,15,8,1.875
1924,Tommie,15,9,1.667
1924,Billie,11,18,0.611
1924,Ollie,10,24,0.417
1924,Hazel,7,105,0.067
1924,Cleo,5,21,0.238
1924,Mary,5,847,0.006
1925,James,980,12,81.667
