YOB,Name,mFrequency,fFrequency,mForF
1915,Ah,9,5,1.8
1922,Kaoru,8,5,1.6
1925,Kaoru,7,5,1.4
1943,Leslie,24,8,3.0
1944,Leslie,27,7,3.857
1945,Leslie,33,6,5.5
1946,Leslie,34,12,2.833
1946,Dale,9,11,0.818
1946,Lynn,5,21,0.238
1947,Leslie,30,8,3.75
1947,Dale,13,7,1.857
1947,Lee,6,5,1.2
1947,Robin,6,8,0.75
1948,Leslie,32,7,4.571
1948,Terry,9,6,1.5
1948,Dale,7,17,0.412
1949,Leslie,44,9,4.889
1949,Dale,13,11,1.182
1949,Terry,11,6,1.833
1949,Robin,8,10,0.8
1949,Daryl,6,5,1.2
1950,Leslie,35,13,2.692
1950,Terry,15,5,3.0
1950,Dale,14,9,1.556
1950,Robin,6,10,0.6
1950,Lynn,5,50,0.1
1951,Leslie,47,11,4.273
1951,Terry,22,9,2.444
1951,Dana,10,5,2.0
1951,Robin,10,8,1.25
1951,Dale,6,9,0.667
1952,Leslie,49,16,3.062
1952,Dale,20,19,1.053
1952,Terry,18,9,2.0
1952,Robin,10,9,1.111
1952,Lee,9,6,1.5
1953,Leslie,31,18,1.722
1953,Terry,25,21,1.19
1953,Dale,23,16,1.438
1953,Robin,22,17,1.294
1954,Leslie,33,23,1.435
1954,Terry,22,31,0.71
1954,Robin,21,18,1.167
1954,Dale,18,22,0.818
1954,Lee,16,5,3.2
1955,Leslie,31,20,1.55
1955,Dale,27,24,1.125
1955,Terry,18,33,0.545
1955,Robin,16,31,0.516
1955,Lee,10,13,0.769
1955,Dana,6,8,0.75
1956,Terry,29,19,1.526
1956,Dale,27,17,1.588
1956,Leslie,27,16,1.688
1956,Robin,18,30,0.6
1956,Lee,11,6,1.833
1956,Dana,7,6,1.167
1957,Leslie,34,19,1.789
1957,Robin,23,28,0.821
1957,Chris,21,5,4.2
1957,Dana,15,8,1.875
1957,Dale,14,12,1.167
1957,Lee,11,9,1.222
1957,Terry,11,21,0.524
1957,Tracy,9,18,0.5
1958,Robin,28,29,0.966
1958,Terry,23,23,1.0
1958,Leslie,20,21,0.952
1958,Lee,16,7,2.286
1958,Kelly,15,18,0.833
1958,Dale,14,11,1.273
1958,Dana,6,11,0.545
1958,Kerry,5,6,0.833
1959,Robin,25,26,0.962
1959,Terry,22,19,1.158
1959,Leslie,18,21,0.857
1959,Kelly,14,24,0.583
1959,Lee,12,8,1.5
1959,Dana,10,17,0.588
1959,Shawn,6,6,1.0
1959,Kim,5,23,0.217
1959,Stacey,5,6,0.833
1959,Tracy,5,11,0.455
1960,Terry,29,23,1.261
1960,Tracy,26,39,0.667
1960,Leslie,25,24,1.042
1960,Dale,21,9,2.333
1960,Robin,18,46,0.391
1960,Lee,17,9,1.889
1960,Shawn,15,6,2.5
1960,Kelly,11,30,0.367
1960,Dana,8,12,0.667
1960,Stacy,5,11,0.455
1961,Tracy,34,51,0.667
1961,Robin,31,43,0.721
1961,Terry,26,24,1.083
1961,Kelly,21,27,0.778
1961,Dale,19,5,3.8
1961,Leslie,14,25,0.56
1961,Lee,10,9,1.111
1961,Stacey,9,8,1.125
1961,Dana,7,13,0.538
1961,Stacy,7,7,1.0
1961,Jamie,5,27,0.185
1962,Terry,29,17,1.706
1962,Robin,23,32,0.719
1962,Leslie,20,18,1.111
1962,Tracy,19,49,0.388
1962,Dale,18,12,1.5
1962,Shawn,17,11,1.545
1962,Kelly,16,45,0.356
1962,Lee,10,7,1.429
1962,Stacey,10,5,2.0
1962,Dana,7,13,0.538
1962,Jamie,5,24,0.208
1963,Lee,31,10,3.1
1963,Tracy,25,60,0.417
1963,Robin,21,38,0.553
1963,Terry,20,17,1.176
1963,Kelly,16,36,0.444
1963,Leslie,13,20,0.65
1963,Shannon,11,7,1.571
1963,Stacy,11,18,0.611
1963,Dana,9,12,0.75
1963,Stacey,7,22,0.318
1964,Dale,21,8,2.625
1964,Shawn,17,10,1.7
1964,Robin,13,39,0.333
1964,Stacy,12,22,0.545
1964,Tracy,12,41,0.293
1964,Terry,11,14,0.786
1964,Lee,10,10,1.0
1964,Dana,9,23,0.391
1964,Shannon,9,8,1.125
1964,Kelly,8,37,0.216
1964,Leslie,7,28,0.25
1964,Stacey,6,22,0.273
1965,Robin,19,31,0.613
1965,Shawn,18,12,1.5
1965,Shannon,16,12,1.333
1965,Lee,12,6,2.0
1965,Tracy,12,33,0.364
1965,Dale,11,11,1.0
1965,Kelly,11,43,0.256
1965,Terry,10,8,1.25
1965,Leslie,7,17,0.412
1965,Stacey,6,19,0.316
1966,Shawn,25,6,4.167
1966,Leslie,15,15,1.0
1966,Shannon,15,15,1.0
1966,Tracy,15,47,0.319
1966,Kelly,14,37,0.378
1966,Lee,13,7,1.857
