YOB,Name,mFrequency,fFrequency,mForF
1910,Marion,11,15,0.733
1911,Marion,10,24,0.417
1911,Laverne,7,5,1.4
1912,John,342,5,68.4
1912,Cecil,31,7,4.429
1912,Merle,30,7,4.286
1912,Marion,25,29,0.862
1912,Claire,7,5,1.4
1912,Cleo,6,13,0.462
1913,Marion,35,31,1.129
1913,Laverne,13,8,1.625
1913,Fay,7,12,0.583
1913,Pearl,6,38,0.158
1913,Gail,5,8,0.625
1913,Mary,5,480,0.01
1914,Merle,43,11,3.909
1914,Marion,27,32,0.844
1914,Laverne,26,10,2.6
1914,Lee,24,5,4.8
1914,Cleo,14,14,1.0
1914,Claire,8,6,1.333
1914,Beryl,7,5,1.4
1914,Fay,7,7,1.0
1914,Dorothy,6,566,0.011
1914,Ora,6,5,1.2
1915,Robert,793,8,99.125
1915,Francis,192,8,24.0
1915,Marion,61,45,1.356
1915,Merle,52,15,3.467
1915,Cleo,22,24,0.917
1915,Laverne,22,15,1.467
1915,Lavern,12,5,2.4
1915,Claire,8,8,1.0
1915,Gail,8,14,0.571
1915,Jean,8,68,0.118
1915,Fay,7,15,0.467
1916,William,673,6,112.167
1916,Francis,156,5,31.2
1916,Merle,66,9,7.333
1916,Cecil,64,7,9.143
1916,Marion,58,74,0.784
1916,Laverne,37,19,1.947
1916,Alva,18,6,3.0
1916,Cleo,18,23,0.783
1916,Gail,15,18,0.833
1916,Fay,14,13,1.077
1916,Jerry,13,5,2.6
1916,Beryl,9,8,1.125
1916,Carol,7,34,0.206
1916,Claire,6,12,0.5
1916,Billie,5,10,0.5
1916,Dorothy,5,874,0.006
1916,Frances,5,318,0.016
1916,Loraine,5,5,1.0
1917,Robert,961,5,192.2
1917,John,872,8,109.0
1917,William,600,5,120.0
1917,Merle,71,12,5.917
1917,Marion,58,85,0.682
1917,Laverne,35,14,2.5
1917,Lee,35,5,7.0
1917,Lavern,21,6,3.5
1917,Gail,16,15,1.067
1917,Gene,16,5,3.2
1917,Cleo,14,22,0.636
1917,Fay,14,15,0.933
1917,Claire,13,5,2.6
1917,Beryl,12,6,2.0
1917,Billie,5,7,0.714
1917,Clare,5,6,0.833
1918,Robert,1069,9,118.778
1918,James,533,5,106.6
1918,Raymond,382,5,76.4
1918,Merle,106,7,15.143
1918,Marion,65,88,0.739
1918,Laverne,34,22,1.545
1918,Gene,24,7,3.429
