YOB,Name,mFrequency,fFrequency,mForF
1912,Marion,7,6,1.167
1915,Marion,13,11,1.182
1915,Alma,7,12,0.583
1916,Marion,17,11,1.545
1916,Merle,6,8,0.75
1917,Marion,14,17,0.824
1917,Merle,9,5,1.8
1918,Marion,18,14,1.286
1918,Merle,6,8,0.75
1919,Marion,8,11,0.727
1919,Merle,7,6,1.167
1920,Marion,16,15,1.067
1920,Merle,8,6,1.333
1920,Alma,6,13,0.462
1920,Fay,5,6,0.833
1921,Gene,13,5,2.6
1921,Marion,13,15,0.867
1921,Merle,8,9,0.889
1921,Jean,7,35,0.2
1922,Marion,13,12,1.083
1922,Alma,5,13,0.385
1923,Marion,11,7,1.571
1923,Merle,5,7,0.714
1924,Marion,8,12,0.667
1924,Merle,6,5,1.2
1924,Alma,5,8,0.625
1925,Marion,16,9,1.778
1926,Marion,14,10,1.4
1926,Billie,5,12,0.417
1926,Cleo,5,13,0.385
1927,Marion,6,10,0.6
1928,Marion,9,8,1.125
1928,Cleo,6,10,0.6
1929,Marion,8,9,0.889
1931,Kay,8,5,1.6
1932,Kay,12,7,1.714
1932,Cleo,5,6,0.833
1932,Pat,5,7,0.714
1933,Jerry,47,5,9.4
1933,Kay,11,7,1.571
1933,Gail,7,5,1.4
1934,Kay,11,15,0.733
1934,Marion,7,8,0.875
1934,Lavon,5,6,0.833
1935,Jerry,66,6,11.0
1935,Kay,7,24,0.292
1935,Billie,5,8,0.625
1936,Kay,6,25,0.24
1937,Dee,10,5,2.0
1937,Gail,8,15,0.533
1937,Marion,8,5,1.6
1937,Kay,6,35,0.171
1937,Carol,5,112,0.045
1938,Jerry,89,5,17.8
1938,Kay,11,21,0.524
1938,Pat,9,18,0.5
1938,Jackie,8,9,0.889
1938,Dee,6,6,1.0
1939,Lynn,25,6,4.167
1940,Lynn,39,7,5.571
1940,Lee,22,7,3.143
1940,Kay,8,28,0.286
1940,Jackie,5,5,1.0
1941,Leslie,9,6,1.5
1941,Kay,7,40,0.175
1941,Gayle,6,12,0.5
1942,Lynn,26,7,3.714
1942,Gail,6,9,0.667
1942,Kay,5,34,0.147
1942,Pat,5,14,0.357
1943,Terry,48,8,6.0
1943,Lynn,34,12,2.833
1943,Leslie,12,8,1.5
1943,Marion,11,6,1.833
1943,Jackie,8,18,0.444
1943,Jan,6,7,0.857
1943,Pat,6,20,0.3
1944,Terry,55,9,6.111
1944,Lynn,42,5,8.4
1944,Leslie,14,7,2.0
1944,Gail,6,11,0.545
1944,Pat,5,16,0.312
1945,Terry,62,7,8.857
1945,Lynn,26,11,2.364
1945,Gail,8,16,0.5
1945,Dee,5,11,0.455
1945,Kay,5,23,0.217
1945,Pat,5,13,0.385
1946,Terry,96,9,10.667
1946,Jerry,90,7,12.857
1946,Lynn,40,10,4.0
1946,Lee,23,9,2.556
1946,Leslie,21,13,1.615
1946,Pat,13,18,0.722
1946,Robin,6,7,0.857
1947,Terry,119,18,6.611
1947,Lee,27,10,2.7
1947,Lynn,26,17,1.529
1947,Leslie,22,19,1.158
1947,Dana,7,8,0.875
1947,Jackie,7,15,0.467
1947,Jan,6,10,0.6
1947,Kay,5,36,0.139
1947,Marion,5,6,0.833
1947,Pat,5,9,0.556
1948,Terry,112,11,10.182
1948,Lynn,31,9,3.444
1948,Lee,17,6,2.833
1948,Leslie,15,13,1.154
1948,Pat,9,9,1.0
1948,Robin,7,12,0.583
1948,Dana,6,5,1.2
1948,Jan,6,15,0.4
1948,Jackie,5,8,0.625
1949,Terry,98,23,4.261
1949,Jerry,87,6,14.5
1949,Lynn,41,19,2.158
1949,Lee,18,7,2.571
1949,Leslie,13,16,0.812
1949,Dee,7,6,1.167
1949,Gail,7,24,0.292
1949,Robin,7,6,1.167
1949,Jackie,5,10,0.5
1950,Terry,97,19,5.105
1950,Dale,45,5,9.0
1950,Lynn,35,14,2.5
1950,Chris,15,5,3.0
1950,Lee,12,9,1.333
1950,Kerry,9,6,1.5
1950,Leslie,9,19,0.474
1950,Jan,5,15,0.333
1950,Kay,5,35,0.143
1951,Terry,116,22,5.273
1951,Lynn,30,19,1.579
1951,Kerry,17,7,2.429
1951,Lee,12,9,1.333
1951,Leslie,11,19,0.579
1951,Robin,9,12,0.75
1952,Terry,73,16,4.562
1952,Kim,51,10,5.1
1952,Kelly,33,7,4.714
1952,Lynn,26,14,1.857
1952,Leslie,23,13,1.769
1952,Kerry,15,10,1.5
1952,Lee,15,7,2.143
1952,Dana,10,7,1.429
1952,Robin,8,12,0.667
1952,Dee,6,5,1.2
1953,Terry,87,21,4.143
1953,Kim,48,15,3.2
1953,Lynn,28,21,1.333
1953,Kelly,26,5,5.2
1953,Kerry,18,7,2.571
1953,Leslie,14,19,0.737
1953,Lee,13,6,2.167
1953,Robin,12,26,0.462
1953,Dana,6,10,0.6
1954,Terry,103,31,3.323
1954,Kim,55,20,2.75
1954,Kelly,40,7,5.714
1954,Lynn,27,22,1.227
1954,Lee,20,9,2.222
1954,Tracy,17,9,1.889
1954,Leslie,12,27,0.444
1954,Dana,11,5,2.2
1954,Robin,7,32,0.219
1954,Dee,6,9,0.667
1955,Terry,84,20,4.2
1955,Kim,52,32,1.625
1955,Kelly,31,10,3.1
1955,Kerry,30,6,5.0
1955,Lynn,22,19,1.158
1955,Leslie,20,24,0.833
1955,Lee,14,11,1.273
1955,Robin,13,20,0.65
1955,Chris,12,7,1.714
1955,Tracy,9,10,0.9
1955,Dana,7,9,0.778
1955,Jody,5,11,0.455
1956,Terry,90,24,3.75
1956,Kelly,49,15,3.267
1956,Kim,40,46,0.87
1956,Lynn,26,18,1.444
1956,Leslie,15,26,0.577
1956,Robin,15,32,0.469
1956,Tracy,10,17,0.588
1956,Lee,9,9,1.0
1956,Jan,6,35,0.171
1957,Terry,77,24,3.208
1957,Kelly,62,27,2.296
1957,Kim,42,54,0.778
1957,Kerry,27,7,3.857
1957,Chris,25,9,2.778
1957,Lynn,25,19,1.316
1957,Leslie,19,30,0.633
1957,Tracy,18,22,0.818
1957,Lee,12,10,1.2
1957,Dana,8,11,0.727
1957,Robin,5,36,0.139
1958,Kelly,88,53,1.66
1958,Terry,75,21,3.571
1958,Kim,33,42,0.786
1958,Chris,27,8,3.375
1958,Kerry,21,5,4.2
1958,Lee,21,5,4.2
1958,Leslie,13,37,0.351
1958,Lynn,13,17,0.765
1958,Robin,13,34,0.382
1958,Tracy,10,13,0.769
