YOB,Name,mFrequency,fFrequency,mForF
1910,Francis,53,7,7.571
1910,Lee,24,6,4.0
1910,Cecil,19,7,2.714
1910,Willie,13,8,1.625
1910,Marion,11,104,0.106
1910,Merle,11,5,2.2
1910,Laverne,8,15,0.533
1910,Mary,6,1076,0.006
1910,Frances,5,287,0.017
1911,Lee,19,11,1.727
1911,Marion,19,124,0.153
1911,Willie,10,5,2.0
1911,Merle,9,5,1.8
1911,Laverne,5,14,0.357
1912,William,1039,5,207.8
1912,Robert,715,6,119.167
1912,Francis,138,14,9.857
1912,Cecil,46,7,6.571
1912,Lee,36,13,2.769
1912,Marion,28,187,0.15
1912,Merle,25,11,2.273
1912,Gene,13,8,1.625
1912,Laverne,11,31,0.355
1912,Verne,10,5,2.0
1912,Carmen,6,9,0.667
1912,Ruth,6,633,0.009
1912,Gail,5,6,0.833
1912,Pearl,5,153,0.033
1913,John,1798,6,299.667
1913,William,1275,6,212.5
1913,Francis,191,8,23.875
1913,Lee,56,12,4.667
1913,Marion,54,190,0.284
1913,Cecil,48,14,3.429
1913,Merle,33,10,3.3
1913,Gene,29,5,5.8
1913,Laverne,21,51,0.412
1913,Carmen,9,12,0.75
1913,Jessie,7,87,0.08
1913,Pearl,7,143,0.049
1913,Fay,6,17,0.353
1913,Ollie,6,10,0.6
1913,Gail,5,7,0.714
1913,Mary,5,1956,0.003
1914,John,2242,5,448.4
1914,George,1100,5,220.0
1914,Paul,469,6,78.167
1914,Francis,212,16,13.25
1914,Marion,57,220,0.259
1914,Gene,50,10,5.0
1914,Lee,50,12,4.167
1914,Cecil,47,8,5.875
1914,Merle,33,13,2.538
1914,Laverne,29,61,0.475
1914,Willie,26,5,5.2
1914,Cleo,13,20,0.65
1914,Lavern,12,5,2.4
1914,Carmen,11,14,0.786
1914,Jessie,9,80,0.112
1914,Mary,8,2332,0.003
1914,Shirley,7,56,0.125
1914,Jean,5,308,0.016
1915,William,2190,7,312.857
1915,Edward,1484,5,296.8
1915,Charles,1433,5,286.6
1915,Francis,322,18,17.889
1915,Dale,116,7,16.571
1915,Cecil,91,7,13.0
1915,Jerry,85,7,12.143
1915,Lee,81,18,4.5
1915,Marion,77,324,0.238
1915,Merle,49,18,2.722
1915,Laverne,39,76,0.513
1915,Gene,37,8,4.625
1915,Cleo,26,33,0.788
1915,Willie,24,8,3.0
1915,Carmen,19,9,2.111
1915,Verne,18,6,3.0
1915,Gail,17,9,1.889
1915,Lavern,15,7,2.143
1915,Fay,12,29,0.414
1915,Mary,12,3043,0.004
1915,Jean,9,434,0.021
1915,Claire,8,35,0.229
1915,Ora,8,17,0.471
1915,Beryl,7,10,0.7
1915,Billie,7,12,0.583
1915,Frances,7,830,0.008
1915,Carol,6,25,0.24
1915,Joyce,6,25,0.24
1915,Shirley,6,91,0.066
1915,Beverly,5,31,0.161
1915,Helen,5,2432,0.002
1915,Jessie,5,108,0.046
1915,Jewel,5,21,0.238
1915,Joy,5,10,0.5
1915,Margaret,5,1401,0.004
1915,Marie,5,857,0.006
1915,Ollie,5,17,0.294
1915,Patsy,5,6,0.833
1916,John,3095,9,343.889
1916,William,2354,5,470.8
1916,Paul,702,6,117.0
1916,Thomas,591,6,98.5
1916,Francis,346,26,13.308
1916,Dale,106,5,21.2
