YOB,Name,mFrequency,fFrequency,mForF
1910,Marion,14,16,0.875
1910,Merle,6,6,1.0
1911,Marion,20,13,1.538
1911,Lee,14,5,2.8
1911,Mary,5,612,0.008
1912,Cecil,48,6,8.0
1912,Marion,32,13,2.462
1912,Cleo,13,12,1.083
1912,Ora,9,8,1.125
1912,Willie,6,5,1.2
1912,Jean,5,28,0.179
1913,Francis,84,5,16.8
1913,Cecil,43,7,6.143
1913,Marion,43,34,1.265
1913,Gene,11,5,2.2
1913,Ora,11,9,1.222
1913,Cleo,5,11,0.455
1913,Jessie,5,49,0.102
1914,Francis,98,11,8.909
1914,Marion,47,27,1.741
1914,Gene,19,9,2.111
1914,Merle,19,9,2.111
1914,Cleo,9,20,0.45
1914,Jean,6,69,0.087
1914,Mary,6,1349,0.004
1915,Francis,153,14,10.929
1915,Cecil,73,8,9.125
1915,Marion,67,33,2.03
1915,Lee,30,5,6.0
1915,Merle,26,10,2.6
1915,Gene,25,14,1.786
1915,Ora,17,8,2.125
1915,Cleo,13,16,0.812
1915,Meredith,13,5,2.6
1915,Beryl,8,5,1.6
1915,Jean,8,106,0.075
1915,Shirley,6,6,1.0
1916,Francis,128,8,16.0
1916,Marion,81,52,1.558
1916,Cecil,65,10,6.5
1916,Gene,28,5,5.6
1916,Merle,21,8,2.625
1916,Ora,20,6,3.333
1916,Cleo,16,29,0.552
1916,Jean,14,93,0.151
1916,Gail,11,6,1.833
1916,Shirley,7,12,0.583
1916,Frances,6,363,0.017
1916,Jessie,6,55,0.109
1917,Francis,143,16,8.938
1917,Marion,92,44,2.091
1917,Gene,29,13,2.231
1917,Lee,25,10,2.5
1917,Cleo,13,24,0.542
1917,Jean,11,131,0.084
1917,Gail,10,10,1.0
1917,Willie,8,7,1.143
1917,Jessie,7,67,0.104
1917,Fay,6,12,0.5
1917,Garnet,5,27,0.185
1918,Robert,1558,5,311.6
1918,Francis,164,17,9.647
1918,Marion,98,42,2.333
1918,Cecil,73,6,12.167
1918,Gene,43,6,7.167
1918,Merle,30,6,5.0
1918,Cleo,12,16,0.75
1918,Ora,12,9,1.333
1918,Shirley,10,33,0.303
1918,Gail,9,5,1.8
1918,Jessie,8,51,0.157
1918,Billie,7,9,0.778
1918,Jean,5,130,0.038
1918,Laverne,5,31,0.161
1919,Robert,1568,5,313.6
1919,James,965,5,193.0
1919,Francis,142,7,20.286
1919,Marion,68,39,1.744
1919,Gene,33,5,6.6
1919,Merle,29,9,3.222
1919,Ora,23,13,1.769
1919,Cleo,16,18,0.889
1919,Gail,13,7,1.857
1919,Jean,12,175,0.069
1919,Willie,9,6,1.5
1919,Billie,8,9,0.889
1919,Ollie,7,5,1.4
1919,Laverne,5,17,0.294
1920,Robert,1850,8,231.25
1920,James,1124,6,187.333
1920,Charles,1035,8,129.375
1920,Francis,162,14,11.571
1920,Marion,77,31,2.484
1920,Cecil,68,7,9.714
1920,Gene,46,9,5.111
1920,Merle,35,7,5.0
1920,Willie,19,5,3.8
1920,Ora,16,6,2.667
1920,Jean,12,189,0.063
1920,Billie,10,16,0.625
1920,Mary,10,2394,0.004
1920,Jerry,9,7,1.286
1920,Cleo,7,28,0.25
1920,Doris,7,285,0.025
1920,Lavern,7,7,1.0
1920,Gail,6,7,0.857
1920,Shirley,6,40,0.15
1920,Laverne,5,25,0.2
1920,Pearl,5,77,0.065
1921,Robert,2254,10,225.4
1921,James,1189,5,237.8
1921,Charles,1122,9,124.667
1921,Francis,138,11,12.545
1921,Marion,83,46,1.804
1921,Lee,46,7,6.571
1921,Gene,45,11,4.091
1921,Merle,29,8,3.625
1921,Ora,17,6,2.833
1921,Jean,12,226,0.053
1921,Cleo,10,19,0.526
1921,Billie,9,15,0.6
1921,Laverne,9,31,0.29
1921,Fay,8,10,0.8
1921,Mary,7,2633,0.003
1921,Gail,6,9,0.667
1921,Carol,5,32,0.156
1921,Gayle,5,6,0.833
1921,Helen,5,972,0.005
1922,Robert,2083,5,416.6
1922,John,1327,5,265.4
1922,Charles,1114,6,185.667
1922,George,584,6,97.333
1922,Francis,131,9,14.556
1922,Marion,87,43,2.023
1922,Lee,50,5,10.0
1922,Ora,28,5,5.6
1922,Jean,17,223,0.076
1922,Shirley,13,56,0.232
1922,Cleo,12,16,0.75
1922,Billie,11,21,0.524
1922,Laverne,6,23,0.261
1922,Mary,6,2376,0.003
1922,Ollie,5,5,1.0
1923,Robert,2282,7,326.0
1923,James,1290,5,258.0
1923,Francis,134,5,26.8
1923,Marion,108,36,3.0
1923,Gene,61,8,7.625
1923,Carroll,20,5,4.0
1923,Billie,16,17,0.941
1923,Jean,12,244,0.049
1923,Ora,9,5,1.8
1923,Shirley,9,87,0.103
1923,Laverne,7,37,0.189
1923,Meredith,7,5,1.4
1923,Carrol,6,5,1.2
1923,Cleo,5,14,0.357
1923,Frances,5,309,0.016
1923,Helen,5,963,0.005
1923,Mary,5,2398,0.002
1924,Robert,2419,6,403.167
1924,William,1446,7,206.571
1924,John,1389,5,277.8
1924,James,1250,6,208.333
1924,Charles,1110,5,222.0
1924,Francis,143,5,28.6
1924,Marion,77,40,1.925
1924,Gene,71,11,6.455
1924,Lee,43,7,6.143
1924,Billie,30,25,1.2
1924,Merle,26,9,2.889
1924,Cleo,15,19,0.789
1924,Willie,15,6,2.5
1924,Ora,13,5,2.6
1924,Jean,12,302,0.04
1924,Laverne,12,21,0.571
