YOB,Name,mFrequency,fFrequency,mForF
1910,Merle,10,8,1.25
1910,Jessie,5,31,0.161
1911,Marion,13,10,1.3
1911,Merle,10,5,2.0
1912,Marion,33,11,3.0
1912,Merle,20,9,2.222
1912,Fay,6,7,0.857
1913,Lee,40,5,8.0
1913,Merle,29,12,2.417
1913,Marion,28,17,1.647
1913,Cleo,8,13,0.615
1913,Jean,6,18,0.333
1914,Francis,74,7,10.571
1914,Marion,36,15,2.4
1914,Lee,27,6,4.5
1914,Merle,27,5,5.4
1914,Cleo,9,15,0.6
1915,John,593,6,98.833
1915,Francis,97,5,19.4
1915,Cecil,78,6,13.0
1915,Marion,48,12,4.0
1915,Merle,41,11,3.727
1915,Cleo,11,32,0.344
1915,Laverne,11,13,0.846
1915,Gail,9,6,1.5
1915,Fay,6,11,0.545
1915,Ora,5,5,1.0
1915,Pearl,5,70,0.071
1915,Shirley,5,12,0.417
1916,Francis,109,6,18.167
1916,Marion,46,29,1.586
1916,Merle,41,8,5.125
1916,Cleo,20,29,0.69
1916,Gail,17,7,2.429
1916,Laverne,12,15,0.8
1916,Ora,8,10,0.8
1916,Billie,7,10,0.7
1916,Fay,6,15,0.4
1916,Carol,5,14,0.357
1917,Francis,106,13,8.154
1917,Marion,64,30,2.133
1917,Merle,50,8,6.25
1917,Cleo,13,20,0.65
1917,Laverne,13,13,1.0
1917,Ora,6,5,1.2
1917,Shirley,6,17,0.353
1918,Francis,127,6,21.167
1918,Merle,54,5,10.8
1918,Marion,50,16,3.125
1918,Cleo,18,34,0.529
1918,Willie,12,5,2.4
1918,Ora,8,10,0.8
1918,Laverne,7,14,0.5
1918,Gayle,5,8,0.625
1918,Guadalupe,5,5,1.0
1918,Jerry,5,6,0.833
1919,Francis,107,8,13.375
1919,Marion,59,17,3.471
1919,Merle,32,7,4.571
1919,Leslie,25,5,5.0
1919,Laverne,14,10,1.4
1919,Cleo,8,32,0.25
1919,Jean,8,61,0.131
1919,Ora,8,8,1.0
1919,Lorraine,6,33,0.182
1919,Billie,5,20,0.25
1919,Fay,5,10,0.5
1919,Lupe,5,8,0.625
1920,Francis,102,9,11.333
1920,Marion,60,26,2.308
1920,Cecil,54,7,7.714
1920,Lee,49,5,9.8
1920,Gene,39,5,7.8
1920,Billie,18,25,0.72
1920,Cleo,18,29,0.621
1920,Laverne,16,15,1.067
1920,Gail,12,7,1.714
1920,Carmen,5,11,0.455
1920,Carol,5,21,0.238
1920,Jean,5,101,0.05
1921,Francis,127,6,21.167
1921,Marion,63,22,2.864
1921,Cecil,61,10,6.1
1921,Merle,43,10,4.3
1921,Gene,24,5,4.8
1921,Jerry,18,5,3.6
1921,Billie,17,23,0.739
1921,Gail,17,7,2.429
1921,Laverne,14,29,0.483
1921,Jean,13,130,0.1
1921,Cleo,12,34,0.353
1921,Willie,11,5,2.2
1921,Pearl,8,65,0.123
1921,Frankie,6,8,0.75
1921,Shirley,6,56,0.107
1921,Carmen,5,17,0.294
1921,Jessie,5,44,0.114
1921,Lorraine,5,49,0.102
1922,John,650,5,130.0
1922,Francis,117,12,9.75
1922,Marion,45,20,2.25
1922,Billie,22,31,0.71
1922,Jerry,22,5,4.4
1922,Laverne,15,18,0.833
1922,Jean,10,113,0.088
1922,Cleo,9,37,0.243
1922,Carol,5,24,0.208
1923,Robert,984,5,196.8
1923,Francis,101,11,9.182
1923,Marion,72,19,3.789
1923,Billie,25,34,0.735
1923,Jean,16,115,0.139
1923,Cleo,14,27,0.519
1923,Laverne,10,16,0.625
1923,Jerry,8,5,1.6
1923,Frankie,7,9,0.778
1923,Jessie,6,36,0.167
1923,Joy,6,7,0.857
1923,Shirley,5,100,0.05
1924,John,661,6,110.167
1924,Francis,129,11,11.727
1924,Cecil,55,5,11.0
1924,Lee,51,6,8.5
1924,Marion,44,25,1.76
1924,Billie,27,42,0.643
1924,Cleo,19,23,0.826
1924,Lavern,13,5,2.6
1924,Laverne,12,14,0.857
1924,Gail,10,5,2.0
1924,Frankie,7,7,1.0
1924,Jean,7,121,0.058
1924,Ora,6,7,0.857
1924,Carol,5,38,0.132
1924,Joy,5,13,0.385
1925,Billy,140,7,20.0
1925,Francis,112,8,14.0
1925,Gene,64,7,9.143
1925,Marion,57,22,2.591
1925,Cecil,56,5,11.2
1925,Merle,46,8,5.75
1925,Jerry,30,6,5.0
1925,Billie,18,49,0.367
1925,Laverne,16,17,0.941
1925,Cleo,11,13,0.846
1925,Jackie,11,5,2.2
1925,Bobbie,9,8,1.125
1925,Jean,9,106,0.085
1926,John,585,6,97.5
1926,Francis,102,8,12.75
1926,Marion,53,38,1.395
1926,Leslie,42,5,8.4
1926,Billie,32,48,0.667
1926,Jerry,26,9,2.889
1926,Laverne,23,13,1.769
1926,Bobbie,21,8,2.625
1926,Willie,13,5,2.6
1926,Gail,10,6,1.667
1926,Jean,10,116,0.086
1926,Jackie,7,6,1.167
1926,Beverly,6,37,0.162
1926,Carol,6,48,0.125
1926,Cleo,6,16,0.375
1926,Fay,6,5,1.2
1926,Pat,6,8,0.75
1926,Shirley,6,163,0.037
1926,Jessie,5,35,0.143
1926,Ora,5,14,0.357
1927,William,576,5,115.2
1927,John,538,5,107.6
1927,George,300,7,42.857
1927,Francis,102,5,20.4
1927,Merle,68,6,11.333
1927,Marion,64,28,2.286
1927,Billie,41,64,0.641
1927,Jerry,41,7,5.857
1927,Bobbie,32,7,4.571
1927,Jackie,19,9,2.111
1927,Laverne,16,10,1.6
1927,Willie,15,6,2.5
1927,Carol,12,60,0.2
1927,Cleo,11,18,0.611
1927,Frankie,9,5,1.8
