YOB,Name,mFrequency,fFrequency,mForF
1910,John,286,5,57.2
1910,Charles,120,6,20.0
1910,Willie,60,41,1.463
1910,Lee,34,12,2.833
1910,Cecil,28,11,2.545
1910,Jessie,16,43,0.372
1910,Marion,16,10,1.6
1910,Francis,9,7,1.286
1910,Ora,9,33,0.273
1910,Ollie,7,38,0.184
1910,Jewell,6,22,0.273
1910,Cleo,5,19,0.263
1911,Willie,49,35,1.4
1911,Cecil,47,9,5.222
1911,Lee,30,7,4.286
1911,Jessie,18,48,0.375
1911,Marion,17,9,1.889
1911,Ollie,14,38,0.368
1911,Francis,9,10,0.9
1911,Allie,5,19,0.263
1911,Jewell,5,16,0.312
1911,Pearl,5,66,0.076
1912,Willie,74,40,1.85
1912,Cecil,66,7,9.429
1912,Lee,49,9,5.444
1912,Marion,31,11,2.818
1912,Ollie,20,40,0.5
1912,Jessie,19,68,0.279
1912,Johnnie,18,6,3.0
1912,Francis,17,12,1.417
1912,Ora,10,50,0.2
1912,Shirley,9,12,0.75
1912,Jewell,8,21,0.381
1912,Mary,6,984,0.006
1913,William,761,10,76.1
1913,John,570,7,81.429
1913,Cecil,85,12,7.083
1913,Willie,80,52,1.538
1913,Lee,37,8,4.625
1913,Francis,30,17,1.765
1913,Marion,28,19,1.474
1913,Shirley,19,24,0.792
1913,Jewell,17,34,0.5
1913,Eddie,16,6,2.667
1913,Jessie,16,73,0.219
1913,Jimmie,13,6,2.167
1913,Ollie,13,50,0.26
1913,Pearl,10,78,0.128
1913,Mary,7,1189,0.006
1913,Cleo,6,22,0.273
1913,Ora,6,62,0.097
1913,Connie,5,8,0.625
1913,Garnett,5,9,0.556
1913,Jewel,5,14,0.357
1913,Lois,5,43,0.116
1913,Opal,5,92,0.054
1914,Joseph,251,5,50.2
1914,Willie,119,45,2.644
1914,Joe,92,5,18.4
1914,Cecil,71,12,5.917
1914,Marion,44,18,2.444
1914,Lee,39,9,4.333
1914,Francis,32,18,1.778
1914,Jessie,27,95,0.284
1914,Lonnie,24,6,4.0
1914,Ollie,20,57,0.351
1914,Shirley,14,32,0.438
1914,Jewell,13,36,0.361
1914,Alva,11,11,1.0
1914,Eddie,11,6,1.833
1914,Garnett,11,6,1.833
1914,Arlie,9,6,1.5
1914,Ora,9,43,0.209
1914,Ova,8,5,1.6
1914,Pearl,8,107,0.075
1914,Allie,7,18,0.389
1914,Cleo,7,22,0.318
1914,Audrey,6,29,0.207
1914,Jean,6,30,0.2
1914,Jewel,5,13,0.385
1914,Mary,5,1322,0.004
1914,Ruby,5,256,0.02
1915,James,1332,6,222.0
1915,William,1276,8,159.5
1915,John,874,7,124.857
1915,Robert,658,5,131.6
1915,George,484,5,96.8
1915,Willie,158,69,2.29
1915,Cecil,153,18,8.5
1915,Clyde,107,5,21.4
1915,Lee,73,17,4.294
1915,Jessie,65,122,0.533
1915,Marion,38,24,1.583
1915,Maurice,37,5,7.4
1915,Johnnie,36,10,3.6
1915,Francis,32,21,1.524
1915,Ollie,31,53,0.585
1915,Lonnie,27,9,3.0
1915,Eddie,22,9,2.444
1915,Ora,20,46,0.435
1915,Pearl,20,111,0.18
1915,Shirley,19,29,0.655
1915,Jewell,17,42,0.405
1915,Alva,16,5,3.2
1915,Cleo,14,39,0.359
1915,Sidney,13,6,2.167
1915,Billie,10,19,0.526
1915,Garnett,10,11,0.909
1915,Allie,8,34,0.235
1915,Mary,8,1807,0.004
1915,Ova,7,9,0.778
1915,Bethel,6,18,0.333
1915,Beverly,6,7,0.857
1915,Hester,6,20,0.3
1915,Ruby,6,379,0.016
1915,Bernice,5,40,0.125
1915,Garnet,5,19,0.263
1915,Jewel,5,14,0.357
1916,James,1414,7,202.0
1916,William,1315,6,219.167
1916,Charles,738,13,56.769
1916,George,484,8,60.5
1916,Willie,156,48,3.25
1916,Joe,143,6,23.833
1916,Cecil,119,9,13.222
1916,Clyde,106,5,21.2
1916,Lee,90,25,3.6
1916,Marion,55,18,3.056
1916,Jessie,53,128,0.414
1916,Francis,45,20,2.25
1916,Leo,34,5,6.8
1916,Lonnie,32,8,4.0
1916,Ollie,31,70,0.443
1916,Shirley,27,38,0.711
1916,Eddie,25,8,3.125
1916,Elmo,24,5,4.8
1916,Johnnie,21,8,2.625
1916,Garnett,16,14,1.143
1916,Ora,16,47,0.34
1916,Jewell,14,32,0.438
1916,Billie,13,21,0.619
1916,Tommie,13,5,2.6
1916,Jerry,11,6,1.833
1916,Ova,11,9,1.222
1916,Mary,10,1834,0.005
1916,Bernice,9,66,0.136
