YOB,Name,mFrequency,fFrequency,mForF
1910,Willie,189,73,2.589
1910,Jessie,39,56,0.696
1910,Johnnie,30,19,1.579
1910,Lee,28,8,3.5
1910,Jimmie,11,5,2.2
1910,Francis,10,15,0.667
1910,Cecil,9,6,1.5
1910,Ivy,6,8,0.75
1910,Marion,6,5,1.2
1910,Camille,5,14,0.357
1910,Laurence,5,8,0.625
1911,Willie,142,73,1.945
1911,Jessie,27,36,0.75
1911,Johnnie,23,10,2.3
1911,Lee,23,12,1.917
1911,Francis,12,12,1.0
1911,Ollie,6,28,0.214
1912,John,407,5,81.4
1912,James,357,7,51.0
1912,Willie,255,121,2.107
1912,George,184,6,30.667
1912,Joe,88,8,11.0
1912,Eddie,51,9,5.667
1912,Jessie,44,62,0.71
1912,Johnnie,40,12,3.333
1912,Lee,33,9,3.667
1912,Francis,30,17,1.765
1912,Jimmie,26,7,3.714
1912,Ollie,10,43,0.233
1912,Marion,8,20,0.4
1912,Mary,7,658,0.011
1913,Willie,232,119,1.95
1913,Edward,186,6,31.0
1913,Eddie,68,15,4.533
1913,Jessie,53,62,0.855
1913,Johnnie,43,15,2.867
1913,Freddie,24,6,4.0
1913,Francis,19,15,1.267
1913,Bennie,18,5,3.6
1913,Marion,12,23,0.522
1913,Cecil,11,5,2.2
1913,Ivy,11,5,2.2
1913,Ollie,11,29,0.379
1913,Jean,9,6,1.5
1913,Tommie,8,5,1.6
1913,Beatrice,5,134,0.037
1913,Jewel,5,12,0.417
1913,Shirley,5,16,0.312
1914,John,503,8,62.875
1914,Willie,267,136,1.963
1914,George,262,9,29.111
1914,Eddie,63,9,7.0
1914,Lee,56,23,2.435
1914,Jessie,51,84,0.607
1914,Johnnie,48,20,2.4
1914,Francis,45,14,3.214
1914,Jimmie,32,16,2.0
1914,Freddie,31,5,6.2
1914,Marion,18,43,0.419
1914,Ivy,16,8,2.0
1914,Ira,9,5,1.8
1914,Ivory,9,6,1.5
1914,Ollie,8,48,0.167
1914,Cleo,6,15,0.4
1914,Shirley,5,29,0.172
1915,James,607,9,67.444
1915,John,600,5,120.0
1915,Willie,364,141,2.582
1915,George,305,6,50.833
1915,Lee,80,15,5.333
