YOB,Name,mFrequency,fFrequency,mForF
1910,Mary,6,989,0.006
1911,James,361,6,60.167
1911,Francis,195,5,39.0
1912,John,1276,5,255.2
1912,Carmen,6,8,0.75
1912,Mary,6,1636,0.004
1913,William,880,8,110.0
1913,Francis,368,5,73.6
1913,Leslie,19,5,3.8
1913,Jean,6,90,0.067
1914,John,1986,6,331.0
1914,Joseph,1369,6,228.167
1914,William,1216,5,243.2
1914,Charles,752,6,125.333
1914,Edward,717,6,119.5
1914,Francis,471,9,52.333
1914,Jean,7,136,0.051
1914,Mary,6,2497,0.002
1915,John,2291,7,327.286
1915,Joseph,1557,6,259.5
1915,William,1318,5,263.6
1915,James,902,5,180.4
1915,Francis,581,8,72.625
1915,Anthony,352,6,58.667
1915,Leslie,37,9,4.111
1915,Lee,14,7,2.0
1915,Carmen,10,7,1.429
1915,Jean,9,158,0.057
1915,Camille,8,7,1.143
1915,Merle,6,6,1.0
1915,Ruth,5,877,0.006
1916,John,2405,7,343.571
1916,Joseph,1662,7,237.429
1916,George,979,6,163.167
1916,Charles,903,5,180.6
1916,Edward,897,5,179.4
1916,Francis,606,10,60.6
1916,Jean,11,171,0.064
1916,Carmen,8,8,1.0
1916,Helen,7,1473,0.005
1916,Merle,7,6,1.167
1916,Lee,6,8,0.75
1916,Camille,5,9,0.556
1917,John,2471,8,308.875
1917,William,1519,6,253.167
1917,Charles,917,5,183.4
1917,Francis,631,10,63.1
1917,Leslie,44,5,8.8
1917,Carmen,15,5,3.0
1917,Jean,15,197,0.076
1917,Lee,11,9,1.222
1917,Camille,7,6,1.167
1917,Mary,6,2818,0.002
1917,Merle,6,5,1.2
1917,Frances,5,519,0.01
1918,John,2657,11,241.545
1918,Joseph,1787,8,223.375
1918,William,1587,10,158.7
1918,James,1137,9,126.333
1918,Francis,639,11,58.091
1918,Ray,19,5,3.8
1918,Lee,13,5,2.6
1918,Jean,10,171,0.058
1918,Frances,8,529,0.015
1918,Camille,7,12,0.583
1918,Helen,6,1588,0.004
1918,Marion,5,438,0.011
1919,John,2407,12,200.583
1919,William,1389,5,277.8
1919,Robert,1245,9,138.333
1919,George,1071,9,119.0
1919,Charles,857,5,171.4
1919,Francis,588,8,73.5
1919,Richard,566,7,80.857
1919,Carmen,20,6,3.333
1919,Jean,11,204,0.054
1919,Lee,11,10,1.1
1920,John,2700,9,300.0
1920,William,1715,6,285.833
1920,George,1080,5,216.0
1920,Charles,909,9,101.0
1920,Thomas,678,5,135.6
1920,Francis,659,8,82.375
1920,Leslie,31,7,4.429
1920,Jean,17,228,0.075
1920,Carmen,14,8,1.75
1920,Lee,12,6,2.0
1920,Merle,7,6,1.167
1920,Beverly,5,36,0.139
