YOB,Name,mFrequency,fFrequency,mForF
1912,Marion,11,14,0.786
1913,John,410,5,82.0
1913,Francis,67,5,13.4
1913,Marion,16,20,0.8
1914,Francis,62,6,10.333
1914,Marion,13,23,0.565
1915,Marion,13,39,0.333
1915,Lee,10,6,1.667
1916,William,772,5,154.4
1916,Francis,99,10,9.9
1916,Marion,16,34,0.471
1917,Francis,120,7,17.143
1917,Marion,38,39,0.974
1917,Lee,18,8,2.25
1917,Jessie,5,16,0.312
1918,Francis,126,10,12.6
1918,Marion,25,47,0.532
1918,Willie,12,5,2.4
1918,Jessie,9,24,0.375
1919,William,966,5,193.2
1919,Francis,130,10,13.0
1919,Marion,23,53,0.434
1919,Willie,12,6,2.0
1920,John,895,5,179.0
1920,Francis,147,12,12.25
1920,Marion,19,61,0.311
1920,Willie,17,6,2.833
1920,Lee,14,6,2.333
1920,Jessie,7,24,0.292
1921,William,1063,5,212.6
1921,James,717,5,143.4
1921,George,533,6,88.833
1921,Joseph,519,5,103.8
1921,Francis,164,7,23.429
1921,Marion,32,52,0.615
1921,Jessie,8,17,0.471
1922,Francis,119,12,9.917
1922,Marion,34,67,0.507
1922,Willie,13,5,2.6
1923,William,1003,6,167.167
1923,Charles,690,5,138.0
1923,Francis,131,7,18.714
1923,Marion,19,52,0.365
1924,John,922,7,131.714
1924,Francis,156,10,15.6
1924,Marion,26,72,0.361
1924,Lee,25,5,5.0
1924,Mary,5,1248,0.004
1925,William,1004,5,200.8
1925,John,972,8,121.5
1925,Robert,673,5,134.6
1925,Joseph,476,5,95.2
1925,Francis,135,7,19.286
1925,Marion,24,76,0.316
1925,Willie,12,8,1.5
1925,Gene,10,5,2.0
1925,Mary,5,1181,0.004
1926,William,999,5,199.8
1926,John,882,7,126.0
1926,James,742,5,148.4
1926,Charles,691,5,138.2
1926,Francis,130,10,13.0
1926,Lee,23,5,4.6
1926,Marion,19,43,0.442
1927,Robert,646,5,129.2
1927,Francis,129,8,16.125
1927,Marion,34,58,0.586
1927,Willie,22,6,3.667
1928,John,875,6,145.833
1928,William,866,5,173.2
1928,James,729,5,145.8
1928,Charles,696,5,139.2
1928,George,450,8,56.25
1928,Joseph,412,6,68.667
1928,Marion,25,75,0.333
1928,Lee,17,8,2.125
1928,Mary,5,1132,0.004
1929,Robert,677,5,135.4
1929,Joseph,412,5,82.4
1929,Edward,299,6,49.833
1929,Donald,278,5,55.6
1929,Marion,21,46,0.457
1929,Willie,16,6,2.667
1929,Mary,6,1051,0.006
1930,William,901,5,180.2
1930,John,824,6,137.333
1930,James,753,5,150.6
1930,Joseph,448,9,49.778
1930,Francis,121,6,20.167
1930,Marion,23,51,0.451
1930,Mary,9,1044,0.009
1930,Leslie,5,5,1.0
1931,John,772,5,154.4
1931,Robert,738,5,147.6
1931,James,670,8,83.75
1931,Francis,104,6,17.333
1931,Marion,21,45,0.467
1931,Dorothy,6,366,0.016
1931,Mary,5,930,0.005
1931,Shirley,5,256,0.02
1932,Robert,764,8,95.5
1932,Charles,650,8,81.25
1932,Marion,14,37,0.378
1932,Willie,10,5,2.0
1932,Mary,6,995,0.006
1933,William,738,5,147.6
1933,Robert,719,5,143.8
1933,James,709,5,141.8
1933,Marion,17,35,0.486
1933,Willie,9,8,1.125
1933,Mary,7,904,0.008
1934,Marion,17,42,0.405
1934,Willie,8,5,1.6
1934,Mary,6,886,0.007
1935,William,738,7,105.429
1935,Charles,572,6,95.333
1935,Lee,28,5,5.6
1935,Willie,17,5,3.4
1935,Leslie,10,6,1.667
1935,Marion,10,36,0.278
1936,John,788,5,157.6
1936,Robert,788,5,157.6
1936,William,778,6,129.667
1936,George,361,5,72.2
1936,Marion,18,31,0.581
1936,Lee,13,7,1.857
1936,Willie,13,5,2.6
1936,Shirley,5,623,0.008
1937,John,745,5,149.0
1937,James,707,8,88.375
1937,Marion,12,31,0.387
1937,Merle,6,7,0.857
1937,Shirley,6,497,0.012
1938,James,768,5,153.6
1938,Lee,28,6,4.667
1938,Marion,16,20,0.8
1938,Willie,9,8,1.125
1938,Lynn,7,9,0.778
1939,William,801,6,133.5
1939,Lee,25,8,3.125
1939,Dale,19,6,3.167
1939,Willie,15,5,3.0
1939,Marion,9,33,0.273
1939,Mary,8,847,0.009
1940,Leslie,16,6,2.667
1940,Marion,15,37,0.405
1940,Willie,14,6,2.333
1940,Jackie,9,6,1.5
1940,Barbara,5,547,0.009
1940,Shirley,5,276,0.018
1941,James,906,5,181.2
1941,Lee,39,5,7.8
1941,Dale,31,5,6.2
1941,Leslie,23,6,3.833
1941,Marion,17,30,0.567
1941,Willie,11,10,1.1
1941,Mary,9,988,0.009
1941,Merle,6,11,0.545
1942,John,1141,6,190.167
1942,Terry,46,6,7.667
1942,Dale,34,18,1.889
1942,Leslie,30,10,3.0
1942,Willie,29,6,4.833
1942,Gene,28,5,5.6
1942,Lee,27,9,3.0
1942,Marion,18,31,0.581
1942,Lynn,9,28,0.321
1942,Merle,6,5,1.2
1942,Jan,5,5,1.0
1943,James,1291,5,258.2
1943,Francis,131,6,21.833
1943,Terry,53,7,7.571
1943,Lee,37,6,6.167
1943,Willie,32,6,5.333
1943,Dale,29,5,5.8
1943,Leslie,28,27,1.037
1943,Jackie,10,10,1.0
