YOB,Name,mFrequency,fFrequency,mForF
1912,Jean,5,5,1.0
1914,Shirley,11,16,0.688
1914,Jean,6,15,0.4
1915,Shirley,8,23,0.348
1917,Shirley,5,34,0.147
1918,Shirley,7,31,0.226
1919,Jean,8,21,0.381
1919,Shirley,5,38,0.132
1920,Jean,8,26,0.308
1920,Shirley,6,57,0.105
1921,Jean,13,31,0.419
1921,Shirley,9,56,0.161
1922,Jean,15,51,0.294
1922,Shirley,6,72,0.083
1923,Jean,10,37,0.27
1923,Shirley,9,82,0.11
1924,Jean,16,47,0.34
1925,Jean,15,57,0.263
1925,Shirley,8,85,0.094
1926,Robert,402,5,80.4
1926,Jean,7,71,0.099
1927,Jean,8,69,0.116
1928,Jean,9,74,0.122
1928,Shirley,7,98,0.071
1929,Jean,11,72,0.153
1929,Shirley,5,103,0.049
1930,William,186,5,37.2
1930,Jean,8,95,0.084
1931,Jean,12,67,0.179
1931,Shirley,6,74,0.081
1932,Jean,9,87,0.103
1933,Jean,10,87,0.115
1934,Jean,6,92,0.065
1934,Beverly,5,108,0.046
1935,Jean,12,93,0.129
1935,Shirley,6,259,0.023
1936,Jean,12,79,0.152
1938,Jean,9,87,0.103
1939,Jean,9,79,0.114
1939,Carol,5,88,0.057
1940,Dale,40,5,8.0
1940,Jean,10,70,0.143
1940,Shirley,5,76,0.066
1941,Dale,32,5,6.4
1941,Jean,14,79,0.177
1942,Jean,11,75,0.147
1943,Jean,10,70,0.143
1944,Terry,20,5,4.0
1944,Jean,18,75,0.24
1944,Leslie,15,9,1.667
1944,Lynn,7,6,1.167
1945,Robert,426,5,85.2
1945,Dale,32,6,5.333
1945,Leslie,12,7,1.714
1945,Lee,11,6,1.833
1945,Jean,8,62,0.129
1946,Terry,53,8,6.625
1946,Dale,38,8,4.75
1946,Leslie,18,11,1.636
1946,Jean,6,87,0.069
1947,Terry,51,19,2.684
1947,Dale,47,14,3.357
1947,Lee,20,5,4.0
1947,Leslie,16,14,1.143
1947,Jean,10,98,0.102
1948,Dale,54,7,7.714
1948,Terry,45,12,3.75
1948,Lee,20,9,2.222
1948,Leslie,12,6,2.0
1948,Linda,5,681,0.007
1949,Dale,59,6,9.833
1949,Terry,32,16,2.0
1949,Lee,28,6,4.667
1949,Leslie,16,10,1.6
1949,Jean,13,96,0.135
1949,Lynn,8,17,0.471
1950,Dale,50,7,7.143
1950,Terry,36,17,2.118
1950,Kerry,18,7,2.571
1950,Leslie,11,11,1.0
1950,Robin,8,8,1.0
1950,Jean,7,60,0.117
1951,Dale,67,8,8.375
1951,Terry,48,20,2.4
1951,Jean,12,66,0.182
1951,Leslie,11,8,1.375
1951,Kerry,10,6,1.667
1951,Lynn,7,28,0.25
1951,Robin,7,10,0.7
1951,Kim,5,5,1.0
1952,Dale,63,9,7.0
1952,Terry,28,20,1.4
1952,Leslie,13,18,0.722
1952,Jean,9,70,0.129
1952,Kim,9,6,1.5
1952,Robin,6,11,0.545
1953,Dale,51,14,3.643
1953,Terry,50,33,1.515
1953,Kim,15,9,1.667
1953,Leslie,15,14,1.071
1953,Kerry,13,6,2.167
1953,Robin,11,22,0.5
1953,Jean,8,60,0.133
1954,Richard,389,5,77.8
1954,Dale,61,6,10.167
1954,Terry,56,25,2.24
1954,Leslie,28,22,1.273
1954,Kim,21,13,1.615
1954,Lee,21,9,2.333
1954,Kerry,14,6,2.333
1954,Jean,8,58,0.138
1954,Robin,7,30,0.233
1954,Jan,5,22,0.227
1955,Dale,56,11,5.091
1955,Terry,45,52,0.865
1955,Lee,27,10,2.7
1955,Kim,19,37,0.514
1955,Kerry,17,6,2.833
1955,Leslie,16,16,1.0
1955,Robin,9,45,0.2
1955,Jean,8,50,0.16
1956,Richard,377,5,75.4
1956,Dale,77,12,6.417
1956,Terry,41,39,1.051
1956,Lee,21,14,1.5
1956,Kim,13,64,0.203
1956,Robin,11,53,0.208
1956,Leslie,8,21,0.381
1957,Dale,62,5,12.4
1957,Terry,44,42,1.048
1957,Robin,17,72,0.236
1957,Lee,15,9,1.667
1957,Kim,13,86,0.151
1957,Leslie,12,25,0.48
1957,Jean,7,53,0.132
1958,Terry,34,33,1.03
1958,Lee,31,9,3.444
1958,Leslie,15,17,0.882
1958,Kerry,10,5,2.0
1958,Robin,10,56,0.179
1958,Kelly,8,37,0.216
1958,Kim,8,69,0.116
1959,Dale,74,5,14.8
1959,Terry,31,55,0.564
1959,Lee,17,10,1.7
1959,Jody,10,15,0.667
1959,Leslie,9,31,0.29
1959,Robin,9,79,0.114
1959,Kerry,7,10,0.7
1959,Kim,7,58,0.121
1959,Jean,6,40,0.15
1959,Tracy,6,21,0.286
1960,Dale,84,6,14.0
1960,Terry,43,38,1.132
1960,Lee,21,10,2.1
1960,Jody,13,12,1.083
1960,Kerry,13,6,2.167
1960,Leslie,10,22,0.455
1960,Robin,8,63,0.127
1960,Tracy,8,30,0.267
1960,Kelly,6,61,0.098
1961,Terry,47,28,1.679
1961,Lee,17,11,1.545
1961,Leslie,16,32,0.5
1961,Jody,12,10,1.2
1961,Tracy,11,43,0.256
1961,Kelly,10,79,0.127
1961,Jean,9,41,0.22
1961,Kim,8,53,0.151
1961,Jamie,6,6,1.0
1962,Terry,27,57,0.474
1962,Tracy,16,39,0.41
1962,Kerry,11,5,2.2
1962,Leslie,11,21,0.524
1962,Rene,9,5,1.8
1962,Jean,8,37,0.216
1962,Robin,8,98,0.082
1962,Kelly,7,104,0.067
1962,Jody,6,14,0.429
1962,Kim,5,72,0.069
1962,Stacey,5,9,0.556
1963,Terry,39,26,1.5
1963,Lee,21,11,1.909
1963,Tracy,13,47,0.277
1963,Leslie,11,23,0.478
1963,Jody,8,12,0.667
1963,Kelly,7,103,0.068
1963,Jamie,6,8,0.75
1963,Jean,5,27,0.185
1964,Robert,387,5,77.4
1964,Terry,34,47,0.723
1964,Chris,21,6,3.5
1964,Lee,19,8,2.375
1964,Leslie,12,20,0.6
1964,Kerry,10,6,1.667
1964,Tracy,10,62,0.161
1964,Kelly,9,107,0.084
1964,Jamie,8,10,0.8
1964,Shannon,8,11,0.727
1964,Kim,7,41,0.171
1964,Jody,6,11,0.545
1964,Jean,5,32,0.156
1965,Dale,56,6,9.333
1965,Terry,30,21,1.429
1965,Lee,19,5,3.8
1965,Jamie,10,11,0.909
1965,Tracy,9,56,0.161
1965,Robin,7,91,0.077
1965,Jody,6,10,0.6
1965,Leslie,6,20,0.3
1965,Kelly,5,105,0.048
1966,Lee,20,9,2.222
1966,Terry,19,19,1.0
1966,Tracy,19,72,0.264
1966,Kelly,16,83,0.193
1966,Leslie,11,26,0.423
1966,Jean,7,21,0.333
1966,Jamie,6,8,0.75
1966,Kerry,5,6,0.833
1967,Terry,24,25,0.96
1967,Stacy,16,17,0.941
1967,Tracy,16,51,0.314
1967,Stacey,13,20,0.65
1967,Jamie,12,7,1.714
1967,Kelly,12,127,0.094
1967,Jody,11,14,0.786
1967,Robin,8,50,0.16
1967,Leslie,7,15,0.467
1967,Shannon,5,6,0.833
1968,Stacy,24,20,1.2
1968,Terry,20,16,1.25
1968,Lee,18,6,3.0
1968,Jody,13,21,0.619
1968,Stacey,12,45,0.267
1968,Tracy,12,73,0.164
1968,Jamie,11,5,2.2
1968,Kelly,6,135,0.044
1968,Leslie,6,17,0.353
1969,Jamie,17,13,1.308
1969,Terry,16,16,1.0
1969,Jody,15,16,0.938
1969,Shannon,10,51,0.196
1969,Kelly,6,98,0.061
1969,Stacy,6,40,0.15
1969,Tracy,6,85,0.071
1970,Christopher,251,7,35.857
1970,Jamie,25,10,2.5
1970,Lee,19,6,3.167
1970,Shannon,17,77,0.221
1970,Stacy,12,52,0.231
1970,Leslie,10,20,0.5
1970,Terry,8,15,0.533
1970,Jody,5,17,0.294
1970,Kerry,5,12,0.417
1971,Jamie,39,8,4.875
1971,Dana,38,5,7.6
1971,Terry,24,5,4.8
1971,Jody,16,15,1.067
1971,Shannon,13,67,0.194
1971,Stacy,8,60,0.133
1971,Kelly,6,85,0.071
1971,Erin,5,14,0.357
1971,Leslie,5,21,0.238
1971,Tracy,5,85,0.059
1972,Jamie,26,10,2.6
1972,Shannon,14,44,0.318
1972,Terry,12,10,1.2
1972,Jody,9,8,1.125
1972,Tracy,8,62,0.129
1972,Leslie,7,15,0.467
1972,Robin,5,25,0.2
1973,Jamie,38,9,4.222
1973,Dana,32,5,6.4
1973,Shannon,10,49,0.204
1973,Leslie,7,15,0.467
1973,Tracy,7,65,0.108
1973,Kris,6,6,1.0
1973,Robin,6,26,0.231
1973,Jody,5,15,0.333
1974,Jamie,39,5,7.8
1974,Jody,11,21,0.524
1974,Shannon,11,54,0.204
1974,Casey,10,7,1.429
1974,Tracy,7,55,0.127
1974,Erin,5,41,0.122
1974,Leslie,5,17,0.294
1975,Jamie,50,16,3.125
1975,Corey,30,5,6.0
1975,Jody,9,15,0.6
1975,Terry,9,8,1.125
1975,Shannon,7,38,0.184
1975,Kelly,5,81,0.062
1976,Jamie,46,56,0.821
1976,Cory,17,5,3.4
1976,Shannon,7,75,0.093
1976,Jody,5,11,0.455
1977,Jamie,47,65,0.723
1977,Dana,27,7,3.857
1977,Leslie,8,18,0.444
1977,Jody,6,10,0.6
1977,Shannon,6,61,0.098
1977,Jaime,5,52,0.096
1978,Ryan,179,8,22.375
1978,Jesse,51,5,10.2
1978,Jamie,23,51,0.451
1978,Casey,20,10,2.0
1978,Jody,5,9,0.556
1978,Leslie,5,20,0.25
1978,Shannon,5,63,0.079
1979,Ryan,182,6,30.333
1979,Jamie,29,53,0.547
1979,Dana,22,5,4.4
1979,Casey,7,15,0.467
1979,Courtney,6,18,0.333
1979,Jessie,6,8,0.75
1979,Morgan,5,8,0.625
1979,Shannon,5,59,0.085
1980,Casey,25,19,1.316
1980,Jamie,14,55,0.255
1980,Dana,13,6,2.167
1980,Morgan,8,14,0.571
1981,Ryan,205,5,41.0
1981,Casey,18,20,0.9
1981,Jamie,16,61,0.262
1981,Dana,15,7,2.143
1981,Jessie,5,17,0.294
1981,Kasey,5,5,1.0
1982,Dana,18,8,2.25
1982,Casey,14,13,1.077
1982,Jordan,12,5,2.4
1982,Jamie,7,54,0.13
1982,Jessie,6,17,0.353
1983,Ryan,223,5,44.6
1983,Casey,13,25,0.52
1983,Jamie,11,72,0.153
1983,Jessie,5,8,0.625
1984,Jesse,49,6,8.167
1984,Casey,22,14,1.571
1984,Dana,22,8,2.75
1984,Jamie,19,56,0.339
1984,Taylor,8,6,1.333
1984,Morgan,6,28,0.214
1984,Kelly,5,52,0.096
1985,Corey,42,6,7.0
1985,Jordan,21,6,3.5
1985,Casey,15,15,1.0
1985,Jamie,14,69,0.203
1985,Dana,9,6,1.5
1985,Taylor,8,5,1.6
1986,Jordan,28,6,4.667
1986,Casey,25,26,0.962
1986,Dana,13,5,2.6
1986,Jamie,12,46,0.261
1987,Jordan,31,7,4.429
1987,Casey,30,19,1.579
1987,Jamie,11,40,0.275
1987,Taylor,11,5,2.2
1987,Devon,10,8,1.25
1987,Morgan,8,19,0.421
1988,Jordan,35,11,3.182
1988,Casey,23,21,1.095
1988,Taylor,15,7,2.143
1988,Dana,13,7,1.857
1988,Devon,8,5,1.6
1988,Jamie,7,37,0.189
1988,Morgan,5,29,0.172
1989,Jordan,45,15,3.0
1989,Devin,22,7,3.143
1989,Casey,18,23,0.783
1989,Taylor,18,11,1.636
1989,Dana,13,8,1.625
1989,Jamie,9,23,0.391
1989,Baby,5,5,1.0
1989,Morgan,5,25,0.2
1990,Jesse,52,5,10.4
1990,Jordan,51,27,1.889
1990,Taylor,30,24,1.25
1990,Casey,18,25,0.72
1990,Devon,12,9,1.333
1990,Dana,11,11,1.0
1990,Jamie,6,30,0.2
1990,Morgan,6,31,0.194
1991,Jordan,60,19,3.158
1991,Taylor,36,50,0.72
1991,Casey,35,13,2.692
1991,Logan,27,7,3.857
1991,Devon,13,18,0.722
1991,Jamie,9,21,0.429
1991,Infant,7,9,0.778
1991,Mackenzie,7,9,0.778
1991,Morgan,6,47,0.128
1992,Jordan,58,29,2.0
1992,Devin,45,6,7.5
1992,Taylor,34,71,0.479
1992,Dakota,23,5,4.6
1992,Casey,19,13,1.462
1992,Dana,15,6,2.5
1992,Devon,15,5,3.0
1992,Morgan,8,52,0.154
1992,Jamie,5,21,0.238
1992,Mackenzie,5,17,0.294
1993,Taylor,60,111,0.541
1993,Jordan,55,16,3.438
1993,Casey,24,15,1.6
1993,Morgan,7,43,0.163
1993,Jamie,6,13,0.462
1993,Mackenzie,6,23,0.261
1994,Jordan,67,24,2.792
1994,Taylor,36,99,0.364
1994,Devon,30,6,5.0
1994,Logan,30,11,2.727
1994,Casey,24,8,3.0
1994,Dakota,22,6,3.667
1994,Jamie,6,17,0.353
1994,Mackenzie,6,13,0.462
1995,Jordan,57,25,2.28
1995,Dakota,31,11,2.818
1995,Logan,30,14,2.143
1995,Devon,23,7,3.286
1995,Taylor,22,88,0.25
1995,Casey,14,15,0.933
1995,Avery,6,5,1.2
1995,Bailey,6,18,0.333
1995,Morgan,5,64,0.078
1996,Jordan,57,25,2.28
1996,Logan,49,11,4.455
1996,Devin,43,5,8.6
1996,Dakota,31,11,2.818
1996,Casey,23,19,1.211
1996,Taylor,18,90,0.2
1996,Riley,11,7,1.571
1996,Unnamed,10,5,2.0
1996,Bailey,8,14,0.571
1997,Cameron,55,6,9.167
1997,Jordan,54,28,1.929
1997,Logan,42,15,2.8
1997,Dakota,41,10,4.1
1997,Taylor,23,98,0.235
1997,Casey,16,13,1.231
1997,Riley,14,10,1.4
1997,Avery,9,7,1.286
1997,Bailey,8,13,0.615
1997,Morgan,6,44,0.136
1998,Hunter,65,5,13.0
1998,Jordan,49,22,2.227
1998,Logan,46,6,7.667
1998,Dakota,34,15,2.267
1998,Riley,30,8,3.75
1998,Taylor,18,86,0.209
1998,Bailey,13,22,0.591
1998,Casey,11,16,0.688
1998,Avery,7,5,1.4
1999,Logan,58,9,6.444
1999,Jordan,50,24,2.083
1999,Dakota,29,5,5.8
1999,Riley,28,11,2.545
1999,Bailey,17,19,0.895
1999,Taylor,17,69,0.246
1999,Casey,14,12,1.167
1999,Avery,13,6,2.167
1999,Morgan,5,52,0.096
1999,Skylar,5,10,0.5
2000,Hunter,101,12,8.417
2000,Logan,48,14,3.429
2000,Dakota,36,6,6.0
2000,Jordan,33,25,1.32
2000,Riley,23,12,1.917
2000,Bailey,17,23,0.739
2000,Taylor,15,58,0.259
2000,Casey,11,9,1.222
2000,Morgan,9,59,0.153
2000,Dana,6,5,1.2
2000,Payton,5,10,0.5
2001,Logan,73,13,5.615
2001,Riley,32,16,2.0
2001,Jordan,28,16,1.75
2001,Bailey,9,18,0.5
2001,Jayden,8,5,1.6
2001,Casey,7,7,1.0
2001,Avery,6,13,0.462
2001,Quinn,6,6,1.0
2001,Taylor,6,61,0.098
2001,Skylar,5,8,0.625
2002,Logan,69,13,5.308
2002,Jordan,45,25,1.8
2002,Riley,29,32,0.906
2002,Dakota,14,11,1.273
2002,Avery,12,7,1.714
2002,Morgan,6,48,0.125
2002,Taylor,6,57,0.105
2002,Bailey,5,13,0.385
2003,Logan,85,10,8.5
2003,Jordan,52,28,1.857
2003,Riley,37,32,1.156
2003,Jayden,22,7,3.143
2003,Avery,12,9,1.333
2003,Jaden,11,5,2.2
2003,Bailey,6,7,0.857
