YOB,Name,mFrequency,fFrequency,mForF
1910,Francis,20,5,4.0
1910,Marion,5,81,0.062
1911,Cecil,9,5,1.8
1911,Marion,5,94,0.053
1912,Merle,10,7,1.429
1912,Clare,9,5,1.8
1912,Marion,9,115,0.078
1912,Laverne,8,8,1.0
1912,Fay,6,7,0.857
1913,Francis,96,5,19.2
1913,Lee,28,5,5.6
1913,Laverne,10,13,0.769
1913,Marion,9,151,0.06
1913,Shirley,6,28,0.214
1913,Alva,5,5,1.0
1914,Francis,101,13,7.769
1914,Marion,24,175,0.137
1914,Laverne,9,7,1.286
1914,Ora,6,5,1.2
1914,Fay,5,7,0.714
1915,Robert,989,6,164.833
1915,Francis,197,12,16.417
1915,Lee,39,8,4.875
1915,Marion,25,247,0.101
1915,Laverne,21,17,1.235
1915,Merle,21,13,1.615
1915,Cleo,9,13,0.692
1915,Fay,6,14,0.429
1915,Marian,5,208,0.024
1915,Mary,5,1447,0.003
1916,John,1593,7,227.571
1916,Robert,1211,5,242.2
1916,Francis,182,9,20.222
1916,Cecil,55,7,7.857
1916,Lee,49,11,4.455
1916,Marion,36,295,0.122
1916,Merle,29,13,2.231
1916,Clare,28,8,3.5
1916,Gene,15,7,2.143
1916,Laverne,15,12,1.25
1916,Fay,8,14,0.571
1916,Shirley,8,63,0.127
1916,Beryl,5,7,0.714
1916,Cleo,5,21,0.238
1917,John,1614,10,161.4
1917,Robert,1421,5,284.2
1917,Frank,567,6,94.5
1917,Bernard,200,5,40.0
1917,Francis,196,18,10.889
1917,Cecil,43,5,8.6
1917,Marion,30,304,0.099
1917,Merle,23,11,2.091
1917,Jerry,21,5,4.2
1917,Laverne,20,16,1.25
1917,Gene,15,8,1.875
1917,Fay,8,9,0.889
1917,Ora,6,6,1.0
1917,Carmen,5,15,0.333
1917,Claire,5,17,0.294
1917,Gail,5,13,0.385
1917,Theo,5,9,0.556
1918,John,1686,8,210.75
1918,Robert,1665,6,277.5
1918,William,1407,5,281.4
1918,George,934,8,116.75
1918,Walter,500,7,71.429
1918,Francis,265,13,20.385
1918,Cecil,62,5,12.4
1918,Merle,47,12,3.917
1918,Marion,38,323,0.118
1918,Lee,35,9,3.889
1918,Laverne,34,11,3.091
1918,Clare,31,10,3.1
1918,Carroll,18,5,3.6
1918,Willie,13,9,1.444
1918,Gene,11,7,1.571
1918,Fay,9,15,0.6
1918,Carmen,8,11,0.727
1918,Cleo,8,22,0.364
1918,Frances,6,526,0.011
1918,Helen,6,1625,0.004
1918,Claire,5,25,0.2
1918,Gayle,5,5,1.0
1918,Shirley,5,146,0.034
1919,Robert,1725,8,215.625
1919,Francis,183,9,20.333
1919,Dale,70,5,14.0
1919,Cecil,46,7,6.571
1919,Clare,34,5,6.8
1919,Merle,34,10,3.4
1919,Marion,28,310,0.09
1919,Jerry,24,7,3.429
1919,Laverne,16,17,0.941
1919,Gail,10,16,0.625
1919,Fay,8,16,0.5
1919,Beryl,7,6,1.167
1919,Cleo,7,24,0.292
1919,Jean,7,389,0.018
1919,Willie,7,5,1.4
1919,Garnet,6,7,0.857
1919,Jessie,6,51,0.118
1919,Shirley,6,209,0.029
1919,Ora,5,5,1.0
1920,Robert,2205,7,315.0
1920,William,1567,6,261.167
1920,James,944,7,134.857
1920,George,881,6,146.833
1920,Louis,266,5,53.2
1920,Francis,203,11,18.455
1920,Lyle,110,7,15.714
1920,Lee,57,8,7.125
1920,Merle,35,13,2.692
1920,Clare,34,5,6.8
1920,Laverne,31,19,1.632
1920,Marion,27,321,0.084
1920,Gene,25,7,3.571
1920,Lavern,22,6,3.667
1920,Willie,16,6,2.667
1920,Fay,11,20,0.55
1920,Gail,8,13,0.615
1920,Jean,8,473,0.017
1920,Alva,7,6,1.167
1920,Billie,6,7,0.857
1920,Jessie,6,61,0.098
1920,Ora,6,11,0.545
1920,Shirley,6,354,0.017
1920,Claire,5,21,0.238
1920,Cleo,5,17,0.294
1920,Theo,5,7,0.714
1921,Robert,2431,7,347.286
1921,John,1763,7,251.857
1921,William,1621,6,270.167
1921,Francis,222,10,22.2
1921,Leslie,85,7,12.143
1921,Lee,65,6,10.833
1921,Cecil,44,6,7.333
1921,Clare,38,7,5.429
1921,Marion,36,319,0.113
1921,Merle,33,13,2.538
1921,Willie,21,8,2.625
1921,Gene,18,8,2.25
1921,Laverne,18,18,1.0
1921,Jean,11,491,0.022
1921,Ora,10,5,2.0
1921,Shirley,10,419,0.024
1921,Fay,9,11,0.818
1921,Cleo,8,29,0.276
1921,Mary,8,1958,0.004
1921,Carol,6,65,0.092
1921,Gail,5,9,0.556
1921,Jessie,5,59,0.085
1922,Robert,2489,9,276.556
1922,John,1756,10,175.6
1922,Donald,1046,6,174.333
1922,James,1040,6,173.333
1922,Francis,225,11,20.455
1922,Cecil,42,5,8.4
1922,Marion,37,287,0.129
1922,Laverne,34,26,1.308
1922,Merle,32,13,2.462
1922,Willie,20,12,1.667
1922,Gene,14,14,1.0
1922,Jean,12,494,0.024
1922,Shirley,11,489,0.022
1922,Jessie,10,48,0.208
1922,Carmen,9,12,0.75
1922,Claire,7,19,0.368
1922,Cleo,6,24,0.25
1922,Fay,5,12,0.417
1922,Garnet,5,12,0.417
1922,Johnnie,5,6,0.833
1923,Robert,2672,8,334.0
1923,John,1853,7,264.714
1923,William,1652,9,183.556
1923,James,1131,9,125.667
1923,George,910,6,151.667
1923,Jerry,43,5,8.6
1923,Clare,41,9,4.556
1923,Merle,33,12,2.75
1923,Laverne,29,26,1.115
1923,Marion,27,322,0.084
1923,Willie,23,11,2.091
1923,Gene,21,6,3.5
1923,Cleo,13,28,0.464
1923,Billie,12,10,1.2
1923,Jean,12,522,0.023
1923,Fay,9,25,0.36
1923,Shirley,9,633,0.014
1923,Carmen,6,17,0.353
1923,Claire,6,15,0.4
1923,Beryl,5,9,0.556
1924,Robert,2919,7,417.0
1924,John,2052,9,228.0
1924,William,1855,6,309.167
1924,George,1035,5,207.0
1924,Edward,1024,7,146.286
1924,Charles,947,5,189.4
1924,Paul,398,5,79.6
1924,Francis,225,12,18.75
1924,Leslie,81,10,8.1
1924,Lee,67,15,4.467
1924,Jerry,43,7,6.143
1924,Marion,35,332,0.105
1924,Merle,34,11,3.091
1924,Clare,33,5,6.6
1924,Laverne,32,23,1.391
1924,Gene,30,11,2.727
1924,Lavern,30,7,4.286
1924,Willie,27,18,1.5
1924,Shirley,12,765,0.016
1924,Cleo,10,22,0.455
1924,Mary,8,1946,0.004
1924,Jean,7,582,0.012
1924,Beryl,5,14,0.357
1924,Billie,5,13,0.385
1925,Robert,3101,12,258.417
1925,John,2009,13,154.538
1925,James,1397,6,232.833
1925,Charles,970,5,194.0
1925,Arthur,474,6,79.0
1925,Walter,450,5,90.0
1925,Francis,217,14,15.5
1925,Leslie,89,9,9.889
1925,Lee,59,9,6.556
1925,Marion,44,327,0.135
1925,Gene,42,15,2.8
1925,Clare,40,7,5.714
1925,Merle,40,12,3.333
1925,Willie,40,12,3.333
1925,Laverne,29,17,1.706
1925,Shirley,12,866,0.014
1925,Jean,10,603,0.017
1925,Mary,10,1932,0.005
1925,Cleo,9,24,0.375
1925,Fay,9,16,0.562
1925,Billie,6,9,0.667
1925,Jackie,6,5,1.2
1925,Pat,6,5,1.2
1925,Carmen,5,24,0.208
1926,Robert,3223,19,169.632
