YOB,Name,mFrequency,fFrequency,mForF
1912,John,371,5,74.2
1912,Marion,5,77,0.065
1913,Francis,70,6,11.667
1913,Merle,15,6,2.5
1913,Marion,7,83,0.084
1914,Merle,8,7,1.143
1914,Laverne,7,19,0.368
1914,Cleo,6,7,0.857
1914,Marion,6,111,0.054
1914,Luverne,5,6,0.833
1915,John,891,7,127.286
1915,William,504,5,100.8
1915,James,347,6,57.833
1915,Francis,144,5,28.8
1915,Merle,17,7,2.429
1915,Laverne,13,25,0.52
1915,Marion,12,132,0.091
1915,Luverne,6,13,0.462
1915,Clare,5,5,1.0
1915,Fay,5,9,0.556
1916,John,915,6,152.5
1916,William,556,6,92.667
1916,George,525,7,75.0
1916,Harold,428,7,61.143
1916,Raymond,346,5,69.2
1916,Francis,140,6,23.333
1916,Merle,20,11,1.818
1916,Marion,12,187,0.064
1916,Luverne,8,14,0.571
1916,Laverne,7,43,0.163
1916,Lavern,6,8,0.75
1916,Jean,5,105,0.048
1917,John,903,8,112.875
1917,Robert,813,8,101.625
1917,Raymond,377,5,75.4
1917,Harry,174,5,34.8
1917,Francis,140,10,14.0
1917,Alvin,87,5,17.4
1917,Merle,29,10,2.9
1917,Lee,16,5,3.2
1917,Laverne,13,56,0.232
1917,Lavern,11,8,1.375
1917,Marion,11,174,0.063
1917,Luverne,9,21,0.429
1917,Ardell,6,5,1.2
1917,Gayle,5,10,0.5
1918,John,962,9,106.889
1918,Donald,618,5,123.6
1918,William,578,5,115.6
1918,Walter,322,5,64.4
1918,Arnold,160,5,32.0
1918,Lee,29,6,4.833
1918,Merle,28,16,1.75
1918,Laverne,18,56,0.321
1918,Lavern,15,7,2.143
1918,Luverne,14,27,0.519
1918,Marion,13,199,0.065
1918,Clare,8,6,1.333
1918,Jean,8,148,0.054
1918,Claire,6,18,0.333
1918,Helen,5,823,0.006
1919,Robert,1041,6,173.5
1919,John,869,10,86.9
1919,Donald,608,7,86.857
1919,William,537,6,89.5
1919,James,436,6,72.667
1919,Kenneth,323,5,64.6
1919,Elmer,182,5,36.4
1919,Francis,146,8,18.25
1919,Merle,24,10,2.4
1919,Laverne,21,38,0.553
1919,Luverne,13,22,0.591
1919,Marion,11,195,0.056
1919,Fay,8,10,0.8
1919,Jean,5,169,0.03
1919,Joyce,5,89,0.056
1919,Margaret,5,641,0.008
1920,Robert,1305,8,163.125
1920,William,634,10,63.4
1920,James,536,5,107.2
1920,Francis,142,6,23.667
1920,Merle,29,20,1.45
1920,Lee,24,6,4.0
1920,Luverne,22,16,1.375
1920,Gene,21,7,3.0
1920,Lavern,18,5,3.6
1920,Laverne,16,58,0.276
1920,Marion,7,239,0.029
1920,Jean,5,195,0.026
1920,Joyce,5,104,0.048
1920,Laurel,5,5,1.0
1921,Robert,1381,8,172.625
1921,John,970,13,74.615
1921,Donald,811,5,162.2
1921,George,516,6,86.0
1921,Harry,166,5,33.2
1921,Orville,78,6,13.0
1921,Laverne,30,50,0.6
1921,Luverne,27,18,1.5
1921,Merle,25,13,1.923
1921,Marion,16,197,0.081
1921,Lavern,15,5,3.0
1921,Jean,9,241,0.037
1921,Ardell,8,6,1.333
1921,Gail,8,9,0.889
1921,Carol,5,103,0.049
1921,Frances,5,227,0.022
1921,Shirley,5,224,0.022
1922,Robert,1482,5,296.4
1922,John,1043,12,86.917
1922,Donald,898,8,112.25
1922,William,712,11,64.727
1922,James,642,6,107.0
1922,Richard,570,5,114.0
1922,George,483,6,80.5
1922,Walter,261,5,52.2
1922,Ray,60,5,12.0
1922,Merle,35,13,2.692
1922,Lee,27,6,4.5
1922,Laverne,25,53,0.472
1922,Luverne,20,17,1.176
1922,Lavern,15,6,2.5
1922,Marion,11,215,0.051
1922,Fay,6,11,0.545
1922,Jean,5,248,0.02
1923,Robert,1497,6,249.5
1923,Donald,975,6,162.5
1923,John,963,13,74.077
1923,James,661,8,82.625
1923,Harold,399,5,79.8
1923,Stanley,173,5,34.6
1923,Merle,34,6,5.667
1923,Luverne,21,16,1.312
1923,Lavern,15,6,2.5
1923,Laverne,15,52,0.288
1923,Marion,11,213,0.052
1923,Ardell,8,14,0.571
1923,Claire,7,17,0.412
1923,Jean,6,260,0.023
1923,Gail,5,6,0.833
1924,Robert,1530,12,127.5
1924,John,1012,13,77.846
1924,Donald,972,9,108.0
1924,William,740,9,82.222
1924,George,474,5,94.8
1924,Harold,426,5,85.2
1924,Thomas,248,5,49.6
1924,Ralph,185,6,30.833
1924,Elmer,121,5,24.2
1924,Virgil,81,6,13.5
1924,Luverne,29,14,2.071
1924,Gene,28,10,2.8
1924,Lee,27,7,3.857
1924,Merle,24,8,3.0
1924,Laverne,23,49,0.469
1924,Laurel,7,6,1.167
1924,Ardell,6,7,0.857
1924,Marion,6,212,0.028
1924,Carmen,5,20,0.25
1924,Gail,5,7,0.714
1924,Jean,5,284,0.018
1924,Marvel,5,22,0.227
1924,Shirley,5,399,0.013
1925,Robert,1514,18,84.111
1925,Donald,951,8,118.875
1925,John,945,8,118.125
1925,Richard,768,8,96.0
1925,James,708,6,118.0
1925,William,689,6,114.833
1925,Charles,356,6,59.333
1925,Francis,136,6,22.667
1925,Merle,38,13,2.923
1925,Luverne,24,19,1.263
1925,Laverne,20,50,0.4
1925,Lavern,17,8,2.125
1925,Marion,13,187,0.07
1925,Gail,7,9,0.778
1925,Ardell,6,11,0.545
1925,Gayle,6,7,0.857
1925,Jean,6,316,0.019
1925,Billie,5,8,0.625
1925,Clare,5,6,0.833
1925,Laurel,5,9,0.556
1926,Robert,1462,19,76.947
1926,Donald,1076,8,134.5
1926,John,969,13,74.538
1926,Richard,827,8,103.375
1926,James,721,11,65.545
1926,William,695,6,115.833
1926,Joseph,243,6,40.5
1926,Vernon,192,7,27.429
1926,Dale,121,5,24.2
1926,Gene,62,11,5.636
1926,Merle,51,10,5.1
1926,Laverne,23,57,0.404
1926,Luverne,23,11,2.091
1926,Carroll,14,7,2.0
1926,Marion,10,186,0.054
1926,Lavern,9,6,1.5
1926,Marlyn,8,8,1.0
1926,Ardell,6,9,0.667
1926,Beverly,6,206,0.029
1926,Cleo,6,10,0.6
1926,Gayle,5,8,0.625
1926,Laurel,5,13,0.385
1927,Robert,1407,15,93.8
1927,Donald,1133,8,141.625
1927,Richard,882,11,80.182
1927,James,769,9,85.444
1927,William,677,8,84.625
1927,Thomas,275,5,55.0
1927,Gerald,241,5,48.2
1927,Francis,110,6,18.333
1927,Gene,65,10,6.5
1927,Luverne,27,13,2.077
1927,Laverne,26,46,0.565
1927,Laurel,17,20,0.85
1927,Lavern,16,7,2.286
1927,Marion,10,154,0.065
1927,Carol,8,146,0.055
1927,Claire,6,13,0.462
1927,Joyce,5,336,0.015
1928,Robert,1279,12,106.583
1928,Donald,1108,11,100.727
1928,John,890,16,55.625
1928,Richard,883,8,110.375
1928,James,813,9,90.333
1928,William,639,9,71.0
1928,Kenneth,377,7,53.857
1928,Harold,301,6,50.167
1928,Gene,83,6,13.833
1928,Merle,41,5,8.2
1928,Jerry,33,6,5.5
1928,Lee,24,8,3.0
1928,Laverne,22,48,0.458
1928,Luverne,13,18,0.722
1928,Gayle,9,10,0.9
1928,Pat,8,6,1.333
1928,Claire,7,15,0.467
1928,Marion,7,183,0.038
1928,Mary,7,889,0.008
1928,Ardell,5,11,0.455
1928,Jean,5,305,0.016
1928,Laurel,5,10,0.5
1929,Robert,1349,17,79.353
1929,Donald,1111,17,65.353
1929,Richard,912,8,114.0
1929,John,911,11,82.818
1929,James,800,9,88.889
1929,Kenneth,373,7,53.286
1929,Charles,344,5,68.8
1929,George,302,6,50.333
1929,Harold,286,6,47.667
1929,Marvin,196,5,39.2
1929,Gordon,163,7,23.286
1929,Stanley,109,5,21.8
1929,Gene,77,5,15.4
1929,Luverne,22,6,3.667
1929,Lavern,11,6,1.833
1929,Marlyn,11,5,2.2
1929,Carol,8,198,0.04
