YOB,Name,mFrequency,fFrequency,mForF
1910,Lee,38,5,7.6
1910,Cecil,29,5,5.8
1910,Willie,21,7,3.0
1910,Francis,18,5,3.6
1910,Marion,12,17,0.706
1910,Jessie,8,46,0.174
1910,Cleo,5,17,0.294
1910,Ora,5,12,0.417
1911,Francis,34,8,4.25
1911,Cecil,26,6,4.333
1911,Marion,25,17,1.471
1911,Lee,21,6,3.5
1911,Willie,17,10,1.7
1911,Jessie,10,52,0.192
1911,Ollie,7,26,0.269
1912,Cecil,62,6,10.333
1912,Francis,61,8,7.625
1912,Lee,37,8,4.625
1912,Willie,37,13,2.846
1912,Marion,33,26,1.269
1912,Gene,13,5,2.6
1912,Jessie,10,64,0.156
1912,Jewell,10,34,0.294
1912,Ollie,9,30,0.3
1912,Pearl,8,76,0.105
1912,Cleo,6,26,0.231
1912,Merle,6,12,0.5
1912,Ora,6,21,0.286
1913,Francis,92,14,6.571
1913,Cecil,66,8,8.25
1913,Lee,46,7,6.571
1913,Marion,43,34,1.265
1913,Willie,28,16,1.75
1913,Merle,18,13,1.385
1913,Cleo,14,15,0.933
1913,Johnnie,13,5,2.6
1913,Jessie,12,88,0.136
1913,Alva,11,7,1.571
1913,Ora,10,13,0.769
1913,Alpha,9,16,0.562
1913,Jewell,7,37,0.189
1913,Mary,6,971,0.006
1913,Ollie,6,15,0.4
1913,Vivian,6,59,0.102
1913,Fay,5,18,0.278
1913,Shirley,5,20,0.25
1914,Francis,108,8,13.5
1914,Cecil,81,6,13.5
1914,Lee,67,8,8.375
1914,Marion,52,49,1.061
1914,Willie,41,13,3.154
1914,Cleo,29,13,2.231
1914,Gene,22,6,3.667
1914,Jewell,11,59,0.186
1914,Merle,10,10,1.0
1914,Ora,10,14,0.714
1914,Jessie,8,92,0.087
1914,Ollie,6,27,0.222
1914,Billie,5,11,0.455
1914,Jewel,5,24,0.208
1915,George,605,7,86.429
1915,Francis,155,21,7.381
1915,Cecil,147,9,16.333
1915,Lee,88,14,6.286
1915,Marion,65,59,1.102
1915,Willie,44,22,2.0
1915,Cleo,30,44,0.682
1915,Merle,22,14,1.571
1915,Jessie,19,117,0.162
1915,Alva,17,6,2.833
1915,Jewell,14,68,0.206
1915,Ora,10,26,0.385
1915,Ollie,9,27,0.333
1915,Audrey,8,58,0.138
1915,Billie,7,27,0.259
1915,Jewel,7,24,0.292
1915,Laverne,7,17,0.412
1915,Pearl,7,136,0.051
1915,Beverly,6,7,0.857
1915,Dorris,6,10,0.6
1915,Frances,6,385,0.016
1915,Shirley,6,22,0.273
1915,June,5,68,0.074
1916,William,1287,6,214.5
1916,John,1239,5,247.8
1916,Francis,164,17,9.647
1916,Cecil,109,12,9.083
1916,Lee,91,10,9.1
1916,Marion,74,60,1.233
1916,Willie,57,20,2.85
1916,Cleo,36,30,1.2
1916,Johnnie,33,10,3.3
1916,Gene,29,5,5.8
1916,Jerry,25,7,3.571
1916,Jessie,16,124,0.129
1916,Merle,14,19,0.737
1916,Billie,11,33,0.333
1916,Ora,11,30,0.367
1916,Jewel,10,32,0.312
1916,Jewell,8,72,0.111
1916,Ollie,8,25,0.32
1916,Jean,7,101,0.069
1916,Pearl,7,139,0.05
1916,Gail,6,7,0.857
1916,Frankie,5,11,0.455
1916,Mary,5,1735,0.003
1917,John,1269,6,211.5
1917,Robert,899,7,128.429
1917,George,627,6,104.5
1917,Joe,152,5,30.4
1917,Francis,150,19,7.895
1917,Lee,115,20,5.75
1917,Cecil,106,10,10.6
1917,Marion,55,73,0.753
1917,Willie,54,20,2.7
1917,Johnnie,26,5,5.2
1917,Cleo,23,30,0.767
1917,Jessie,21,86,0.244
1917,Jewell,19,68,0.279
1917,Merle,17,14,1.214
1917,Ora,16,30,0.533
1917,Jerry,13,7,1.857
1917,Jean,11,140,0.079
1917,Billie,10,36,0.278
1917,Jewel,10,24,0.417
1917,Ollie,8,24,0.333
1917,Doris,6,183,0.033
1917,Laverne,6,44,0.136
1917,Carol,5,14,0.357
1917,Gail,5,10,0.5
1918,John,1368,5,273.6
1918,James,1120,6,186.667
1918,Francis,183,22,8.318
1918,Cecil,89,15,5.933
1918,Marion,83,74,1.122
1918,Lee,74,11,6.727
1918,Leslie,71,5,14.2
1918,Willie,60,29,2.069
1918,Dale,43,6,7.167
1918,Gene,35,6,5.833
1918,Cleo,28,48,0.583
1918,Jessie,23,123,0.187
1918,Jewell,23,76,0.303
1918,Johnnie,22,9,2.444
1918,Jerry,21,7,3.0
1918,Merle,21,18,1.167
1918,Alva,20,6,3.333
1918,Billie,18,26,0.692
