YOB,Name,mFrequency,fFrequency,mForF
1910,James,465,5,93.0
1910,Willie,377,208,1.812
1910,Charlie,103,7,14.714
1910,Jessie,72,86,0.837
1910,Eddie,71,21,3.381
1910,Johnnie,66,30,2.2
1910,Lee,49,24,2.042
1910,Jimmie,38,18,2.111
1910,Tommie,33,6,5.5
1910,Clyde,27,7,3.857
1910,Bennie,21,7,3.0
1910,Johnie,18,16,1.125
1910,Ollie,13,39,0.333
1910,Sammie,10,5,2.0
1910,Marion,8,13,0.615
1910,Ester,7,6,1.167
1910,Francis,7,15,0.467
1910,Freddie,7,7,1.0
1910,Billie,6,7,0.857
1910,Ethel,5,127,0.039
1911,Willie,303,206,1.471
1911,Robert,210,5,42.0
1911,Joe,101,11,9.182
1911,Eddie,64,24,2.667
1911,Jessie,62,80,0.775
1911,Johnnie,48,19,2.526
1911,Lee,43,19,2.263
1911,Jimmie,36,20,1.8
1911,Johnie,28,10,2.8
1911,Tommie,28,8,3.5
1911,Ollie,14,36,0.389
1911,Elmer,13,6,2.167
1911,Marion,11,6,1.833
1911,Francis,8,17,0.471
1911,Ethel,6,130,0.046
1911,Odell,5,6,0.833
1912,James,662,7,94.571
1912,John,529,6,88.167
1912,Willie,414,260,1.592
1912,Joe,148,6,24.667
1912,Charlie,93,11,8.455
1912,Eddie,84,23,3.652
1912,Jessie,82,111,0.739
1912,Lee,66,18,3.667
1912,Johnnie,63,42,1.5
1912,Jimmie,40,17,2.353
1912,Johnie,33,13,2.538
1912,Tommie,23,8,2.875
1912,Marion,19,13,1.462
1912,Ollie,17,44,0.386
1912,Essie,9,46,0.196
1912,Leslie,8,5,1.6
1912,Ruby,8,190,0.042
1912,Sammie,8,6,1.333
1912,Annie,6,358,0.017
1912,Cleo,5,13,0.385
1912,Ester,5,6,0.833
1912,Francis,5,14,0.357
1912,Jonnie,5,5,1.0
1913,James,716,5,143.2
1913,Willie,452,240,1.883
1913,Henry,204,5,40.8
1913,Joe,129,7,18.429
1913,Charlie,124,7,17.714
1913,Jessie,111,116,0.957
1913,Eddie,101,19,5.316
1913,Johnnie,72,34,2.118
1913,Lee,72,11,6.545
1913,Tommie,44,12,3.667
1913,Jimmie,42,18,2.333
1913,Johnie,39,14,2.786
1913,Bennie,31,10,3.1
1913,Cecil,31,6,5.167
1913,Ollie,24,39,0.615
1913,Ira,22,5,4.4
1913,Marion,16,8,2.0
1913,Odell,14,6,2.333
1913,Francis,11,12,0.917
1913,Sammie,10,5,2.0
1913,Bobbie,5,12,0.417
1913,Bonnie,5,19,0.263
1913,Essie,5,59,0.085
1913,Jewell,5,29,0.172
1914,James,960,7,137.143
1914,John,665,7,95.0
1914,Willie,550,301,1.827
1914,Joe,175,7,25.0
1914,Jessie,140,137,1.022
1914,Eddie,122,32,3.812
1914,Lee,93,27,3.444
1914,Johnnie,89,52,1.712
1914,Jimmie,57,19,3.0
1914,Johnie,52,10,5.2
1914,Tommie,49,12,4.083
1914,Bennie,42,7,6.0
1914,Allen,39,5,7.8
1914,Cecil,33,5,6.6
1914,Ollie,24,51,0.471
1914,Ray,22,5,4.4
1914,Sammie,21,12,1.75
1914,Francis,16,15,1.067
1914,Marion,15,10,1.5
1914,Billie,14,11,1.273
1914,Freddie,14,8,1.75
1914,Odell,9,8,1.125
1914,Bernice,8,64,0.125
