YOB,Name,mFrequency,fFrequency,mForF
1915,Marion,7,26,0.269
1916,Francis,51,5,10.2
1916,Billie,5,5,1.0
1917,Marion,9,31,0.29
1918,Marion,10,30,0.333
1918,Merle,7,9,0.778
1918,Gene,6,5,1.2
1919,Francis,40,7,5.714
1919,Merle,7,5,1.4
1919,Gail,6,6,1.0
1920,Marion,9,27,0.333
1920,Merle,9,8,1.125
1921,Marion,7,27,0.259
1921,Merle,6,6,1.0
1923,Merle,6,5,1.2
1924,Marion,8,16,0.5
1927,Pat,5,8,0.625
1928,Marion,5,23,0.217
1929,Marion,5,10,0.5
1931,Pat,9,8,1.125
1931,Marion,6,18,0.333
1932,Pat,9,10,0.9
1934,Laverne,7,8,0.875
1934,Marion,5,12,0.417
1935,Pat,8,17,0.471
1936,Lynn,7,5,1.4
1937,Jerry,57,5,11.4
1937,Lynn,10,6,1.667
1937,Laverne,5,5,1.0
1937,Marion,5,9,0.556
1938,Pat,11,11,1.0
1938,Lynn,9,5,1.8
1938,Jackie,6,5,1.2
1939,Lynn,6,5,1.2
1939,Pat,6,18,0.333
1940,Lynn,10,11,0.909
1941,Lynn,10,5,2.0
1941,Pat,7,15,0.467
1942,Terry,39,9,4.333
1942,Lynn,5,5,1.0
1942,Pat,5,7,0.714
1943,Terry,39,8,4.875
1943,Pat,7,11,0.636
1943,Lynn,6,14,0.429
1944,Terry,45,14,3.214
1944,Leslie,12,12,1.0
1944,Lynn,10,13,0.769
1945,Terry,41,10,4.1
1945,Leslie,15,6,2.5
1945,Lynn,7,15,0.467
1946,Terry,73,23,3.174
1946,Leslie,13,13,1.0
1946,Lynn,13,16,0.812
1946,Pat,13,15,0.867
1947,Terry,72,25,2.88
1947,Leslie,22,11,2.0
1947,Lynn,11,33,0.333
1947,Pat,9,9,1.0
1947,Dana,5,6,0.833
1948,Terry,95,21,4.524
1948,Leslie,13,13,1.0
1948,Lee,12,5,2.4
1948,Lynn,11,19,0.579
1948,Pat,8,6,1.333
1949,Terry,63,24,2.625
1949,Lynn,21,21,1.0
1949,Leslie,11,20,0.55
1949,Kerry,5,7,0.714
1950,Terry,51,19,2.684
1950,Dale,48,7,6.857
1950,Leslie,22,16,1.375
1950,Lynn,16,23,0.696
1950,Jan,9,9,1.0
1950,Dana,8,11,0.727
1950,Robin,7,14,0.5
1951,Terry,70,25,2.8
1951,Leslie,18,16,1.125
1951,Kerry,15,5,3.0
1951,Lee,14,6,2.333
1951,Lynn,11,31,0.355
1951,Robin,9,10,0.9
1951,Jan,5,13,0.385
1952,Terry,64,25,2.56
1952,Kim,28,12,2.333
1952,Leslie,24,17,1.412
1952,Dana,10,9,1.111
1952,Lynn,10,20,0.5
1952,Robin,10,20,0.5
1953,Terry,71,31,2.29
1953,Kim,20,5,4.0
1953,Lee,19,12,1.583
1953,Robin,16,29,0.552
1953,Leslie,14,22,0.636
1953,Dana,11,8,1.375
1953,Lynn,9,25,0.36
1954,Terry,69,27,2.556
1954,Kim,20,21,0.952
1954,Leslie,20,37,0.541
1954,Lee,18,10,1.8
1954,Robin,18,51,0.353
1954,Kelly,16,6,2.667
1954,Kerry,15,10,1.5
1954,Lynn,13,23,0.565
1954,Dana,8,10,0.8
1955,Terry,71,22,3.227
1955,Kim,38,29,1.31
1955,Lee,21,11,1.909
1955,Kelly,16,14,1.143
1955,Leslie,16,31,0.516
1955,Dana,12,10,1.2
1955,Tracy,12,8,1.5
1955,Lynn,11,28,0.393
1955,Robin,10,31,0.323
1955,Kerry,8,8,1.0
1956,Terry,58,32,1.812
1956,Kelly,27,10,2.7
1956,Leslie,27,25,1.08
1956,Kim,19,54,0.352
1956,Lee,16,14,1.143
1956,Robin,16,41,0.39
1956,Dana,11,9,1.222
1956,Tracy,9,13,0.692
1956,Kerry,8,9,0.889
1956,Lynn,7,32,0.219
1957,Terry,72,27,2.667
1957,Dale,66,5,13.2
1957,Lee,27,9,3.0
1957,Kelly,26,28,0.929
1957,Kim,22,68,0.324
1957,Leslie,15,39,0.385
1957,Robin,14,43,0.326
1957,Kerry,10,9,1.111
1957,Lynn,10,40,0.25
1957,Tracy,10,22,0.455
1957,Dana,9,15,0.6
1957,Jackie,5,18,0.278
1957,Shawn,5,6,0.833
1958,Terry,66,20,3.3
1958,Kelly,32,61,0.525
1958,Leslie,27,33,0.818
1958,Chris,20,6,3.333
1958,Kim,17,67,0.254
1958,Robin,14,35,0.4
1958,Shawn,14,6,2.333
1958,Dana,12,11,1.091
1958,Lee,12,7,1.714
1958,Tracy,12,25,0.48
1958,Kerry,9,7,1.286
1958,Lynn,6,34,0.176
1959,Terry,76,20,3.8
1959,Kelly,33,60,0.55
1959,Chris,22,6,3.667
1959,Lee,21,8,2.625
1959,Leslie,18,41,0.439
1959,Dana,14,16,0.875
1959,Robin,13,51,0.255
1959,Shawn,12,8,1.5
1959,Lynn,10,24,0.417
1959,Tracy,9,26,0.346
1959,Kim,8,69,0.116
1959,Kerry,5,6,0.833
1959,Shannon,5,10,0.5
1960,Terry,58,19,3.053
1960,Kelly,42,68,0.618
1960,Tracy,25,32,0.781
1960,Chris,18,6,3.0
1960,Shawn,16,7,2.286
1960,Leslie,14,46,0.304
1960,Kerry,13,9,1.444
1960,Jody,11,10,1.1
1960,Kim,10,80,0.125
1960,Robin,10,44,0.227
1960,Lynn,7,26,0.269
1960,Dana,6,9,0.667
1961,Terry,47,15,3.133
1961,Kelly,41,63,0.651
1961,Chris,30,13,2.308
1961,Shawn,29,9,3.222
1961,Tracy,28,47,0.596
1961,Robin,26,55,0.473
1961,Kim,16,49,0.327
1961,Leslie,14,35,0.4
1961,Kerry,13,8,1.625
1961,Dana,12,17,0.706
1961,Jody,8,13,0.615
1961,Kris,6,7,0.857
1961,Lynn,6,23,0.261
1962,Terry,54,6,9.0
1962,Kelly,32,73,0.438
1962,Shawn,28,6,4.667
1962,Chris,26,8,3.25
1962,Lee,20,5,4.0
1962,Robin,17,48,0.354
1962,Tracy,13,70,0.186
1962,Leslie,12,37,0.324
1962,Dana,11,12,0.917
1962,Kerry,11,9,1.222
1962,Kim,11,76,0.145
1962,Lynn,7,18,0.389
1962,Shannon,7,10,0.7
1963,Terry,50,14,3.571
1963,Kelly,38,54,0.704
1963,Shawn,30,6,5.0
1963,Chris,29,8,3.625
1963,Lee,17,7,2.429
1963,Tracy,16,48,0.333
1963,Robin,11,44,0.25
1963,Jamie,9,17,0.529
1963,Leslie,9,26,0.346
1963,Dana,8,14,0.571
1963,Kim,8,59,0.136
1963,Jody,6,20,0.3
1963,Kerry,5,9,0.556
1964,Shawn,52,8,6.5
1964,Kelly,39,52,0.75
1964,Terry,39,8,4.875
1964,Chris,28,17,1.647
1964,Leslie,13,29,0.448
1964,Kim,11,32,0.344
1964,Tracy,10,46,0.217
1964,Robin,9,45,0.2
1964,Jody,8,15,0.533
1964,Dana,7,22,0.318
1964,Shannon,7,19,0.368
1964,Jamie,5,17,0.294
1964,Lynn,5,16,0.312
1965,Shawn,56,9,6.222
1965,Terry,34,11,3.091
1965,Kelly,25,53,0.472
1965,Lee,14,6,2.333
1965,Robin,12,40,0.3
1965,Tracy,12,42,0.286
1965,Leslie,11,15,0.733
1965,Shannon,10,24,0.417
1965,Dana,7,18,0.389
1965,Kim,5,40,0.125
1965,Kris,5,6,0.833
1966,Shawn,69,7,9.857
1966,Kelly,36,48,0.75
1966,Chris,20,6,3.333
1966,Tracy,18,58,0.31
1966,Leslie,10,23,0.435
1966,Kerry,6,9,0.667
1966,Robin,6,29,0.207
1966,Shannon,6,30,0.2
1966,Jamie,5,19,0.263
1967,Shawn,70,5,14.0
1967,Kelly,34,33,1.03
1967,Lee,21,8,2.625
1967,Terry,18,9,2.0
1967,Tracy,17,59,0.288
1967,Stacy,13,25,0.52
1967,Jody,11,16,0.688
1967,Shannon,10,30,0.333
1967,Dana,7,12,0.583
1967,Leslie,7,29,0.241
1967,Stacey,6,27,0.222
1967,Jamie,5,9,0.556
1968,Shawn,90,5,18.0
1968,Kelly,27,47,0.574
1968,Stacey,12,41,0.293
1968,Shannon,10,28,0.357
1968,Stacy,9,31,0.29
1968,Jamie,7,30,0.233
1968,Lee,7,6,1.167
1968,Jody,6,15,0.4
1968,Robin,6,17,0.353
1969,Kelly,22,39,0.564
1969,Shannon,16,48,0.333
1969,Stacey,9,28,0.321
1969,Jamie,8,26,0.308
1969,Dana,7,20,0.35
1969,Leslie,7,21,0.333
1969,Tracy,7,40,0.175
1969,Jody,6,12,0.5
1969,Stacy,6,29,0.207
1970,Shawn,119,5,23.8
1970,Kelly,24,54,0.444
1970,Shannon,19,59,0.322
1970,Terry,18,5,3.6
1970,Lee,14,6,2.333
1970,Jody,10,18,0.556
1970,Dana,7,21,0.333
1970,Jamie,7,29,0.241
1970,Stacey,7,35,0.2
1970,Robin,6,20,0.3
1970,Darcy,5,9,0.556
1971,Michael,226,5,45.2
1971,Kelly,21,33,0.636
1971,Terry,19,7,2.714
1971,Shannon,14,54,0.259
1971,Jamie,13,28,0.464
1971,Leslie,9,22,0.409
1971,Jody,8,22,0.364
1971,Tracy,7,41,0.171
1971,Dana,6,29,0.207
1971,Robin,6,19,0.316
1971,Stacy,5,39,0.128
1972,Shawn,77,5,15.4
1972,Kelly,29,21,1.381
1972,Casey,16,6,2.667
1972,Shannon,13,44,0.295
1972,Tracy,10,33,0.303
1972,Jamie,9,22,0.409
1972,Jody,9,20,0.45
1972,Dana,6,11,0.545
1972,Leslie,5,17,0.294
1972,Stacy,5,29,0.172
1973,Shawn,86,7,12.286
1973,Kelly,21,38,0.553
1973,Casey,15,5,3.0
1973,Lee,13,7,1.857
1973,Jamie,12,26,0.462
1973,Jody,9,19,0.474
1973,Tracy,8,25,0.32
1973,Shannon,7,41,0.171
1973,Leslie,6,11,0.545
1973,Dana,5,7,0.714
1973,Stacy,5,25,0.2
1974,Shawn,75,7,10.714
1974,Kelly,19,35,0.543
1974,Shannon,15,59,0.254
1974,Jamie,14,26,0.538
1974,Jody,9,16,0.562
1974,Tracy,5,41,0.122
1975,Shawn,68,6,11.333
1975,Kelly,16,34,0.471
1975,Jamie,14,38,0.368
1975,Shannon,10,29,0.345
1975,Dana,7,12,0.583
1975,Erin,5,24,0.208
1975,Jody,5,21,0.238
1976,Casey,28,6,4.667
1976,Kelly,20,28,0.714
1976,Jamie,16,93,0.172
1976,Shannon,13,49,0.265
1976,Erin,5,43,0.116
1976,Tracy,5,24,0.208
1977,Jesse,53,5,10.6
1977,Cory,39,6,6.5
1977,Kelly,23,60,0.383
1977,Dana,9,9,1.0
1977,Jamie,9,102,0.088
1977,Jody,7,11,0.636
1978,Casey,36,9,4.0
1978,Kelly,19,77,0.247
1978,Jamie,6,67,0.09
1978,Shannon,6,45,0.133
1979,Casey,37,6,6.167
1979,Kelly,20,55,0.364
1979,Jamie,9,89,0.101
1979,Robin,7,11,0.636
1979,Shannon,6,37,0.162
1979,Jody,5,7,0.714
1979,Leslie,5,14,0.357
1980,Casey,38,12,3.167
1980,Kelly,10,44,0.227
1980,Jamie,7,71,0.099
1980,Shannon,5,45,0.111
1981,Casey,46,11,4.182
1981,Kelly,16,32,0.5
1981,Morgan,7,5,1.4
1981,Jamie,6,66,0.091
1981,Leslie,6,12,0.5
1982,Jesse,81,5,16.2
1982,Cody,62,5,12.4
1982,Casey,38,17,2.235
1982,Kelly,20,36,0.556
1982,Morgan,11,6,1.833
1982,Taylor,10,6,1.667
1982,Jamie,9,42,0.214
1982,Jessie,8,16,0.5
1983,Cody,56,6,9.333
1983,Casey,39,12,3.25
1983,Jordan,29,5,5.8
1983,Kelly,12,20,0.6
1983,Jessie,6,13,0.462
1983,Jade,5,11,0.455
1984,Casey,38,8,4.75
1984,Kelly,11,32,0.344
1984,Morgan,7,6,1.167
1984,Jamie,5,51,0.098
1985,Casey,48,7,6.857
1985,Jordan,19,5,3.8
1985,Kelly,12,29,0.414
1985,Taylor,11,5,2.2
1985,Jamie,7,45,0.156
1985,Morgan,7,11,0.636
1985,Christian,6,5,1.2
1986,Jordan,36,6,6.0
1986,Casey,28,13,2.154
1986,Taylor,14,6,2.333
1986,Kelly,12,28,0.429
1986,Morgan,5,11,0.455
1987,Casey,45,9,5.0
1987,Jordan,41,7,5.857
1987,Kelly,10,31,0.323
1987,Jamie,5,47,0.106
1988,Casey,35,8,4.375
1988,Jordan,32,13,2.462
1988,Kelly,12,20,0.6
1988,Baby,8,9,0.889
1988,Jamie,8,23,0.348
1988,Jade,5,8,0.625
1989,Jordan,43,23,1.87
1989,Casey,34,8,4.25
1989,Taylor,28,5,5.6
1989,Devin,10,5,2.0
1989,Kelly,9,20,0.45
1989,Jamie,7,22,0.318
1990,Jordan,55,31,1.774
1990,Casey,36,7,5.143
1990,Taylor,25,15,1.667
1990,Jamie,6,26,0.231
1990,Kelly,6,12,0.5
1990,Morgan,5,23,0.217
1991,Jordan,74,39,1.897
1991,Taylor,50,39,1.282
1991,Austin,42,5,8.4
1991,Jesse,40,7,5.714
1991,Casey,20,7,2.857
1991,Devin,17,6,2.833
1991,Devon,12,5,2.4
1991,Morgan,9,24,0.375
1991,Kelly,7,10,0.7
1992,Jordan,57,41,1.39
1992,Taylor,44,52,0.846
1992,Alex,18,5,3.6
1992,Kelly,12,13,0.923
1992,Morgan,10,24,0.417
1992,Jade,6,16,0.375
1992,Kasey,6,6,1.0
1992,Shelby,5,55,0.091
1993,Tyler,124,5,24.8
1993,Jordan,78,40,1.95
1993,Taylor,50,71,0.704
1993,Casey,23,9,2.556
1993,Alex,19,10,1.9
1993,Jade,5,19,0.263
1993,Kelly,5,11,0.455
1993,Mackenzie,5,13,0.385
1994,Jordan,55,28,1.964
1994,Taylor,48,72,0.667
1994,Riley,21,7,3.0
1994,Alex,19,6,3.167
1994,Casey,16,5,3.2
1994,Kelly,6,10,0.6
1994,Morgan,6,39,0.154
1994,Jessie,5,6,0.833
1994,Mackenzie,5,22,0.227
1995,Jordan,47,31,1.516
1995,Taylor,34,69,0.493
1995,Casey,16,5,3.2
1995,Morgan,12,44,0.273
1995,Jade,5,12,0.417
1995,Sage,5,9,0.556
1996,Jordan,43,33,1.303
1996,Hunter,38,7,5.429
1996,Tristan,33,6,5.5
1996,Taylor,28,68,0.412
1996,Riley,27,5,5.4
1996,Morgan,10,40,0.25
1996,Alex,9,7,1.286
1996,Chandler,8,6,1.333
1996,Bailey,5,17,0.294
1996,Kelly,5,5,1.0
1997,Jordan,43,27,1.593
1997,Tristan,40,5,8.0
1997,Hunter,36,5,7.2
1997,Taylor,31,37,0.838
1997,Casey,14,5,2.8
1997,Morgan,11,37,0.297
1997,Payton,8,7,1.143
1997,Sage,8,5,1.6
1997,Bailey,6,38,0.158
1997,Ashton,5,7,0.714
1998,Hunter,57,7,8.143
1998,Logan,49,5,9.8
1998,Jordan,41,26,1.577
1998,Riley,30,14,2.143
1998,Taylor,28,48,0.583
1998,Tristan,20,6,3.333
1998,Casey,13,5,2.6
1998,Payton,12,6,2.0
1998,Dakota,9,11,0.818
1998,Peyton,7,5,1.4
1998,Kelly,6,6,1.0
1998,Skylar,6,6,1.0
1998,Bailey,5,36,0.139
1998,Jade,5,15,0.333
1999,Jordan,34,24,1.417
1999,Riley,32,9,3.556
1999,Taylor,24,55,0.436
1999,Peyton,14,9,1.556
1999,Skyler,12,5,2.4
1999,Morgan,9,36,0.25
1999,Bailey,8,29,0.276
1999,Avery,6,9,0.667
1999,Payton,6,9,0.667
1999,Sage,5,5,1.0
2000,Riley,34,14,2.429
2000,Jordan,29,19,1.526
2000,Dakota,22,8,2.75
2000,Taylor,22,55,0.4
2000,Jaden,15,5,3.0
2000,Payton,14,16,0.875
2000,Peyton,12,9,1.333
2000,Hayden,10,5,2.0
2000,Morgan,8,36,0.222
2000,Bailey,7,29,0.241
2000,Avery,5,8,0.625
2001,Taylor,25,42,0.595
2001,Jordan,23,15,1.533
2001,Riley,21,14,1.5
2001,Alex,19,5,3.8
2001,Skyler,17,6,2.833
2001,Peyton,14,11,1.273
2001,Payton,11,11,1.0
2001,Casey,10,6,1.667
2001,Jayden,10,7,1.429
2001,Ashton,9,6,1.5
2001,Bailey,7,30,0.233
2001,Quinn,7,6,1.167
2001,Avery,5,15,0.333
2001,Morgan,5,28,0.179
2001,Skylar,5,9,0.556
2002,Riley,29,17,1.706
2002,Jordan,23,21,1.095
2002,Jayden,22,8,2.75
2002,Cameron,21,5,4.2
2002,Hayden,17,5,3.4
2002,Payton,16,10,1.6
2002,Jaden,14,6,2.333
2002,Dakota,12,6,2.0
2002,Morgan,11,31,0.355
2002,Taylor,11,43,0.256
2002,Peyton,7,8,0.875
2002,Avery,6,9,0.667
2002,Bailey,5,23,0.217
2002,Sage,5,9,0.556
2003,Dylan,52,6,8.667
2003,Jordan,26,20,1.3
2003,Riley,26,14,1.857
2003,Ashton,22,6,3.667
2003,Jayden,21,9,2.333
2003,Jaden,18,10,1.8
2003,Payton,16,9,1.778
2003,Alex,15,5,3.0
2003,Taylor,15,33,0.455
2003,Peyton,12,7,1.714
2003,Morgan,8,21,0.381
2003,Sage,8,8,1.0
2003,Skyler,8,7,1.143
2003,Avery,7,18,0.389
2003,Harley,6,7,0.857
2003,Reese,5,6,0.833
2004,Dylan,48,6,8.0
2004,Riley,31,16,1.938
2004,Jayden,20,8,2.5
2004,Taylor,19,33,0.576
2004,Jaden,15,7,2.143
2004,Payton,15,10,1.5
2004,Jordan,14,16,0.875
2004,Morgan,9,33,0.273
2004,Avery,6,12,0.5
2004,Peyton,6,7,0.857
2005,Logan,53,5,10.6
2005,Riley,31,19,1.632
2005,Hayden,24,6,4.0
2005,Jordan,22,12,1.833
2005,Peyton,21,8,2.625
2005,Taylor,17,33,0.515
2005,Payton,12,5,2.4
2005,Jayden,11,6,1.833
2005,Morgan,11,31,0.355
2005,Dakota,7,9,0.778
2005,Avery,6,20,0.3
2006,Dylan,43,5,8.6
2006,Riley,34,20,1.7
2006,Hayden,32,7,4.571
2006,Jayden,26,6,4.333
2006,Parker,24,5,4.8
2006,Jordan,22,18,1.222
2006,Taylor,14,31,0.452
2006,Jaden,12,5,2.4
2006,Payton,10,9,1.111
2006,Quinn,10,5,2.0
2006,Dakota,9,8,1.125
2006,Avery,8,24,0.333
2006,Sage,7,7,1.0
2006,Morgan,6,35,0.171
2006,Peyton,5,10,0.5
2007,Jayden,31,8,3.875
2007,Riley,30,12,2.5
2007,Hayden,25,11,2.273
2007,Jordan,24,11,2.182
2007,Peyton,17,12,1.417
2007,Taylor,13,36,0.361
2007,Jaden,12,10,1.2
2007,Quinn,11,8,1.375
2007,Payton,9,15,0.6
2007,Teagan,8,8,1.0
2007,Avery,6,22,0.273
2007,Charlie,5,5,1.0
2007,Morgan,5,18,0.278
2008,Riley,29,18,1.611
2008,Jayden,25,5,5.0
2008,Hayden,21,11,1.909
2008,Jordan,19,12,1.583
2008,Avery,12,29,0.414
2008,Taylor,11,42,0.262
2008,Dakota,10,6,1.667
2008,Peyton,10,15,0.667
2008,Teagan,10,7,1.429
2008,Morgan,9,20,0.45
2008,Payton,8,14,0.571
2008,Quinn,7,5,1.4
2008,Rowan,7,6,1.167
2009,Hayden,24,18,1.333
2009,Parker,21,5,4.2
2009,Jayden,17,12,1.417
2009,Peyton,14,17,0.824
2009,Riley,14,16,0.875
2009,Quinn,10,7,1.429
2009,Payton,9,15,0.6
2009,Taylor,9,38,0.237
2009,Avery,6,28,0.214
2009,Teagan,6,8,0.75
2009,Dakota,5,6,0.833
2009,Morgan,5,16,0.312
2010,Riley,33,13,2.538
2010,Hayden,17,7,2.429
2010,Sawyer,14,8,1.75
2010,Avery,12,36,0.333
2010,Peyton,8,23,0.348
2010,Dakota,6,7,0.857
2010,Jaden,6,5,1.2
2010,Payton,6,21,0.286
2010,Taylor,6,21,0.286
2010,Charlie,5,5,1.0
2010,Morgan,5,20,0.25
2010,Sage,5,7,0.714
2010,Tatum,5,5,1.0
2011,Riley,25,11,2.273
2011,Ryan,25,5,5.0
2011,Hayden,18,10,1.8
2011,Quinn,13,5,2.6
2011,Avery,9,32,0.281
2011,Payton,7,19,0.368
2011,Peyton,7,17,0.412
2011,Finley,6,5,1.2
2011,Dakota,5,6,0.833
2011,Taylor,5,18,0.278
2012,Blake,33,5,6.6
2012,Parker,29,7,4.143
2012,Sawyer,26,9,2.889
2012,Riley,19,14,1.357
2012,Hayden,15,16,0.938
2012,Jordan,15,6,2.5
2012,Jayden,14,5,2.8
2012,Avery,13,23,0.565
2012,Micah,12,5,2.4
2012,Charlie,10,7,1.429
2012,Rowan,10,6,1.667
2012,Peyton,9,12,0.75
2012,Finley,8,9,0.889
2012,Quinn,7,11,0.636
2012,Payton,5,12,0.417
2012,Teagan,5,10,0.5
2013,Parker,27,11,2.455
2013,Riley,20,10,2.0
2013,Sawyer,19,6,3.167
2013,Hayden,11,13,0.846
2013,Jordan,10,8,1.25
2013,Peyton,9,16,0.562
2013,Avery,7,27,0.259
2013,Finley,7,10,0.7
2013,Taylor,5,8,0.625
2014,Sawyer,31,10,3.1
2014,Parker,21,11,1.909
2014,Riley,19,10,1.9
2014,Hayden,16,10,1.6
2014,Dylan,12,5,2.4
2014,Rowan,11,6,1.833
2014,Avery,8,35,0.229
2014,Charlie,8,9,0.889
2014,Emerson,8,7,1.143
2014,Peyton,8,10,0.8
2014,Finley,7,9,0.778
2014,Quinn,6,15,0.4
2014,Teagan,6,9,0.667
2014,Dakota,5,5,1.0
2015,Blake,24,8,3.0
2015,Parker,23,12,1.917
2015,Bentley,21,5,4.2
2015,Sawyer,21,12,1.75
2015,Finley,15,10,1.5
2015,Rowan,13,6,2.167
2015,Avery,10,22,0.455
2015,Hayden,9,10,0.9
2015,Jordan,9,5,1.8
2015,Riley,9,15,0.6
2015,Oakley,7,8,0.875
2015,Quinn,7,12,0.583
2015,Sage,7,7,1.0
2015,Charlie,5,12,0.417
2015,Peyton,5,16,0.312
2015,River,5,7,0.714
2016,Logan,46,7,6.571
2016,Parker,30,7,4.286
2016,Sawyer,26,9,2.889
2016,Blake,16,9,1.778
2016,Hayden,16,10,1.6
2016,Avery,12,33,0.364
2016,Riley,11,21,0.524
2016,River,11,8,1.375
2016,Rowan,8,5,1.6
2016,Quinn,7,22,0.318
2016,Remington,7,5,1.4
2016,Sage,7,11,0.636
2016,Charlie,5,14,0.357
2016,Dakota,5,5,1.0
2016,Peyton,5,8,0.625
2017,Sawyer,34,10,3.4
2017,Parker,28,8,3.5
2017,Rowan,18,6,3.0
2017,Blake,14,6,2.333
2017,Hayden,14,8,1.75
2017,Finley,10,16,0.625
2017,Riley,9,13,0.692
2017,Dylan,8,8,1.0
2017,Emerson,8,6,1.333
2017,Sage,8,9,0.889
2017,Avery,7,27,0.259
2017,Peyton,6,11,0.545
2018,Logan,34,7,4.857
2018,Sawyer,20,14,1.429
2018,Blake,15,8,1.875
2018,Finley,11,16,0.688
2018,Hayden,11,10,1.1
2018,Parker,11,8,1.375
2018,Rowan,11,12,0.917
2018,Sage,11,13,0.846
2018,Dylan,10,5,2.0
2018,Avery,8,23,0.348
2018,Riley,6,18,0.333
2018,River,6,8,0.75
2018,Quinn,5,21,0.238
2019,Carter,33,5,6.6
2019,Sawyer,26,5,5.2
2019,Parker,16,6,2.667
2019,River,15,10,1.5
2019,Jordan,11,5,2.2
2019,Rowan,11,10,1.1
2019,Remington,10,6,1.667
2019,Riley,10,12,0.833
2019,Blake,9,8,1.125
2019,Emerson,9,9,1.0
2019,Charlie,8,17,0.471
2019,Hayden,8,15,0.533
2019,Sage,6,5,1.2
2019,Finley,5,9,0.556
2019,Quinn,5,14,0.357
2020,Carter,33,5,6.6
2020,Sawyer,22,5,4.4
2020,Parker,19,9,2.111
2020,Rowan,17,6,2.833
2020,River,14,8,1.75
2020,Charlie,13,11,1.182
2020,Riley,13,19,0.684
2020,Blake,11,9,1.222
2020,Emerson,9,7,1.286
2020,Jordan,8,6,1.333
2020,Hayden,7,9,0.778
2020,Sage,7,12,0.583
2020,Oakley,6,8,0.75
2020,Ellis,5,6,0.833
2021,Sawyer,29,11,2.636
2021,River,23,15,1.533
2021,Parker,20,7,2.857
2021,Finley,10,24,0.417
2021,Remington,10,11,0.909
2021,Hayden,9,14,0.643
2021,Riley,9,12,0.75
2021,Blake,8,11,0.727
2021,Morgan,8,5,1.6
2021,Charlie,6,10,0.6
2021,Oakley,6,13,0.462
2021,Sage,6,13,0.462
2021,Tatum,6,9,0.667
2021,Emerson,5,8,0.625
