YOB,Name,mFrequency,fFrequency,mForF
1910,George,215,5,43.0
1910,Willie,210,87,2.414
1910,Henry,140,5,28.0
1910,Charlie,121,6,20.167
1910,Johnnie,42,6,7.0
1910,Jessie,35,85,0.412
1910,Lee,33,9,3.667
1910,Clyde,32,5,6.4
1910,Lonnie,31,11,2.818
1910,Odell,16,8,2.0
1910,Marion,10,17,0.588
1910,Francis,8,8,1.0
1910,Cleo,5,12,0.417
1911,James,690,6,115.0
1911,Willie,209,83,2.518
1911,Clyde,54,12,4.5
1911,Jessie,49,78,0.628
1911,Lee,42,13,3.231
1911,Johnnie,40,5,8.0
1911,Odell,18,9,2.0
1911,Francis,8,7,1.143
1911,Marion,8,15,0.533
1911,Ollie,6,41,0.146
1911,Allie,5,18,0.278
1911,Connie,5,17,0.294
1912,James,1092,8,136.5
1912,William,801,5,160.2
1912,George,339,5,67.8
1912,Willie,259,105,2.467
1912,Clyde,88,14,6.286
1912,Jessie,63,105,0.6
1912,Johnnie,51,11,4.636
1912,Lee,49,6,8.167
1912,Marion,21,24,0.875
1912,Lacy,19,7,2.714
1912,Leslie,19,5,3.8
1912,Odell,16,9,1.778
1912,Ollie,10,46,0.217
1912,June,8,6,1.333
1912,Cleo,6,21,0.286
1912,Louie,6,5,1.2
1912,Bonnie,5,36,0.139
1912,Hazel,5,173,0.029
1912,Mary,5,1086,0.005
1913,James,1252,6,208.667
1913,Robert,476,6,79.333
1913,Willie,296,124,2.387
1913,Clyde,103,18,5.722
1913,Johnnie,67,20,3.35
1913,Jessie,61,122,0.5
1913,Lee,57,9,6.333
1913,Eddie,49,5,9.8
1913,Lonnie,43,9,4.778
1913,Francis,36,13,2.769
1913,Johnie,31,5,6.2
1913,Leslie,24,5,4.8
1913,Odell,23,13,1.769
1913,Marion,20,22,0.909
1913,Ollie,16,52,0.308
1913,Lacy,12,5,2.4
1913,Bernice,10,54,0.185
1913,Donnie,8,14,0.571
1913,Cleo,7,33,0.212
1913,Foy,7,6,1.167
1913,Hallie,6,23,0.261
1913,Mary,6,1180,0.005
1913,Bonnie,5,52,0.096
1913,Hazel,5,170,0.029
1914,James,1678,10,167.8
1914,William,1241,7,177.286
1914,John,1147,8,143.375
1914,George,459,8,57.375
1914,Willie,365,168,2.173
1914,Clyde,127,20,6.35
1914,Jessie,87,157,0.554
1914,Lee,87,18,4.833
1914,Johnnie,82,19,4.316
1914,Ray,66,5,13.2
1914,Lonnie,63,8,7.875
1914,Eddie,52,10,5.2
1914,Marion,46,35,1.314
1914,Ira,41,6,6.833
1914,Johnie,38,7,5.429
1914,Francis,33,19,1.737
1914,Odell,32,13,2.462
1914,Hazel,15,223,0.067
1914,Bernice,14,67,0.209
1914,Stacy,13,5,2.6
1914,Ollie,12,63,0.19
1914,Allie,10,36,0.278
1914,Cleo,10,42,0.238
1914,Billie,8,9,0.889
1914,Bonnie,7,65,0.108
1914,Donnie,7,12,0.583
1914,June,7,6,1.167
1914,Nolie,7,5,1.4
1914,Foy,6,5,1.2
1914,Pearl,6,184,0.033
1914,Connie,5,21,0.238
1914,Ellie,5,13,0.385
1914,Eunice,5,86,0.058
1914,Louie,5,5,1.0
1914,Shirley,5,27,0.185
1915,James,2069,11,188.091
1915,William,1481,5,296.2
1915,John,1271,7,181.571
1915,George,561,9,62.333
1915,Willie,434,170,2.553
1915,Charlie,288,9,32.0
1915,Clyde,175,13,13.462
1915,Joe,160,7,22.857
1915,Jessie,124,194,0.639
1915,Johnnie,108,21,5.143
1915,Lee,106,14,7.571
1915,Willard,87,5,17.4
1915,Cecil,73,9,8.111
1915,Lonnie,63,5,12.6
1915,Leslie,46,7,6.571
1915,Francis,41,27,1.519
1915,Leo,34,5,6.8
1915,Odell,34,13,2.615
1915,Bennie,31,7,4.429
1915,Ira,30,6,5.0
1915,Marion,30,36,0.833
1915,Ollie,21,70,0.3
1915,Cleo,17,47,0.362
1915,Stacy,14,7,2.0
1915,Allie,13,49,0.265
1915,June,13,12,1.083
1915,Freddie,11,7,1.571
