YOB,Name,mFrequency,fFrequency,mForF
1917,Laverne,8,7,1.143
1917,Marion,5,58,0.086
1920,John,299,10,29.9
1920,Arthur,115,5,23.0
1920,Laverne,5,26,0.192
1921,Merle,9,6,1.5
1922,Merle,14,7,2.0
1923,Laverne,10,15,0.667
1924,Robert,328,5,65.6
1924,George,127,5,25.4
1924,Merle,14,7,2.0
1924,Laverne,12,25,0.48
1925,Merle,11,7,1.571
1925,Laverne,8,25,0.32
1925,Lavern,7,6,1.167
1925,Marion,7,52,0.135
1926,Donald,232,7,33.143
1926,Raymond,126,5,25.2
1926,Laverne,6,24,0.25
1926,Marion,6,43,0.14
1927,Merle,18,6,3.0
1927,Lavern,14,5,2.8
1927,Laverne,5,29,0.172
1928,Raymond,112,7,16.0
1928,Laverne,13,23,0.565
1929,John,213,8,26.625
1929,Laverne,9,27,0.333
1930,Robert,324,5,64.8
1930,Ardell,8,7,1.143
1930,Lavern,8,5,1.6
1930,Laverne,7,12,0.583
1931,Laverne,13,16,0.812
1932,Laverne,7,17,0.412
1932,Ardell,5,5,1.0
1933,Laverne,9,19,0.474
1934,Merle,21,5,4.2
1934,Laverne,7,13,0.538
1935,Laverne,8,13,0.615
1935,Pat,6,8,0.75
1935,Jackie,5,5,1.0
1936,Marlyn,9,6,1.5
1936,Laverne,8,16,0.5
1937,Laverne,9,9,1.0
1937,Marion,5,15,0.333
1938,Ardell,8,6,1.333
1938,Laverne,6,18,0.333
1938,Jackie,5,9,0.556
1939,Jackie,5,6,0.833
1941,Pat,8,14,0.571
1941,Laverne,7,13,0.538
1943,Laverne,9,6,1.5
1944,Leslie,20,7,2.857
1944,Lynn,18,6,3.0
1944,Laverne,6,8,0.75
1945,Lynn,12,5,2.4
1945,Laverne,6,8,0.75
1946,Terry,85,7,12.143
1946,Leslie,23,6,3.833
1946,Lynn,22,9,2.444
1947,Terry,96,9,10.667
1947,Lynn,37,14,2.643
1947,Leslie,23,13,1.769
1948,Terry,91,9,10.111
1948,Leslie,29,5,5.8
1948,Lynn,27,17,1.588
1949,Terry,76,8,9.5
1949,Lynn,30,13,2.308
1949,Leslie,27,9,3.0
1949,Lee,19,9,2.111
1949,Kerry,13,8,1.625
1950,Terry,95,17,5.588
1950,Lynn,25,14,1.786
1950,Leslie,24,8,3.0
1950,Kerry,6,15,0.4
1950,Jackie,5,6,0.833
1951,Terry,78,11,7.091
1951,Lynn,26,21,1.238
1951,Leslie,23,7,3.286
1951,Kerry,12,10,1.2
1951,Gale,6,6,1.0
1951,Robin,5,6,0.833
1952,Terry,102,8,12.75
1952,Leslie,36,15,2.4
1952,Kim,30,9,3.333
1952,Lynn,26,21,1.238
1952,Kerry,7,7,1.0
1953,Terry,100,11,9.091
1953,Lynn,35,24,1.458
1953,Kim,32,10,3.2
1953,Leslie,27,11,2.455
1953,Lee,21,7,3.0
1953,Kerry,8,8,1.0
1953,Dana,6,5,1.2
1953,Robin,5,11,0.455
1954,Terry,106,14,7.571
