YOB,Name,mFrequency,fFrequency,mForF
1910,Marion,6,10,0.6
1912,Merle,12,8,1.5
1912,Marion,9,14,0.643
1912,Fay,6,6,1.0
1913,Marion,14,18,0.778
1913,Merle,9,6,1.5
1914,Francis,58,5,11.6
1914,Marion,29,14,2.071
1914,Merle,26,5,5.2
1914,Laverne,8,19,0.421
1914,Jean,7,27,0.259
1914,Carol,6,10,0.6
1915,Merle,33,5,6.6
1915,Marion,24,23,1.043
1915,Laverne,7,11,0.636
1915,Fay,6,5,1.2
1915,Carol,5,13,0.385
1915,Cleo,5,11,0.455
1915,Jean,5,48,0.104
1916,Francis,70,6,11.667
1916,Merle,29,6,4.833
1916,Marion,26,30,0.867
1916,Laverne,11,19,0.579
1916,Gail,8,7,1.143
1916,Joy,6,7,0.857
1916,Jean,5,62,0.081
1917,Harold,295,5,59.0
1917,Merle,44,9,4.889
1917,Marion,22,33,0.667
1917,Lavern,14,8,1.75
1917,Laverne,9,22,0.409
1917,Cleo,7,14,0.5
1917,Jean,7,80,0.088
1917,Fay,5,7,0.714
1917,Gail,5,5,1.0
1918,Merle,37,7,5.286
1918,Marion,33,48,0.688
1918,Lavern,22,8,2.75
1918,Laverne,20,32,0.625
1918,Gail,9,6,1.5
1918,Fay,8,7,1.143
1918,Cleo,5,12,0.417
1918,Jean,5,90,0.056
1918,Joy,5,9,0.556
1919,Francis,70,5,14.0
1919,Merle,36,6,6.0
1919,Marion,24,34,0.706
1919,Laverne,18,28,0.643
1919,Fay,10,6,1.667
1919,Cleo,9,17,0.529
1919,Beryl,5,8,0.625
1920,Francis,100,9,11.111
1920,Merle,45,8,5.625
1920,Marion,29,49,0.592
1920,Lavern,26,5,5.2
1920,Laverne,20,24,0.833
1920,Cleo,7,24,0.292
1920,Fay,7,9,0.778
1920,Jean,7,120,0.058
1920,Carol,5,25,0.2
1921,Merle,40,9,4.444
1921,Marion,31,45,0.689
1921,Lavern,30,8,3.75
1921,Laverne,19,24,0.792
1921,Billie,7,8,0.875
1922,Marion,32,34,0.941
1922,Lavern,28,9,3.111
1922,Laverne,21,22,0.955
1922,Jean,8,138,0.058
1922,Joy,7,14,0.5
1922,Fay,6,7,0.857
1922,Cleo,5,14,0.357
1923,Merle,46,6,7.667
1923,Leslie,35,5,7.0
1923,Marion,24,39,0.615
1923,Laverne,16,22,0.727
1923,Billie,8,10,0.8
1923,Jean,5,113,0.044
1924,Marion,17,37,0.459
1924,Laverne,13,27,0.481
1924,Billie,9,9,1.0
1924,Jean,8,134,0.06
1924,Cleo,7,9,0.778
1924,Betty,6,671,0.009
1924,Beryl,5,5,1.0
1925,William,422,8,52.75
1925,James,345,6,57.5
1925,Gene,58,5,11.6
1925,Merle,43,7,6.143
1925,Marion,21,26,0.808
1925,Laverne,18,15,1.2
1925,Billie,12,8,1.5
1925,Cleo,6,9,0.667
1925,Gail,6,5,1.2
1925,Jean,6,130,0.046
1925,Shirley,6,180,0.033
1925,Carol,5,41,0.122
1926,Robert,881,8,110.125
1926,Donald,513,7,73.286
1926,Merle,37,6,6.167
1926,Lavern,25,6,4.167
1926,Marion,20,34,0.588
1926,Laverne,14,12,1.167
1926,Jackie,9,7,1.286
1926,Billie,7,13,0.538
1926,Jean,6,153,0.039
1927,Robert,864,5,172.8
1927,Richard,414,5,82.8
1927,Gene,94,6,15.667
1927,Merle,39,5,7.8
1927,Jerry,31,7,4.429
1927,Marion,25,32,0.781
1927,Billie,16,10,1.6
1927,Laverne,16,10,1.6
1927,Jackie,8,6,1.333
1927,Joy,5,16,0.312
1928,Robert,839,10,83.9
1928,William,394,5,78.8
1928,Marion,33,30,1.1
1928,Laverne,21,10,2.1
1928,Jackie,11,6,1.833
1928,Billie,10,16,0.625
1928,Gail,5,5,1.0
1928,Jean,5,137,0.036
1929,William,391,5,78.2
1929,Jerry,57,7,8.143
1929,Marion,28,30,0.933
1929,Billie,19,8,2.375
1929,Laverne,14,11,1.273
1929,Jackie,13,11,1.182
1929,Carol,6,72,0.083
1929,Betty,5,532,0.009
1929,Joy,5,19,0.263
1930,Robert,815,7,116.429
1930,James,385,5,77.0
1930,Jerry,95,6,15.833
1930,Lee,30,6,5.0
1930,Marion,15,26,0.577
1930,Billie,14,11,1.273
1930,Laverne,13,13,1.0
1930,Jackie,8,13,0.615
1930,Jean,7,124,0.056
1930,Connie,6,11,0.545
1930,Pat,6,16,0.375
1931,Robert,826,11,75.091
1931,Marion,17,19,0.895
1931,Laverne,15,12,1.25
1931,Jackie,14,11,1.273
1931,Billie,9,10,0.9
1932,Robert,777,6,129.5
1932,Lee,32,10,3.2
1932,Merle,27,7,3.857
1932,Jackie,22,15,1.467
1932,Lavern,20,5,4.0
1932,Marion,17,19,0.895
1932,Billie,10,11,0.909
1932,Laverne,9,12,0.75
1932,Barbara,5,248,0.02
1932,Gayle,5,7,0.714
1932,Kay,5,6,0.833
1932,Mary,5,514,0.01
1932,Pat,5,21,0.238
1933,Robert,627,5,125.4
1933,Donald,522,5,104.4
1933,Lynn,17,5,3.4
1933,Marion,17,11,1.545
1933,Laverne,15,8,1.875
1933,Gayle,11,5,2.2
1933,Jackie,10,15,0.667
1933,Billie,6,12,0.5
1934,Robert,669,5,133.8
1934,Marion,19,9,2.111
1934,Jackie,16,23,0.696
1934,Laverne,11,6,1.833
1934,Pat,11,25,0.44
1934,Gayle,10,21,0.476
1934,Billie,9,7,1.286
1934,Gail,7,11,0.636
1934,Kay,5,33,0.152
1935,Jackie,21,14,1.5
1935,Marion,19,16,1.188
1935,Billie,12,9,1.333
1935,Gayle,12,6,2.0
1935,Laverne,9,5,1.8
1935,Gail,8,7,1.143
1935,Pat,8,37,0.216
1935,Shirley,7,612,0.011
1935,Gerry,5,5,1.0
1936,Jerry,198,7,28.286
1936,Marion,16,14,1.143
1936,Jackie,15,26,0.577
1936,Gayle,10,23,0.435
1936,Laverne,10,5,2.0
1936,Gail,9,10,0.9
1936,Pat,8,33,0.242
1936,Billie,7,8,0.875
1936,Kay,5,66,0.076
1937,Jerry,185,7,26.429
1937,Gayle,16,11,1.455
1937,Pat,16,18,0.889
1937,Jackie,15,15,1.0
1937,Marion,10,11,0.909
1937,Gail,9,9,1.0
1937,Billie,8,12,0.667
1937,Kay,6,78,0.077
1937,Mary,5,466,0.011
1938,Jackie,20,22,0.909
1938,Marion,12,8,1.5
1938,Laverne,10,5,2.0
1938,Gail,8,20,0.4
1938,Carol,7,191,0.037
1938,Gayle,6,12,0.5
1939,Jerry,215,7,30.714
1939,Lynn,23,5,4.6
1939,Gale,16,5,3.2
1939,Gail,14,12,1.167
1939,Jackie,13,12,1.083
1939,Gayle,8,6,1.333
1939,Marion,7,12,0.583
1939,Pat,7,25,0.28
1939,Carol,6,206,0.029
1939,Kay,5,83,0.06
1940,James,422,6,70.333
