YOB,Name,mFrequency,fFrequency,mForF
1920,Jean,8,14,0.571
1923,Jean,6,31,0.194
1924,Jean,7,36,0.194
1927,Jean,6,40,0.15
1928,Jean,5,44,0.114
1930,Jean,8,63,0.127
1931,Jean,5,46,0.109
1932,Jean,5,44,0.114
1933,Jean,5,38,0.132
1934,Jean,7,53,0.132
1935,Jean,5,40,0.125
1936,Jean,5,43,0.116
1937,Jean,6,31,0.194
1938,Jean,10,43,0.233
1939,Jean,6,38,0.158
1940,Jean,6,39,0.154
1941,Jean,7,43,0.163
1942,Terry,11,5,2.2
1942,Leslie,8,6,1.333
1943,Jean,7,21,0.333
1944,Dale,9,5,1.8
1944,Jean,9,39,0.231
1944,Leslie,8,7,1.143
1945,Jean,7,37,0.189
1945,Lee,7,6,1.167
1946,Terry,16,5,3.2
1946,Leslie,10,8,1.25
1946,Jean,6,27,0.222
1947,Terry,20,9,2.222
1947,Jean,13,46,0.283
1947,Leslie,10,13,0.769
1947,Lee,7,5,1.4
1948,Terry,22,6,3.667
1948,Dale,20,6,3.333
1948,Jean,7,36,0.194
1948,Lee,7,5,1.4
1948,Leslie,6,11,0.545
1949,Dale,9,7,1.286
1949,Leslie,8,8,1.0
1949,Terry,8,10,0.8
1949,Jean,5,33,0.152
1950,Dale,13,9,1.444
1950,Jean,10,35,0.286
1950,Terry,10,9,1.111
1950,Kerry,9,5,1.8
1950,Leslie,5,9,0.556
1951,Dale,10,5,2.0
1951,Terry,10,12,0.833
1952,Dale,29,11,2.636
1952,Terry,21,12,1.75
1952,Lee,8,6,1.333
1952,Leslie,7,7,1.0
1952,Jean,6,35,0.171
1952,Robin,5,17,0.294
1953,Terry,23,12,1.917
1953,Dale,19,8,2.375
1953,Robin,8,28,0.286
1954,Dale,23,10,2.3
1954,Terry,13,13,1.0
1954,Kim,11,9,1.222
1954,Jean,9,26,0.346
1954,Leslie,6,17,0.353
1954,Robin,5,43,0.116
1955,Terry,18,11,1.636
1955,Dale,15,6,2.5
1955,Kim,11,20,0.55
1955,Lee,9,13,0.692
1955,Jean,5,24,0.208
1956,Dale,23,7,3.286
1956,Leslie,12,8,1.5
1956,Terry,10,26,0.385
1956,Jean,8,28,0.286
1956,Kim,8,35,0.229
1956,Lee,5,9,0.556
1956,Robin,5,52,0.096
1957,Dale,28,7,4.0
1957,Terry,15,16,0.938
1957,Lee,11,7,1.571
1957,Leslie,11,16,0.688
1957,Jean,8,30,0.267
1957,Kim,8,35,0.229
1957,Robin,6,81,0.074
1958,Terry,13,23,0.565
1958,Lee,12,11,1.091
1958,Jean,11,28,0.393
1958,Kim,5,42,0.119
1958,Leslie,5,18,0.278
1958,Robin,5,48,0.104
1958,Tracy,5,8,0.625
1959,Lee,11,9,1.222
1959,Terry,9,24,0.375
1959,Tracy,8,11,0.727
1959,Robin,6,55,0.109
