YOB,Name,mFrequency,fFrequency,mForF
1912,Joseph,720,5,144.0
1912,Francis,119,6,19.833
1913,Lee,9,9,1.0
1914,Francis,158,6,26.333
1914,Jay,8,5,1.6
1914,Lee,7,10,0.7
1914,Marion,5,174,0.029
1915,Charles,801,7,114.429
1915,Francis,207,7,29.571
1915,Carmen,26,6,4.333
1915,Lee,8,11,0.727
1915,Marion,6,232,0.026
1916,John,2168,6,361.333
1916,Joseph,1483,6,247.167
1916,Lee,11,20,0.55
1916,Ray,11,8,1.375
1916,Gene,9,5,1.8
1916,Helen,5,1534,0.003
1916,Marion,5,278,0.018
1916,Mary,5,1881,0.003
1917,William,1518,5,303.6
1917,Francis,253,8,31.625
1917,Lee,9,13,0.692
1917,Carol,5,32,0.156
1918,John,2377,5,475.4
1918,Charles,930,6,155.0
1918,Francis,205,8,25.625
1918,Carmen,28,8,3.5
1918,Ray,17,5,3.4
1918,Lee,9,15,0.6
1918,Jean,7,394,0.018
1918,Marion,6,271,0.022
1919,John,2279,13,175.308
1919,Joseph,1500,5,300.0
1919,William,1455,7,207.857
1919,James,823,5,164.6
1919,Francis,226,13,17.385
1919,Carmen,43,9,4.778
1919,Lee,12,17,0.706
1919,Marion,7,277,0.025
1919,Jean,6,330,0.018
1920,John,2440,15,162.667
1920,William,1745,7,249.286
1920,Joseph,1609,10,160.9
1920,George,1029,5,205.8
1920,James,955,6,159.167
1920,Francis,254,8,31.75
1920,Carmen,42,5,8.4
1920,Jean,11,342,0.032
1920,Lee,9,25,0.36
1920,Willie,9,6,1.5
1920,Marion,6,310,0.019
1921,John,2417,8,302.125
1921,Joseph,1580,5,316.0
1921,Robert,1321,5,264.2
1921,George,1011,5,202.2
1921,Francis,219,5,43.8
1921,Carmen,47,10,4.7
1921,Ray,17,8,2.125
1921,Lee,8,6,1.333
1921,Marion,7,315,0.022
1922,John,2300,11,209.091
1922,William,1696,6,282.667
1922,Joseph,1609,10,160.9
1922,Edward,1094,6,182.333
1922,George,1070,7,152.857
1922,James,1004,7,143.429
1922,Charles,895,8,111.875
1922,Anthony,510,5,102.0
1922,Albert,333,5,66.6
1922,Carmen,56,5,11.2
1922,Leslie,27,5,5.4
1922,Lee,19,9,2.111
1922,Gene,18,5,3.6
1922,Willie,11,5,2.2
1922,Marion,6,285,0.021
1922,Frances,5,456,0.011
1922,Jean,5,458,0.011
1923,John,2359,12,196.583
1923,William,1773,6,295.5
1923,Joseph,1581,9,175.667
1923,Robert,1476,7,210.857
1923,Edward,1159,5,231.8
1923,James,1008,5,201.6
1923,George,989,6,164.833
1923,Frank,891,7,127.286
1923,Michael,412,5,82.4
1923,Francis,246,7,35.143
1923,Carmen,58,11,5.273
1923,Gene,14,5,2.8
1923,Lee,14,12,1.167
1923,Frances,10,449,0.022
1923,Jean,5,463,0.011
1923,Marion,5,344,0.015
1924,John,2381,17,140.059
1924,William,1781,9,197.889
1924,Robert,1643,8,205.375
1924,Joseph,1523,5,304.6
1924,Edward,1200,6,200.0
1924,James,1011,8,126.375
1924,Frank,872,7,124.571
1924,Carmen,65,10,6.5
1924,Gene,19,7,2.714
1924,Lee,17,5,3.4
1924,Willie,10,11,0.909
1924,Jean,9,458,0.02
1924,Marion,6,354,0.017
1924,Merle,5,5,1.0
1925,John,2410,17,141.765
1925,William,1729,14,123.5
1925,Joseph,1500,8,187.5
1925,George,1021,5,204.2
1925,James,971,5,194.2
1925,Charles,891,9,99.0
1925,Frank,863,7,123.286
1925,Francis,208,7,29.714
1925,Carmen,51,17,3.0
1925,Gene,21,10,2.1
1925,Lee,20,13,1.538
1925,Ray,15,5,3.0
1925,Frances,7,404,0.017
1925,Marion,6,310,0.019
1925,Jean,5,567,0.009
1926,John,2363,15,157.533
1926,William,1800,8,225.0
1926,Robert,1710,9,190.0
1926,Joseph,1515,9,168.333
1926,Edward,1066,6,177.667
1926,James,1046,8,130.75
1926,George,983,5,196.6
1926,Charles,939,6,156.5
1926,Walter,512,5,102.4
1926,Francis,249,5,49.8
1926,Carmen,63,7,9.0
1926,Gene,30,5,6.0
1926,Lee,20,7,2.857
1926,Willie,11,7,1.571
1926,Jean,9,559,0.016
1926,Mary,9,1466,0.006
1926,Frances,7,414,0.017
1926,Marion,6,307,0.02
1927,John,2256,14,161.143
1927,William,1773,14,126.643
1927,Robert,1754,13,134.923
1927,Joseph,1468,8,183.5
1927,James,1082,7,154.571
1927,George,1056,8,132.0
1927,Charles,981,7,140.143
1927,Thomas,654,7,93.429
1927,Francis,255,7,36.429
1927,Fred,224,6,37.333
1927,Stanley,191,5,38.2
1927,Carmen,48,9,5.333
1927,Lee,21,6,3.5
1927,Willie,18,6,3.0
1927,Jean,7,634,0.011
1927,Anna,6,593,0.01
1927,Margaret,6,865,0.007
1927,Ruth,6,688,0.009
1927,Ann,5,253,0.02
1927,Helen,5,994,0.005
1928,John,2149,17,126.412
1928,Robert,1809,11,164.455
1928,William,1795,14,128.214
1928,Joseph,1425,18,79.167
1928,Edward,977,10,97.7
1928,Charles,963,6,160.5
1928,George,951,6,158.5
1928,Frank,734,5,146.8
1928,Paul,319,6,53.167
1928,Francis,242,8,30.25
1928,Carmen,61,9,6.778
1928,Patsy,47,6,7.833
1928,Gene,32,5,6.4
1928,Lee,15,10,1.5
1928,Mary,6,1522,0.004
1928,Terry,6,5,1.2
1928,Elizabeth,5,591,0.008
1928,Frances,5,415,0.012
1928,Margaret,5,758,0.007
1929,John,2267,15,151.133
1929,Robert,1831,10,183.1
1929,William,1678,10,167.8
1929,Joseph,1366,10,136.6
1929,James,1055,11,95.909
1929,Richard,964,5,192.8
1929,Charles,941,14,67.214
1929,Edward,912,5,182.4
1929,Frank,727,8,90.875
1929,Francis,213,5,42.6
1929,Carmen,40,13,3.077
1929,Gene,21,5,4.2
1929,Lee,21,9,2.333
1929,Pat,11,8,1.375
1929,Marion,9,256,0.035
1929,Mary,6,1399,0.004
1929,Anna,5,516,0.01
1929,Jean,5,587,0.009
1930,John,2227,10,222.7
1930,Robert,1997,15,133.133
1930,William,1614,9,179.333
1930,Joseph,1430,12,119.167
1930,James,1088,7,155.429
1930,Edward,898,9,99.778
1930,Thomas,650,5,130.0
1930,Anthony,462,8,57.75
1930,Francis,196,8,24.5
1930,Carmen,40,13,3.077
1930,Patsy,37,6,6.167
1930,Lee,24,10,2.4
1930,Willie,17,6,2.833
1930,Pat,15,5,3.0
1930,Dorothy,6,939,0.006
1930,Jessie,6,23,0.261
1930,Dolores,5,672,0.007
1930,Eleanor,5,374,0.013
1930,Jean,5,588,0.009
1930,Joan,5,965,0.005
1930,Rose,5,428,0.012
1931,John,2137,10,213.7
1931,Robert,1980,9,220.0
1931,William,1503,7,214.714
1931,Charles,834,5,166.8
1931,Frank,618,5,123.6
1931,Carmen,45,11,4.091
1931,Patsy,33,8,4.125
1931,Lee,16,8,2.0
1931,Pat,9,5,1.8
1931,Dolores,7,600,0.012
1931,Jean,7,525,0.013
1931,Willie,7,7,1.0
1931,Carol,6,123,0.049
1931,Mary,6,1272,0.005
1931,Joan,5,1420,0.004
1931,Lois,5,258,0.019
1932,Robert,2131,8,266.375
1932,John,1966,10,196.6
1932,William,1449,8,181.125
1932,Joseph,1218,6,203.0
1932,James,1005,5,201.0
1932,George,800,7,114.286
1932,Edward,765,5,153.0
1932,Frank,654,5,130.8
1932,Patsy,26,9,2.889
1932,Lee,23,11,2.091
1932,Pat,16,9,1.778
1932,Terry,7,10,0.7
1932,Dale,6,6,1.0
1932,Jean,6,502,0.012
