YOB,Name,mFrequency,fFrequency,mForF
1913,Francis,9,5,1.8
1915,Bennie,6,8,0.75
1915,Guadalupe,5,15,0.333
1916,Tony,28,5,5.6
1916,Willie,11,7,1.571
1916,Guadalupe,9,10,0.9
1916,Trinidad,9,8,1.125
1917,Willie,17,5,3.4
1917,Trinidad,8,8,1.0
1917,Guadalupe,5,12,0.417
1917,Marion,5,7,0.714
1918,Bennie,23,5,4.6
1918,Francis,12,5,2.4
1918,Trinidad,9,10,0.9
1918,Guadalupe,8,9,0.889
1918,Marion,7,7,1.0
1919,Francis,9,5,1.8
1919,Trinidad,9,7,1.286
1919,Johnnie,6,6,1.0
1919,Lupe,5,32,0.156
1920,Tony,43,6,7.167
1920,Guadalupe,14,13,1.077
1920,Bennie,12,5,2.4
1920,Trinidad,11,13,0.846
1920,Johnnie,9,6,1.5
1920,Lupe,6,18,0.333
1921,Willie,32,5,6.4
1921,Bennie,18,8,2.25
1921,Francis,9,7,1.286
1921,Guadalupe,5,14,0.357
1921,Isabel,5,28,0.179
1921,Trinidad,5,12,0.417
1922,Bennie,25,8,3.125
1922,Guadalupe,10,9,1.111
1922,Trinidad,6,14,0.429
1922,Francis,5,5,1.0
1922,Jessie,5,17,0.294
1923,Willie,20,8,2.5
1923,Bennie,11,5,2.2
1923,Billie,9,12,0.75
1923,Guadalupe,8,15,0.533
1923,Francis,7,9,0.778
1923,Cruz,6,5,1.2
1923,Marion,6,7,0.857
1923,Reyes,6,5,1.2
1924,Bennie,22,9,2.444
1924,Guadalupe,11,14,0.786
1924,Cruz,8,5,1.6
1924,Marion,7,5,1.4
1925,Willie,32,9,3.556
1925,Bennie,22,8,2.75
1925,Guadalupe,10,21,0.476
1925,Billie,8,18,0.444
1925,Cruz,8,6,1.333
1925,Trinidad,7,5,1.4
1925,Johnnie,6,5,1.2
1925,Jessie,5,16,0.312
1925,Mary,5,392,0.013
1925,Natividad,5,7,0.714
1926,Joe,165,6,27.5
1926,Guadalupe,13,17,0.765
1926,Johnnie,9,6,1.5
1926,Francis,8,8,1.0
1926,Billie,7,9,0.778
1926,Frankie,5,5,1.0
1926,Jessie,5,13,0.385
1927,Tony,40,5,8.0
1927,Bennie,24,6,4.0
1927,Jimmie,17,7,2.429
1927,Johnnie,10,7,1.429
1927,Marion,7,8,0.875
1927,Guadalupe,6,12,0.5
1928,Tony,48,5,9.6
1928,Bennie,23,6,3.833
1928,Guadalupe,12,5,2.4
1928,Cruz,9,6,1.5
1928,Lupe,9,26,0.346
1928,Billie,6,17,0.353
1928,Reyes,6,5,1.2
1929,Bennie,17,8,2.125
1929,Guadalupe,10,9,1.111
1929,Lupe,10,14,0.714
1929,Billie,8,19,0.421
1929,Cruz,8,5,1.6
1929,Marion,5,8,0.625
1930,Jose,154,6,25.667
1930,Guadalupe,12,17,0.706
1930,Reyes,8,5,1.6
1930,Billie,7,24,0.292
1930,Mary,6,389,0.015
1930,Bobbie,5,16,0.312
1930,Jackie,5,5,1.0
1930,Lupe,5,13,0.385
1931,Jose,167,6,27.833
1931,Bennie,30,6,5.0
1931,Johnnie,17,9,1.889
1931,Guadalupe,13,10,1.3
1931,Francis,12,5,2.4
1931,Jackie,10,12,0.833
1931,Mary,7,389,0.018
1931,Billie,6,29,0.207
1932,Joe,214,6,35.667
1932,Jimmie,28,7,4.0
1932,Bennie,24,8,3.0
1932,Guadalupe,11,8,1.375
1932,Billie,9,15,0.6
1932,Lupe,9,25,0.36
1932,Bernie,8,8,1.0
1932,Jackie,7,6,1.167
1932,Marion,7,5,1.4
1932,Mary,6,402,0.015
1932,Bobbie,5,8,0.625
1933,Jimmie,38,5,7.6
1933,Cruz,9,7,1.286
1933,Mary,9,371,0.024
1933,Pat,9,7,1.286
1933,Billie,7,15,0.467
1933,Francis,7,8,0.875
1933,Guadalupe,7,7,1.0
1933,Jessie,7,7,1.0
1933,Lupe,7,25,0.28
1933,Jackie,6,5,1.2
1933,Vivian,5,6,0.833
1934,Manuel,91,5,18.2
1934,Johnnie,17,5,3.4
1934,Bennie,15,5,3.0
1934,Pat,15,9,1.667
1934,Billie,9,24,0.375
1934,Frankie,9,5,1.8
1934,Bobbie,6,10,0.6
1934,Guadalupe,5,7,0.714
1934,Lupe,5,26,0.192
1935,Willie,35,5,7.0
1935,Jimmie,33,6,5.5
1935,Bennie,24,6,4.0
1935,Pat,16,6,2.667
1935,Lupe,9,25,0.36
1935,Bobbie,8,9,0.889
1935,Guadalupe,6,8,0.75
1935,Jessie,6,8,0.75
1935,Reyes,6,5,1.2
1935,Mary,5,475,0.011
1936,Jerry,67,7,9.571
1936,Bennie,24,5,4.8
1936,Pat,12,6,2.0
1936,Cruz,8,5,1.6
1936,Lupe,7,27,0.259
1936,Mary,7,432,0.016
1936,Tommie,6,5,1.2
1936,Frankie,5,6,0.833
1936,Jackie,5,6,0.833
1937,Joe,224,5,44.8
1937,George,91,5,18.2
1937,Pat,19,14,1.357
1937,Frankie,9,6,1.5
1937,Jackie,8,8,1.0
1937,Lupe,8,29,0.276
1937,Marion,7,7,1.0
