YOB,Name,mFrequency,fFrequency,mForF
1946,Terry,11,6,1.833
1947,Terry,16,6,2.667
1947,Lee,8,5,1.6
1947,Lynn,5,10,0.5
1948,Leslie,6,5,1.2
1949,Terry,10,11,0.909
1950,Terry,10,5,2.0
1951,Terry,13,10,1.3
1952,Terry,16,9,1.778
1953,Terry,23,8,2.875
1953,Leslie,7,15,0.467
1954,Terry,14,20,0.7
1954,Kim,6,7,0.857
1954,Robin,6,10,0.6
1955,Terry,23,15,1.533
1955,Kim,6,15,0.4
1955,Lynn,6,6,1.0
1956,Terry,28,14,2.0
1956,Kim,10,20,0.5
1956,Leslie,9,11,0.818
1956,Robin,8,24,0.333
1957,Terry,22,16,1.375
1957,Leslie,9,16,0.562
1957,Kelly,8,7,1.143
1957,Lee,7,5,1.4
1957,Tracy,6,6,1.0
1957,Kim,5,24,0.208
1958,Terry,23,11,2.091
1958,Kelly,10,18,0.556
1958,Lee,8,5,1.6
1958,Robin,7,14,0.5
1959,Terry,14,11,1.273
1959,Dana,8,7,1.143
1959,Kelly,8,20,0.4
1959,Robin,8,19,0.421
1959,Tracy,7,5,1.4
1960,Terry,21,15,1.4
1960,Kelly,9,24,0.375
1960,Dana,6,7,0.857
1960,Robin,5,26,0.192
1960,Tracy,5,13,0.385
1961,Terry,22,5,4.4
1961,Chris,19,5,3.8
1961,Kelly,10,28,0.357
1961,Tracy,8,20,0.4
1961,Kim,6,25,0.24
1961,Robin,5,19,0.263
1961,Shawn,5,6,0.833
1962,Chris,23,6,3.833
1962,Kelly,15,27,0.556
1962,Terry,10,9,1.111
1962,Kim,5,35,0.143
1963,Michael,169,5,33.8
1963,Terry,23,11,2.091
1963,Shawn,16,7,2.286
1963,Kelly,15,31,0.484
1963,Tracy,9,33,0.273
1963,Dana,7,17,0.412
1963,Leslie,7,23,0.304
1963,Kim,5,42,0.119
1964,Shawn,13,7,1.857
1964,Kelly,9,43,0.209
1964,Tracy,9,41,0.22
1964,Robin,6,33,0.182
1964,Kim,5,25,0.2
1964,Leslie,5,18,0.278
1965,Shawn,36,8,4.5
1965,Kelly,19,25,0.76
1965,Terry,19,6,3.167
1965,Lee,9,5,1.8
1965,Tracy,8,36,0.222
1965,Shannon,7,14,0.5
1965,Dana,6,12,0.5
1965,Leslie,5,19,0.263
1966,Shawn,30,7,4.286
1966,Kelly,25,34,0.735
1966,Lee,11,5,2.2
1966,Tracy,10,39,0.256
1966,Dana,6,22,0.273
1966,Kim,6,21,0.286
1967,Kelly,20,24,0.833
1967,Tracy,14,30,0.467
1967,Dana,10,15,0.667
1967,Stacy,6,11,0.545
1967,Jody,5,7,0.714
1968,Kelly,13,32,0.406
1968,Stacy,11,19,0.579
1968,Tracy,9,29,0.31
1968,Shannon,6,33,0.182
1969,Shawn,30,5,6.0
1969,Kelly,17,32,0.531
1969,Shannon,15,53,0.283
1969,Tracy,6,31,0.194
1970,Shawn,29,10,2.9
1970,Kelly,10,26,0.385
1970,Dana,9,12,0.75
1970,Jamie,7,15,0.467
1971,Shawn,39,5,7.8
1971,Tracy,15,27,0.556
1971,Kelly,12,25,0.48
1971,Jamie,7,8,0.875
1971,Shannon,6,54,0.111
1971,Leslie,5,13,0.385
1972,Kelly,10,15,0.667
1972,Tracy,6,30,0.2
1972,Jamie,5,10,0.5
1972,Shannon,5,38,0.132
1973,Jamie,10,14,0.714
1973,Tracy,10,19,0.526
1973,Kelly,6,25,0.24
1974,Jamie,9,15,0.6
1974,Kelly,7,14,0.5
1974,Dana,5,9,0.556
1974,Robin,5,17,0.294
1975,Kelly,9,27,0.333
1975,Jamie,5,24,0.208
1976,Kelly,11,31,0.355
1977,Casey,10,6,1.667
1977,Jaime,7,18,0.389
1977,Kelly,7,35,0.2
1978,Casey,10,5,2.0
1978,Kelly,9,40,0.225
1978,Jamie,7,49,0.143
1979,Ryan,86,5,17.2
1979,Casey,19,9,2.111
1979,Jamie,9,52,0.173
1979,Kelly,8,28,0.286
1979,Jessie,7,7,1.0
1979,Robin,5,10,0.5
1980,Jaime,6,24,0.25
1980,Jamie,6,67,0.09
1980,Ashley,5,14,0.357
1981,Shawn,24,5,4.8
1981,Casey,21,8,2.625
1981,Kelly,10,42,0.238
1981,Jaime,7,10,0.7
1981,Jessie,5,8,0.625
1981,Robin,5,11,0.455
1982,Morgan,8,10,0.8
1982,Taylor,8,5,1.6
1982,Jamie,7,63,0.111
1983,Casey,22,7,3.143
1983,Kelly,6,28,0.214
1983,Courtney,5,18,0.278
1984,Casey,26,16,1.625
1984,Kelly,7,34,0.206
1984,Morgan,7,7,1.0
1984,Taylor,7,6,1.167
1984,Jaime,5,13,0.385
1985,Ryan,139,6,23.167
1985,Casey,24,14,1.714
1985,Taylor,21,6,3.5
1985,Jamie,9,56,0.161
1985,Kelly,8,38,0.211
1985,Jessie,7,7,1.0
1985,Jaime,6,8,0.75
1986,Casey,27,11,2.455
1986,Jordan,26,14,1.857
1986,Devin,15,5,3.0
1986,Adrian,12,5,2.4
1986,Taylor,11,8,1.375
1986,Jaime,7,5,1.4
1986,Jessie,6,9,0.667
1986,Angel,5,6,0.833
1986,Robin,5,12,0.417
1987,Jordan,43,7,6.143
1987,Casey,23,15,1.533
1987,Taylor,10,18,0.556
1987,Jaime,7,7,1.0
1987,Kelly,7,31,0.226
1987,Jessie,6,5,1.2
1987,Jamie,5,44,0.114
1988,Jordan,39,10,3.9
1988,Alex,31,5,6.2
1988,Casey,23,10,2.3
1988,Taylor,13,12,1.083
1988,Jamie,7,36,0.194
1988,Jessie,6,8,0.75
1989,Jordan,66,27,2.444
1989,Taylor,29,26,1.115
1989,Casey,23,16,1.438
1989,Jessie,8,8,1.0
1989,Angel,6,9,0.667
1989,Jamie,5,40,0.125
1989,Kelly,5,27,0.185
1989,Morgan,5,18,0.278
1990,Ryan,172,5,34.4
1990,Jordan,74,38,1.947
1990,Taylor,60,56,1.071
1990,Christian,52,10,5.2
1990,Alex,40,5,8.0
1990,Casey,34,11,3.091
1990,Devin,17,8,2.125
1990,Angel,11,7,1.571
1990,Alexis,9,41,0.22
1990,Jaime,7,11,0.636
1990,Morgan,7,30,0.233
1990,Jamie,6,39,0.154
1991,Jordan,99,50,1.98
1991,Taylor,60,67,0.896
1991,Unknown,25,21,1.19
1991,Devin,24,14,1.714
1991,Casey,23,16,1.438
1991,Angel,11,9,1.222
1991,Devon,10,8,1.25
1991,Jaime,9,7,1.286
1991,Jessie,9,9,1.0
1991,Dominique,7,7,1.0
1991,Alexis,6,61,0.098
1991,Ariel,5,41,0.122
1991,Jamie,5,41,0.122
1991,Kelly,5,28,0.179
1991,Morgan,5,25,0.2
1992,Tyler,184,8,23.0
1992,Jordan,93,31,3.0
1992,Taylor,50,96,0.521
1992,Casey,33,19,1.737
1992,Devin,31,5,6.2
1992,Unknown,30,21,1.429
1992,Angel,21,8,2.625
1992,Jessie,13,9,1.444
1992,Kelly,13,21,0.619
1992,Alexis,10,72,0.139
1992,Dominique,9,9,1.0
1992,Morgan,7,40,0.175
1992,Jamie,6,35,0.171
1992,Mackenzie,6,12,0.5
1992,Dallas,5,7,0.714
1992,Kasey,5,5,1.0
1993,Tyler,165,7,23.571
1993,Jordan,118,51,2.314
1993,Jesse,60,5,12.0
1993,Taylor,50,140,0.357
1993,Casey,31,11,2.818
1993,Dakota,31,9,3.444
1993,Angel,27,11,2.455
1993,Devon,20,6,3.333
1993,Unknown,19,14,1.357
1993,Dallas,10,7,1.429
1993,Alexis,9,84,0.107
1993,Dominique,9,12,0.75
1993,Jessie,6,12,0.5
1993,Jamie,5,23,0.217
1993,Kelly,5,21,0.238
1993,Kendall,5,6,0.833
1993,Morgan,5,39,0.128
1994,Tyler,188,6,31.333
1994,Jordan,115,50,2.3
1994,Devin,47,10,4.7
1994,Logan,46,5,9.2
1994,Taylor,38,164,0.232
1994,Dakota,35,11,3.182
1994,Hunter,29,11,2.636
1994,Casey,21,8,2.625
1994,Angel,20,5,4.0
1994,Alexis,13,102,0.127
1994,Devon,13,5,2.6
1994,Jessie,11,12,0.917
1994,Riley,11,8,1.375
1994,Dominique,9,21,0.429
1994,Morgan,8,43,0.186
1994,Harley,7,5,1.4
1994,Darian,6,7,0.857
1994,Kendall,6,11,0.545
1994,Sidney,6,7,0.857
1995,Tyler,198,10,19.8
1995,Jordan,91,47,1.936
1995,Dakota,53,7,7.571
1995,Hunter,37,5,7.4
1995,Angel,33,10,3.3
1995,Taylor,31,160,0.194
1995,Casey,26,17,1.529
1995,Devon,26,5,5.2
1995,Tristan,26,5,5.2
1995,Alexis,19,113,0.168
1995,Chandler,15,8,1.875
1995,Riley,12,12,1.0
1995,Darian,10,5,2.0
1995,Drew,10,5,2.0
1995,Morgan,9,48,0.188
1995,Dallas,8,11,0.727
1995,Jaime,7,6,1.167
1995,Kendall,7,8,0.875
1995,Skylar,7,8,0.875
1995,Ariel,6,8,0.75
1995,Justice,6,7,0.857
1995,Mackenzie,6,24,0.25
1995,Bailey,5,28,0.179
1995,Jessie,5,11,0.455
1995,Unknown,5,6,0.833
1996,Tyler,171,13,13.154
