YOB,Name,mFrequency,fFrequency,mForF
1910,Francis,35,6,5.833
1910,Marion,10,48,0.208
1910,Mary,6,1099,0.005
1910,Pearl,6,57,0.105
1911,Francis,46,8,5.75
1911,Marion,23,43,0.535
1911,Mary,6,1277,0.005
1912,John,1111,7,158.714
1912,Francis,101,9,11.222
1912,Marion,50,60,0.833
1912,Cecil,35,5,7.0
1912,Lee,28,7,4.0
1912,Laverne,8,19,0.421
1912,Gail,7,7,1.0
1912,Ora,7,7,1.0
1912,Carmen,5,9,0.556
1912,Dorothy,5,807,0.006
1912,Pearl,5,90,0.056
1913,Robert,1141,6,190.167
1913,Francis,123,6,20.5
1913,Cecil,50,6,8.333
1913,Marion,42,87,0.483
1913,Lee,29,7,4.143
1913,Merle,26,6,4.333
1913,Pearl,14,78,0.179
1913,Carmen,11,10,1.1
1913,Ora,9,7,1.286
1913,Frances,7,353,0.02
1913,Gail,5,7,0.714
1913,Helen,5,1384,0.004
1914,John,1848,9,205.333
1914,Robert,1584,6,264.0
1914,James,879,6,146.5
1914,Eugene,153,5,30.6
1914,Francis,147,9,16.333
1914,Ray,107,5,21.4
1914,Cecil,61,6,10.167
1914,Lee,36,7,5.143
1914,Marion,35,94,0.372
1914,Merle,27,7,3.857
1914,Gene,26,9,2.889
1914,Carmen,11,7,1.571
1914,Gail,11,10,1.1
1914,Pearl,10,81,0.123
1914,Mary,9,2731,0.003
1914,Laverne,6,30,0.2
1914,Ollie,6,7,0.857
1914,Ora,6,12,0.5
1914,Ruth,6,1152,0.005
1914,Frances,5,441,0.011
1914,Garnet,5,42,0.119
1914,Jean,5,187,0.027
1915,John,2449,6,408.167
1915,Robert,2199,7,314.143
1915,William,1946,5,389.2
1915,George,1126,5,225.2
1915,Louis,321,5,64.2
1915,Francis,255,8,31.875
1915,Marion,84,138,0.609
1915,Lee,46,13,3.538
1915,Merle,45,14,3.214
1915,Gene,34,8,4.25
1915,Pearl,19,143,0.133
1915,Gail,18,7,2.571
1915,Carmen,15,17,0.882
1915,Cleo,12,38,0.316
1915,Ora,12,13,0.923
1915,Beryl,11,12,0.917
