YOB,Name,mFrequency,fFrequency,mForF
1910,Willie,46,50,0.92
1910,Francis,10,10,1.0
1910,Marion,10,6,1.667
1910,Jessie,9,54,0.167
1910,Johnnie,7,9,0.778
1910,Billie,6,11,0.545
1911,Willie,43,42,1.024
1911,Jessie,16,56,0.286
1911,Johnnie,13,8,1.625
1911,Bennie,8,5,1.6
1911,Jimmie,8,5,1.6
1911,Cleo,6,19,0.316
1911,Johnie,6,5,1.2
1912,Cecil,66,7,9.429
1912,Willie,66,68,0.971
1912,Lee,53,6,8.833
1912,Marion,27,10,2.7
1912,Johnnie,20,12,1.667
1912,Jimmie,18,6,3.0
1912,Alva,17,8,2.125
1912,Jessie,16,70,0.229
1912,Francis,15,9,1.667
1912,Cleo,13,31,0.419
1912,Jewel,8,36,0.222
1912,Ollie,8,36,0.222
1912,Jerry,5,5,1.0
1912,Tommie,5,6,0.833
1913,John,430,5,86.0
1913,Cecil,72,7,10.286
1913,Willie,55,60,0.917
1913,Lee,44,7,6.286
1913,Marion,41,9,4.556
1913,Francis,26,16,1.625
1913,Jessie,24,84,0.286
1913,Johnnie,22,14,1.571
1913,Alva,15,6,2.5
1913,Jimmie,15,9,1.667
1913,Cleo,11,37,0.297
1913,Ollie,11,33,0.333
1913,Tommie,9,5,1.8
1913,Jerry,7,6,1.167
1914,Cecil,91,12,7.583
1914,Willie,76,75,1.013
1914,Lee,67,9,7.444
1914,Francis,38,14,2.714
1914,Marion,33,10,3.3
1914,Jessie,32,93,0.344
1914,Merle,19,9,2.111
1914,Cleo,17,36,0.472
1914,Johnnie,16,15,1.067
1914,Johnie,15,7,2.143
1914,Alva,12,8,1.5
1914,Lois,8,131,0.061
1914,Tommie,8,8,1.0
1914,Ollie,6,50,0.12
1914,Fay,5,21,0.238
1915,Cecil,131,8,16.375
1915,Willie,90,71,1.268
1915,Lee,85,13,6.538
1915,Francis,59,12,4.917
1915,Marion,50,15,3.333
1915,Cleo,42,52,0.808
1915,Jessie,33,119,0.277
1915,Johnnie,32,24,1.333
1915,Jimmie,28,11,2.545
1915,Merle,21,7,3.0
1915,Eddie,19,12,1.583
1915,Johnie,17,6,2.833
1915,Alva,16,7,2.286
1915,Billie,13,45,0.289
1915,Odell,11,6,1.833
1915,Jerry,9,5,1.8
1915,Jewel,8,69,0.116
1915,Ora,8,36,0.222
1915,Artie,7,8,0.875
1915,Jewell,7,68,0.103
1915,Ollie,7,39,0.179
1915,Shirley,7,16,0.438
1915,Tommie,7,7,1.0
1915,Frankie,6,17,0.353
1915,Audrey,5,33,0.152
1915,Bonnie,5,58,0.086
1915,Joyce,5,25,0.2
1915,Lois,5,180,0.028
1915,Vernie,5,8,0.625
1916,John,665,5,133.0
1916,Cecil,147,11,13.364
1916,Willie,109,76,1.434
1916,Lee,86,14,6.143
1916,Marion,69,11,6.273
1916,Francis,56,12,4.667
1916,Jessie,34,108,0.315
1916,Cleo,32,56,0.571
1916,Jimmie,32,20,1.6
1916,Johnnie,25,37,0.676
1916,Bennie,19,9,2.111
1916,Jerry,19,8,2.375
1916,Merle,19,15,1.267
1916,Tommie,17,12,1.417
1916,Billie,12,46,0.261
1916,Ollie,11,38,0.289
1916,Ora,11,36,0.306
1916,Laverne,9,16,0.562
1916,Frances,7,180,0.039
1916,Lois,7,186,0.038
1916,Jewel,6,68,0.088
1916,Vernie,6,7,0.857
1916,Claudie,5,5,1.0
1916,Loyce,5,11,0.455
1916,Opal,5,278,0.018
1916,Theo,5,5,1.0
1917,Joe,198,7,28.286
1917,Frank,187,5,37.4
1917,Cecil,143,8,17.875
1917,Willie,116,90,1.289
