YOB,Name,mFrequency,fFrequency,mForF
1912,Marion,7,9,0.778
1912,Merle,5,5,1.0
1913,Marion,6,16,0.375
1914,Marion,8,16,0.5
1915,Marion,15,23,0.652
1915,Gail,6,6,1.0
1916,Marion,11,21,0.524
1916,Fay,5,6,0.833
1916,Merle,5,5,1.0
1917,Marion,13,19,0.684
1918,Marion,12,26,0.462
1919,Marion,10,15,0.667
1919,Merle,8,8,1.0
1919,Laverne,6,11,0.545
1920,Merle,18,5,3.6
1920,Marion,12,26,0.462
1921,Gene,18,6,3.0
1921,Marion,14,18,0.778
1921,Jean,5,102,0.049
1922,Marion,14,14,1.0
1923,Marion,11,20,0.55
1923,Merle,10,6,1.667
1924,Marion,18,26,0.692
1925,Marion,9,17,0.529
1926,Marion,14,23,0.609
1927,Leslie,20,5,4.0
1927,Merle,12,5,2.4
1927,Marion,6,11,0.545
1927,Billie,5,14,0.357
1928,Leslie,15,6,2.5
1928,Marion,12,9,1.333
1928,Laverne,6,7,0.857
1929,Jerry,28,8,3.5
1929,Marion,10,26,0.385
1931,Jackie,7,10,0.7
1931,Marion,6,13,0.462
1932,Jackie,8,8,1.0
1932,Marion,8,9,0.889
1932,Pat,5,26,0.192
1933,Jackie,6,11,0.545
1933,Marion,5,6,0.833
1933,Pat,5,13,0.385
1934,Jerry,58,5,11.6
1934,Leslie,12,6,2.0
1934,Lynn,7,5,1.4
1934,Marion,6,7,0.857
1934,Pat,5,22,0.227
1935,Leslie,14,6,2.333
1935,Pat,5,25,0.2
1936,Lee,20,6,3.333
1936,Jackie,6,11,0.545
1936,Marion,6,9,0.667
1936,Pat,5,18,0.278
1937,Jerry,94,7,13.429
1937,Merle,9,5,1.8
1937,Jackie,8,10,0.8
1937,Lynn,8,5,1.6
1937,Marion,5,12,0.417
1938,Jerry,123,5,24.6
1938,Lynn,13,11,1.182
1938,Pat,11,34,0.324
1938,Jackie,6,13,0.462
1938,Jan,5,7,0.714
1938,Marion,5,11,0.455
1939,Lynn,15,11,1.364
1939,Pat,9,26,0.346
1939,Gail,8,30,0.267
1939,Marion,5,5,1.0
1940,Lee,23,7,3.286
1940,Leslie,22,6,3.667
1940,Lynn,21,8,2.625
1940,Marion,8,10,0.8
1940,Pat,8,41,0.195
1940,Jackie,5,13,0.385
1941,Jerry,161,5,32.2
1941,Leslie,16,12,1.333
1941,Lynn,13,10,1.3
1941,Gail,7,30,0.233
1941,Jackie,7,12,0.583
