YOB,Name,mFrequency,fFrequency,mForF
1920,Jean,5,26,0.192
1921,Jean,6,22,0.273
1922,Jean,5,23,0.217
1924,Jean,11,31,0.355
1925,Jean,10,41,0.244
1926,Jean,7,44,0.159
1927,Jean,6,62,0.097
1929,Jean,10,69,0.145
1931,John,315,5,63.0
1931,Jean,5,61,0.082
1932,Jean,16,70,0.229
1933,Jean,11,66,0.167
1935,Jean,7,68,0.103
1936,Jean,6,67,0.09
1937,Charles,106,5,21.2
1937,Jean,9,72,0.125
1940,Jean,10,68,0.147
1941,Jean,6,65,0.092
1942,Jean,8,66,0.121
1944,Lee,8,6,1.333
1944,Jean,6,64,0.094
1945,Jean,8,61,0.131
1945,Leslie,5,25,0.2
1946,Leslie,10,26,0.385
1946,Dale,6,12,0.5
1946,Jean,5,72,0.069
1947,Lee,15,6,2.5
1947,Dale,7,9,0.778
1947,Jean,7,83,0.084
1948,Jean,9,66,0.136
1948,Dale,8,13,0.615
1948,Lee,5,7,0.714
1948,Leslie,5,23,0.217
1949,Lee,12,5,2.4
1949,Terry,12,8,1.5
1949,Dale,10,9,1.111
1949,Leslie,7,23,0.304
1950,Lee,11,8,1.375
1950,Dale,10,8,1.25
1950,Jean,8,62,0.129
1951,Dale,12,5,2.4
1951,Robin,7,27,0.259
1951,Jean,5,65,0.077
1951,Leslie,5,37,0.135
1952,Leslie,14,33,0.424
1952,Dale,12,14,0.857
1952,Dana,11,7,1.571
1952,Kim,7,5,1.4
1953,Dale,7,14,0.5
1953,Jean,6,45,0.133
1953,Lee,6,9,0.667
1953,Leslie,5,35,0.143
1953,Terry,5,6,0.833
1954,Jean,9,64,0.141
1954,Lee,9,13,0.692
1954,Terry,8,10,0.8
1954,Dale,7,16,0.438
1954,Leslie,6,27,0.222
1955,Terry,13,10,1.3
1955,Jean,7,58,0.121
1955,Lee,6,12,0.5
1955,Robin,6,101,0.059
1955,Kim,5,26,0.192
1956,Dale,12,6,2.0
1956,Jean,9,58,0.155
1956,Lee,9,7,1.286
1956,Terry,8,13,0.615
1956,Kerry,6,7,0.857
1956,Kim,5,51,0.098
1957,Dana,11,6,1.833
1957,Lee,11,7,1.571
1957,Jean,6,52,0.115
1957,Terry,5,12,0.417
1958,Dale,16,9,1.778
1958,Terry,7,10,0.7
1958,Jean,6,60,0.1
1958,Lee,6,10,0.6
1959,Dale,10,5,2.0
1959,Terry,9,15,0.6
1959,Jean,6,56,0.107
1959,Lee,6,11,0.545
1960,Rene,15,6,2.5
1960,Dale,12,6,2.0
1960,Dana,9,10,0.9
1960,Lee,8,12,0.667
1960,Jean,6,50,0.12
1960,Tracy,6,26,0.231
1960,Terry,5,13,0.385
1961,Terry,12,12,1.0
1961,Dale,11,10,1.1
1961,Rene,9,5,1.8
1961,Jean,6,42,0.143
1961,Tracy,6,27,0.222
1961,Dana,5,10,0.5
1961,Lee,5,15,0.333
1962,Dana,9,8,1.125
1962,Terry,7,10,0.7
1962,Kerry,5,18,0.278
1962,Lee,5,8,0.625
1963,John,506,5,101.2
1963,Dana,12,15,0.8
1963,Dale,11,7,1.571
1963,Kelly,5,51,0.098
1963,Terry,5,14,0.357
1964,Shawn,16,5,3.2
1964,Dale,14,7,2.0
1964,Dana,12,16,0.75
1964,Lee,8,5,1.6
1964,Terry,7,11,0.636
1964,Kelly,5,39,0.128
1964,Tracy,5,34,0.147
1965,John,477,5,95.4
1966,John,398,5,79.6
1966,Steven,196,5,39.2
1966,Dana,7,17,0.412
1966,Kelly,6,54,0.111
1966,Lee,5,10,0.5
1966,Tracy,5,46,0.109
1967,Dana,7,21,0.333
1967,Lee,6,7,0.857
1968,John,357,6,59.5
1968,Lee,10,8,1.25
1968,Dana,6,16,0.375
1968,Jean,5,16,0.312
1969,Jamie,8,7,1.143
1969,Lee,8,8,1.0
1969,Tracy,7,85,0.082
1970,Shawn,37,5,7.4
1970,Jamie,10,8,1.25
1970,Jody,9,8,1.125
1970,Dana,8,18,0.444
1970,Lee,7,8,0.875
1971,Jamie,20,8,2.5
1971,Dana,8,22,0.364
1971,Jody,7,9,0.778
1971,Shannon,6,45,0.133
1971,Lee,5,5,1.0
1972,Jamie,34,7,4.857
1972,Dana,8,16,0.5
1972,Jody,7,9,0.778
1972,Shannon,5,29,0.172
1973,Jamie,28,8,3.5
1973,Erin,5,39,0.128
1973,Jody,5,6,0.833
1974,Jamie,31,5,6.2
1974,Dana,10,13,0.769
1975,Lee,6,6,1.0
