YOB,Name,mFrequency,fFrequency,mForF
1910,Willie,256,101,2.535
1910,Johnnie,47,7,6.714
1910,Lee,42,5,8.4
1910,Eddie,33,5,6.6
1910,Marion,32,15,2.133
1910,Jessie,26,85,0.306
1910,Francis,10,5,2.0
1910,Cecil,7,5,1.4
1910,Ollie,7,27,0.259
1910,Hazel,6,27,0.222
1910,Odell,5,7,0.714
1911,Willie,274,99,2.768
1911,Lee,40,6,6.667
1911,Eddie,39,5,7.8
1911,Jessie,27,67,0.403
1911,Marion,26,12,2.167
1911,Bennie,20,11,1.818
1911,Francis,13,14,0.929
1911,Gussie,6,13,0.462
1911,Cleo,5,17,0.294
1911,Ollie,5,34,0.147
1912,Willie,327,139,2.353
1912,Eddie,49,11,4.455
1912,Jessie,48,95,0.505
1912,Johnnie,43,8,5.375
1912,Marion,38,20,1.9
1912,Lee,35,12,2.917
1912,Bennie,29,5,5.8
1912,Cecil,15,7,2.143
1912,Francis,15,5,3.0
1912,Freddie,13,5,2.6
1912,Hazel,12,41,0.293
1912,Jimmie,12,7,1.714
1912,Odell,11,5,2.2
1912,Connie,7,12,0.583
1912,Ollie,6,31,0.194
1912,Cleo,5,21,0.238
1912,Mary,5,711,0.007
1913,William,530,6,88.333
1913,Willie,361,153,2.359
1913,Eddie,69,10,6.9
1913,Marion,56,36,1.556
1913,Johnnie,51,13,3.923
1913,Lee,46,9,5.111
1913,Jessie,42,107,0.393
1913,Bennie,33,5,6.6
1913,Jimmie,22,5,4.4
1913,Francis,13,11,1.182
1913,Hazel,10,41,0.244
1913,Ollie,8,43,0.186
1913,Gussie,7,15,0.467
1913,Hallie,6,5,1.2
1913,Mary,5,725,0.007
1914,Willie,492,188,2.617
1914,George,390,5,78.0
1914,Charlie,105,5,21.0
1914,Marion,87,33,2.636
1914,Eddie,75,9,8.333
1914,Johnnie,75,18,4.167
1914,Jessie,62,135,0.459
1914,Lee,45,11,4.091
1914,Cecil,32,10,3.2
1914,Odell,31,8,3.875
1914,Francis,27,16,1.688
1914,Jimmie,24,5,4.8
1914,Hazel,11,63,0.175
1914,Ollie,11,29,0.379
1914,Mary,8,908,0.009
1914,Leslie,5,5,1.0
1914,Ossie,5,6,0.833
1914,Theo,5,8,0.625
1915,James,1414,6,235.667
1915,William,827,5,165.4
1915,Willie,555,199,2.789
1915,Henry,345,5,69.0
1915,Johnnie,96,22,4.364
1915,Jessie,76,138,0.551
1915,Marion,74,25,2.96
1915,Lee,72,16,4.5
1915,Eddie,71,8,8.875
1915,Clyde,50,6,8.333
1915,Francis,41,18,2.278
1915,Bennie,38,8,4.75
1915,Cecil,34,6,5.667
1915,Johnie,30,6,5.0
1915,Jimmie,27,8,3.375
1915,Odell,25,6,4.167
1915,Ray,21,5,4.2
1915,Hazel,17,90,0.189
1915,Ollie,13,42,0.31
1915,Cleo,11,29,0.379
1915,Bernice,7,84,0.083
1915,Louise,6,321,0.019
1915,Connie,5,22,0.227
1915,Gussie,5,23,0.217
1915,Mary,5,1098,0.005
1916,James,1511,10,151.1
1916,Robert,599,7,85.571
1916,Willie,593,196,3.026
1916,Johnnie,138,18,7.667
1916,Marion,101,27,3.741
1916,Eddie,92,8,11.5
1916,Jessie,88,165,0.533
1916,Lee,72,14,5.143
1916,Bennie,51,10,5.1
1916,Cecil,46,8,5.75
1916,Francis,44,16,2.75
1916,Odell,35,5,7.0
1916,Freddie,34,6,5.667
1916,Hazel,23,100,0.23
1916,Jimmie,23,5,4.6
1916,Tommie,22,5,4.4
1916,Cleo,13,31,0.419
1916,Ollie,13,50,0.26
1916,Leslie,11,5,2.2
1916,Ellie,10,6,1.667
1916,Robbie,8,7,1.143
1916,June,6,7,0.857
1916,Annie,5,566,0.009
1916,Gussie,5,21,0.238
1917,James,1536,9,170.667
1917,Willie,579,238,2.433
1917,Johnnie,116,21,5.524
1917,Marion,99,43,2.302
1917,Jessie,86,152,0.566
1917,Eddie,84,15,5.6
1917,Clyde,74,6,12.333
1917,Francis,53,20,2.65
1917,Bennie,51,7,7.286
1917,Johnie,51,9,5.667
1917,Lee,49,12,4.083
1917,Cecil,34,13,2.615
1917,Jimmie,29,5,5.8
1917,Freddie,27,7,3.857
1917,Tommie,19,7,2.714
1917,Hazel,16,91,0.176
1917,Ollie,14,54,0.259
1917,Cleo,11,27,0.407
1917,Mary,8,1263,0.006
1917,Billie,6,7,0.857
1917,Gussie,5,27,0.185
1917,Theo,5,9,0.556
1918,James,1815,7,259.286
1918,John,1194,5,238.8
1918,Willie,696,259,2.687
1918,Robert,621,7,88.714
1918,Joe,219,5,43.8
1918,Charlie,164,5,32.8
1918,Johnnie,126,20,6.3
1918,Marion,109,50,2.18
1918,Eddie,107,9,11.889
1918,Jessie,89,165,0.539
1918,Lee,73,12,6.083
1918,Johnie,67,11,6.091
1918,Bennie,55,12,4.583
1918,Francis,53,29,1.828
1918,Cecil,45,10,4.5
1918,Lonnie,40,8,5.0
1918,Freddie,39,6,6.5
1918,Jimmie,36,11,3.273
1918,Odell,26,6,4.333
1918,Tommie,22,5,4.4
1918,Hazel,19,101,0.188
1918,Ollie,18,54,0.333
1918,Jonnie,9,6,1.5
1918,Bernice,7,100,0.07
1918,Cleo,7,28,0.25
1918,Laurie,6,6,1.0
1918,Annie,5,555,0.009
1918,Callie,5,15,0.333
1918,Carol,5,9,0.556
1918,Frances,5,316,0.016
1918,Mary,5,1412,0.004
1918,Mattie,5,219,0.023
1919,James,1871,6,311.833
1919,William,1157,5,231.4
1919,Willie,731,262,2.79
1919,Henry,461,5,92.2
1919,Joe,180,5,36.0
1919,Johnnie,158,20,7.9
1919,Eddie,117,8,14.625
1919,Marion,112,35,3.2
1919,Jessie,100,192,0.521
1919,Lee,81,16,5.062
1919,Bennie,58,14,4.143
1919,Johnie,56,13,4.308
1919,Odell,49,7,7.0
1919,Jimmie,44,6,7.333
1919,Cecil,43,15,2.867
1919,Francis,39,31,1.258
1919,Ray,35,5,7.0
1919,Freddie,34,5,6.8
1919,Hazel,24,122,0.197
1919,Tommie,24,7,3.429
1919,Ollie,23,61,0.377
1919,Maxie,10,6,1.667
1919,Mary,8,1616,0.005
1919,Billie,7,8,0.875
1919,Carol,7,5,1.4
1919,Cleo,7,25,0.28
1919,Bernice,6,104,0.058
1919,Frankie,6,13,0.462
1919,Gussie,6,22,0.273
1919,Hallie,6,13,0.462
1919,Theo,6,10,0.6
1919,Annie,5,692,0.007
1920,James,2118,12,176.5
1920,John,1290,9,143.333
1920,Willie,683,255,2.678
1920,Joe,208,6,34.667
1920,Charlie,184,8,23.0
1920,Johnnie,148,44,3.364
1920,Jessie,127,171,0.743
1920,Marion,119,61,1.951
1920,Eddie,106,17,6.235
1920,Lee,93,16,5.812
1920,Clyde,82,10,8.2
1920,Bennie,62,10,6.2
1920,Cecil,62,10,6.2
1920,Francis,52,35,1.486
1920,Freddie,48,6,8.0
1920,Johnie,47,7,6.714
1920,Odell,47,8,5.875
1920,Jimmie,41,6,6.833
1920,Hazel,21,154,0.136
1920,Tommie,19,6,3.167
1920,Cleo,15,33,0.455
1920,Ollie,14,57,0.246
1920,Billie,11,18,0.611
1920,Robbie,9,8,1.125
1920,Connie,7,18,0.389
1920,Mary,7,1615,0.004
1920,Callie,6,19,0.316
1920,Gene,6,5,1.2
1920,Gussie,6,28,0.214
1920,Carol,5,9,0.556
1920,Rosa,5,246,0.02
1921,John,1245,8,155.625
1921,Robert,727,6,121.167
1921,Willie,599,250,2.396
1921,George,482,6,80.333
1921,Marion,138,43,3.209
1921,Johnnie,116,29,4.0
1921,Clyde,106,6,17.667
1921,Eddie,93,14,6.643
1921,Jessie,93,180,0.517
1921,Lee,75,23,3.261
1921,Otis,56,7,8.0
1921,Cecil,49,8,6.125
1921,Francis,47,30,1.567
1921,Bennie,46,7,6.571
1921,Johnie,44,9,4.889
1921,Odell,43,6,7.167
1921,Hazel,29,151,0.192
1921,Ira,14,5,2.8
1921,Billie,13,9,1.444
1921,Cleo,12,34,0.353
1921,Carol,10,10,1.0
1921,Ollie,10,46,0.217
1921,Elwood,7,6,1.167
1921,Mannie,7,5,1.4
1921,Mary,7,1688,0.004
1921,Bobbie,5,9,0.556
1921,Jewel,5,8,0.625
1921,Lillie,5,278,0.018
1921,Louise,5,419,0.012
1921,Ruby,5,297,0.017
1921,Theo,5,6,0.833
1922,James,2075,7,296.429
