YOB,Name,mFrequency,fFrequency,mForF
1913,Merle,7,5,1.4
1914,Marion,11,17,0.647
1915,Merle,15,5,3.0
1915,Marion,9,22,0.409
1916,Merle,16,7,2.286
1916,Laverne,10,7,1.429
1916,Marion,5,20,0.25
1917,Marion,12,21,0.571
1917,Laverne,8,8,1.0
1918,Marion,8,27,0.296
1918,Laverne,7,6,1.167
1919,Laverne,8,6,1.333
1919,Marion,7,23,0.304
1919,Cleo,6,7,0.857
1919,Shirley,5,24,0.208
1920,Marion,18,24,0.75
1920,Laverne,16,7,2.286
1921,Merle,33,5,6.6
1921,Laverne,14,5,2.8
1921,Marion,9,28,0.321
1922,Marion,10,25,0.4
1922,Jean,6,37,0.162
1923,Laverne,13,6,2.167
1923,Marion,11,16,0.688
1923,Gail,6,5,1.2
1924,Laverne,18,7,2.571
1924,Marion,10,22,0.455
1925,Robert,413,5,82.6
1925,Laverne,15,7,2.143
1925,Marion,11,25,0.44
1926,Laverne,20,9,2.222
1926,Marion,9,18,0.5
1926,Laurel,5,5,1.0
1927,Laverne,21,6,3.5
1927,Marion,12,19,0.632
1928,Laverne,21,12,1.75
1928,Carol,5,46,0.109
1929,Laverne,15,8,1.875
1930,Marion,5,14,0.357
1931,Donald,285,6,47.5
1931,Laverne,20,6,3.333
1931,Marion,6,14,0.429
1932,William,122,5,24.4
1933,Donald,289,5,57.8
1933,Laverne,14,5,2.8
1933,Marion,5,12,0.417
1934,Laverne,9,6,1.5
1934,Marion,6,8,0.75
1934,Pat,5,9,0.556
1935,Laverne,8,5,1.6
1935,Pat,7,8,0.875
1936,Jackie,6,5,1.2
1936,Marion,5,14,0.357
1937,Pat,6,10,0.6
1937,Jackie,5,8,0.625
1937,Marion,5,10,0.5
1938,Jackie,8,6,1.333
1941,Terry,35,5,7.0
1941,Lynn,12,9,1.333
1941,Jackie,5,5,1.0
1942,Pat,5,10,0.5
1943,Terry,47,5,9.4
1943,Lynn,15,5,3.0
1943,Pat,6,9,0.667
1944,Lynn,14,6,2.333
1945,Lynn,16,11,1.455
1945,Jackie,5,5,1.0
1946,Terry,73,6,12.167
1946,Lynn,14,13,1.077
1946,Leslie,13,7,1.857
1946,Jackie,5,5,1.0
1946,Marion,5,6,0.833
1946,Pat,5,6,0.833
1947,Terry,91,6,15.167
1947,Lynn,27,23,1.174
1947,Lee,16,5,3.2
1947,Pat,6,15,0.4
1947,Robin,5,7,0.714
1948,Terry,90,10,9.0
1948,Lynn,29,21,1.381
1948,Leslie,22,6,3.667
1948,Jan,6,11,0.545
1948,Robin,6,5,1.2
1949,Terry,126,12,10.5
1949,Leslie,28,7,4.0
1949,Lee,21,5,4.2
1949,Lynn,20,25,0.8
1949,Robin,7,5,1.4
1949,Jan,6,10,0.6
1949,Gail,5,21,0.238
1950,Terry,105,5,21.0
1950,Lynn,25,21,1.19
1950,Lee,23,5,4.6
1950,Leslie,18,6,3.0
1950,Dana,5,7,0.714
1951,Terry,113,11,10.273
1951,Lynn,34,25,1.36
1951,Leslie,14,6,2.333
1951,Dana,11,6,1.833
1951,Jan,8,11,0.727
1952,Terry,130,15,8.667
1952,Kim,42,5,8.4
1952,Lynn,29,27,1.074
1952,Leslie,16,9,1.778
1952,Kerry,13,5,2.6
1952,Robin,6,13,0.462
1953,Terry,99,11,9.0
1953,Kim,33,19,1.737
1953,Lee,26,6,4.333
1953,Lynn,20,23,0.87
1953,Leslie,17,10,1.7
1953,Robin,12,24,0.5
1953,Jackie,5,6,0.833
1953,Jan,5,13,0.385
1954,Terry,101,18,5.611
1954,Kim,34,19,1.789
1954,Lynn,24,26,0.923
1954,Leslie,17,9,1.889
1954,Lee,15,8,1.875
1954,Robin,11,24,0.458
1954,Gale,10,5,2.0
1954,Tracy,7,6,1.167
1955,Terry,129,19,6.789
1955,Kim,29,29,1.0
1955,Leslie,29,11,2.636
1955,Kelly,25,5,5.0
1955,Lee,24,11,2.182
1955,Lynn,22,35,0.629
1955,Dana,13,6,2.167
1955,Robin,12,29,0.414
1955,Kerry,8,8,1.0
1956,Terry,122,13,9.385
1956,Kim,53,55,0.964
1956,Lynn,25,25,1.0
1956,Leslie,17,10,1.7
1956,Robin,13,37,0.351
1956,Lee,12,11,1.091
1956,Jan,9,18,0.5
1956,Jody,8,19,0.421
1956,Dana,7,8,0.875
1956,Gale,5,6,0.833
1957,Terry,106,23,4.609
1957,Kelly,31,12,2.583
1957,Kim,27,69,0.391
1957,Lee,26,6,4.333
1957,Lynn,20,17,1.176
1957,Leslie,17,9,1.889
1957,Kerry,7,5,1.4
1957,Robin,7,37,0.189
1957,Jan,5,15,0.333
1957,Jody,5,14,0.357
1958,Terry,88,19,4.632
1958,Kelly,29,21,1.381
1958,Leslie,19,20,0.95
1958,Kim,16,57,0.281
1958,Dana,12,5,2.4
1958,Robin,12,36,0.333
1958,Lynn,9,27,0.333
1958,Jan,7,16,0.438
1958,Kerry,7,6,1.167
1958,Pat,7,7,1.0
1958,Tracy,6,18,0.333
1959,Terry,89,11,8.091
1959,Kelly,29,47,0.617
1959,Lynn,18,28,0.643
1959,Dana,15,5,3.0
1959,Leslie,15,16,0.938
1959,Chris,14,5,2.8
1959,Shawn,11,6,1.833
1959,Jody,9,21,0.429
1959,Kim,9,72,0.125
1959,Robin,8,46,0.174
1960,Terry,79,9,8.778
1960,Kelly,37,39,0.949
1960,Dana,25,11,2.273
1960,Kim,17,74,0.23
1960,Leslie,17,17,1.0
1960,Tracy,13,25,0.52
1960,Kerry,9,7,1.286
1960,Lynn,9,33,0.273
1960,Shawn,9,11,0.818
1960,Robin,8,62,0.129
1960,Jackie,5,13,0.385
1961,Terry,91,10,9.1
1961,Kelly,40,53,0.755
1961,Chris,19,6,3.167
1961,Lee,18,7,2.571
1961,Kim,16,56,0.286
1961,Robin,12,69,0.174
