YOB,Name,mFrequency,fFrequency,mForF
1910,John,319,10,31.9
1910,George,129,5,25.8
1910,Willie,129,147,0.878
1910,Joe,71,5,14.2
1910,Lee,29,8,3.625
1910,Eddie,28,9,3.111
1910,Jessie,28,80,0.35
1910,Johnnie,20,20,1.0
1910,Cecil,18,7,2.571
1910,Jimmie,15,5,3.0
1910,Ollie,13,46,0.283
1910,Johnie,12,8,1.5
1910,Marion,11,11,1.0
1910,Tommie,10,12,0.833
1910,Freddie,6,5,1.2
1910,Cleo,5,25,0.2
1911,John,312,6,52.0
1911,Willie,105,126,0.833
1911,Cecil,23,5,4.6
1911,Jessie,22,73,0.301
1911,Lee,22,6,3.667
1911,Johnnie,21,10,2.1
1911,Eddie,13,6,2.167
1911,Jimmie,11,7,1.571
1911,Marion,8,10,0.8
1911,Odell,7,6,1.167
1911,Ollie,7,29,0.241
1911,Jewell,6,10,0.6
1911,Mary,6,721,0.008
1911,Ruby,6,201,0.03
1911,Johnie,5,5,1.0
1911,Tommie,5,6,0.833
1912,James,792,5,158.4
1912,Willie,155,168,0.923
1912,Joe,126,5,25.2
1912,Charlie,83,7,11.857
1912,Cecil,45,17,2.647
1912,Lee,44,15,2.933
1912,Jessie,37,115,0.322
1912,Johnnie,31,29,1.069
1912,Eddie,29,12,2.417
1912,Marion,23,15,1.533
1912,Jimmie,18,8,2.25
1912,Tommie,15,8,1.875
1912,Francis,13,5,2.6
1912,Odell,11,9,1.222
1912,Freddie,6,9,0.667
1912,Jewell,6,24,0.25
1912,Billie,5,20,0.25
1913,James,960,7,137.143
1913,Charles,315,5,63.0
1913,George,277,5,55.4
1913,Willie,175,172,1.017
1913,Joe,144,9,16.0
1913,Charlie,118,6,19.667
1913,Sam,53,7,7.571
1913,Lee,51,8,6.375
1913,Jessie,49,120,0.408
1913,Cecil,44,15,2.933
1913,Eddie,37,14,2.643
1913,Johnnie,33,40,0.825
1913,Jimmie,26,12,2.167
1913,Bennie,25,8,3.125
1913,Marion,19,7,2.714
1913,Sidney,17,5,3.4
1913,Francis,16,7,2.286
1913,Ollie,13,45,0.289
1913,Tommie,12,15,0.8
1913,Odell,9,8,1.125
1913,Billie,8,17,0.471
1913,Shirley,7,9,0.778
1913,Connie,6,5,1.2
1913,Freddie,6,13,0.462
1913,Allie,5,25,0.2
1914,James,1196,6,199.333
1914,William,930,5,186.0
1914,John,782,9,86.889
1914,Willie,231,224,1.031
1914,Joe,193,8,24.125
1914,Clyde,95,5,19.0
1914,Cecil,72,12,6.0
1914,Jessie,72,125,0.576
1914,Lee,59,19,3.105
1914,Eddie,48,19,2.526
1914,Johnnie,34,28,1.214
1914,Jimmie,32,14,2.286
1914,Johnie,31,6,5.167
1914,Leslie,30,6,5.0
1914,Marion,29,18,1.611
1914,Bennie,21,8,2.625
1914,Will,21,5,4.2
1914,Francis,20,17,1.176
1914,Ira,17,7,2.429
1914,Tommie,17,20,0.85
1914,Aubrey,14,5,2.8
1914,Ollie,13,67,0.194
1914,Sammie,12,8,1.5
1914,Odell,9,11,0.818
1914,Allie,8,27,0.296
1914,Bethel,7,5,1.4
1914,Shirley,7,11,0.636
1914,Billie,5,28,0.179
1914,Bonnie,5,65,0.077
1914,Dana,5,8,0.625
1915,James,1604,11,145.818
1915,John,990,9,110.0
1915,Robert,731,6,121.833
1915,George,452,6,75.333
1915,Willie,292,254,1.15
1915,Joe,219,10,21.9
1915,Charlie,132,10,13.2
1915,Cecil,91,15,6.067
1915,Jessie,79,147,0.537
1915,Sam,76,6,12.667
1915,Lee,73,6,12.167
1915,Johnnie,55,46,1.196
1915,Eddie,44,18,2.444
1915,Francis,35,19,1.842
1915,Ira,34,6,5.667
1915,Marion,33,20,1.65
1915,Johnie,27,6,4.5
1915,Jimmie,25,16,1.562
1915,Odell,22,14,1.571
1915,Ollie,21,64,0.328
1915,Tommie,19,21,0.905
1915,Bennie,17,11,1.545
1915,Billie,15,24,0.625
1915,Sammie,14,11,1.273
1915,Cleo,12,41,0.293
1915,Jewell,11,42,0.262
1915,Dallas,10,5,2.0
1915,Bonnie,7,80,0.088
1915,Freddie,7,13,0.538
1915,Bernice,6,78,0.077
1915,Mary,6,1515,0.004
1915,Shirley,6,10,0.6
1915,Allie,5,40,0.125
1915,Connie,5,8,0.625
1915,Lois,5,124,0.04
1915,Vernie,5,7,0.714
1916,James,1647,10,164.7
1916,John,1079,12,89.917
1916,Robert,759,7,108.429
1916,George,491,10,49.1
1916,Willie,270,238,1.134
1916,Joe,212,13,16.308
1916,Clyde,140,7,20.0
1916,Cecil,89,21,4.238
1916,Jessie,88,151,0.583
1916,Sam,71,5,14.2
1916,Lee,67,22,3.045
1916,Johnnie,56,43,1.302
1916,Eddie,47,19,2.474
1916,Grady,43,5,8.6
1916,Jimmie,38,23,1.652
1916,Johnie,37,14,2.643
1916,Marion,34,29,1.172
1916,Lonnie,29,5,5.8
1916,Odell,28,13,2.154
1916,Francis,27,18,1.5
1916,Ira,25,5,5.0
1916,Leslie,24,5,4.8
1916,Tommie,19,13,1.462
1916,Billie,17,32,0.531
1916,Bernice,14,66,0.212
1916,Freddie,14,10,1.4
1916,Ollie,14,50,0.28
1916,Sammie,13,7,1.857
1916,Mary,10,1723,0.006
1916,Cleo,8,34,0.235
1916,Dorris,8,5,1.6
1916,Hazel,8,266,0.03
1916,Shirley,7,8,0.875
1916,Alva,6,9,0.667
1916,Claudie,6,6,1.0
1916,Jewel,6,35,0.171
1916,Ocie,6,14,0.429
1916,Bonnie,5,79,0.063
1916,Jewell,5,61,0.082
1916,Odie,5,6,0.833
1916,Ola,5,51,0.098
1916,Ruby,5,469,0.011
1917,James,1778,13,136.769
1917,William,1325,11,120.455
1917,John,1099,10,109.9
1917,Robert,845,5,169.0
1917,Charles,622,5,124.4
1917,Willie,292,283,1.032
1917,Joe,272,8,34.0
1917,Henry,241,5,48.2
1917,Charlie,173,18,9.611
1917,Clyde,148,6,24.667
1917,Cecil,92,19,4.842
1917,Jessie,90,130,0.692
1917,Floyd,87,6,14.5
1917,Lee,79,25,3.16
1917,Johnnie,65,49,1.327
1917,Eddie,49,16,3.062
1917,Jimmie,45,31,1.452
1917,Marion,41,43,0.953
1917,Johnie,33,10,3.3
1917,Francis,31,26,1.192
1917,Tommie,31,15,2.067
1917,Billie,29,31,0.935
1917,Leslie,19,9,2.111
1917,Bennie,18,9,2.0
1917,Odell,17,12,1.417
1917,Otha,14,5,2.8
1917,Cleo,10,29,0.345
1917,Freddie,10,13,0.769
1917,Ollie,10,71,0.141
1917,Sammie,10,16,0.625
1917,Dorris,9,11,0.818
1917,Jewel,9,30,0.3
1917,Bernice,7,76,0.092
1917,Bobbie,7,21,0.333
1917,Jewell,7,48,0.146
1917,Mary,7,1744,0.004
1917,Alva,6,7,0.857
1917,Audrey,6,23,0.261
1917,Doris,6,63,0.095
1917,Shirley,6,17,0.353
1917,Allie,5,36,0.139
1917,Bonnie,5,125,0.04
1918,James,2028,12,169.0
1918,William,1431,6,238.5
1918,John,1180,11,107.273
1918,Robert,962,10,96.2
1918,Charles,764,5,152.8
1918,George,523,10,52.3
1918,Thomas,465,6,77.5
1918,Willie,320,334,0.958
1918,Joe,311,8,38.875
1918,Charlie,195,16,12.188
1918,David,138,5,27.6
1918,Cecil,116,17,6.824
1918,Jessie,96,177,0.542
1918,Lee,90,17,5.294
1918,Johnnie,63,88,0.716
1918,Eddie,55,22,2.5
1918,Grady,52,5,10.4
1918,Vernon,46,5,9.2
1918,Jimmie,44,23,1.913
1918,Francis,43,22,1.955
1918,Marion,42,38,1.105
1918,Curtis,36,6,6.0
1918,Johnie,34,14,2.429
1918,Ira,28,7,4.0
1918,Leo,28,5,5.6
1918,Bennie,21,11,1.909
1918,Ollie,20,67,0.299
1918,Tommie,20,26,0.769
1918,Sammie,15,17,0.882
1918,Billie,13,29,0.448
1918,Cleo,13,27,0.481
1918,Lois,13,118,0.11
1918,Bernice,12,112,0.107
1918,Freddie,11,8,1.375
1918,Bonnie,7,96,0.073
1918,Connie,7,11,0.636
1918,Jewel,7,26,0.269
1918,Shirley,7,18,0.389
1918,Claudie,6,8,0.75
1918,Maxie,6,9,0.667
1918,Allie,5,45,0.111
1918,Audie,5,6,0.833
1918,Ida,5,137,0.036
1919,James,2113,10,211.3
1919,John,1259,13,96.846
1919,George,567,8,70.875
1919,Willie,315,311,1.013
1919,Joe,301,10,30.1
1919,Charlie,208,16,13.0
1919,Clyde,141,8,17.625
1919,Cecil,104,15,6.933
1919,Jessie,98,174,0.563
1919,Lee,91,20,4.55
1919,Johnnie,78,63,1.238
1919,Eddie,72,35,2.057
1919,Leslie,43,7,6.143
1919,Francis,41,22,1.864
1919,Jimmie,41,24,1.708
1919,Johnie,39,12,3.25
1919,Ollie,34,65,0.523
1919,Bennie,32,14,2.286
1919,Marion,32,33,0.97
1919,Cleo,23,31,0.742
1919,Billie,21,40,0.525
1919,Tommie,20,14,1.429
1919,Odell,14,16,0.875
1919,Freddie,13,17,0.765
1919,Sammie,13,11,1.182
1919,Lois,11,135,0.081
1919,Shirley,10,20,0.5
1919,Dorris,9,12,0.75
1919,Gene,9,6,1.5
1919,Alva,6,9,0.667
1919,Bernice,6,80,0.075
1919,Connie,6,12,0.5
1919,Ivory,6,5,1.2
1919,Jewel,6,40,0.15
1919,Jewell,6,51,0.118
1919,Claudie,5,6,0.833
1919,Maxie,5,12,0.417
1919,Ora,5,58,0.086
1920,James,2412,19,126.947
1920,William,1540,9,171.111
1920,John,1258,10,125.8
1920,Robert,985,9,109.444
1920,Charles,729,10,72.9
1920,George,543,7,77.571
1920,Thomas,490,5,98.0
1920,Willie,333,357,0.933
1920,Edward,325,5,65.0
1920,Joe,279,13,21.462
1920,Charlie,155,14,11.071
1920,Clyde,151,6,25.167
1920,Ray,136,9,15.111
1920,Cecil,120,19,6.316
1920,Sam,108,5,21.6
1920,Jessie,101,157,0.643
1920,Johnnie,94,61,1.541
1920,Lee,79,13,6.077
1920,Jimmie,56,20,2.8
1920,Eddie,54,24,2.25
1920,Johnie,51,6,8.5
1920,Marion,41,41,1.0
1920,Billie,39,52,0.75
1920,Jerry,28,5,5.6
1920,Odell,28,15,1.867
1920,Ira,24,6,4.0
1920,Ollie,24,53,0.453
1920,Tommie,22,20,1.1
1920,Sammie,21,12,1.75
1920,Francis,20,15,1.333
1920,Bennie,18,5,3.6
1920,Freddie,13,13,1.0
1920,Jewel,12,37,0.324
1920,Mary,12,2076,0.006
1920,Cleo,10,39,0.256
1920,Claudie,9,8,1.125
1920,Louie,9,7,1.286
1920,Bernice,8,92,0.087
1920,Jewell,8,66,0.121
1920,Alva,7,5,1.4
1920,Bobbie,7,15,0.467
1920,Bonnie,7,137,0.051
1920,Connie,6,14,0.429
1920,Dixie,6,15,0.4
1920,Allie,5,43,0.116
1920,Artie,5,12,0.417
1920,Dean,5,5,1.0
1920,Frances,5,463,0.011
1920,Shirley,5,26,0.192
1921,James,2486,14,177.571
1921,William,1693,6,282.167
1921,John,1222,14,87.286
1921,Robert,1021,8,127.625
1921,Charles,808,10,80.8
1921,George,523,8,65.375
1921,Thomas,518,7,74.0
1921,Joe,330,9,36.667
1921,Willie,301,295,1.02
1921,Charlie,143,6,23.833
1921,Cecil,110,11,10.0
1921,Jessie,87,157,0.554
1921,Lee,83,17,4.882
1921,Johnnie,78,70,1.114
1921,Billy,77,5,15.4
1921,Vernon,71,7,10.143
1921,Eddie,55,22,2.5
1921,Glenn,55,5,11.0
1921,Marion,55,40,1.375
1921,Leslie,42,6,7.0
1921,Jimmie,41,17,2.412
1921,Francis,32,39,0.821
1921,Billie,31,52,0.596
1921,Johnie,30,13,2.308
1921,Odell,30,12,2.5
1921,Tommie,25,14,1.786
1921,Jerry,23,5,4.6
1921,Bennie,20,7,2.857
1921,Ollie,17,43,0.395
1921,Sammie,17,7,2.429
1921,Freddie,14,18,0.778
1921,Shirley,13,35,0.371
1921,Bernice,11,104,0.106
1921,Jewel,10,39,0.256
1921,Claudie,9,6,1.5
1921,Cleo,9,37,0.243
1921,Connie,9,10,0.9
1921,Jewell,9,65,0.138
1921,Lois,9,120,0.075
1921,Odie,9,5,1.8
1921,Bobbie,8,26,0.308
1921,Bobby,8,5,1.6
1921,Mary,8,2256,0.004
1921,Dorris,7,14,0.5
1921,Beverly,6,6,1.0
1921,Eunice,6,51,0.118
1921,Jonnie,6,6,1.0
1921,Dean,5,9,0.556
1921,Jamie,5,6,0.833
1921,Maxie,5,11,0.455
1921,Vivian,5,62,0.081
1922,James,2453,18,136.278
1922,William,1685,6,280.833
1922,John,1274,10,127.4
1922,Robert,1022,7,146.0
1922,George,560,10,56.0
1922,Joe,305,17,17.941
1922,Willie,291,317,0.918
1922,Charlie,165,10,16.5
1922,Cecil,116,18,6.444
1922,Jessie,107,156,0.686
