YOB,Name,mFrequency,fFrequency,mForF
1910,William,397,5,79.4
1910,Joe,212,10,21.2
1910,Willie,199,260,0.765
1910,George,198,7,28.286
1910,Charlie,77,9,8.556
1910,Lee,64,21,3.048
1910,Johnnie,58,61,0.951
1910,Eddie,57,24,2.375
1910,Clyde,53,6,8.833
1910,Cecil,45,15,3.0
1910,Jessie,44,128,0.344
1910,Guadalupe,30,50,0.6
1910,Jimmie,29,29,1.0
1910,Bennie,28,21,1.333
1910,Vernon,21,5,4.2
1910,Ollie,20,61,0.328
1910,Santos,18,13,1.385
1910,Johnie,17,16,1.062
1910,Leo,15,5,3.0
1910,Jerry,14,5,2.8
1910,Francis,13,28,0.464
1910,Tommie,12,15,0.8
1910,Freddie,11,7,1.571
1910,Cleo,9,43,0.209
1910,Jewel,9,70,0.129
1910,Louie,9,5,1.8
1910,Marion,9,18,0.5
1910,Isabel,7,39,0.179
1910,Refugio,7,6,1.167
1910,Cruz,6,11,0.545
1910,Lois,6,140,0.043
1910,Mary,6,895,0.007
1910,Lupe,5,18,0.278
1910,Odell,5,5,1.0
1910,Ora,5,62,0.081
1911,James,435,6,72.5
1911,Willie,167,192,0.87
1911,Joe,158,5,31.6
1911,Henry,139,6,23.167
1911,Charlie,81,6,13.5
1911,Jessie,62,111,0.559
1911,Cecil,52,19,2.737
1911,Lee,48,21,2.286
1911,Clyde,44,7,6.286
1911,Eddie,42,20,2.1
1911,Johnnie,33,61,0.541
1911,Jimmie,31,22,1.409
1911,Tommie,24,16,1.5
1911,Guadalupe,23,52,0.442
1911,Ira,23,5,4.6
1911,Bennie,21,17,1.235
1911,Aubrey,17,5,3.4
1911,Jerry,16,7,2.286
1911,Johnie,16,10,1.6
1911,Santos,16,11,1.455
1911,Marion,15,11,1.364
1911,Francis,12,23,0.522
1911,Cruz,11,6,1.833
1911,Billie,10,33,0.303
1911,Odell,10,5,2.0
1911,Ollie,10,47,0.213
1911,Jewel,8,91,0.088
1911,Lupe,8,24,0.333
1911,Freddie,7,9,0.778
1911,Sammie,7,6,1.167
1911,Bernice,6,86,0.07
1911,Cleo,6,33,0.182
1911,Inez,6,78,0.077
1911,Isabel,6,42,0.143
1911,Mary,6,906,0.007
1911,Gene,5,5,1.0
1911,Opal,5,155,0.032
1911,Trinidad,5,7,0.714
1912,James,877,7,125.286
1912,John,859,11,78.091
1912,Robert,556,8,69.5
1912,George,431,7,61.571
1912,Joe,325,11,29.545
1912,Charles,305,6,50.833
1912,Willie,291,327,0.89
1912,Henry,238,5,47.6
1912,Jack,227,5,45.4
1912,Charlie,137,14,9.786
1912,Cecil,108,12,9.0
1912,Jessie,98,173,0.566
1912,Lee,97,32,3.031
1912,Johnnie,90,88,1.023
1912,Ray,69,5,13.8
1912,Tom,58,5,11.6
1912,Clifford,49,5,9.8
1912,Bennie,48,25,1.92
1912,Marion,48,28,1.714
1912,Eddie,47,30,1.567
1912,Guadalupe,45,79,0.57
1912,Ira,41,10,4.1
1912,Jimmie,38,42,0.905
1912,Johnie,37,19,1.947
1912,Lonnie,37,10,3.7
1912,Jerry,31,7,4.429
1912,Maurice,31,8,3.875
1912,Francis,26,27,0.963
1912,Tommie,24,37,0.649
1912,Billie,21,49,0.429
1912,Cleo,17,64,0.266
1912,Odell,17,9,1.889
1912,Gene,16,5,3.2
1912,Santos,15,18,0.833
1912,Freddie,14,7,2.0
1912,Ollie,14,79,0.177
1912,Cruz,13,12,1.083
1912,Dolores,12,39,0.308
1912,Alva,11,18,0.611
1912,Lupe,11,32,0.344
1912,Dee,10,5,2.0
1912,Lois,9,171,0.053
1912,Connie,8,21,0.381
1912,Dale,8,6,1.333
1912,Jewel,8,117,0.068
1912,Ocie,8,8,1.0
1912,Jewell,7,76,0.092
1912,Mary,7,1179,0.006
1912,Theo,7,10,0.7
1912,Lorenza,6,9,0.667
1912,Natividad,6,7,0.857
1912,Refugio,6,10,0.6
1912,Reyes,6,8,0.75
1912,Trinidad,6,10,0.6
1912,Bonnie,5,66,0.076
1912,Luz,5,17,0.294
1913,James,1146,6,191.0
1913,John,981,10,98.1
1913,Robert,679,8,84.875
1913,George,501,9,55.667
1913,Charles,472,8,59.0
1913,Willie,317,319,0.994
1913,Walter,240,6,40.0
1913,Edward,233,5,46.6
1913,Jesse,157,6,26.167
1913,Cecil,150,25,6.0
1913,Charlie,137,17,8.059
1913,Earl,137,5,27.4
1913,Lee,132,32,4.125
1913,Eugene,115,5,23.0
1913,Clyde,106,8,13.25
1913,Jesus,106,6,17.667
1913,Jessie,99,194,0.51
1913,Ray,99,5,19.8
1913,Elmer,79,6,13.167
1913,Johnnie,78,117,0.667
1913,Eddie,67,42,1.595
1913,Guadalupe,61,93,0.656
1913,Lloyd,60,5,12.0
1913,Jimmie,52,50,1.04
1913,Leslie,52,5,10.4
1913,Leo,51,8,6.375
1913,Francis,49,34,1.441
1913,Bennie,48,27,1.778
1913,Ira,47,15,3.133
1913,Marion,47,35,1.343
1913,Jerry,39,7,5.571
1913,Johnie,38,24,1.583
1913,Lonnie,38,5,7.6
1913,Sidney,38,8,4.75
1913,Wesley,38,5,7.6
1913,Maurice,36,12,3.0
1913,Tommie,34,40,0.85
1913,Ollie,32,68,0.471
1913,Cleo,23,63,0.365
1913,Louie,23,6,3.833
1913,Billie,22,61,0.361
1913,Sammie,16,12,1.333
1913,Freddie,14,10,1.4
1913,Odell,14,9,1.556
1913,Lupe,13,31,0.419
1913,Alva,12,16,0.75
1913,Gene,12,10,1.2
1913,Jewel,11,100,0.11
1913,Audrey,10,51,0.196
1913,Bernice,9,139,0.065
1913,Connie,9,25,0.36
1913,Lois,9,232,0.039
1913,Santos,9,24,0.375
1913,Trinidad,9,20,0.45
1913,Vivian,9,104,0.087
1913,Bonnie,8,80,0.1
1913,Cruz,8,16,0.5
1913,Jean,8,37,0.216
1913,Jewell,8,71,0.113
1913,Mary,8,1425,0.006
1913,Ruby,8,538,0.015
1913,Artie,6,22,0.273
1913,Claudie,6,10,0.6
1913,Eunice,6,90,0.067
1913,Ivy,6,14,0.429
1913,Carmen,5,73,0.068
1913,Dorris,5,6,0.833
1913,Natividad,5,13,0.385
1913,Winifred,5,16,0.312
1914,James,1397,7,199.571
1914,John,1234,11,112.182
1914,William,1184,9,131.556
1914,Robert,838,7,119.714
1914,George,571,9,63.444
1914,Charles,477,7,68.143
1914,Joe,451,17,26.529
1914,Thomas,407,6,67.833
1914,Willie,374,401,0.933
1914,Louis,201,9,22.333
1914,Cecil,165,23,7.174
1914,Charlie,160,14,11.429
1914,Jesse,145,7,20.714
1914,Clyde,138,8,17.25
1914,Lee,133,41,3.244
1914,Johnnie,111,122,0.91
1914,Jessie,105,215,0.488
1914,Ray,105,7,15.0
1914,Leo,84,6,14.0
1914,Eddie,78,31,2.516
1914,Guadalupe,73,122,0.598
1914,Marion,68,33,2.061
1914,Jimmie,67,63,1.063
1914,Leslie,59,10,5.9
1914,Francis,57,36,1.583
1914,Johnie,53,22,2.409
1914,Ira,50,5,10.0
1914,Bennie,47,25,1.88
1914,Maurice,42,9,4.667
1914,Archie,40,7,5.714
1914,Tommie,38,39,0.974
1914,Odell,32,16,2.0
1914,Freddie,28,15,1.867
1914,Cleo,27,73,0.37
1914,Johnny,27,7,3.857
1914,Billie,26,66,0.394
1914,Ollie,26,96,0.271
1914,Santos,25,32,0.781
1914,Tommy,25,6,4.167
1914,Lynn,22,5,4.4
1914,Jewel,21,123,0.171
1914,Odis,21,5,4.2
1914,Louie,20,10,2.0
1914,Pat,19,7,2.714
1914,Gene,18,7,2.571
1914,Lupe,15,40,0.375
1914,Connie,12,33,0.364
1914,Lois,11,262,0.042
1914,Sammie,11,13,0.846
1914,Bernice,10,187,0.053
1914,Alva,9,18,0.5
1914,Claudie,9,9,1.0
1914,Cruz,9,26,0.346
1914,Audie,8,11,0.727
1914,Bonnie,8,94,0.085
1914,Shirley,8,24,0.333
1914,Theo,8,8,1.0
1914,Dee,7,7,1.0
1914,Isabel,7,54,0.13
1914,Jonnie,7,7,1.0
1914,Lorenza,7,18,0.389
