YOB,Name,mFrequency,fFrequency,mForF
1912,Marion,6,5,1.2
1913,Marion,10,13,0.769
1914,Alma,12,7,1.714
1915,Fay,7,12,0.583
1915,Afton,5,23,0.217
1916,Marion,10,23,0.435
1916,Fay,6,16,0.375
1916,June,5,59,0.085
1917,Marion,12,20,0.6
1917,Shirley,8,18,0.444
1917,Gail,6,7,0.857
1917,June,6,71,0.085
1918,Alma,17,13,1.308
1918,Verl,10,5,2.0
1918,Marion,9,19,0.474
1918,Kay,8,7,1.143
1918,Lavon,6,10,0.6
1918,Shirley,5,31,0.161
1919,Marion,11,12,0.917
1919,Fay,7,15,0.467
1919,Merle,6,6,1.0
1920,Gene,10,7,1.429
1920,Alma,8,9,0.889
1920,Kay,7,7,1.0
1920,Afton,6,37,0.162
1920,Marion,6,26,0.231
1921,Lyle,17,6,2.833
1921,Alma,13,7,1.857
1921,Marion,10,28,0.357
1921,Fay,6,18,0.333
1921,Shirley,6,60,0.1
1921,Jean,5,38,0.132
1921,Kay,5,5,1.0
1922,Marion,14,23,0.609
1922,Gene,13,5,2.6
1922,Shirley,8,71,0.113
1922,Billie,6,9,0.667
1923,Gene,10,5,2.0
1923,Marion,10,21,0.476
1923,June,5,80,0.062
1923,Shirley,5,74,0.068
1924,Marion,8,28,0.286
1924,Fay,6,11,0.545
1925,Fay,7,11,0.636
1925,Marion,6,23,0.261
1926,Marion,10,12,0.833
1926,Shirley,7,149,0.047
1927,Gene,28,5,5.6
1927,Marion,6,22,0.273
1927,Shirley,6,144,0.042
1928,Marion,9,22,0.409
1928,Shirley,6,156,0.038
1929,Billie,6,8,0.75
1929,Marion,6,13,0.462
1929,Alma,5,5,1.0
1929,Shirley,5,149,0.034
1930,Jerry,39,6,6.5
1930,Kay,15,5,3.0
1930,Marion,6,12,0.5
1930,Shirley,6,160,0.038
1931,Jerry,58,5,11.6
1931,Kay,12,7,1.714
1931,Marion,7,11,0.636
1931,Sharon,6,10,0.6
1932,Jerry,56,9,6.222
1932,Kay,14,7,2.0
1932,Billie,5,6,0.833
1933,Joe,25,7,3.571
1933,Kay,16,7,2.286
1933,Gayle,6,13,0.462
1934,Kay,20,15,1.333
