YOB,Name,mFrequency,fFrequency,mForF
1910,Willie,105,48,2.188
1910,Jessie,24,33,0.727
1910,Leslie,12,6,2.0
1910,Francis,11,9,1.222
1910,Mary,7,848,0.008
1910,Lacy,6,5,1.2
1911,William,494,5,98.8
1911,Willie,102,47,2.17
1911,Francis,20,13,1.538
1911,Jessie,19,43,0.442
1911,Cecil,16,6,2.667
1911,Ollie,11,20,0.55
1912,William,734,6,122.333
1912,Charles,292,5,58.4
1912,Willie,166,80,2.075
1912,Jessie,26,49,0.531
1912,Cecil,23,5,4.6
1912,Marion,20,42,0.476
1912,Francis,16,10,1.6
1912,Ollie,9,28,0.321
1912,Odell,8,10,0.8
1912,Shirley,8,7,1.143
1912,Mary,7,998,0.007
1912,Vivian,5,37,0.135
1913,William,787,5,157.4
1913,Willie,162,69,2.348
1913,Lee,42,8,5.25
1913,Clyde,38,8,4.75
1913,Francis,38,7,5.429
1913,Jessie,22,69,0.319
1913,Marion,16,54,0.296
1913,Ollie,10,41,0.244
1913,Garnet,7,6,1.167
1913,Mary,7,1060,0.007
1913,Shirley,7,28,0.25
1914,John,886,6,147.667
1914,Willie,205,74,2.77
1914,Cecil,49,8,6.125
1914,Francis,39,7,5.571
1914,Jessie,38,85,0.447
1914,Lee,38,17,2.235
1914,Otis,28,5,5.6
1914,Marion,16,43,0.372
1914,Ollie,14,29,0.483
1914,Shirley,10,17,0.588
1914,Dallas,8,5,1.6
1914,Allie,7,11,0.636
1914,Alva,5,5,1.0
1914,Earle,5,5,1.0
1914,Frances,5,265,0.019
1914,Mary,5,1265,0.004
1914,Odell,5,12,0.417
1915,James,1323,8,165.375
1915,John,984,7,140.571
1915,Willie,216,85,2.541
1915,Clyde,86,6,14.333
1915,Cecil,70,12,5.833
1915,Jessie,57,102,0.559
1915,Lee,57,10,5.7
1915,Francis,42,20,2.1
1915,Marion,22,73,0.301
1915,Lacy,16,6,2.667
1915,Shirley,16,22,0.727
1915,Beverly,15,7,2.143
1915,Ollie,12,48,0.25
1915,Odell,10,11,0.909
1915,Billie,9,7,1.286
1915,Mary,6,1576,0.004
1915,Allie,5,10,0.5
1915,Alva,5,5,1.0
1915,Avis,5,9,0.556
1915,Cleo,5,24,0.208
1915,Vernie,5,11,0.455
1916,James,1401,7,200.143
1916,John,1024,7,146.286
1916,Charles,567,5,113.4
1916,Willie,233,93,2.505
1916,Cecil,82,15,5.467
1916,Edgar,66,5,13.2
1916,Lee,57,5,11.4
1916,Francis,56,24,2.333
1916,Jessie,38,86,0.442
1916,Eddie,36,7,5.143
1916,Marion,20,78,0.256
1916,Garnett,14,10,1.4
1916,Ollie,14,45,0.311
1916,Beverly,12,6,2.0
1916,Shirley,10,22,0.455
1916,Odell,7,13,0.538
1916,Mary,6,1652,0.004
1916,Alva,5,7,0.714
1916,Billie,5,14,0.357
1916,Page,5,6,0.833
1917,James,1528,6,254.667
1917,John,1159,8,144.875
1917,George,633,6,105.5
1917,Willie,261,103,2.534
1917,Clyde,98,7,14.0
1917,Cecil,70,18,3.889
1917,Jessie,70,83,0.843
1917,Francis,52,21,2.476
1917,Johnnie,45,5,9.0
1917,Leslie,44,5,8.8
1917,Marion,28,75,0.373
1917,Garnett,19,6,3.167
1917,Shirley,19,36,0.528
1917,Ollie,16,50,0.32
1917,Beverly,12,7,1.714
1917,Odell,12,8,1.5
1917,Dorothy,5,615,0.008
1917,Hallie,5,21,0.238
1917,Vivian,5,79,0.063
1918,William,1492,6,248.667
1918,Charles,668,5,133.6
1918,Willie,283,120,2.358
1918,Clyde,104,5,20.8
1918,Cecil,82,10,8.2
1918,Lee,81,14,5.786
1918,Jessie,73,78,0.936
1918,Ray,73,5,14.6
1918,Francis,56,30,1.867
1918,Leslie,42,5,8.4
1918,Marion,41,92,0.446
1918,Maurice,29,6,4.833
1918,Ollie,19,40,0.475
1918,Garnett,18,9,2.0
1918,Odell,15,12,1.25
1918,Shirley,13,34,0.382
1918,Dallas,12,5,2.4
1918,Vivian,10,93,0.108
1918,Beverly,9,6,1.5
1918,Allie,6,12,0.5
1918,Billie,6,9,0.667
1918,Garnet,6,6,1.0
1918,Vernie,6,8,0.75
1918,Carol,5,12,0.417
1919,James,1722,7,246.0
1919,William,1526,7,218.0
1919,John,1203,6,200.5
1919,George,713,5,142.6
1919,Thomas,508,6,84.667
1919,Willie,249,102,2.441
1919,Cecil,84,11,7.636
1919,Francis,67,27,2.481
1919,Jessie,61,81,0.753
1919,Otis,50,5,10.0
1919,Lee,47,11,4.273
1919,Leslie,43,10,4.3
1919,Johnnie,35,6,5.833
1919,Marion,29,97,0.299
1919,Garnett,15,5,3.0
1919,Ollie,13,51,0.255
1919,Shirley,13,44,0.295
1919,Beverly,12,6,2.0
1919,Vivian,9,104,0.087
1919,Odell,8,13,0.615
1919,Alva,7,7,1.0
1919,Garnet,7,5,1.4
1919,Audrey,6,78,0.077
1919,Billie,6,18,0.333
1919,Ivory,6,5,1.2
1919,Carol,5,5,1.0
1919,Thelma,5,346,0.014
1920,James,1888,6,314.667
1920,William,1680,9,186.667
1920,John,1315,6,219.167
1920,George,747,6,124.5
1920,Willie,302,77,3.922
1920,Cecil,99,13,7.615
1920,Lee,77,9,8.556
1920,Francis,69,20,3.45
1920,Jessie,67,85,0.788
1920,Marion,50,91,0.549
1920,Johnnie,41,6,6.833
1920,Ollie,20,47,0.426
1920,Beverly,17,11,1.545
1920,Garnett,16,7,2.286
1920,Odell,16,13,1.231
1920,Shirley,15,70,0.214
1920,Page,13,6,2.167
1920,Mary,12,2046,0.006
1920,Billie,10,12,0.833
1920,Alva,7,9,0.778
1920,Gene,7,6,1.167
1920,Carol,6,6,1.0
1920,Courtney,6,5,1.2
1920,Vivian,6,119,0.05
1920,Audrey,5,106,0.047
1920,Connie,5,8,0.625
1920,Louise,5,486,0.01
1921,James,1902,10,190.2
1921,John,1332,6,222.0
1921,Charles,818,6,136.333
1921,George,750,10,75.0
1921,Thomas,515,5,103.0
1921,Willie,294,116,2.534
1921,Cecil,109,8,13.625
1921,Clyde,99,5,19.8
1921,Jessie,83,81,1.025
1921,Lee,64,10,6.4
1921,Francis,60,30,2.0
1921,Leslie,50,6,8.333
1921,Eddie,48,5,9.6
1921,Marion,40,110,0.364
1921,Garnett,21,8,2.625
1921,Shirley,20,79,0.253
1921,Ollie,19,44,0.432
1921,Beverly,17,8,2.125
1921,Billie,11,16,0.688
1921,Odell,9,15,0.6
1921,Alva,7,6,1.167
1921,Mary,6,2059,0.003
1921,Paige,6,5,1.2
1921,Annie,5,434,0.012
1921,Bonnie,5,28,0.179
1921,Golden,5,7,0.714
1921,Louise,5,444,0.011
1921,Thelma,5,328,0.015
1921,Vivian,5,117,0.043
1922,James,1823,10,182.3
1922,William,1654,9,183.778
1922,Willie,289,115,2.513
1922,Cecil,111,7,15.857
1922,Lee,76,6,12.667
1922,Jessie,73,64,1.141
1922,Francis,67,14,4.786
1922,Marion,29,107,0.271
1922,Garnett,19,5,3.8
1922,Ollie,18,44,0.409
1922,Billie,17,11,1.545
1922,Shirley,15,73,0.205
1922,Odell,14,6,2.333
1922,Lacy,13,5,2.6
1922,Gene,7,5,1.4
1922,Vivian,7,98,0.071
1922,Connie,6,10,0.6
1922,Frankie,6,15,0.4
1922,Allie,5,12,0.417
1922,Bernice,5,133,0.038
1922,Beverly,5,17,0.294
1922,Carol,5,16,0.312
1922,Mary,5,2011,0.002
1922,Virginia,5,906,0.006
1922,Winifred,5,26,0.192
1923,James,1868,6,311.333
1923,George,662,6,110.333
1923,Richard,314,5,62.8
1923,Willie,251,83,3.024
1923,Cecil,85,13,6.538
1923,Jessie,77,91,0.846
1923,Lee,63,15,4.2
1923,Francis,61,23,2.652
1923,Marion,42,116,0.362
1923,Beverly,21,10,2.1
1923,Shirley,21,111,0.189
1923,Garnett,17,9,1.889
1923,Gene,14,5,2.8
1923,Ollie,14,54,0.259
1923,Odell,13,8,1.625
1923,Billie,11,13,0.846
1923,Mary,9,2020,0.004
1923,Vivian,8,112,0.071
1923,June,7,92,0.076
1923,Carol,6,14,0.429
1923,Merle,6,7,0.857
1923,Ocie,5,7,0.714
1924,James,1917,11,174.273
1924,William,1539,5,307.8
1924,Robert,1103,5,220.6
1924,George,731,5,146.2
1924,Willie,267,113,2.363
1924,Paul,252,6,42.0
1924,Earl,177,6,29.5
1924,Clyde,126,6,21.0
1924,Cecil,92,6,15.333
1924,Jessie,72,73,0.986
1924,Lee,58,6,9.667
1924,Francis,57,29,1.966
1924,Leslie,43,6,7.167
1924,Marion,43,113,0.381
1924,Jimmie,21,6,3.5
1924,Shirley,21,130,0.162
1924,Garnett,14,7,2.0
1924,Odell,12,10,1.2
1924,Billie,10,19,0.526
1924,Beverly,9,14,0.643
1924,Bernice,8,162,0.049
1924,Jean,7,187,0.037
1924,Martha,6,304,0.02
1924,Vivian,6,100,0.06
1924,Alva,5,7,0.714
1924,Cleo,5,18,0.278
1924,Connie,5,10,0.5
1924,Doris,5,346,0.014
1924,Mary,5,2075,0.002
1924,Ollie,5,40,0.125
1925,James,1848,19,97.263
1925,William,1610,11,146.364
1925,John,1238,8,154.75
1925,Robert,1021,8,127.625
1925,Charles,721,6,120.167
1925,George,704,5,140.8
1925,Edward,377,5,75.4
1925,Willie,249,106,2.349
1925,David,203,6,33.833
1925,Cecil,108,5,21.6
1925,Billy,75,7,10.714
1925,Lee,64,7,9.143
1925,Francis,43,26,1.654
1925,Eddie,41,7,5.857
1925,Marion,41,119,0.345
1925,Jessie,39,74,0.527
1925,Leslie,39,7,5.571
1925,Shirley,20,162,0.123
1925,Billie,18,21,0.857
1925,Garnett,18,5,3.6
