YOB,Name,mFrequency,fFrequency,mForF
1926,Jean,6,36,0.167
1927,Jean,6,45,0.133
1929,Jean,5,54,0.093
1930,Jean,5,51,0.098
1932,Jean,5,46,0.109
1935,Jean,5,50,0.1
1942,Dale,8,7,1.143
1945,Jean,5,31,0.161
1946,Dale,11,5,2.2
1946,Lynn,5,7,0.714
1947,Terry,26,7,3.714
1947,Leslie,14,11,1.273
1947,Lee,7,5,1.4
1948,Dale,10,6,1.667
1948,Leslie,7,8,0.875
1948,Lynn,6,8,0.75
1949,Terry,14,6,2.333
1949,Dale,12,9,1.333
1949,Lynn,5,10,0.5
1950,Dale,24,10,2.4
1950,Terry,14,5,2.8
1951,Dale,26,11,2.364
1951,Terry,17,5,3.4
1951,Lynn,11,18,0.611
1951,Leslie,9,7,1.286
1952,Dale,22,8,2.75
1952,Terry,16,5,3.2
1952,Lynn,6,24,0.25
1953,Dale,26,8,3.25
1953,Terry,15,12,1.25
1953,Robin,9,11,0.818
1953,Leslie,7,7,1.0
1954,Dale,23,10,2.3
1954,Terry,18,16,1.125
1954,Leslie,8,6,1.333
1954,Robin,8,24,0.333
1955,Terry,18,5,3.6
1955,Dale,15,15,1.0
1955,Kim,6,22,0.273
1955,Leslie,5,6,0.833
1955,Robin,5,23,0.217
1956,Terry,20,8,2.5
1956,Kim,19,32,0.594
1956,Dale,14,11,1.273
1956,Robin,7,33,0.212
1957,Dale,29,7,4.143
1957,Terry,20,8,2.5
1957,Kim,8,29,0.276
1957,Lee,8,6,1.333
1957,Leslie,8,7,1.143
1957,Robin,6,34,0.176
1958,Dale,25,6,4.167
1958,Terry,24,19,1.263
1958,Robin,9,38,0.237
1958,Leslie,8,12,0.667
1959,Terry,21,14,1.5
1959,Kelly,6,28,0.214
1959,Robin,5,45,0.111
1960,Terry,24,20,1.2
1960,Kelly,9,24,0.375
1961,Terry,10,10,1.0
1961,Leslie,6,10,0.6
1961,Robin,6,48,0.125
1961,Kelly,5,51,0.098
1962,Terry,18,14,1.286
1962,Tracy,9,17,0.529
1962,Kelly,8,46,0.174
1963,Terry,20,19,1.053
1963,Kelly,7,59,0.119
1964,Dana,12,5,2.4
1964,Lee,12,5,2.4
1964,Jody,8,6,1.333
1964,Robin,5,40,0.125
1965,Tracy,8,23,0.348
1965,Terry,7,8,0.875
1965,Robin,6,26,0.231
1965,Kelly,5,51,0.098
1965,Leslie,5,6,0.833
1966,Tracy,6,24,0.25
1966,Robin,5,40,0.125
1967,Terry,10,9,1.111
1967,Shannon,6,6,1.0
1967,Tracy,6,21,0.286
1968,Lee,11,5,2.2
1968,Terry,9,8,1.125
1968,Jody,7,5,1.4
1968,Kelly,7,45,0.156
1968,Leslie,5,8,0.625
1968,Robin,5,26,0.192
1969,Jody,12,11,1.091
1969,Shannon,8,12,0.667
1969,Terry,8,5,1.6
1969,Kelly,7,41,0.171
1969,Stacy,5,17,0.294
1970,Dana,14,5,2.8
1970,Shannon,14,25,0.56
1970,Jody,5,8,0.625
1970,Terry,5,6,0.833
1971,Shawn,64,7,9.143
1971,Dana,11,8,1.375
1971,Jody,10,14,0.714
1971,Terry,7,6,1.167
1971,Shannon,5,23,0.217
1972,Dana,9,6,1.5
1972,Jody,5,7,0.714
1972,Shannon,5,25,0.2
1974,Jody,7,7,1.0
1975,Jody,5,6,0.833
1975,Shannon,5,20,0.25
1976,Jamie,24,20,1.2
1976,Jody,5,5,1.0
1977,Jamie,15,35,0.429
1977,Shannon,7,29,0.241
1978,Jamie,15,24,0.625
1978,Shannon,7,24,0.292
1978,Casey,5,6,0.833
1979,Jamie,17,37,0.459
1979,Casey,8,9,0.889
1980,Casey,13,9,1.444
1980,Jamie,6,26,0.231
1981,Casey,13,12,1.083
1981,Jamie,11,36,0.306
1981,Morgan,6,16,0.375
1982,Jamie,13,21,0.619
1982,Casey,8,18,0.444
1983,Jamie,8,30,0.267
1983,Casey,7,9,0.778
1984,Jamie,9,17,0.529
1984,Casey,8,10,0.8
1985,Jamie,10,25,0.4
1985,Casey,8,9,0.889
1985,Dana,7,5,1.4
1986,Casey,12,12,1.0
1986,Jamie,9,28,0.321
1986,Dana,5,5,1.0
1987,Jordan,21,5,4.2
1987,Casey,8,14,0.571
1987,Jamie,7,23,0.304
1987,Morgan,6,11,0.545
1988,Jordan,29,8,3.625
1988,Casey,12,13,0.923
1989,Jordan,27,9,3.0
1989,Casey,15,14,1.071
1989,Jamie,6,16,0.375
1990,Jordan,40,12,3.333
1990,Taylor,21,8,2.625
1990,Casey,17,6,2.833
1991,Jordan,32,7,4.571
1991,Taylor,30,25,1.2
1991,Casey,18,9,2.0
1991,Jamie,7,10,0.7
1992,Taylor,30,33,0.909
1992,Jordan,26,8,3.25
1992,Casey,11,10,1.1
1992,Devon,8,6,1.333
1993,Jordan,41,15,2.733
1993,Taylor,30,33,0.909
1993,Casey,18,13,1.385
1993,Logan,16,5,3.2
1993,Morgan,8,24,0.333
1994,Jordan,43,11,3.909
1994,Logan,18,6,3.0
1994,Taylor,14,41,0.341
1994,Casey,12,9,1.333
1994,Morgan,5,18,0.278
1995,Jordan,36,11,3.273
1995,Logan,17,5,3.4
1995,Taylor,15,47,0.319
1995,Morgan,8,24,0.333
1995,Casey,7,5,1.4
1995,Jamie,5,5,1.0
1996,Logan,32,5,6.4
1996,Jordan,28,11,2.545
1996,Riley,9,5,1.8
1996,Taylor,8,44,0.182
1997,Jordan,24,13,1.846
1997,Taylor,10,45,0.222
1997,Avery,7,5,1.4
1997,Morgan,7,25,0.28
1997,Dana,6,6,1.0
1997,Casey,5,9,0.556
1998,Jordan,19,15,1.267
1998,Riley,13,10,1.3
1998,Taylor,10,44,0.227
1998,Avery,5,5,1.0
1998,Skyler,5,6,0.833
1999,Hunter,39,6,6.5
1999,Jordan,30,14,2.143
1999,Bailey,12,12,1.0
1999,Riley,12,8,1.5
1999,Taylor,11,41,0.268
1999,Morgan,10,13,0.769
1999,Avery,6,6,1.0
1999,Mackenzie,5,11,0.455
2000,Jordan,19,10,1.9
2000,Taylor,11,30,0.367
2000,Morgan,5,24,0.208
2001,Logan,28,7,4.0
2001,Riley,18,13,1.385
2001,Jordan,16,11,1.455
2001,Taylor,10,34,0.294
2001,Bailey,5,10,0.5
2002,Logan,31,7,4.429
2002,Riley,16,9,1.778
2002,Jordan,12,9,1.333
2002,Avery,6,9,0.667
2002,Taylor,6,27,0.222
2003,Jordan,16,11,1.455
2003,Riley,15,17,0.882
2004,Logan,35,9,3.889
2004,Cameron,27,6,4.5
2004,Riley,25,16,1.562
2004,Jordan,9,8,1.125
2004,Taylor,7,22,0.318
2004,Avery,6,11,0.545
2005,Jordan,19,12,1.583
2005,Riley,12,11,1.091
2005,Taylor,9,19,0.474
2005,Peyton,7,5,1.4
2005,Dakota,6,6,1.0
2006,Jordan,24,9,2.667
2006,Riley,21,10,2.1
2006,Avery,8,11,0.727
2006,Rowan,8,5,1.6
2006,Taylor,5,24,0.208
2007,Logan,50,7,7.143
2007,Jordan,21,5,4.2
2007,Riley,20,14,1.429
2007,Hayden,15,7,2.143
2007,Avery,9,11,0.818
2007,Rowan,6,5,1.2
2007,Peyton,5,5,1.0
2007,Taylor,5,25,0.2
2008,Logan,37,5,7.4
2008,Riley,20,16,1.25
2008,Rowan,8,5,1.6
2008,Peyton,6,11,0.545
2008,Quinn,6,5,1.2
2009,Hayden,14,9,1.556
2009,Riley,12,15,0.8
2009,Avery,6,13,0.462
2009,Taylor,6,14,0.429
2010,Hayden,9,7,1.286
2010,Riley,8,7,1.143
2010,Avery,7,9,0.778
2010,Quinn,7,6,1.167
2011,Riley,13,12,1.083
2011,Avery,8,14,0.571
2011,Jordan,8,7,1.143
2012,Avery,9,15,0.6
2012,Quinn,6,5,1.2
2013,Riley,8,12,0.667
2013,Peyton,5,6,0.833
2014,Avery,8,18,0.444
2014,Riley,7,14,0.5
2015,Parker,19,6,3.167
2015,Sawyer,17,8,2.125
2015,Avery,6,9,0.667
2015,Quinn,5,9,0.556
2016,Finley,9,6,1.5
2016,Rowan,7,6,1.167
2016,Emerson,5,6,0.833
2016,Riley,5,8,0.625
2017,Rowan,13,12,1.083
2017,Avery,12,10,1.2
2017,Charlie,8,5,1.6
2017,Quinn,6,13,0.462
2018,Rowan,7,6,1.167
2018,Quinn,6,11,0.545
2019,Finley,10,6,1.667
2019,Avery,6,8,0.75
2019,Emerson,5,6,0.833
2020,Parker,14,5,2.8
2020,Sawyer,14,7,2.0
2020,Charlie,7,5,1.4
2020,Hayden,7,7,1.0
2020,Finley,6,5,1.2
2021,Rowan,14,7,2.0
2021,Avery,13,16,0.812
2021,Sawyer,9,5,1.8
2021,River,8,5,1.6
2021,Parker,5,11,0.455
