YOB,Name,mFrequency,fFrequency,mForF
1910,Marion,6,22,0.273
1912,Marion,8,26,0.308
1913,Marion,10,21,0.476
1913,Merle,7,6,1.167
1914,Merle,12,7,1.714
1914,Marion,6,29,0.207
1915,Marion,18,40,0.45
1915,Laverne,7,7,1.0
1915,Jean,6,77,0.078
1916,Merle,13,10,1.3
1916,Marion,8,57,0.14
1916,Gail,5,10,0.5
1917,Marion,10,54,0.185
1917,Merle,7,7,1.0
1918,Francis,49,9,5.444
1918,Marion,14,69,0.203
1918,Merle,10,5,2.0
1918,Beverly,5,24,0.208
1918,Laverne,5,7,0.714
1919,Marion,12,50,0.24
1919,Merle,12,9,1.333
1919,Shirley,5,70,0.071
1920,Jerry,16,5,3.2
1920,Merle,16,8,2.0
1920,Marion,15,56,0.268
1920,Jean,10,168,0.06
1920,Laverne,5,7,0.714
1921,Francis,69,5,13.8
1921,Marion,9,59,0.153
1921,Laverne,6,8,0.75
1921,Jean,5,153,0.033
1922,Francis,41,7,5.857
1922,Lee,23,5,4.6
1922,Marion,16,62,0.258
1922,Jerry,15,7,2.143
1922,Laverne,9,11,0.818
1922,Billie,5,10,0.5
1923,Francis,40,7,5.714
1923,Leslie,30,5,6.0
1923,Marion,13,45,0.289
1923,Merle,12,8,1.5
1923,Gail,7,7,1.0
1923,Laverne,7,14,0.5
1923,Jean,6,126,0.048
1924,Gordon,73,5,14.6
1924,Francis,40,6,6.667
1924,Gene,35,6,5.833
1924,Merle,11,7,1.571
1924,Jean,7,158,0.044
1924,Marion,7,37,0.189
1924,Kay,6,7,0.857
1924,Laverne,5,10,0.5
1925,Gene,34,7,4.857
1925,Lee,21,5,4.2
1925,Merle,12,7,1.714
1925,Marion,8,50,0.16
1925,Billie,5,23,0.217
1925,Pat,5,12,0.417
1926,Gene,53,7,7.571
1926,Leslie,31,9,3.444
1926,Lee,25,5,5.0
1926,Merle,10,7,1.429
1926,Pat,8,27,0.296
1926,Marion,7,45,0.156
1927,Robert,690,5,138.0
1927,Jerry,43,7,6.143
1927,Marion,16,33,0.485
1927,Merle,11,10,1.1
1927,Kay,7,9,0.778
1927,Pat,7,22,0.318
1928,Robert,680,9,75.556
1928,Francis,33,7,4.714
1928,Marion,11,46,0.239
1928,Pat,9,23,0.391
1928,Merle,8,6,1.333
1928,Laverne,7,8,0.875
1928,Gail,5,5,1.0
1928,Jackie,5,10,0.5
1928,Jean,5,120,0.042
1929,Leslie,16,6,2.667
1929,Pat,8,26,0.308
1929,Marion,6,35,0.171
1929,Jackie,5,10,0.5
1930,Robert,674,5,134.8
1930,Donald,470,5,94.0
1930,Jerry,89,7,12.714
1930,Lee,20,5,4.0
1930,Merle,17,6,2.833
1930,Pat,11,29,0.379
1930,Marion,10,33,0.303
1930,Laverne,7,6,1.167
1930,Jean,6,116,0.052
1931,Jerry,93,10,9.3
1931,Marion,9,27,0.333
1931,Jackie,8,13,0.615
1931,Jean,5,111,0.045
1931,Kay,5,11,0.455
1931,Lynn,5,5,1.0
1931,Pat,5,38,0.132
1931,Terry,5,5,1.0
1932,Lee,34,5,6.8
1932,Merle,20,6,3.333
