YOB,Name,mFrequency,fFrequency,mForF
1913,John,524,5,104.8
1913,Laverne,11,20,0.55
1913,Marion,5,109,0.046
1913,Merle,5,6,0.833
1914,George,327,5,65.4
1914,Laverne,16,15,1.067
1914,Cecil,13,5,2.6
1914,Merle,9,8,1.125
1914,Marion,8,137,0.058
1914,Claire,5,11,0.455
1914,Fay,5,8,0.625
1915,John,864,7,123.429
1915,Edward,519,7,74.143
1915,George,489,7,69.857
1915,Henry,268,5,53.6
1915,Francis,170,6,28.333
1915,Laverne,28,42,0.667
1915,Lee,19,6,3.167
1915,Merle,12,17,0.706
1915,Marion,10,214,0.047
1915,Fay,6,8,0.75
1916,John,932,13,71.692
1916,George,535,5,107.0
1916,Raymond,464,5,92.8
1916,Joseph,448,5,89.6
1916,James,388,5,77.6
1916,Francis,167,8,20.875
1916,Lee,33,5,6.6
1916,Laverne,26,57,0.456
1916,Lavern,24,6,4.0
1916,Merle,16,9,1.778
1916,Claire,14,9,1.556
1916,Marion,11,277,0.04
1916,Fay,6,10,0.6
1916,Gail,6,5,1.2
1917,Robert,965,8,120.625
1917,William,683,9,75.889
1917,George,551,6,91.833
1917,Edward,510,6,85.0
1917,Harold,479,5,95.8
1917,Lawrence,201,5,40.2
1917,Earl,194,5,38.8
1917,Francis,162,6,27.0
1917,Laverne,41,58,0.707
1917,Virgil,27,6,4.5
1917,Lavern,17,6,2.833
1917,Merle,17,11,1.545
1917,Gene,16,5,3.2
1917,Claire,10,14,0.714
1917,Marion,9,282,0.032
1917,Fay,5,11,0.455
1917,Gail,5,7,0.714
1918,Robert,1117,6,186.167
1918,John,1053,12,87.75
1918,William,650,7,92.857
1918,George,558,7,79.714
1918,James,460,8,57.5
1918,Donald,432,8,54.0
1918,Richard,319,5,63.8
1918,Clarence,305,5,61.0
1918,Francis,164,7,23.429
1918,Ray,55,6,9.167
1918,Laverne,45,88,0.511
1918,Virgil,27,5,5.4
1918,Merle,26,11,2.364
1918,Lee,20,6,3.333
1918,Lavern,19,8,2.375
1918,Marion,18,291,0.062
1918,Claire,10,12,0.833
1919,Robert,1152,5,230.4
1919,John,960,8,120.0
1919,William,569,7,81.286
1919,Harold,508,7,72.571
1919,James,400,5,80.0
1919,Charles,346,5,69.2
1919,Clarence,296,5,59.2
