YOB,Name,mFrequency,fFrequency,mForF
1910,Willie,21,5,4.2
1910,Francis,9,5,1.8
1911,Willie,14,10,1.4
1911,Jessie,7,28,0.25
1912,Lee,18,8,2.25
1912,Willie,15,12,1.25
1912,Marion,8,13,0.615
1913,Willie,17,7,2.429
1913,Marion,12,10,1.2
1913,Shirley,11,12,0.917
1913,Jessie,8,60,0.133
1913,Ora,5,26,0.192
1914,Francis,28,5,5.6
1914,Willie,23,11,2.091
1914,Shirley,13,15,0.867
1914,Marion,10,9,1.111
1914,Ora,6,25,0.24
1914,Billie,5,9,0.556
1914,Merle,5,8,0.625
1915,Francis,43,8,5.375
1915,Willie,30,20,1.5
1915,Jessie,17,69,0.246
1915,Marion,15,25,0.6
1915,Shirley,11,24,0.458
1915,Alva,10,5,2.0
1915,Merle,10,14,0.714
1915,Garnet,7,26,0.269
1915,Billie,6,7,0.857
1915,Ona,5,12,0.417
1916,William,634,5,126.8
1916,Francis,35,6,5.833
1916,Willie,28,10,2.8
1916,Jessie,13,56,0.232
1916,Marion,10,18,0.556
1916,Shirley,9,15,0.6
1916,June,7,55,0.127
1916,Merle,7,9,0.778
1916,Gail,6,6,1.0
1916,Garnet,5,25,0.2
1916,Ora,5,17,0.294
1917,Willie,42,11,3.818
1917,Francis,36,10,3.6
1917,Leo,33,5,6.6
1917,Marion,14,19,0.737
1917,Shirley,12,16,0.75
1917,Jessie,11,54,0.204
1917,Billie,7,17,0.412
1917,Gail,6,5,1.2
1917,Cleo,5,28,0.179
1917,Dana,5,5,1.0
1917,Fay,5,13,0.385
1917,Gay,5,8,0.625
1917,Merle,5,14,0.357
1917,Ora,5,29,0.172
1918,John,716,5,143.2
1918,Francis,56,10,5.6
1918,Lee,42,5,8.4
1918,Willie,37,18,2.056
1918,Marion,17,18,0.944
1918,Shirley,17,27,0.63
1918,Jessie,14,83,0.169
1918,Carmen,10,5,2.0
1918,Billie,9,17,0.529
1918,Cleo,7,22,0.318
1918,Gail,7,8,0.875
1918,Ora,6,19,0.316
1918,Pearl,6,119,0.05
1918,Hazel,5,200,0.025
1918,Mary,5,1220,0.004
1919,Francis,54,11,4.909
1919,Willie,41,12,3.417
1919,Jessie,15,70,0.214
1919,Marion,14,22,0.636
1919,Shirley,13,25,0.52
1919,Dana,12,5,2.4
1919,Billie,8,25,0.32
1919,Pearl,8,85,0.094
1919,Cleo,7,12,0.583
1919,Audrey,5,46,0.109
1919,Fay,5,12,0.417
1919,Ruby,5,217,0.023
1920,Francis,45,17,2.647
1920,Lee,36,6,6.0
1920,Willie,35,17,2.059
1920,Jessie,22,64,0.344
1920,Marion,21,30,0.7
1920,Billie,17,15,1.133
1920,Shirley,16,29,0.552
1920,Arlie,15,5,3.0
1920,Alva,8,5,1.6
1920,Cleo,8,22,0.364
1920,Garnet,8,46,0.174
1920,Frankie,7,12,0.583
1920,Garnett,5,18,0.278
1920,June,5,91,0.055
1920,Ollie,5,18,0.278
1920,Ora,5,16,0.312
1921,James,996,6,166.0
1921,Francis,44,13,3.385
1921,Willie,28,19,1.474
1921,Jessie,21,45,0.467
1921,Marion,20,25,0.8
1921,Dana,18,5,3.6
1921,Billie,12,31,0.387
1921,Arlie,11,7,1.571
1921,Shirley,11,31,0.355
1921,Gail,10,6,1.667
1921,Gene,8,7,1.143
1921,Merle,8,7,1.143
1921,Frankie,7,12,0.583
1921,Garnet,7,38,0.184
1921,Ora,7,18,0.389
1921,Cleo,6,14,0.429
1921,Bernice,5,79,0.063
1921,Beryl,5,8,0.625
1922,James,1037,7,148.143
1922,Willie,42,17,2.471
1922,Lee,41,7,5.857
1922,Francis,39,10,3.9
1922,Billie,22,21,1.048
1922,Marion,22,24,0.917
1922,Gene,18,5,3.6
1922,Jessie,17,49,0.347
1922,Ora,9,26,0.346
1922,Shirley,9,40,0.225
1922,Cleo,8,21,0.381
1922,Garnett,7,20,0.35
1922,Ollie,6,15,0.4
1923,John,873,6,145.5
1923,Francis,49,15,3.267
1923,Lee,41,8,5.125
1923,Willie,41,13,3.154
1923,Marion,24,30,0.8
1923,Billie,21,26,0.808
1923,Jessie,16,38,0.421
1923,Shirley,14,32,0.438
1923,Patsy,13,5,2.6
1923,Dana,8,7,1.143
1923,Cleo,7,25,0.28
1923,Frankie,7,9,0.778
1923,Mary,6,1522,0.004
1923,Ollie,6,14,0.429
1923,Ora,6,20,0.3
1923,June,5,92,0.054
1923,Merle,5,6,0.833
1924,William,1060,5,212.0
1924,George,455,5,91.0
1924,Joe,106,6,17.667
1924,Francis,50,14,3.571
1924,Willie,48,17,2.824
1924,Lee,41,6,6.833
1924,Marion,23,40,0.575
1924,Billie,22,27,0.815
1924,Jessie,22,61,0.361
1924,Jerry,18,10,1.8
1924,Shirley,16,42,0.381
1924,Gail,12,5,2.4
1924,Jackie,12,5,2.4
1924,Merle,11,6,1.833
1924,Patsy,10,6,1.667
1924,Cleo,7,30,0.233
1924,Garnet,7,27,0.259
1924,Carol,6,10,0.6
1924,Frankie,6,8,0.75
1924,Alpha,5,5,1.0
1924,Fay,5,12,0.417
1924,Garnett,5,10,0.5
1924,Gay,5,5,1.0
1925,James,1109,5,221.8
1925,Francis,48,10,4.8
1925,Willie,37,23,1.609
1925,Gene,32,9,3.556
1925,Billie,26,29,0.897
1925,Marion,26,34,0.765
1925,Jessie,22,70,0.314
1925,Shirley,22,53,0.415
1925,Dana,14,5,2.8
1925,Patsy,14,5,2.8
1925,Jackie,11,7,1.571
1925,Bobbie,8,5,1.6
1925,Frankie,8,13,0.615
1925,Merle,7,10,0.7
1925,Ora,5,21,0.238
1925,Virginia,5,575,0.009
1926,William,1050,9,116.667
1926,John,783,5,156.6
