YOB,Name,mFrequency,fFrequency,mForF
1920,Marion,6,12,0.5
1922,Marion,7,6,1.167
1925,Marion,5,6,0.833
1926,Marion,7,9,0.778
1933,Marion,6,6,1.0
1933,Billie,5,6,0.833
1937,Jackie,7,8,0.875
1938,Pat,6,6,1.0
1943,Terry,16,7,2.286
1943,Lynn,6,11,0.545
1944,Pat,5,12,0.417
1947,Terry,34,10,3.4
1947,Lynn,7,13,0.538
1948,Terry,31,6,5.167
1949,Terry,38,9,4.222
1949,Lynn,6,11,0.545
1950,Terry,31,11,2.818
1950,Lynn,8,10,0.8
1950,Leslie,6,5,1.2
1951,Terry,33,6,5.5
1952,Terry,24,10,2.4
1952,Kim,6,5,1.2
1952,Leslie,6,13,0.462
1953,Terry,38,17,2.235
1953,Kim,15,6,2.5
1953,Lynn,12,13,0.923
1953,Leslie,9,5,1.8
1954,Terry,24,16,1.5
1954,Kim,17,8,2.125
1954,Lee,13,5,2.6
1954,Leslie,9,12,0.75
1954,Robin,9,17,0.529
1954,Chris,7,6,1.167
1954,Lynn,6,11,0.545
1955,Terry,34,8,4.25
1955,Kelly,15,8,1.875
1955,Kim,6,10,0.6
1955,Leslie,5,11,0.455
1956,Terry,24,19,1.263
1956,Kelly,14,11,1.273
1956,Kim,11,31,0.355
1956,Lee,9,7,1.286
1956,Tracy,7,7,1.0
1956,Dana,6,9,0.667
1956,Lynn,6,11,0.545
1956,Robin,6,16,0.375
1956,Leslie,5,9,0.556
1957,Terry,41,8,5.125
1957,Kelly,12,11,1.091
1957,Lee,9,5,1.8
1957,Robin,9,10,0.9
1957,Tracy,8,6,1.333
1957,Dana,6,5,1.2
1957,Lynn,6,11,0.545
1957,Kerry,5,5,1.0
1957,Kim,5,28,0.179
1958,Kelly,20,15,1.333
1958,Terry,20,10,2.0
1958,Lee,9,7,1.286
1958,Kim,7,28,0.25
1958,Leslie,7,16,0.438
1958,Robin,7,17,0.412
1958,Tracy,6,9,0.667
1958,Dana,5,5,1.0
1959,Terry,28,8,3.5
1959,Kelly,20,30,0.667
1959,Tracy,8,11,0.727
1959,Lynn,7,8,0.875
1959,Kim,6,31,0.194
1959,Robin,6,15,0.4
1960,Terry,27,12,2.25
1960,Kelly,22,38,0.579
1960,Chris,10,6,1.667
1960,Kerry,8,5,1.6
1960,Lynn,8,5,1.6
1960,Dana,6,12,0.5
1960,Leslie,6,17,0.353
1960,Lee,5,5,1.0
1961,Terry,38,11,3.455
1961,Kelly,31,36,0.861
1961,Chris,21,7,3.0
1961,Tracy,15,27,0.556
1961,Shawn,11,6,1.833
1961,Robin,8,26,0.308
1961,Leslie,7,16,0.438
1961,Lynn,5,15,0.333
1962,Terry,30,9,3.333
1962,Kelly,20,25,0.8
1962,Tracy,14,17,0.824
1962,Chris,9,10,0.9
1962,Leslie,6,16,0.375
1962,Robin,6,21,0.286
1962,Lee,5,5,1.0
1963,Terry,23,5,4.6
1963,Kelly,15,27,0.556
1963,Leslie,11,12,0.917
1963,Kerry,9,7,1.286
1963,Jody,7,5,1.4
1963,Tracy,7,14,0.5
1963,Robin,6,24,0.25
1963,Lynn,5,9,0.556
1964,Terry,23,6,3.833
1964,Shawn,13,6,2.167
1964,Kelly,7,21,0.333
1964,Robin,7,30,0.233
1964,Shannon,7,14,0.5
1964,Tracy,7,16,0.438
1965,Kelly,11,29,0.379
1965,Tracy,10,22,0.455
1965,Jamie,7,10,0.7
1966,Kelly,17,23,0.739
1966,Tracy,9,23,0.391
1967,Shawn,20,6,3.333
1967,Kelly,14,27,0.519
1968,Kelly,20,17,1.176
1968,Leslie,5,13,0.385
1969,Kelly,16,23,0.696
1969,Shannon,7,18,0.389
1969,Jody,6,5,1.2
1970,Kelly,8,19,0.421
1970,Jamie,7,14,0.5
1970,Leslie,7,10,0.7
1970,Shannon,5,21,0.238
1970,Tracy,5,36,0.139
1971,Kelly,8,19,0.421
1971,Jamie,6,22,0.273
1971,Leslie,6,8,0.75
1971,Shannon,5,29,0.172
1972,Kelly,10,15,0.667
1972,Tracy,8,18,0.444
1972,Jamie,7,10,0.7
1972,Shannon,6,29,0.207
1973,Kelly,11,10,1.1
1973,Shannon,6,14,0.429
1973,Jamie,5,13,0.385
1974,Kelly,12,22,0.545
1975,Shannon,7,19,0.368
1975,Jamie,5,28,0.179
1975,Tracy,5,12,0.417
1976,Kelly,10,25,0.4
1976,Jamie,7,50,0.14
1977,Kelly,10,29,0.345
1977,Jody,8,6,1.333
1977,Jamie,6,62,0.097
1977,Tracy,5,12,0.417
1978,Casey,21,11,1.909
1978,Cody,21,5,4.2
1978,Kelly,10,31,0.323
1978,Jamie,6,48,0.125
1978,Shannon,5,29,0.172
1979,Jamie,5,47,0.106
1980,Kelly,7,28,0.25
1980,Jamie,6,48,0.125
1981,Michael,145,5,29.0
1981,Ryan,78,8,9.75
1981,Casey,35,5,7.0
1981,Jesse,32,5,6.4
1981,Kelly,8,24,0.333
1981,Dusty,7,6,1.167
1982,Cody,31,9,3.444
1982,Casey,23,5,4.6
1982,Kelly,17,20,0.85
1982,Jamie,6,39,0.154
1983,Casey,23,9,2.556
1983,Kelly,5,24,0.208
1984,Cody,53,6,8.833
1984,Jamie,8,28,0.286
1984,Kelly,7,17,0.412
1985,Casey,29,5,5.8
1985,Kelly,7,18,0.389
1985,Morgan,5,5,1.0
1986,Cody,34,6,5.667
1986,Jordan,23,8,2.875
1986,Casey,15,8,1.875
1986,Kelly,6,12,0.5
