Name,Frequency,YOB
Mary,14,1910
Annie,12,1910
Anna,10,1910
Margaret,8,1910
Helen,7,1910
Elsie,6,1910
Lucy,6,1910
Dorothy,5,1910
Mary,12,1911
Margaret,7,1911
Ruth,7,1911
Annie,6,1911
Elizabeth,6,1911
Helen,6,1911
Mary,9,1912
Elsie,8,1912
Agnes,7,1912
Anna,7,1912
Helen,7,1912
Louise,7,1912
Jean,6,1912
Ruth,6,1912
Alice,5,1912
Esther,5,1912
Ethel,5,1912
Margaret,5,1912
Marie,5,1912
Mary,21,1913
Elizabeth,9,1913
Margaret,8,1913
Helen,7,1913
Alice,5,1913
Annie,5,1913
Louise,5,1913
Mary,22,1914
Margaret,10,1914
Alice,8,1914
Annie,8,1914
Elizabeth,7,1914
Helen,7,1914
Clara,6,1914
Dorothy,6,1914
Martha,6,1914
Agnes,5,1914
Esther,5,1914
Frances,5,1914
Julia,5,1914
Lillian,5,1914
Mildred,5,1914
Pauline,5,1914
Mary,23,1915
Alice,13,1915
Helen,12,1915
Anna,10,1915
Dorothy,10,1915
Margaret,9,1915
Ruth,9,1915
Elizabeth,7,1915
Frances,6,1915
Katherine,6,1915
Martha,6,1915
Annie,5,1915
Clara,5,1915
Emma,5,1915
Hazel,5,1915
Julia,5,1915
Marie,5,1915
Minnie,5,1915
Pauline,5,1915
Mary,18,1916
Helen,12,1916
Dorothy,8,1916
Frances,8,1916
Ruth,8,1916
Alice,7,1916
Anna,7,1916
Agnes,6,1916
Annie,6,1916
Julia,6,1916
Lillian,6,1916
Margaret,6,1916
Daisy,5,1916
Edna,5,1916
Esther,5,1916
Evelyn,5,1916
Florence,5,1916
Katherine,5,1916
Louise,5,1916
Lucy,5,1916
Marie,5,1916
Sally,5,1916
Mary,21,1917
Margaret,11,1917
Helen,10,1917
Frances,9,1917
Alice,7,1917
Olga,7,1917
Ruth,7,1917
Clara,6,1917
Dorothy,6,1917
Anna,5,1917
Edith,5,1917
Florence,5,1917
Maggie,5,1917
Rose,5,1917
Sophie,5,1917
Mary,27,1918
Margaret,11,1918
Helen,10,1918
Marie,10,1918
Martha,10,1918
Ruth,10,1918
Anna,8,1918
Gertrude,8,1918
Julia,7,1918
Virginia,7,1918
Alice,6,1918
Elizabeth,6,1918
Annie,5,1918
Clara,5,1918
Elsie,5,1918
Emma,5,1918
Sarah,5,1918
Stella,5,1918
Vera,5,1918
Mary,22,1919
Margaret,17,1919
Dorothy,13,1919
Betty,11,1919
Helen,11,1919
Martha,9,1919
Virginia,9,1919
Irene,8,1919
Elizabeth,7,1919
Emma,7,1919
Marie,7,1919
Agnes,6,1919
Annie,6,1919
Barbara,6,1919
Frances,6,1919
Gladys,6,1919
Jean,6,1919
Louise,6,1919
Ann,5,1919
Anna,5,1919
Evelyn,5,1919
Josephine,5,1919
Katherine,5,1919
Kathryn,5,1919
Minnie,5,1919
Ruth,5,1919
Vera,5,1919
Mary,38,1920
Margaret,19,1920
Helen,14,1920
Ruth,14,1920
Martha,11,1920
Elizabeth,10,1920
Virginia,10,1920
Florence,9,1920
Agnes,8,1920
Dorothy,8,1920
Alice,7,1920
Anna,7,1920
Edith,7,1920
Annie,6,1920
Betty,6,1920
Elsie,6,1920
Ethel,6,1920
Irene,6,1920
Katie,6,1920
Rose,6,1920
Frances,5,1920
Hazel,5,1920
Katherine,5,1920
Lorraine,5,1920
Patricia,5,1920
Mary,36,1921
Dorothy,11,1921
Alice,10,1921
Margaret,10,1921
Annie,9,1921
Helen,9,1921
Elizabeth,8,1921
Virginia,8,1921
Katherine,7,1921
Mildred,7,1921
Anna,6,1921
Agnes,5,1921
Bessie,5,1921
Betty,5,1921
Elsie,5,1921
Emma,5,1921
Esther,5,1921
Jean,5,1921
Joan,5,1921
Lillian,5,1921
Ruth,5,1921
Thelma,5,1921
Mary,29,1922
Helen,13,1922
Alice,12,1922
Anna,10,1922
Margaret,9,1922
Martha,9,1922
Louise,8,1922
Katherine,7,1922
Annie,6,1922
Dorothy,6,1922
Elizabeth,6,1922
Emma,6,1922
Esther,6,1922
Marie,6,1922
Ruth,6,1922
Betty,5,1922
Clara,5,1922
Evelyn,5,1922
Frances,5,1922
Sarah,5,1922
Mary,26,1923
Elizabeth,13,1923
Anna,12,1923
Dorothy,11,1923
Helen,11,1923
Ruth,11,1923
Annie,10,1923
Margaret,10,1923
Frances,9,1923
Marie,9,1923
Florence,8,1923
Agnes,7,1923
Alice,7,1923
Betty,6,1923
Edna,6,1923
Elsie,6,1923
Ethel,6,1923
Virginia,6,1923
Jean,5,1923
Jessie,5,1923
Julia,5,1923
Nellie,5,1923
Olga,5,1923
Pauline,5,1923
Sarah,5,1923
Mary,41,1924
Elizabeth,12,1924
Margaret,11,1924
Betty,10,1924
Anna,9,1924
Dorothy,9,1924
Marie,9,1924
Ruth,9,1924
Alice,8,1924
Patricia,8,1924
Irene,7,1924
Mildred,7,1924
Esther,6,1924
Ida,6,1924
Olga,6,1924
Annie,5,1924
Clara,5,1924
Marjorie,5,1924
Pauline,5,1924
Vera,5,1924
Mary,24,1925
Margaret,17,1925
Agnes,11,1925
Betty,9,1925
Lillian,9,1925
Mildred,9,1925
Esther,8,1925
Helen,8,1925
Ruth,8,1925
Anna,7,1925
Dorothy,7,1925
Emma,7,1925
Evelyn,7,1925
Norma,7,1925
Sarah,7,1925
Florence,6,1925
Louise,6,1925
Marie,6,1925
Pauline,6,1925
Alice,5,1925
Annie,5,1925
Beatrice,5,1925
Elena,5,1925
Elsie,5,1925
Irene,5,1925
Jean,5,1925
Katherine,5,1925
Virginia,5,1925
Mary,39,1926
Margaret,17,1926
Alice,15,1926
Anna,13,1926
Lucy,9,1926
Martha,9,1926
Esther,8,1926
Helen,8,1926
Elizabeth,7,1926
Florence,7,1926
Gladys,7,1926
Irene,7,1926
Ruth,7,1926
Grace,6,1926
Hazel,6,1926
Jessie,6,1926
Julia,6,1926
Mildred,6,1926
Patricia,6,1926
Pauline,6,1926
Clara,5,1926
Laura,5,1926
Marian,5,1926
Marie,5,1926
Sophie,5,1926
Mary,30,1927
Dorothy,13,1927
Helen,13,1927
Alice,11,1927
Betty,11,1927
Elizabeth,10,1927
Florence,10,1927
Barbara,8,1927
Anna,7,1927
Annie,7,1927
Margaret,7,1927
Ruth,7,1927
Agnes,6,1927
Elsie,6,1927
Emma,6,1927
June,6,1927
Katherine,6,1927
Lena,6,1927
Esther,5,1927
Evelyn,5,1927
Irene,5,1927
Laura,5,1927
Lillian,5,1927
Louise,5,1927
Olga,5,1927
Sophie,5,1927
Mary,27,1928
Margaret,16,1928
Annie,13,1928
Dorothy,13,1928
Alice,11,1928
Anna,10,1928
Helen,10,1928
Elizabeth,9,1928
Irene,8,1928
Marie,8,1928
Betty,7,1928
Emma,7,1928
Elsie,6,1928
Shirley,6,1928
Sophie,6,1928
Agnes,5,1928
Barbara,5,1928
Clara,5,1928
Edna,5,1928
Florence,5,1928
Frances,5,1928
Julia,5,1928
Katherine,5,1928
Lillian,5,1928
Mabel,5,1928
Martha,5,1928
Ruth,5,1928
Mary,25,1929
Betty,10,1929
Dorothy,10,1929
Margaret,10,1929
Agnes,8,1929
Eva,8,1929
Julia,8,1929
Elizabeth,7,1929
Helen,7,1929
Martha,7,1929
Alice,6,1929
Esther,6,1929
Frances,6,1929
Irene,6,1929
Mabel,6,1929
Nancy,6,1929
Pauline,6,1929
Bertha,5,1929
Evelyn,5,1929
Florence,5,1929
Josephine,5,1929
Ruth,5,1929
Virginia,5,1929
Mary,35,1930
Alice,14,1930
Helen,11,1930
Anna,10,1930
Marie,10,1930
Doris,8,1930
Elizabeth,8,1930
Martha,8,1930
Esther,7,1930
Margaret,7,1930
Agnes,6,1930
Barbara,6,1930
Betty,6,1930
Dolly,6,1930
Evelyn,6,1930
Jean,6,1930
Katherine,6,1930
Nancy,6,1930
Pauline,6,1930
Virginia,6,1930
Carrie,5,1930
Clara,5,1930
Dorothy,5,1930
Florence,5,1930
Jane,5,1930
Joan,5,1930
Patricia,5,1930
Sophie,5,1930
Mary,41,1931
Alice,11,1931
Annie,11,1931
Ruth,11,1931
Dorothy,10,1931
Elizabeth,10,1931
Agnes,8,1931
Helen,7,1931
Betty,6,1931
Christine,6,1931
Evelyn,6,1931
Grace,6,1931
Margaret,6,1931
Anna,5,1931
Clara,5,1931
Irene,5,1931
Lena,5,1931
Martha,5,1931
Mary,26,1932
Margaret,17,1932
Alice,11,1932
Martha,10,1932
Anna,9,1932
Clara,9,1932
Elizabeth,9,1932
Louise,9,1932
Annie,8,1932
Dorothy,8,1932
Frances,8,1932
Nancy,8,1932
Ruth,8,1932
Carrie,7,1932
Eleanor,7,1932
Helen,7,1932
Marjorie,7,1932
Cecelia,6,1932
Katherine,6,1932
Marie,6,1932
Virginia,6,1932
Elena,5,1932
Esther,5,1932
Ethel,5,1932
Evelyn,5,1932
Jean,5,1932
Laura,5,1932
Shirley,5,1932
Mary,25,1933
Martha,16,1933
Agnes,12,1933
Betty,11,1933
Margaret,11,1933
Elizabeth,10,1933
Marie,10,1933
Alice,9,1933
Helen,8,1933
Louise,8,1933
Lucy,8,1933
Patricia,8,1933
Shirley,8,1933
Irene,7,1933
Lillian,7,1933
Barbara,6,1933
Dorothy,6,1933
Evelyn,6,1933
Frances,6,1933
Ruth,6,1933
Thelma,6,1933
Ann,5,1933
Anna,5,1933
Bertha,5,1933
Clara,5,1933
Joan,5,1933
Lena,5,1933
Lois,5,1933
Mildred,5,1933
Pauline,5,1933
Rose,5,1933
Sally,5,1933
Virginia,5,1933
Mary,31,1934
Helen,14,1934
Elizabeth,12,1934
Irene,12,1934
Betty,9,1934
Margaret,9,1934
Martha,9,1934
Pauline,9,1934
Josephine,8,1934
Marie,8,1934
Agnes,7,1934
Janet,7,1934
Joan,7,1934
Louise,7,1934
Lucy,7,1934
Alice,6,1934
Lillian,6,1934
Mildred,6,1934
Bertha,5,1934
Edith,5,1934
Esther,5,1934
Evelyn,5,1934
Florence,5,1934
Maria,5,1934
Ruth,5,1934
Mary,29,1935
Elizabeth,13,1935
Margaret,13,1935
Anna,9,1935
Shirley,9,1935
Alice,8,1935
Barbara,8,1935
Betty,8,1935
Helen,8,1935
Irene,8,1935
Nancy,8,1935
Martha,7,1935
Virginia,7,1935
Dorothy,6,1935
Lillian,6,1935
Patricia,6,1935
Agnes,5,1935
Arlene,5,1935
Carol,5,1935
Charlotte,5,1935
Edith,5,1935
Evelyn,5,1935
Flora,5,1935
Marie,5,1935
Rose,5,1935
Ruth,5,1935
Sally,5,1935
Wilma,5,1935
Mary,34,1936
Elizabeth,15,1936
Anna,11,1936
Dorothy,11,1936
Patricia,11,1936
Agnes,10,1936
Alice,10,1936
Margaret,9,1936
Nancy,9,1936
Shirley,9,1936
Virginia,9,1936
Carol,8,1936
Evelyn,8,1936
Joan,8,1936
Katherine,7,1936
Marjorie,7,1936
Nellie,7,1936
Helen,6,1936
Jacqueline,6,1936
Julia,6,1936
Lucy,6,1936
Martha,6,1936
