Name,Frequency,YOB
Mary,875,1910
Annie,482,1910
Willie,257,1910
Mattie,232,1910
Ruby,204,1910
Ethel,197,1910
Lillie,187,1910
Ruth,168,1910
Bessie,162,1910
Elizabeth,146,1910
Emma,145,1910
Minnie,139,1910
Louise,138,1910
Bertha,130,1910
Hattie,127,1910
Gladys,125,1910
Carrie,122,1910
Fannie,116,1910
Martha,113,1910
Rosa,113,1910
Alice,112,1910
Lucille,109,1910
Jessie,108,1910
Sarah,107,1910
Margaret,106,1910
Pearl,105,1910
Marie,104,1910
Myrtle,104,1910
Rosie,103,1910
Lillian,99,1910
Clara,97,1910
Gertrude,97,1910
Nellie,96,1910
Ida,95,1910
Ella,91,1910
Eva,91,1910
Maggie,91,1910
Mildred,90,1910
Mamie,88,1910
Edna,86,1910
Lois,85,1910
Susie,85,1910
Katie,84,1910
Beatrice,83,1910
Evelyn,83,1910
Alma,82,1910
Lula,82,1910
Frances,81,1910
Irene,81,1910
Velma,81,1910
Viola,78,1910
Julia,77,1910
Essie,76,1910
Helen,76,1910
Lucy,76,1910
Lucile,75,1910
Anna,74,1910
Vera,71,1910
Laura,70,1910
Inez,65,1910
Thelma,65,1910
Eula,63,1910
Virginia,63,1910
Alberta,62,1910
Daisy,62,1910
Flora,62,1910
Cora,61,1910
Lena,61,1910
Josephine,60,1910
Grace,59,1910
Georgia,58,1910
Nancy,58,1910
Lizzie,57,1910
Pauline,57,1910
Sallie,57,1910
Johnnie,56,1910
Mae,56,1910
Bernice,55,1910
Dorothy,55,1910
Florence,54,1910
Ada,53,1910
Hazel,51,1910
Addie,50,1910
Rose,49,1910
Elsie,48,1910
Agnes,46,1910
Leola,45,1910
Estelle,43,1910
Effie,41,1910
Eunice,41,1910
Ola,41,1910
Ollie,41,1910
Ora,40,1910
Sadie,40,1910
Nora,39,1910
Ellen,38,1910
Esther,38,1910
Jennie,38,1910
Catherine,37,1910
Mabel,37,1910
Sara,37,1910
Katherine,36,1910
Mable,36,1910
Josie,35,1910
Rebecca,35,1910
Dora,33,1910
Lela,32,1910
Jewell,31,1910
Leona,31,1910
Nettie,31,1910
Jewel,30,1910
Lola,30,1910
Roberta,30,1910
Beulah,29,1910
Edith,29,1910
Geneva,29,1910
Janie,29,1910
Lorene,29,1910
Callie,28,1910
Etta,28,1910
Jimmie,28,1910
Pearlie,28,1910
Betty,27,1910
Flossie,27,1910
Ann,26,1910
Eliza,26,1910
Rachel,26,1910
Lessie,25,1910
Nell,25,1910
Era,24,1910
Gussie,24,1910
Ila,24,1910
Maude,24,1910
Della,23,1910
Stella,23,1910
Winnie,23,1910
Eddie,22,1910
Elnora,22,1910
Lottie,22,1910
Opal,22,1910
Vivian,22,1910
Estella,21,1910
Maudie,21,1910
Mittie,21,1910
Mollie,21,1910
Birdie,20,1910
Dollie,20,1910
Doris,19,1910
Juanita,19,1910
Kate,19,1910
Sally,19,1910
Amanda,18,1910
Cleo,18,1910
Hester,18,1910
Rena,18,1910
Allie,17,1910
Blanche,17,1910
Corine,17,1910
Estell,17,1910
Margie,17,1910
Bettie,16,1910
Bonnie,16,1910
Carolyn,16,1910
Eloise,16,1910
Irma,16,1910
Jean,16,1910
Tommie,16,1910
Adell,15,1910
Christine,15,1910
Claudie,15,1910
Cornelia,15,1910
Gracie,15,1910
Marguerite,15,1910
Millie,15,1910
Naomi,15,1910
Verna,15,1910
Wilma,15,1910
Earline,14,1910
Erma,14,1910
Henrietta,14,1910
Iva,14,1910
Jannie,14,1910
Kathleen,14,1910
Roxie,14,1910
Susan,14,1910
Anne,13,1910
Audrey,13,1910
Leila,13,1910
May,13,1910
Rosia,13,1910
Amelia,12,1910
Augusta,12,1910
Emmie,12,1910
Ina,12,1910
Lee,12,1910
Lila,12,1910
Lou,12,1910
Ophelia,12,1910
Rosetta,12,1910
Bertie,11,1910
Lora,11,1910
Lucinda,11,1910
Lydia,11,1910
Mozelle,11,1910
Myrtice,11,1910
Nina,11,1910
Tessie,11,1910
Billie,10,1910
Dessie,10,1910
Emily,10,1910
Iola,10,1910
Jane,10,1910
Kathryn,10,1910
Lilly,10,1910
Linnie,10,1910
Louella,10,1910
Mandy,10,1910
Marion,10,1910
Myrtis,10,1910
Nona,10,1910
Odessa,10,1910
Olive,10,1910
Pinkie,10,1910
Polly,10,1910
Queen,10,1910
Rubye,10,1910
Savannah,10,1910
Willa,10,1910
Amy,9,1910
Bama,9,1910
Charlotte,9,1910
Clarice,9,1910
Claudia,9,1910
Delia,9,1910
Dovie,9,1910
Ellie,9,1910
Evie,9,1910
Ira,9,1910
Lelia,9,1910
Luella,9,1910
Lyda,9,1910
Magnolia,9,1910
Marjorie,9,1910
Matilda,9,1910
Mozell,9,1910
Myra,9,1910
Myrtie,9,1910
Nannie,9,1910
Olivia,9,1910
Oma,9,1910
Ossie,9,1910
Vada,9,1910
Violet,9,1910
Virgie,9,1910
Abbie,8,1910
Cassie,8,1910
Clyde,8,1910
Connie,8,1910
Eleanor,8,1910
Elma,8,1910
Elva,8,1910
Ernestine,8,1910
Gertie,8,1910
Hannah,8,1910
Harriet,8,1910
Jeanette,8,1910
Lettie,8,1910
Melissa,8,1910
Ocie,8,1910
Patsy,8,1910
Peggy,8,1910
Queenie,8,1910
Rosalie,8,1910
Rubie,8,1910
Sue,8,1910
Adele,7,1910
Alpha,7,1910
Arrie,7,1910
Belle,7,1910
Charity,7,1910
Charlie,7,1910
Ester,7,1910
Frankie,7,1910
Goldie,7,1910
Hilda,7,1910
Icie,7,1910
Idell,7,1910
Lenora,7,1910
Letha,7,1910
Lily,7,1910
Lorena,7,1910
Ludie,7,1910
Lura,7,1910
Madge,7,1910
Maud,7,1910
Maxine,7,1910
Odell,7,1910
Patricia,7,1910
Reba,7,1910
Sophie,7,1910
Sybil,7,1910
Trudie,7,1910
Una,7,1910
Victoria,7,1910
Zelma,7,1910
Aline,6,1910
Allene,6,1910
Arlene,6,1910
Artie,6,1910
Barbara,6,1910
Bennie,6,1910
Camilla,6,1910
Ceola,6,1910
Corinne,6,1910
Dixie,6,1910
Dolly,6,1910
Easter,6,1910
Florine,6,1910
Francis,6,1910
Gennie,6,1910
Georgie,6,1910
Glennie,6,1910
Isabella,6,1910
Isabelle,6,1910
Lassie,6,1910
Liza,6,1910
Louisa,6,1910
Lue,6,1910
Macie,6,1910
Madie,6,1910
Mammie,6,1910
Melba,6,1910
Minerva,6,1910
Osie,6,1910
Pearline,6,1910
Ruthie,6,1910
Sylvia,6,1910
Theresa,6,1910
Vergie,6,1910
Vida,6,1910
Vinnie,6,1910
Zadie,6,1910
Zora,6,1910
Berta,5,1910
Blanch,5,1910
Caroline,5,1910
Cecil,5,1910
Charlsie,5,1910
Clemmie,5,1910
Corene,5,1910
Donnie,5,1910
Elvira,5,1910
Exie,5,1910
Faye,5,1910
Floy,5,1910
Genevieve,5,1910
Hettie,5,1910
Iona,5,1910
Ivey,5,1910
Johnie,5,1910
Jonnie,5,1910
Lera,5,1910
Leslie,5,1910
Lorraine,5,1910
Lovie,5,1910
Maurine,5,1910
Mazie,5,1910
Nan,5,1910
Nola,5,1910
Odie,5,1910
Pearly,5,1910
Prince,5,1910
Robbie,5,1910
Tressie,5,1910
Vernie,5,1910
Mary,804,1911
Annie,380,1911
Willie,230,1911
Ruby,212,1911
Mattie,209,1911
Bessie,161,1911
Ethel,161,1911
Lillie,158,1911
Minnie,150,1911
Elizabeth,149,1911
Ruth,149,1911
Louise,146,1911
Emma,126,1911
Fannie,120,1911
Margaret,119,1911
Marie,117,1911
Lucille,108,1911
Mildred,107,1911
Gladys,106,1911
Sarah,106,1911
Clara,103,1911
Mamie,101,1911
Carrie,100,1911
Lula,100,1911
Alice,99,1911
Jessie,97,1911
Lillian,97,1911
Hattie,96,1911
Susie,94,1911
Bertha,91,1911
Edna,91,1911
Ella,87,1911
Frances,87,1911
Myrtle,87,1911
Rosie,85,1911
Cora,81,1911
Beatrice,80,1911
Evelyn,80,1911
Rosa,80,1911
Thelma,80,1911
Gertrude,78,1911
Martha,78,1911
Irene,77,1911
Julia,76,1911
Maggie,76,1911
Ida,74,1911
Dorothy,73,1911
Lois,73,1911
Vera,73,1911
Anna,72,1911
Grace,70,1911
Helen,70,1911
Katie,69,1911
Velma,69,1911
Laura,68,1911
Nellie,68,1911
Alma,67,1911
Eula,66,1911
Pearl,66,1911
Essie,65,1911
Inez,62,1911
Eva,61,1911
Daisy,59,1911
Virginia,59,1911
Lucile,58,1911
Mabel,58,1911
Pauline,58,1911
Flora,57,1911
Hazel,57,1911
Viola,55,1911
Lola,52,1911
Eunice,51,1911
Lucy,51,1911
Florence,50,1911
Mae,50,1911
Beulah,49,1911
Lena,49,1911
Georgia,48,1911
Estelle,47,1911
Josephine,47,1911
Rose,47,1911
Ollie,46,1911
Sadie,46,1911
Alberta,45,1911
Bernice,45,1911
Dora,45,1911
Johnnie,44,1911
Catherine,43,1911
Lizzie,43,1911
Addie,42,1911
Ada,41,1911
Esther,40,1911
Ora,40,1911
Elsie,38,1911
Nettie,38,1911
Agnes,37,1911
Della,36,1911
Ola,36,1911
Sallie,36,1911
Lela,35,1911
Rebecca,34,1911
Effie,32,1911
Nancy,32,1911
Nora,32,1911
Maude,31,1911
Ellen,30,1911
Janie,30,1911
Mable,29,1911
Betty,28,1911
Christine,27,1911
Jewell,27,1911
Leola,27,1911
Nell,27,1911
Pearlie,27,1911
Sara,27,1911
Stella,27,1911
Vivian,27,1911
Callie,26,1911
Leona,26,1911
Roberta,26,1911
Amanda,25,1911
Blanche,25,1911
Jewel,25,1911
Bonnie,24,1911
Henrietta,24,1911
Lottie,24,1911
Wilma,24,1911
Katherine,23,1911
Lorene,23,1911
Lessie,22,1911
Edith,21,1911
Geneva,21,1911
Kate,21,1911
Kathleen,21,1911
Audrey,20,1911
Estella,20,1911
Jennie,20,1911
Opal,20,1911
Rachel,20,1911
Allie,19,1911
Anne,19,1911
Dollie,19,1911
Eloise,19,1911
Etta,19,1911
Flossie,19,1911
Virgie,19,1911
Emily,18,1911
Jimmie,18,1911
Marguerite,18,1911
Mollie,18,1911
Claudia,17,1911
Juanita,17,1911
Lila,17,1911
Maudie,17,1911
Verna,17,1911
Corine,16,1911
Cornelia,16,1911
Ernestine,16,1911
Letha,16,1911
Pinkie,16,1911
Bertie,15,1911
Doris,15,1911
Eliza,15,1911
Estell,15,1911
Evie,15,1911
Ila,15,1911
Irma,15,1911
Lora,15,1911
Myrtice,15,1911
Reba,15,1911
Winnie,15,1911
Eleanor,14,1911
Gracie,14,1911
Gussie,14,1911
Ina,14,1911
Josie,14,1911
Leila,14,1911
Mittie,14,1911
Tommie,14,1911
Clyde,13,1911
Erma,13,1911
Hettie,13,1911
Johnie,13,1911
Kathryn,13,1911
Margie,13,1911
May,13,1911
Myrtie,13,1911
Queen,13,1911
Sue,13,1911
Ann,12,1911
Audie,12,1911
Augusta,12,1911
Celia,12,1911
Eddie,12,1911
Ellie,12,1911
Elma,12,1911
Elnora,12,1911
Iva,12,1911
Rubye,12,1911
Sylvia,12,1911
Charlotte,11,1911
Dovie,11,1911
Lue,11,1911
Luella,11,1911
Marjorie,11,1911
Myra,11,1911
Olivia,11,1911
Willa,11,1911
Bettie,10,1911
Bobbie,10,1911
Cleo,10,1911
Corrine,10,1911
Dessie,10,1911
Era,10,1911
Eugenia,10,1911
Georgie,10,1911
Geraldine,10,1911
Hester,10,1911
Jannie,10,1911
Linnie,10,1911
Marion,10,1911
Matilda,10,1911
Nannie,10,1911
Naomi,10,1911
Rena,10,1911
Roxie,10,1911
Ruthie,10,1911
Sally,10,1911
Savannah,10,1911
Violet,10,1911
Amelia,9,1911
Birdie,9,1911
Easter,9,1911
Ester,9,1911
Francis,9,1911
Hilda,9,1911
Idell,9,1911
Jean,9,1911
Lelia,9,1911
Lenora,9,1911
Lucinda,9,1911
Lydia,9,1911
Nina,9,1911
Odell,9,1911
Odessa,9,1911
Rosia,9,1911
Amy,8,1911
Caroline,8,1911
Ethelyn,8,1911
Floy,8,1911
Frankie,8,1911
Iris,8,1911
Lettie,8,1911
Louella,8,1911
Maud,8,1911
Mayme,8,1911
Millie,8,1911
Ophelia,8,1911
Rosalie,8,1911
Rosetta,8,1911
Susan,8,1911
Zora,8,1911
Adell,7,1911
Bennie,7,1911
Billie,7,1911
Bulah,7,1911
Clarice,7,1911
Exie,7,1911
Faye,7,1911
Florine,7,1911
Gertie,7,1911
Goldie,7,1911
Julie,7,1911
Kattie,7,1911
Lennie,7,1911
Lera,7,1911
Lily,7,1911
Lou,7,1911
Ludie,7,1911
Lura,7,1911
Mariah,7,1911
Miriam,7,1911
Polly,7,1911
Robbie,7,1911
Zelma,7,1911
Aileen,6,1911
Alpha,6,1911
Alta,6,1911
Arline,6,1911
Artie,6,1911
Carolyn,6,1911
Cassie,6,1911
Cecil,6,1911
Charlie,6,1911
Clemmie,6,1911
Delia,6,1911
Elvira,6,1911
Emmie,6,1911
Genevieve,6,1911
Glennie,6,1911
Ira,6,1911
Janet,6,1911
Jeanette,6,1911
Lilly,6,1911
Madge,6,1911
Marian,6,1911
Nola,6,1911
Olive,6,1911
Ossie,6,1911
Tessie,6,1911
Tressie,6,1911
Victoria,6,1911
Adelaide,5,1911
Adele,5,1911
Adella,5,1911
Allene,5,1911
Amie,5,1911
Anita,5,1911
Anniemae,5,1911
Bama,5,1911
Barbara,5,1911
Bell,5,1911
Connie,5,1911
Gertha,5,1911
Harriet,5,1911
Iola,5,1911
Izola,5,1911
James,5,1911
Leatha,5,1911
Lee,5,1911
Liddie,5,1911
Lorena,5,1911
Louie,5,1911
Love,5,1911
Luvenia,5,1911
Magnolia,5,1911
Malinda,5,1911
Mozell,5,1911
Mozelle,5,1911
Novella,5,1911
Ocie,5,1911
Patricia,5,1911
Patsy,5,1911
Rilla,5,1911
Rochelle,5,1911
Theresa,5,1911
Vada,5,1911
Veola,5,1911
Vergie,5,1911
Verla,5,1911
Williemae,5,1911
Zola,5,1911
Mary,1041,1912
Annie,539,1912
Willie,287,1912
