Name,Frequency,YOB
Mary,408,1910
Ruby,148,1910
Ruth,140,1910
Willie,132,1910
Ethel,109,1910
Gladys,104,1910
Hazel,101,1910
Edna,95,1910
Bessie,88,1910
Mildred,85,1910
Annie,84,1910
Helen,83,1910
Thelma,81,1910
Marie,78,1910
Bertha,76,1910
Myrtle,74,1910
Dorothy,71,1910
Irene,70,1910
Pearl,70,1910
Jessie,68,1910
Minnie,68,1910
Martha,67,1910
Mattie,67,1910
Rosie,67,1910
Lucille,66,1910
Opal,66,1910
Lillie,65,1910
Elizabeth,64,1910
Louise,62,1910
Beatrice,61,1910
Clara,61,1910
Edith,59,1910
Velma,58,1910
Alice,57,1910
Anna,56,1910
Lillian,56,1910
Lois,56,1910
Emma,55,1910
Pauline,53,1910
Elsie,50,1910
Alma,49,1910
Margaret,49,1910
Ida,47,1910
Jewell,47,1910
Frances,46,1910
Fannie,45,1910
Florence,45,1910
Alberta,44,1910
Hattie,44,1910
Eva,43,1910
Dora,42,1910
Evelyn,42,1910
Georgia,42,1910
Grace,42,1910
Mamie,42,1910
Ella,41,1910
Mabel,41,1910
Virginia,41,1910
Lena,40,1910
Lula,40,1910
Ollie,40,1910
Beulah,39,1910
Gertrude,39,1910
Mae,39,1910
Nellie,39,1910
Sarah,39,1910
Vera,39,1910
Maggie,38,1910
Viola,37,1910
Bernice,36,1910
Cora,36,1910
Carrie,35,1910
Mable,35,1910
Laura,33,1910
Lola,33,1910
Lottie,33,1910
Eunice,32,1910
Inez,32,1910
Julia,32,1910
Esther,31,1910
Margie,31,1910
Nettie,31,1910
Eula,30,1910
Virgie,30,1910
Daisy,29,1910
Flora,28,1910
Jewel,28,1910
Nora,28,1910
Agnes,27,1910
Josephine,27,1910
Essie,26,1910
Effie,24,1910
Geneva,24,1910
Ola,24,1910
Ora,24,1910
Stella,24,1910
Susie,24,1910
Wilma,24,1910
Addie,23,1910
Iva,23,1910
Lucy,23,1910
Violet,23,1910
Vivian,23,1910
Ada,22,1910
Allie,22,1910
Della,22,1910
Leona,22,1910
Roberta,22,1910
Nancy,21,1910
Lela,20,1910
Sadie,20,1910
Sallie,20,1910
Ann,19,1910
Catherine,19,1910
Cleo,19,1910
Etta,19,1910
Lucile,19,1910
Rachel,19,1910
Rosa,19,1910
Zelma,19,1910
Blanche,18,1910
Dollie,18,1910
Elnora,18,1910
Erma,17,1910
Floy,17,1910
May,17,1910
Alta,16,1910
Christine,16,1910
Gracie,16,1910
Juanita,16,1910
Katherine,16,1910
Leola,16,1910
Reba,16,1910
Betty,15,1910
Billie,15,1910
Doris,15,1910
Johnnie,15,1910
Nell,15,1910
Oma,15,1910
Verna,15,1910
Callie,14,1910
Dovie,14,1910
Ellen,14,1910
Faye,14,1910
Josie,14,1910
Kathryn,14,1910
Katie,14,1910
Lorene,14,1910
Naomi,14,1910
Norma,14,1910
Bertie,13,1910
Elva,13,1910
Frankie,13,1910
Jennie,13,1910
Lizzie,13,1910
Marjorie,13,1910
Maudie,13,1910
Winnie,13,1910
Audrey,12,1910
Cecil,12,1910
Dessie,12,1910
Francis,12,1910
Kathleen,12,1910
Nina,12,1910
Odessa,12,1910
Pearlie,12,1910
Rena,12,1910
Rose,12,1910
Carolyn,11,1910
Estelle,11,1910
Flossie,11,1910
Gertie,11,1910
Gussie,11,1910
Letha,11,1910
Lydia,11,1910
Madge,11,1910
Nola,11,1910
Roxie,11,1910
Selma,11,1910
Sylvia,11,1910
Bonnie,10,1910
Estella,10,1910
Hallie,10,1910
Janie,10,1910
Marguerite,10,1910
Maxine,10,1910
Millie,10,1910
Nona,10,1910
Vesta,10,1910
Anne,9,1910
Artie,9,1910
Connie,9,1910
Easter,9,1910
Fay,9,1910
Henrietta,9,1910
Irma,9,1910
Lee,9,1910
Ophelia,9,1910
Patsy,9,1910
Victoria,9,1910
Amy,8,1910
Blanch,8,1910
Cassie,8,1910
Eliza,8,1910
Elma,8,1910
Ester,8,1910
Fern,8,1910
Ila,8,1910
Iola,8,1910
Jane,8,1910
Lilly,8,1910
Lona,8,1910
Lora,8,1910
Louella,8,1910
Lucinda,8,1910
Mittie,8,1910
Mollie,8,1910
Muriel,8,1910
Rebecca,8,1910
Savannah,8,1910
Blanchie,7,1910
Charlotte,7,1910
Delia,7,1910
Delma,7,1910
Earnestine,7,1910
Ernestine,7,1910
Goldie,7,1910
Hannah,7,1910
Ina,7,1910
Lessie,7,1910
Lou,7,1910
Magnolia,7,1910
Matilda,7,1910
Maude,7,1910
Olive,7,1910
Tommie,7,1910
Wanda,7,1910
Alva,6,1910
Amelia,6,1910
Ava,6,1910
Berniece,6,1910
Bettie,6,1910
Birdie,6,1910
Birtha,6,1910
Corine,6,1910
Eleanor,6,1910
Eloise,6,1910
Estell,6,1910
Evia,6,1910
Genevieve,6,1910
Hester,6,1910
Hettie,6,1910
Jean,6,1910
June,6,1910
Kattie,6,1910
Leila,6,1910
Lenora,6,1910
Lorraine,6,1910
Marion,6,1910
Melba,6,1910
Ocie,6,1910
Rosetta,6,1910
Rubye,6,1910
Tressie,6,1910
Willa,6,1910
Zella,6,1910
Audie,5,1910
Augusta,5,1910
Camille,5,1910
Caroline,5,1910
Cecelia,5,1910
Charlie,5,1910
Cordelia,5,1910
Cynthia,5,1910
Eddie,5,1910
Esta,5,1910
Eulah,5,1910
Freda,5,1910
Freddie,5,1910
Geraldine,5,1910
Isabell,5,1910
Jannie,5,1910
Jo,5,1910
Johnie,5,1910
Leta,5,1910
Lila,5,1910
Lonnie,5,1910
Lorena,5,1910
Luella,5,1910
Nannie,5,1910
Ona,5,1910
Ova,5,1910
Rosalie,5,1910
Rubie,5,1910
Sally,5,1910
Sophia,5,1910
Theresa,5,1910
Versie,5,1910
Virgia,5,1910
Virgil,5,1910
Mary,386,1911
Ruby,155,1911
Ruth,117,1911
Mildred,113,1911
Gladys,107,1911
Hazel,105,1911
Willie,104,1911
Helen,100,1911
Annie,90,1911
Ethel,88,1911
Edna,87,1911
Opal,78,1911
Clara,76,1911
Marie,76,1911
Thelma,76,1911
Bertha,75,1911
Dorothy,75,1911
Bessie,73,1911
Lois,68,1911
Jessie,65,1911
Elizabeth,64,1911
Minnie,62,1911
Edith,60,1911
Myrtle,60,1911
Irene,58,1911
Lillie,58,1911
Mattie,58,1911
Ida,57,1911
Pearl,57,1911
Alice,54,1911
Grace,54,1911
Beatrice,52,1911
Elsie,52,1911
Lillian,52,1911
Margaret,52,1911
Pauline,52,1911
Rosie,52,1911
Louise,50,1911
Nellie,50,1911
Lucille,49,1911
Mabel,49,1911
Emma,46,1911
Frances,46,1911
Hattie,46,1911
Velma,46,1911
Alma,45,1911
Anna,45,1911
Martha,45,1911
Evelyn,44,1911
Cora,43,1911
Viola,42,1911
Vera,41,1911
Ella,40,1911
Josephine,39,1911
Eva,38,1911
Mamie,38,1911
Jewell,37,1911
Ollie,37,1911
Virginia,37,1911
Bernice,36,1911
Esther,36,1911
Lena,36,1911
Lola,36,1911
Lula,36,1911
Beulah,35,1911
Carrie,35,1911
Florence,35,1911
Juanita,35,1911
Laura,35,1911
Sarah,35,1911
Erma,34,1911
Eula,34,1911
Lucy,34,1911
Effie,33,1911
Georgia,33,1911
Nora,33,1911
Ora,33,1911
Katie,31,1911
Fannie,30,1911
Ola,30,1911
Eunice,29,1911
Rose,29,1911
Agnes,28,1911
Inez,28,1911
Mable,28,1911
Mae,28,1911
Stella,28,1911
Christine,27,1911
Cleo,27,1911
Leona,27,1911
Susie,27,1911
Alberta,26,1911
Betty,25,1911
Blanche,25,1911
Doris,24,1911
Gertrude,24,1911
Jewel,24,1911
Maggie,24,1911
Iva,23,1911
Lela,23,1911
Rosa,23,1911
Catherine,22,1911
Della,22,1911
Essie,22,1911
Nettie,22,1911
Sadie,22,1911
Addie,21,1911
Daisy,21,1911
Flora,21,1911
Verna,21,1911
Ada,20,1911
Geneva,20,1911
Vivian,20,1911
Wilma,20,1911
Goldie,19,1911
Lorene,19,1911
Dora,18,1911
Julia,18,1911
Rachel,18,1911
Violet,18,1911
Ellen,17,1911
Gracie,17,1911
Johnnie,17,1911
Lottie,17,1911
Naomi,17,1911
Nell,17,1911
Virgie,17,1911
Dessie,16,1911
Jennie,16,1911
Lucile,16,1911
Maxine,16,1911
Nancy,16,1911
Norma,16,1911
Sallie,16,1911
Marjorie,15,1911
Maude,15,1911
Zelma,15,1911
Audrey,14,1911
Bonnie,14,1911
Elnora,14,1911
Fay,14,1911
Faye,14,1911
Flossie,14,1911
Margie,14,1911
Marion,14,1911
Sue,14,1911
Artie,13,1911
Cecil,13,1911
Eleanor,13,1911
Ila,13,1911
Josie,13,1911
Katherine,13,1911
Letha,13,1911
Lora,13,1911
Nina,13,1911
Odessa,13,1911
Pearlie,13,1911
Estella,12,1911
Ina,12,1911
Marguerite,12,1911
Mollie,12,1911
Reba,12,1911
Ruthie,12,1911
Sylvia,12,1911
Winnie,12,1911
Allie,11,1911
Dollie,11,1911
Dovie,11,1911
Floy,11,1911
Jimmie,11,1911
Ophelia,11,1911
Roberta,11,1911
Alta,10,1911
Amy,10,1911
Ann,10,1911
Billie,10,1911
Callie,10,1911
Connie,10,1911
Etta,10,1911
Francis,10,1911
Henrietta,10,1911
Lee,10,1911
Leola,10,1911
Lessie,10,1911
Nannie,10,1911
Rebecca,10,1911
Robbie,10,1911
Selma,10,1911
Aline,9,1911
Birdie,9,1911
Estelle,9,1911
Freda,9,1911
Gertie,9,1911
Kathleen,9,1911
Kathryn,9,1911
Lenora,9,1911
Lizzie,9,1911
Rosetta,9,1911
Wanda,9,1911
Alpha,8,1911
Barbara,8,1911
Bertie,8,1911
Claudia,8,1911
Jean,8,1911
Lona,8,1911
Lydia,8,1911
Madge,8,1911
Maud,8,1911
Nola,8,1911
Oma,8,1911
Veda,8,1911
Amanda,7,1911
Ava,7,1911
Eddie,7,1911
Eliza,7,1911
Elva,7,1911
Frankie,7,1911
Geraldine,7,1911
Hester,7,1911
Irma,7,1911
Janie,7,1911
Madie,7,1911
May,7,1911
Millie,7,1911
Oleta,7,1911
Olive,7,1911
Rubye,7,1911
Una,7,1911
Anne,6,1911
Bennie,6,1911
Carolyn,6,1911
Chloe,6,1911
Donnie,6,1911
Era,6,1911
Fern,6,1911
Gussie,6,1911
Iola,6,1911
Johnie,6,1911
Lila,6,1911
Lorena,6,1911
Maudie,6,1911
Myra,6,1911
Nadine,6,1911
Ona,6,1911
Ova,6,1911
Pansy,6,1911
Patricia,6,1911
Rena,6,1911
Roxie,6,1911
Sally,6,1911
Sara,6,1911
Vesta,6,1911
Zella,6,1911
Zula,6,1911
Aileen,5,1911
Amelia,5,1911
Charlotte,5,1911
Eloise,5,1911
Eugenia,5,1911
Euna,5,1911
Gertha,5,1911
Grethel,5,1911
Hallie,5,1911
Iona,5,1911
Isabel,5,1911
Isabell,5,1911
Ivory,5,1911
Joyce,5,1911
Kate,5,1911
Lelia,5,1911
Linnie,5,1911
Lue,5,1911
Luella,5,1911
Marian,5,1911
Matilda,5,1911
Merle,5,1911
Muriel,5,1911
Nona,5,1911
Oda,5,1911
Sybil,5,1911
Vada,5,1911
Vernie,5,1911
Zadie,5,1911
Mary,491,1912
Ruby,263,1912
Ruth,176,1912
Helen,144,1912
Mildred,140,1912
Willie,126,1912
Hazel,120,1912
Marie,118,1912
Thelma,116,1912
Ethel,112,1912
Gladys,112,1912
Opal,112,1912
Dorothy,108,1912
Annie,101,1912
Edna,96,1912
Lucille,95,1912
Myrtle,94,1912
Bessie,88,1912
Edith,88,1912
Margaret,88,1912
Bertha,85,1912
Mattie,84,1912
Irene,83,1912
Elizabeth,82,1912
Pauline,81,1912
Clara,80,1912
Lillian,80,1912
Pearl,80,1912
Louise,75,1912
Jessie,73,1912
Virginia,73,1912
Lois,72,1912
Frances,71,1912
Lillie,71,1912
Grace,70,1912
Martha,63,1912
Anna,62,1912
Nellie,62,1912
Velma,62,1912
Alice,61,1912
Evelyn,61,1912
Sarah,61,1912
Elsie,59,1912
Viola,59,1912
Beulah,58,1912
Emma,58,1912
Rosie,58,1912
Beatrice,57,1912
Minnie,57,1912
Eva,56,1912
Alma,55,1912
Lola,52,1912
Bernice,51,1912
Jewell,47,1912
Lena,47,1912
Lucy,47,1912
Mabel,47,1912
Vera,47,1912
Hattie,46,1912
Mable,46,1912
Ella,45,1912
Gertrude,45,1912
Josephine,45,1912
Esther,44,1912
Ida,42,1912
Ollie,42,1912
Fannie,41,1912
Carrie,40,1912
Mae,40,1912
Maggie,40,1912
Cora,39,1912
Mamie,39,1912
Inez,38,1912
Jewel,38,1912
Julia,38,1912
Ada,36,1912
Juanita,36,1912
Laura,36,1912
Eunice,35,1912
Susie,35,1912
Essie,34,1912
Daisy,33,1912
Dora,33,1912
Lula,33,1912
Vivian,33,1912
Catherine,32,1912
Doris,32,1912
Georgia,32,1912
Katie,31,1912
Nettie,31,1912
Rosa,31,1912
Agnes,30,1912
Alberta,30,1912
Betty,30,1912
Della,30,1912
Effie,30,1912
Eula,30,1912
Florence,30,1912
Lorene,30,1912
Ola,30,1912
Bonnie,29,1912
Faye,29,1912
Geneva,29,1912
Nancy,29,1912
Blanche,28,1912
Ora,28,1912
Rose,28,1912
Leona,27,1912
Lela,26,1912
Iva,25,1912
Nora,25,1912
Roberta,25,1912
Flora,24,1912
Geraldine,24,1912
Gracie,24,1912
Naomi,24,1912
Addie,23,1912
Alta,23,1912
Stella,23,1912
Allie,22,1912
Christine,22,1912
Odessa,22,1912
Verna,22,1912
Virgie,22,1912
Wilma,22,1912
Ann,21,1912
Ellen,21,1912
Frankie,21,1912
Lizzie,21,1912
Maudie,21,1912
Winnie,21,1912
Dovie,20,1912
Flossie,20,1912
Johnnie,20,1912
Nina,20,1912
Roxie,20,1912
Sylvia,20,1912
Audrey,19,1912
Elva,19,1912
Erma,19,1912
Marguerite,19,1912
Marjorie,19,1912
Maxine,19,1912
Rachel,19,1912
Katherine,18,1912
Linnie,18,1912
Rosetta,18,1912
Sadie,18,1912
Avis,17,1912
Elnora,17,1912
Nola,17,1912
Cleo,16,1912
Fay,16,1912
Fern,16,1912
Jennie,16,1912
Lottie,16,1912
Barbara,15,1912
Ernestine,15,1912
Estella,15,1912
Kathleen,15,1912
Lydia,15,1912
May,15,1912
Oma,15,1912
Reba,15,1912
Sally,15,1912
Ina,14,1912
Jimmie,14,1912
Leola,14,1912
Ophelia,14,1912
Violet,14,1912
Dessie,13,1912
Emily,13,1912
Etta,13,1912
Gussie,13,1912
Ila,13,1912
Irma,13,1912
Letha,13,1912
Norma,13,1912
Rebecca,13,1912
Ruthie,13,1912
Billie,12,1912
Estelle,12,1912
Floy,12,1912
