Name,Frequency,YOB
Mary,74,1910
Maria,29,1910
Alice,27,1910
Margaret,19,1910
Helen,18,1910
Frances,17,1910
Dorothy,16,1910
Elizabeth,15,1910
Josephine,15,1910
Ruth,15,1910
Nellie,14,1910
Isabel,12,1910
Martha,11,1910
Betty,10,1910
Lucy,10,1910
Lupe,10,1910
Carmen,9,1910
Esther,9,1910
Grace,9,1910
Annie,8,1910
Bertha,8,1910
Eva,8,1910
Evelyn,8,1910
Julia,8,1910
Mercedes,8,1910
Pauline,8,1910
Rose,8,1910
Virginia,8,1910
Agnes,7,1910
Emma,7,1910
Irene,7,1910
Jennie,7,1910
Jessie,7,1910
Katherine,7,1910
Louise,7,1910
Rita,7,1910
Ruby,7,1910
Beatrice,6,1910
Clara,6,1910
Ella,6,1910
Lucille,6,1910
Marguerite,6,1910
Petra,6,1910
Susie,6,1910
Alicia,5,1910
Amelia,5,1910
Anna,5,1910
Aurora,5,1910
Edna,5,1910
Eleanor,5,1910
Jane,5,1910
Laura,5,1910
Lillian,5,1910
Mildred,5,1910
Minnie,5,1910
Rosa,5,1910
Thelma,5,1910
Theresa,5,1910
Mary,67,1911
Maria,32,1911
Carmen,22,1911
Margaret,21,1911
Helen,19,1911
Ruth,19,1911
Dorothy,17,1911
Josephine,17,1911
Alice,16,1911
Elizabeth,13,1911
Florence,13,1911
Irene,12,1911
Rose,12,1911
Edith,11,1911
Katherine,11,1911
Frances,10,1911
Grace,10,1911
Marie,10,1911
Virginia,10,1911
Clara,9,1911
Julia,9,1911
Ramona,9,1911
Rita,9,1911
Anita,8,1911
Emma,8,1911
Hazel,8,1911
Martha,8,1911
Amelia,7,1911
Anna,7,1911
Antonia,7,1911
Bessie,7,1911
Edna,7,1911
Esther,7,1911
Gertrude,7,1911
Jessie,7,1911
Louise,7,1911
Lucy,7,1911
Lupe,7,1911
Margarita,7,1911
Mildred,7,1911
Nellie,7,1911
Viola,7,1911
Aurora,6,1911
Connie,6,1911
Cruz,6,1911
Dolores,6,1911
Eva,6,1911
Francisca,6,1911
Jennie,6,1911
Josefina,6,1911
Lillian,6,1911
Maggie,6,1911
Mercedes,6,1911
Pauline,6,1911
Rachel,6,1911
Stella,6,1911
Thelma,6,1911
Adela,5,1911
Amalia,5,1911
Angelita,5,1911
Angie,5,1911
Artemisa,5,1911
Ethel,5,1911
Georgia,5,1911
Juanita,5,1911
Laura,5,1911
Mabel,5,1911
Minnie,5,1911
Pearl,5,1911
Susie,5,1911
Theresa,5,1911
Mary,100,1912
Maria,34,1912
Helen,30,1912
Margaret,30,1912
Ruth,25,1912
Dorothy,19,1912
Elizabeth,19,1912
Josephine,19,1912
Carmen,18,1912
Marie,18,1912
Frances,17,1912
Louise,16,1912
Virginia,16,1912
Alice,14,1912
Anita,14,1912
Rita,14,1912
Grace,13,1912
Lupe,13,1912
Rose,13,1912
