Name,Frequency,YOB
Mary,304,1910
Helen,170,1910
Anna,131,1910
Margaret,99,1910
Dorothy,90,1910
Ruth,90,1910
Elizabeth,86,1910
Rose,85,1910
Alice,66,1910
Florence,58,1910
Josephine,55,1910
Mildred,51,1910
Lillian,49,1910
Frances,45,1910
Catherine,41,1910
Julia,39,1910
Anne,38,1910
Marie,36,1910
Marion,36,1910
Ethel,35,1910
Evelyn,35,1910
Grace,35,1910
Gertrude,34,1910
Ann,33,1910
Beatrice,33,1910
Emma,32,1910
Louise,31,1910
Gladys,30,1910
Sophie,30,1910
Esther,29,1910
Bertha,28,1910
Katherine,28,1910
Irene,27,1910
Agnes,26,1910
Edna,26,1910
Eleanor,26,1910
Clara,25,1910
Doris,25,1910
Jennie,25,1910
Theresa,24,1910
Edith,23,1910
Jean,23,1910
Marguerite,21,1910
Pauline,21,1910
Marjorie,20,1910
Lucy,19,1910
Elsie,18,1910
Ida,18,1910
Nellie,17,1910
Barbara,16,1910
Genevieve,16,1910
Kathryn,16,1910
Lena,16,1910
Bernice,15,1910
Emily,15,1910
Estelle,15,1910
Loretta,15,1910
Sarah,15,1910
Stella,15,1910
Viola,15,1910
Virginia,15,1910
Blanche,14,1910
Charlotte,14,1910
Laura,14,1910
Lucille,14,1910
Betty,13,1910
Jane,13,1910
Marian,13,1910
Vera,13,1910
Bessie,12,1910
Madeline,12,1910
Maria,12,1910
Martha,12,1910
Sylvia,12,1910
Victoria,12,1910
Eva,11,1910
Mabel,11,1910
Mae,11,1910
Alma,10,1910
Christine,10,1910
Ellen,10,1910
Olga,10,1910
Caroline,9,1910
Cecelia,9,1910
Celia,9,1910
Hazel,9,1910
Olive,9,1910
Adeline,8,1910
Amelia,8,1910
Annette,8,1910
Antoinette,8,1910
Claire,8,1910
Constance,8,1910
Ella,8,1910
Harriet,8,1910
Helene,8,1910
Jeanne,8,1910
Jeannette,8,1910
Pearl,8,1910
Sally,8,1910
Thelma,8,1910
Ada,7,1910
Angelina,7,1910
Cecilia,7,1910
Concetta,7,1910
Henrietta,7,1910
Leona,7,1910
Minnie,7,1910
Regina,7,1910
Rita,7,1910
Violet,7,1910
Adelaide,6,1910
Angeline,6,1910
Annie,6,1910
Flora,6,1910
Helena,6,1910
Hilda,6,1910
Isabel,6,1910
Miriam,6,1910
Muriel,6,1910
Myrtle,6,1910
Phyllis,6,1910
Wanda,6,1910
Carmella,5,1910
Dora,5,1910
Dorothea,5,1910
Eileen,5,1910
Elvira,5,1910
Etta,5,1910
Fannie,5,1910
Filomena,5,1910
Irma,5,1910
Janet,5,1910
Jessie,5,1910
Stephanie,5,1910
Susan,5,1910
Susie,5,1910
Mary,382,1911
Helen,223,1911
Anna,146,1911
Margaret,138,1911
Dorothy,126,1911
Rose,120,1911
Elizabeth,113,1911
Ruth,101,1911
Mildred,79,1911
Alice,77,1911
Catherine,72,1911
Florence,72,1911
Josephine,72,1911
Frances,65,1911
Lillian,65,1911
Marion,57,1911
Julia,51,1911
Ethel,48,1911
Edith,47,1911
Gertrude,46,1911
Agnes,44,1911
Anne,43,1911
Eleanor,43,1911
Grace,43,1911
Louise,43,1911
Evelyn,42,1911
Irene,41,1911
Katherine,41,1911
Marie,41,1911
Edna,39,1911
Ann,35,1911
Doris,35,1911
Esther,35,1911
Bertha,34,1911
Ida,31,1911
Marjorie,31,1911
Jennie,30,1911
Lucy,30,1911
Theresa,30,1911
Elsie,29,1911
Jean,29,1911
Emma,27,1911
Gladys,27,1911
Pauline,25,1911
Virginia,25,1911
Beatrice,24,1911
Laura,24,1911
Sophie,24,1911
Stella,24,1911
Viola,24,1911
Barbara,23,1911
Lena,23,1911
Olive,22,1911
Nellie,20,1911
Sarah,20,1911
Clara,19,1911
Hazel,19,1911
Loretta,19,1911
Mae,19,1911
Marian,18,1911
Martha,18,1911
Antoinette,17,1911
Celia,17,1911
Eva,17,1911
Jane,17,1911
Adeline,16,1911
Bernice,16,1911
Cecelia,16,1911
Charlotte,16,1911
Olga,16,1911
Angelina,15,1911
Caroline,14,1911
Genevieve,14,1911
Kathryn,14,1911
Lucille,14,1911
Vera,14,1911
Blanche,13,1911
Emily,13,1911
Madeline,13,1911
Marguerite,13,1911
Phyllis,13,1911
Sylvia,13,1911
Violet,13,1911
Amelia,12,1911
Harriet,12,1911
Minnie,12,1911
Bessie,11,1911
Betty,11,1911
Ella,11,1911
Ellen,11,1911
Estelle,11,1911
Jessie,11,1911
Myrtle,11,1911
Pearl,11,1911
Regina,11,1911
Constance,10,1911
Dorothea,10,1911
Kathleen,10,1911
Maria,10,1911
Nancy,10,1911
Sara,10,1911
Susan,10,1911
Victoria,10,1911
Vivian,10,1911
Angeline,9,1911
Carmela,9,1911
Carolyn,9,1911
Concetta,9,1911
Fannie,9,1911
Flora,9,1911
May,9,1911
Natalie,9,1911
Annette,8,1911
Christine,8,1911
Claire,8,1911
Hilda,8,1911
Lois,8,1911
Mabel,8,1911
Philomena,8,1911
Sally,8,1911
Shirley,8,1911
Alma,7,1911
Anita,7,1911
Elinor,7,1911
Henrietta,7,1911
Lydia,7,1911
Rita,7,1911
Veronica,7,1911
Winifred,7,1911
Arline,6,1911
Carol,6,1911
Dolores,6,1911
Edythe,6,1911
Eileen,6,1911
Helena,6,1911
Helene,6,1911
Isabel,6,1911
Janet,6,1911
Rosalie,6,1911
Selma,6,1911
Adele,5,1911
Angela,5,1911
Cornelia,5,1911
Eunice,5,1911
Filomena,5,1911
Geraldine,5,1911
Jeanne,5,1911
Jeannette,5,1911
Miriam,5,1911
Mollie,5,1911
Muriel,5,1911
Patricia,5,1911
Rosa,5,1911
Sophia,5,1911
Tillie,5,1911
Mary,471,1912
Helen,285,1912
Margaret,188,1912
Anna,185,1912
Dorothy,178,1912
Elizabeth,136,1912
Rose,129,1912
Ruth,126,1912
Mildred,119,1912
Alice,113,1912
Frances,109,1912
Lillian,105,1912
Florence,104,1912
Josephine,103,1912
Marion,82,1912
Catherine,72,1912
Julia,72,1912
Irene,70,1912
Eleanor,66,1912
Gertrude,64,1912
Grace,64,1912
Marie,64,1912
Louise,63,1912
Doris,60,1912
Evelyn,60,1912
Ann,58,1912
Ethel,56,1912
Edith,54,1912
Katherine,53,1912
Anne,51,1912
Marjorie,48,1912
Elsie,46,1912
Bertha,45,1912
Theresa,44,1912
Edna,43,1912
Esther,41,1912
Jennie,41,1912
Sophie,41,1912
Stella,41,1912
Beatrice,38,1912
Betty,38,1912
Virginia,38,1912
Agnes,35,1912
Nellie,34,1912
Pauline,34,1912
Hazel,33,1912
Jean,33,1912
Jane,32,1912
Genevieve,31,1912
Ida,31,1912
Emma,28,1912
Lucy,28,1912
Sylvia,28,1912
Antoinette,27,1912
Clara,27,1912
Charlotte,26,1912
Barbara,25,1912
Gladys,25,1912
Madeline,24,1912
Sarah,24,1912
Viola,24,1912
Eva,23,1912
Kathryn,23,1912
Martha,23,1912
Bernice,22,1912
Lena,22,1912
Marguerite,22,1912
Sally,22,1912
Laura,21,1912
Lucille,21,1912
Adeline,20,1912
Myrtle,20,1912
Angelina,19,1912
Estelle,19,1912
Harriet,19,1912
Pearl,19,1912
Amelia,18,1912
Loretta,18,1912
Mae,18,1912
Olga,18,1912
Winifred,18,1912
Mabel,17,1912
Violet,17,1912
Blanche,16,1912
Dorothea,16,1912
Vera,16,1912
Victoria,16,1912
Ellen,15,1912
Emily,15,1912
Jessie,15,1912
Marian,15,1912
Minnie,15,1912
Angeline,14,1912
Ella,14,1912
Hilda,14,1912
Muriel,14,1912
Veronica,14,1912
Caroline,13,1912
Flora,13,1912
Susan,13,1912
Angela,12,1912
Constance,12,1912
Nancy,12,1912
Carolyn,11,1912
Helene,11,1912
Isabelle,11,1912
Lois,11,1912
Olive,11,1912
Phyllis,11,1912
Vivian,11,1912
Arlene,10,1912
Carmela,10,1912
Christine,10,1912
Eunice,10,1912
Jeannette,10,1912
Leona,10,1912
Philomena,10,1912
Anita,9,1912
Carmel,9,1912
Eileen,9,1912
Wanda,9,1912
Alma,8,1912
Bessie,8,1912
Fannie,8,1912
Kathleen,8,1912
Molly,8,1912
Patricia,8,1912
Sophia,8,1912
Stephanie,8,1912
Teresa,8,1912
Yvonne,8,1912
Albina,7,1912
Cecilia,7,1912
Claire,7,1912
Eleanore,7,1912
Helena,7,1912
Irma,7,1912
Janet,7,1912
Joan,7,1912
Katharine,7,1912
Natalie,7,1912
Rebecca,7,1912
Sadie,7,1912
Sara,7,1912
Verna,7,1912
Adele,6,1912
Cecelia,6,1912
Cecile,6,1912
Concetta,6,1912
Eloise,6,1912
Fay,6,1912
Lee,6,1912
Lydia,6,1912
Maria,6,1912
Matilda,6,1912
May,6,1912
Miriam,6,1912
Norma,6,1912
Regina,6,1912
Shirley,6,1912
Arline,5,1912
Carol,5,1912
Celia,5,1912
Edythe,5,1912
Elinor,5,1912
Freda,5,1912
Isabel,5,1912
Leah,5,1912
Lottie,5,1912
Ruby,5,1912
Wilma,5,1912
Mary,606,1913
Helen,382,1913
Anna,258,1913
Margaret,236,1913
Dorothy,169,1913
Rose,167,1913
Elizabeth,156,1913
Ruth,148,1913
Frances,125,1913
Marion,115,1913
Mildred,112,1913
Florence,110,1913
Alice,107,1913
Catherine,98,1913
Josephine,98,1913
Anne,91,1913
Lillian,90,1913
Marie,79,1913
Louise,75,1913
Irene,70,1913
Jennie,70,1913
Eleanor,69,1913
Ann,68,1913
Julia,68,1913
Edith,66,1913
Ethel,66,1913
Gertrude,66,1913
Grace,66,1913
Doris,62,1913
Pauline,59,1913
Evelyn,58,1913
Theresa,57,1913
Jean,55,1913
Katherine,55,1913
Agnes,51,1913
Beatrice,51,1913
Esther,48,1913
Marjorie,48,1913
Edna,47,1913
Gladys,44,1913
Sophie,43,1913
Elsie,42,1913
Stella,41,1913
Bernice,36,1913
Lucy,35,1913
Virginia,35,1913
Eva,34,1913
Genevieve,34,1913
Jane,34,1913
Nellie,34,1913
Ida,32,1913
Martha,32,1913
Barbara,31,1913
Bertha,31,1913
Clara,30,1913
Lena,30,1913
Betty,28,1913
Loretta,28,1913
Sylvia,28,1913
Olga,27,1913
Antoinette,26,1913
Emily,26,1913
Hazel,26,1913
Lois,26,1913
Phyllis,26,1913
Amelia,25,1913
Charlotte,25,1913
Emma,25,1913
Caroline,24,1913
Mabel,24,1913
Viola,24,1913
Madeline,23,1913
Marguerite,23,1913
Rita,23,1913
Claire,22,1913
Estelle,22,1913
Muriel,22,1913
Adeline,21,1913
Harriet,21,1913
Sarah,21,1913
Victoria,21,1913
Angelina,20,1913
Marian,19,1913
Carmela,18,1913
Ellen,18,1913
Maria,18,1913
Minnie,18,1913
Veronica,18,1913
Vivian,18,1913
Wanda,18,1913
Kathryn,17,1913
Laura,17,1913
Lucille,17,1913
Winifred,17,1913
Dorothea,16,1913
Thelma,16,1913
Bessie,15,1913
Cecelia,15,1913
Eunice,15,1913
Natalie,15,1913
Olive,15,1913
Angeline,14,1913
Fannie,14,1913
Jeannette,14,1913
Pearl,14,1913
Violet,14,1913
Janet,13,1913
Leona,13,1913
Sally,13,1913
Celia,12,1913
Constance,12,1913
Jeanette,12,1913
Lydia,12,1913
Myrtle,12,1913
Nancy,12,1913
Philomena,12,1913
Shirley,12,1913
Teresa,12,1913
Adele,11,1913
Alma,11,1913
Anita,11,1913
Helene,11,1913
Isabel,11,1913
Susan,11,1913
Vera,11,1913
Annette,10,1913
Blanche,10,1913
Christine,10,1913
Concetta,10,1913
Isabelle,10,1913
Kathleen,10,1913
Mae,10,1913
Matilda,10,1913
Angela,9,1913
Carmella,9,1913
Carolyn,9,1913
Cecile,9,1913
Cornelia,9,1913
Ella,9,1913
Geraldine,9,1913
May,9,1913
Sadie,9,1913
Dora,8,1913
Elinor,8,1913
Elvira,8,1913
Hannah,8,1913
Hilda,8,1913
Lorraine,8,1913
Lottie,8,1913
Mollie,8,1913
Norma,8,1913
Patricia,8,1913
Ada,7,1913
Amy,7,1913
Annie,7,1913
Arline,7,1913
Bernadette,7,1913
Carmel,7,1913
Cecilia,7,1913
Connie,7,1913
Eileen,7,1913
Henrietta,7,1913
Jessie,7,1913
Joan,7,1913
Johanna,7,1913
Miriam,7,1913
Rosalie,7,1913
Rosemary,7,1913
Ruby,7,1913
Sophia,7,1913
Stephanie,7,1913
Sue,7,1913
Adelaide,6,1913
Alyce,6,1913
Arlene,6,1913
Cora,6,1913
Elisabeth,6,1913
Freda,6,1913
Nora,6,1913
Sara,6,1913
Selma,6,1913
Wilma,6,1913
Albina,5,1913
Carol,5,1913
Carrie,5,1913
Daisy,5,1913
Edythe,5,1913
Eleanore,5,1913
Filomena,5,1913
Gloria,5,1913
Helena,5,1913
Irma,5,1913
Jeanne,5,1913
Juliette,5,1913
Marcia,5,1913
Michelina,5,1913
Millie,5,1913
Priscilla,5,1913
Roberta,5,1913
Sabina,5,1913
Stacia,5,1913
Tessie,5,1913
Verna,5,1913
Vilma,5,1913
Vincenza,5,1913
Mary,851,1914
Helen,489,1914
Anna,320,1914
Margaret,301,1914
Dorothy,265,1914
Rose,241,1914
Ruth,224,1914
Elizabeth,208,1914
Josephine,178,1914
Frances,171,1914
Florence,153,1914
Alice,145,1914
Mildred,145,1914
Lillian,130,1914
Marion,123,1914
Evelyn,118,1914
Catherine,117,1914
Anne,114,1914
Eleanor,111,1914
Irene,108,1914
Marie,101,1914
Doris,98,1914
Ann,91,1914
Julia,87,1914
Agnes,85,1914
Edith,85,1914
Sophie,85,1914
Jennie,84,1914
Katherine,84,1914
Stella,83,1914
Gertrude,80,1914
Louise,80,1914
Ethel,77,1914
Grace,76,1914
Marjorie,74,1914
Theresa,69,1914
Barbara,67,1914
Lucy,65,1914
Beatrice,63,1914
Esther,63,1914
Genevieve,63,1914
Virginia,63,1914
Edna,61,1914
Pauline,59,1914
Sylvia,58,1914
Jean,57,1914
Emma,55,1914
Elsie,52,1914
Lena,52,1914
Nellie,52,1914
Bertha,51,1914
Ida,49,1914
Antoinette,47,1914
Gladys,45,1914
Jane,45,1914
Eva,40,1914
Clara,39,1914
Madeline,39,1914
Rita,39,1914
Bernice,38,1914
Hazel,38,1914
Olga,37,1914
Martha,36,1914
Adeline,35,1914
Charlotte,35,1914
Marguerite,34,1914
Phyllis,34,1914
Muriel,33,1914
Nancy,33,1914
Blanche,31,1914
Harriet,31,1914
Lucille,31,1914
Betty,30,1914
Estelle,30,1914
Victoria,30,1914
Eileen,29,1914
Kathryn,29,1914
Sarah,29,1914
Veronica,29,1914
Vera,28,1914
Caroline,27,1914
Angelina,26,1914
Carmela,26,1914
Mae,26,1914
Laura,25,1914
Adele,24,1914
Lois,24,1914
Loretta,24,1914
Myrtle,24,1914
Viola,24,1914
Amelia,23,1914
Ellen,23,1914
Olive,23,1914
Sally,23,1914
Emily,22,1914
Jessie,22,1914
Pearl,22,1914
Constance,21,1914
Marian,21,1914
Teresa,21,1914
Angeline,20,1914
Bessie,19,1914
Leona,19,1914
Mabel,19,1914
Violet,19,1914
Carolyn,18,1914
Cecelia,18,1914
Claire,18,1914
Ella,18,1914
Vivian,18,1914
Winifred,18,1914
Christine,17,1914
Eunice,16,1914
Fannie,16,1914
Isabelle,16,1914
Kathleen,16,1914
Natalie,16,1914
Norma,16,1914
Philomena,16,1914
Regina,16,1914
Susan,16,1914
Thelma,16,1914
Angela,15,1914
Carmel,15,1914
Concetta,15,1914
Dora,15,1914
Hedwig,15,1914
Helene,15,1914
May,15,1914
Minnie,15,1914
Janet,14,1914
Jeannette,14,1914
Mollie,14,1914
Sadie,14,1914
Wanda,14,1914
Annette,13,1914
Carmella,13,1914
Celia,13,1914
Elaine,13,1914
Elvira,13,1914
Shirley,13,1914
Hilda,12,1914
Joan,12,1914
Lydia,12,1914
Maria,12,1914
Nora,12,1914
Patricia,12,1914
Rosemary,12,1914
Sophia,12,1914
Stephanie,12,1914
Wilma,12,1914
Alma,11,1914
Anita,11,1914
Arlene,11,1914
Dorothea,11,1914
Eleanore,11,1914
Flora,11,1914
Ada,10,1914
Cecile,10,1914
Henrietta,10,1914
Inez,10,1914
Miriam,10,1914
Rosalie,10,1914
Yvonne,10,1914
Arline,9,1914
Freda,9,1914
Irma,9,1914
Jeanette,9,1914
Katharine,9,1914
Lottie,9,1914
Alberta,8,1914
Annie,8,1914
Connie,8,1914
Faye,8,1914
Harriett,8,1914
Jeanne,8,1914
Lorraine,8,1914
Lucile,8,1914
Molly,8,1914
Rena,8,1914
Sue,8,1914
Alyce,7,1914
Anastasia,7,1914
Christina,7,1914
Cora,7,1914
Elinor,7,1914
Fanny,7,1914
Fay,7,1914
Geraldine,7,1914
Isabel,7,1914
Matilda,7,1914
Susie,7,1914
Albina,6,1914
Belle,6,1914
Bernadette,6,1914
Carol,6,1914
Cecilia,6,1914
Clare,6,1914
Delia,6,1914
Diana,6,1914
Dolores,6,1914
Filomena,6,1914
Goldie,6,1914
Janice,6,1914
John,6,1914
Joyce,6,1914
Lauretta,6,1914
Nina,6,1914
Rachel,6,1914
Rhoda,6,1914
Roberta,6,1914
Sara,6,1914
Selma,6,1914
Tessie,6,1914
Tillie,6,1914
Verna,6,1914
Althea,5,1914
Amy,5,1914
Angie,5,1914
Augusta,5,1914
Camille,5,1914
Concettina,5,1914
Cornelia,5,1914
Cynthia,5,1914
Della,5,1914
Erma,5,1914
Frieda,5,1914
Gilda,5,1914
Helena,5,1914
Ina,5,1914
Isabell,5,1914
June,5,1914
Madeleine,5,1914
Mamie,5,1914
Marcella,5,1914
Millicent,5,1914
Millie,5,1914
Nettie,5,1914
Sebastiana,5,1914
Stasia,5,1914
Vincenza,5,1914
Yolanda,5,1914
Mary,989,1915
Helen,619,1915
Anna,417,1915
Margaret,345,1915
Dorothy,305,1915
Ruth,286,1915
Rose,282,1915
Elizabeth,253,1915
Josephine,195,1915
Florence,194,1915
Alice,182,1915
Mildred,178,1915
Frances,175,1915
Eleanor,174,1915
Lillian,164,1915
Evelyn,144,1915
Irene,129,1915
Marie,126,1915
Julia,125,1915
Doris,124,1915
Catherine,123,1915
Marion,122,1915
Jennie,121,1915
Ann,119,1915
Anne,116,1915
Gertrude,115,1915
Stella,108,1915
Louise,105,1915
Marjorie,100,1915
Beatrice,99,1915
Jean,94,1915
Edith,92,1915
Grace,92,1915
Esther,89,1915
Sophie,89,1915
Pauline,87,1915
Rita,83,1915
Ethel,80,1915
Virginia,80,1915
Agnes,78,1915
Katherine,77,1915
Elsie,76,1915
Lucy,76,1915
Barbara,74,1915
Gladys,68,1915
Theresa,66,1915
Nellie,64,1915
Bertha,63,1915
Olga,63,1915
Edna,60,1915
Laura,58,1915
Bernice,56,1915
Sylvia,56,1915
Emma,54,1915
Phyllis,53,1915
Clara,52,1915
Genevieve,50,1915
Lena,50,1915
Martha,50,1915
Marguerite,48,1915
Antoinette,47,1915
Jane,46,1915
Ida,42,1915
Emily,41,1915
Harriet,41,1915
Viola,41,1915
Charlotte,40,1915
Muriel,40,1915
Hazel,39,1915
Victoria,39,1915
Betty,38,1915
Kathryn,37,1915
Madeline,37,1915
Sarah,36,1915
Shirley,36,1915
Angelina,35,1915
Lois,35,1915
Pearl,34,1915
Wanda,33,1915
Adele,32,1915
Sally,32,1915
Blanche,31,1915
Caroline,31,1915
Concetta,31,1915
Nancy,30,1915
Estelle,29,1915
Celia,28,1915
Constance,28,1915
Mabel,28,1915
Vera,28,1915
Marian,27,1915
Angeline,26,1915
Ellen,26,1915
Lucille,26,1915
Olive,26,1915
Anita,25,1915
Carmela,25,1915
Claire,25,1915
Jeanette,25,1915
Cecelia,24,1915
Eileen,24,1915
Eva,24,1915
Loretta,24,1915
Veronica,24,1915
Winifred,24,1915
Christine,23,1915
Adeline,22,1915
Bessie,22,1915
Mae,22,1915
Minnie,22,1915
Regina,22,1915
Carmella,21,1915
Violet,21,1915
Vivian,21,1915
Henrietta,20,1915
Natalie,20,1915
Philomena,20,1915
Amelia,19,1915
Myrtle,19,1915
Carolyn,18,1915
Jessie,18,1915
June,18,1915
Maria,18,1915
