Name,Frequency,YOB
Mary,80,1910
Margaret,72,1910
Helen,52,1910
Dorothy,50,1910
Elizabeth,34,1910
Ruth,29,1910
Catherine,28,1910
Ethel,25,1910
Evelyn,25,1910
Louise,24,1910
Frances,23,1910
Lillian,20,1910
Marion,18,1910
Alice,16,1910
Bertha,16,1910
Marie,16,1910
Virginia,16,1910
Mildred,15,1910
Thelma,15,1910
Viola,15,1910
Edna,14,1910
Clara,13,1910
Elsie,13,1910
Beatrice,12,1910
Edith,12,1910
Eleanor,12,1910
Grace,12,1910
Gladys,11,1910
Anna,10,1910
Florence,10,1910
Josephine,10,1910
Gertrude,9,1910
Marjorie,9,1910
Rose,8,1910
Anne,7,1910
Bernice,7,1910
Charlotte,7,1910
Esther,7,1910
Hazel,7,1910
Mae,7,1910
Nellie,7,1910
Sarah,7,1910
Ann,6,1910
Betty,6,1910
Julia,6,1910
Myrtle,6,1910
Agnes,5,1910
Annie,5,1910
Audrey,5,1910
Christine,5,1910
Hilda,5,1910
Ida,5,1910
Inez,5,1910
Jeannette,5,1910
Marian,5,1910
May,5,1910
Mary,88,1911
Dorothy,49,1911
Helen,44,1911
Margaret,39,1911
Evelyn,34,1911
Elizabeth,32,1911
Louise,28,1911
Catherine,27,1911
Ruth,26,1911
Alice,23,1911
Frances,22,1911
Grace,22,1911
Thelma,21,1911
Gladys,20,1911
Mildred,20,1911
Virginia,20,1911
Edith,17,1911
Rose,16,1911
Bernice,15,1911
Josephine,15,1911
Lillian,14,1911
Marie,13,1911
Beatrice,12,1911
Elsie,12,1911
Esther,12,1911
Ethel,12,1911
Edna,11,1911
Eleanor,11,1911
Florence,11,1911
Katherine,11,1911
Viola,11,1911
Alma,10,1911
Anna,10,1911
Sarah,10,1911
Agnes,9,1911
Annie,9,1911
Clara,9,1911
Doris,9,1911
Gertrude,9,1911
Julia,9,1911
Pearl,9,1911
Vivian,9,1911
Hazel,8,1911
Ida,8,1911
Mabel,8,1911
Marion,8,1911
Marjorie,8,1911
Ann,7,1911
Blanche,7,1911
Ellen,7,1911
Juanita,7,1911
Marguerite,7,1911
Nellie,7,1911
Anne,6,1911
Bertha,6,1911
Charlotte,6,1911
Emma,6,1911
Fannie,6,1911
Hilda,6,1911
Jean,5,1911
Laura,5,1911
Lucille,5,1911
Lucy,5,1911
Madeline,5,1911
Naomi,5,1911
Pauline,5,1911
Mary,122,1912
Dorothy,88,1912
Helen,59,1912
Margaret,59,1912
Elizabeth,56,1912
Catherine,50,1912
Evelyn,40,1912
Virginia,37,1912
Ruth,35,1912
Lillian,31,1912
Mildred,31,1912
Frances,26,1912
Thelma,26,1912
Anna,25,1912
Ethel,22,1912
Louise,22,1912
Marie,22,1912
Alice,20,1912
Gladys,20,1912
Edna,18,1912
Eleanor,16,1912
Florence,16,1912
Jean,15,1912
Beatrice,14,1912
Edith,14,1912
Lucille,14,1912
Marion,14,1912
Marjorie,13,1912
Bernice,12,1912
Viola,12,1912
Hazel,11,1912
Katherine,11,1912
Rose,11,1912
Agnes,10,1912
Annie,10,1912
Bertha,10,1912
Clara,10,1912
Gertrude,10,1912
Grace,10,1912
Ann,9,1912
Julia,9,1912
Myrtle,9,1912
Audrey,8,1912
Cora,8,1912
Elsie,8,1912
Emma,8,1912
Josephine,8,1912
Laura,8,1912
Marguerite,8,1912
Pauline,8,1912
Bessie,7,1912
Harriet,7,1912
Ida,7,1912
Irene,7,1912
Martha,7,1912
Rosa,7,1912
Doris,6,1912
Eva,6,1912
Kathryn,6,1912
Mabel,6,1912
Mae,6,1912
Marian,6,1912
Nellie,6,1912
Pearl,6,1912
Sarah,6,1912
Alma,5,1912
Cecelia,5,1912
Daisy,5,1912
Ella,5,1912
Ellen,5,1912
Geneva,5,1912
Katharine,5,1912
May,5,1912
Vivian,5,1912
Mary,136,1913
Dorothy,91,1913
Helen,78,1913
Margaret,75,1913
Elizabeth,54,1913
Ruth,45,1913
Catherine,44,1913
Frances,44,1913
Louise,32,1913
Lillian,30,1913
Thelma,30,1913
Alice,28,1913
Evelyn,28,1913
Mildred,28,1913
Florence,26,1913
Gladys,22,1913
Ethel,21,1913
Anna,20,1913
Irene,19,1913
Virginia,19,1913
Audrey,17,1913
Beatrice,16,1913
Esther,16,1913
Jessie,16,1913
Marie,16,1913
Gertrude,15,1913
Rose,15,1913
Edith,14,1913
Grace,14,1913
Josephine,14,1913
Julia,14,1913
Anne,13,1913
Bertha,13,1913
Doris,12,1913
Edna,12,1913
Eleanor,12,1913
Marion,12,1913
Marjorie,12,1913
Emma,11,1913
Bernice,10,1913
Charlotte,10,1913
Elsie,10,1913
Hazel,10,1913
Naomi,10,1913
Sarah,10,1913
Viola,10,1913
Agnes,9,1913
Annie,9,1913
Jane,9,1913
Marguerite,9,1913
Estelle,8,1913
Jean,8,1913
Kathryn,8,1913
Lucille,8,1913
Martha,8,1913
Pauline,8,1913
Sylvia,8,1913
Barbara,7,1913
Bessie,7,1913
Clara,7,1913
Emily,7,1913
Eva,7,1913
Mabel,7,1913
Alma,6,1913
Ann,6,1913
Betty,6,1913
Ellen,6,1913
Laura,6,1913
Pearl,6,1913
Henrietta,5,1913
June,5,1913
Katharine,5,1913
Katherine,5,1913
Lois,5,1913
Mae,5,1913
Marian,5,1913
Nellie,5,1913
Patricia,5,1913
Sara,5,1913
Vivian,5,1913
