Name,Frequency,YOB
Mary,59,1910
Margaret,40,1910
Helen,37,1910
Elizabeth,27,1910
Anna,20,1910
Dorothy,16,1910
Alice,13,1910
Catherine,13,1910
Marie,13,1910
Mildred,13,1910
Beatrice,12,1910
Elsie,12,1910
Ethel,12,1910
Blanche,10,1910
Clara,10,1910
Ida,10,1910
Edna,9,1910
Thelma,9,1910
Eleanor,8,1910
Irene,8,1910
Lillian,8,1910
Pauline,8,1910
Pearl,8,1910
Ruth,8,1910
Florence,7,1910
Agnes,6,1910
Ann,6,1910
Edith,6,1910
Emma,6,1910
Frances,6,1910
Gertrude,6,1910
Gladys,6,1910
Mae,6,1910
Virginia,6,1910
Evelyn,5,1910
Grace,5,1910
Hilda,5,1910
Louise,5,1910
Mabel,5,1910
Martha,5,1910
Myrtle,5,1910
Rose,5,1910
Viola,5,1910
Mary,49,1911
Helen,37,1911
Mildred,31,1911
Margaret,30,1911
Elizabeth,24,1911
Dorothy,20,1911
Anna,19,1911
Ruth,19,1911
Catherine,18,1911
Elsie,15,1911
Florence,14,1911
Alice,13,1911
Ethel,13,1911
Frances,13,1911
Ida,13,1911
Pauline,12,1911
Edith,10,1911
Marie,10,1911
Clara,9,1911
Edna,9,1911
Agnes,8,1911
Louise,8,1911
Marian,8,1911
Pearl,8,1911
Ann,7,1911
Gladys,7,1911
Grace,7,1911
Irene,7,1911
Thelma,7,1911
Gertrude,6,1911
Hazel,6,1911
Jennie,6,1911
Lillian,6,1911
Rose,6,1911
Virginia,6,1911
Beatrice,5,1911
Emma,5,1911
Esther,5,1911
Eva,5,1911
Josephine,5,1911
Martha,5,1911
Sara,5,1911
Sarah,5,1911
Theresa,5,1911
Mary,77,1912
Dorothy,47,1912
Helen,37,1912
Elizabeth,36,1912
Margaret,30,1912
Anna,29,1912
Mildred,27,1912
Ruth,24,1912
Alice,22,1912
Catherine,17,1912
Frances,17,1912
Gladys,16,1912
Anne,15,1912
Elsie,15,1912
Lillian,15,1912
Edith,14,1912
Sara,14,1912
Marie,13,1912
Sarah,13,1912
Ethel,12,1912
Florence,12,1912
Louise,12,1912
Edna,11,1912
Pauline,10,1912
Pearl,10,1912
Julia,9,1912
Rose,9,1912
Virginia,9,1912
Evelyn,8,1912
Irene,8,1912
Betty,7,1912
Blanche,7,1912
Clara,7,1912
Eleanor,7,1912
Gertrude,7,1912
Hazel,7,1912
Ida,7,1912
Jane,7,1912
Josephine,7,1912
Katherine,7,1912
Mabel,7,1912
Marguerite,7,1912
Marion,7,1912
Marjorie,7,1912
Martha,7,1912
Agnes,6,1912
Ann,6,1912
Bertha,6,1912
Ellen,6,1912
Laura,6,1912
Madeline,6,1912
Annie,5,1912
Ella,5,1912
Emma,5,1912
Esther,5,1912
Hilda,5,1912
Myrtle,5,1912
Rachel,5,1912
Mary,80,1913
Helen,59,1913
Dorothy,42,1913
Elizabeth,42,1913
Margaret,36,1913
Mildred,32,1913
Anna,24,1913
Ruth,22,1913
Rose,19,1913
Catherine,18,1913
Martha,18,1913
Edna,15,1913
Evelyn,14,1913
Florence,14,1913
Alice,13,1913
Frances,13,1913
Grace,13,1913
Eleanor,12,1913
Emma,12,1913
Ethel,12,1913
Myrtle,12,1913
Jean,10,1913
Lillian,10,1913
Mabel,10,1913
Marie,10,1913
Beatrice,9,1913
Doris,9,1913
Elsie,9,1913
Eva,9,1913
Gertrude,9,1913
Thelma,9,1913
Agnes,8,1913
Gladys,8,1913
Irene,8,1913
Sara,8,1913
Alma,7,1913
Clara,7,1913
Hazel,7,1913
Josephine,7,1913
