Name,Frequency,YOB
Mary,239,1910
Annie,101,1910
Ethel,82,1910
Willie,71,1910
Louise,70,1910
Lillie,69,1910
Ruby,65,1910
Thelma,65,1910
Gladys,58,1910
Ruth,56,1910
Bessie,54,1910
Marie,54,1910
Alice,53,1910
Margaret,53,1910
Rosa,53,1910
Edna,50,1910
Beatrice,49,1910
Carrie,49,1910
Elizabeth,47,1910
Dorothy,45,1910
Ida,42,1910
Alma,39,1910
Essie,39,1910
Mildred,39,1910
Myrtle,39,1910
Minnie,38,1910
Maggie,36,1910
Mattie,36,1910
Helen,35,1910
Martha,35,1910
Sarah,34,1910
Mae,33,1910
Lucille,31,1910
Cora,30,1910
Emma,30,1910
Eva,30,1910
Evelyn,30,1910
Lillian,30,1910
Lula,30,1910
Mabel,30,1910
Mamie,30,1910
Irene,29,1910
Josephine,29,1910
Pearl,29,1910
Viola,29,1910
Bertha,28,1910
Ella,28,1910
Daisy,27,1910
Anna,26,1910
Florence,26,1910
Grace,26,1910
Jessie,26,1910
Catherine,25,1910
Clara,25,1910
Fannie,25,1910
Frances,25,1910
Hattie,24,1910
Susie,24,1910
Virginia,24,1910
Alberta,23,1910
Nellie,23,1910
Rose,23,1910
Vera,21,1910
Bernice,20,1910
Gertrude,20,1910
Juanita,20,1910
Laura,20,1910
Lois,20,1910
Inez,19,1910
Julia,19,1910
Agnes,18,1910
Lucy,18,1910
Edith,17,1910
Eula,17,1910
Ada,16,1910
Christine,16,1910
Hazel,16,1910
Lucile,16,1910
Beulah,15,1910
Esther,15,1910
Flora,15,1910
Gussie,15,1910
Katherine,15,1910
Lena,15,1910
Sadie,15,1910
Ellen,14,1910
Katie,14,1910
Leola,14,1910
Mable,14,1910
Marion,14,1910
Maude,14,1910
Pauline,14,1910
Sallie,14,1910
Estelle,13,1910
Georgia,13,1910
Lottie,13,1910
Maria,13,1910
Janie,12,1910
Jennie,12,1910
Leona,12,1910
Lizzie,12,1910
Marguerite,12,1910
Nancy,12,1910
Rebecca,12,1910
Violet,12,1910
Addie,11,1910
Betty,11,1910
Doris,11,1910
Eunice,11,1910
Flossie,11,1910
Nettie,11,1910
Ola,11,1910
Theresa,11,1910
Vivian,11,1910
Dora,10,1910
Eleanor,10,1910
Etta,10,1910
Kathleen,10,1910
Lela,10,1910
Lessie,10,1910
Lola,10,1910
Ollie,10,1910
Rosetta,10,1910
Charlotte,9,1910
Florida,9,1910
Nora,9,1910
Rachel,9,1910
Allie,8,1910
Callie,8,1910
Carmen,8,1910
Christina,8,1910
Elsie,8,1910
Emily,8,1910
Erma,8,1910
Estella,8,1910
Geneva,8,1910
Hester,8,1910
Hilda,8,1910
Isabel,8,1910
Naomi,8,1910
Roberta,8,1910
Verna,8,1910
Victoria,8,1910
Ann,7,1910
Anne,7,1910
Bertie,7,1910
Blanche,7,1910
Ernestine,7,1910
Freddie,7,1910
Gracie,7,1910
Henrietta,7,1910
Idella,7,1910
Rosalie,7,1910
Stella,7,1910
Allene,6,1910
Amanda,6,1910
Amelia,6,1910
Bonnie,6,1910
Eliza,6,1910
Eloise,6,1910
Hallie,6,1910
Hettie,6,1910
Irma,6,1910
Iva,6,1910
Jannie,6,1910
Jewell,6,1910
Leila,6,1910
Lily,6,1910
Marjorie,6,1910
Maxine,6,1910
Mollie,6,1910
Pansy,6,1910
Pearlie,6,1910
Rosie,6,1910
Sally,6,1910
Sara,6,1910
Sue,6,1910
Sybil,6,1910
Wilhelmina,6,1910
Winifred,6,1910
Audrey,5,1910
Belle,5,1910
Caroline,5,1910
Carolyn,5,1910
Cassie,5,1910
Celia,5,1910
Claudia,5,1910
Corinne,5,1910
Delia,5,1910
Effie,5,1910
Elease,5,1910
Elnora,5,1910
Francis,5,1910
Geraldine,5,1910
Idell,5,1910
Jane,5,1910
Jean,5,1910
Joan,5,1910
Kathryn,5,1910
Lenora,5,1910
Matilda,5,1910
Maud,5,1910
May,5,1910
Millie,5,1910
Myrtice,5,1910
Ora,5,1910
Patricia,5,1910
Rena,5,1910
Mary,223,1911
Annie,98,1911
Willie,71,1911
Elizabeth,66,1911
Louise,66,1911
Ruby,66,1911
Ruth,65,1911
Lillie,53,1911
Frances,52,1911
Margaret,52,1911
Ethel,51,1911
Thelma,48,1911
Dorothy,47,1911
Edna,47,1911
Lucille,47,1911
Alice,45,1911
Helen,43,1911
Marie,42,1911
Rosa,41,1911
Mildred,39,1911
Florence,38,1911
Lillian,38,1911
Minnie,37,1911
Bessie,36,1911
Gladys,36,1911
Clara,34,1911
Emma,34,1911
Ida,34,1911
Julia,33,1911
Lois,33,1911
Bertha,32,1911
Beatrice,31,1911
Martha,31,1911
Carrie,30,1911
Evelyn,30,1911
Grace,30,1911
Jessie,30,1911
Mattie,30,1911
Alberta,29,1911
Josephine,29,1911
Mamie,29,1911
Sarah,29,1911
Ella,28,1911
Eva,28,1911
Nellie,28,1911
Pearl,28,1911
Viola,28,1911
Hazel,27,1911
Alma,25,1911
Laura,25,1911
Anna,24,1911
Hattie,24,1911
Susie,24,1911
Gertrude,23,1911
Irene,23,1911
Fannie,22,1911
Lula,22,1911
Rose,22,1911
Cora,21,1911
Edith,21,1911
Mabel,21,1911
Virginia,21,1911
Daisy,20,1911
Essie,20,1911
Mae,20,1911
Myrtle,20,1911
Inez,19,1911
Pauline,19,1911
Catherine,18,1911
Eunice,18,1911
Bernice,17,1911
Beulah,17,1911
Gussie,17,1911
Dora,16,1911
Stella,16,1911
Ada,15,1911
Agnes,15,1911
Esther,15,1911
Katie,15,1911
Leola,15,1911
Vera,15,1911
Betty,14,1911
Doris,14,1911
Leona,14,1911
Lucy,14,1911
Addie,13,1911
Ellen,13,1911
Eloise,13,1911
Georgia,13,1911
Jennie,13,1911
Maggie,13,1911
Emily,12,1911
Flora,12,1911
Idella,12,1911
Juanita,12,1911
Lucile,12,1911
Marion,12,1911
Nancy,12,1911
Ann,11,1911
Blanche,11,1911
Christine,11,1911
Elsie,11,1911
Estelle,11,1911
Johnnie,11,1911
Lena,11,1911
Lessie,11,1911
Lottie,11,1911
Marguerite,11,1911
Naomi,11,1911
Sallie,11,1911
Anne,10,1911
Eula,10,1911
Janie,10,1911
Jewel,10,1911
Katherine,10,1911
Maria,10,1911
Nettie,10,1911
Sadie,10,1911
Audrey,9,1911
Bertie,9,1911
Callie,9,1911
Eleanor,9,1911
Estella,9,1911
Lenora,9,1911
Lola,9,1911
Mable,9,1911
Millie,9,1911
Rebecca,9,1911
Roxie,9,1911
Flossie,8,1911
Jane,8,1911
Josie,8,1911
Marjorie,8,1911
May,8,1911
Roberta,8,1911
Rosetta,8,1911
Sylvia,8,1911
Vivian,8,1911
Albertha,7,1911
Amanda,7,1911
Amelia,7,1911
Carolyn,7,1911
Charlotte,7,1911
Geneva,7,1911
Gracie,7,1911
Maude,7,1911
Miriam,7,1911
Myrtice,7,1911
Ola,7,1911
Ollie,7,1911
Rachel,7,1911
