Name,Frequency,YOB
Mary,841,1910
Annie,553,1910
Mattie,320,1910
Ruby,279,1910
Willie,275,1910
Louise,231,1910
Lillie,222,1910
Ethel,207,1910
Bessie,194,1910
Rosa,190,1910
Ruth,189,1910
Elizabeth,184,1910
Emma,171,1910
Marie,166,1910
Minnie,165,1910
Carrie,163,1910
Hattie,163,1910
Fannie,160,1910
Sarah,158,1910
Mamie,152,1910
Alice,150,1910
Frances,143,1910
Mildred,133,1910
Thelma,133,1910
Bertha,130,1910
Gladys,130,1910
Clara,129,1910
Martha,127,1910
Susie,127,1910
Jessie,124,1910
Nellie,122,1910
Essie,121,1910
Lillian,121,1910
Lucille,117,1910
Anna,116,1910
Eva,115,1910
Margaret,113,1910
Ida,112,1910
Lula,112,1910
Pearl,112,1910
Ella,111,1910
Evelyn,110,1910
Maggie,110,1910
Daisy,107,1910
Julia,107,1910
Lizzie,106,1910
Cora,103,1910
Gertrude,102,1910
Dorothy,100,1910
Lucile,100,1910
Edna,99,1910
Irene,99,1910
Helen,98,1910
Beatrice,96,1910
Pauline,92,1910
Sallie,92,1910
Lois,89,1910
Viola,89,1910
Georgia,88,1910
Laura,88,1910
Katie,87,1910
Grace,76,1910
Lucy,74,1910
Mae,73,1910
Alma,72,1910
Ola,71,1910
Inez,69,1910
Myrtle,69,1910
Josephine,67,1910
Eula,66,1910
Eunice,66,1910
Florence,64,1910
Sara,63,1910
Virginia,63,1910
Alberta,62,1910
Johnnie,62,1910
Estelle,60,1910
Hazel,59,1910
Janie,58,1910
Catherine,57,1910
Sadie,56,1910
Beulah,55,1910
Nettie,54,1910
Addie,53,1910
Agnes,53,1910
Rose,53,1910
Rosie,53,1910
Flora,51,1910
Leola,51,1910
Mabel,51,1910
Vera,51,1910
Lottie,50,1910
Effie,49,1910
Edith,48,1910
Lena,47,1910
Lola,47,1910
Maude,47,1910
Dora,46,1910
Gussie,45,1910
Nora,39,1910
Rebecca,39,1910
Estella,38,1910
Betty,37,1910
Elsie,37,1910
Katherine,37,1910
Ollie,37,1910
Ora,37,1910
Blanche,36,1910
Jennie,36,1910
Mable,36,1910
Ada,34,1910
Bernice,34,1910
Cleo,34,1910
Ann,33,1910
Doris,33,1910
Leila,33,1910
Geneva,32,1910
Nina,32,1910
Odessa,32,1910
Christine,31,1910
Jewell,31,1910
Nancy,31,1910
Della,30,1910
Kathleen,30,1910
Leona,30,1910
Florine,29,1910
Callie,28,1910
Lessie,28,1910
Mollie,28,1910
Jewel,27,1910
Josie,27,1910
Jimmie,26,1910
Myrtice,26,1910
Rachel,26,1910
Dollie,25,1910
Eloise,25,1910
Kate,25,1910
Stella,25,1910
Henrietta,24,1910
Nell,24,1910
Ophelia,24,1910
Velma,24,1910
Eleanor,23,1910
Esther,23,1910
Marion,23,1910
Emily,22,1910
May,22,1910
Ellen,21,1910
Pearlie,21,1910
Allie,20,1910
Eddie,20,1910
Etta,20,1910
Jannie,20,1910
Lela,20,1910
Sally,20,1910
Claudia,19,1910
Cornelia,19,1910
Mozelle,19,1910
Reba,19,1910
Sue,19,1910
Victoria,19,1910
Winnie,19,1910
Bertie,18,1910
Flossie,18,1910
Hannah,18,1910
Lila,18,1910
Nannie,18,1910
Amy,17,1910
Charlie,17,1910
Corine,17,1910
Juanita,17,1910
Maudie,17,1910
Opal,17,1910
Roberta,17,1910
Vivian,17,1910
Carolyn,16,1910
Frankie,16,1910
Magnolia,16,1910
Ossie,16,1910
Willa,16,1910
Anne,15,1910
Erma,15,1910
Evie,15,1910
Idella,15,1910
Marjorie,15,1910
Birdie,14,1910
Bonnie,14,1910
