Name,Frequency,YOB
Mary,47,1910
Helen,20,1910
Alice,19,1910
Rose,18,1910
Violet,16,1910
Elizabeth,15,1910
Annie,12,1910
Margaret,12,1910
Dorothy,11,1910
Florence,11,1910
Lucy,11,1910
Shizuko,9,1910
Yoshiko,9,1910
Emma,8,1910
Mildred,8,1910
Ruth,8,1910
Agnes,7,1910
Ann,7,1910
Chiyoko,7,1910
Edith,7,1910
Katherine,7,1910
Lillian,7,1910
Cecilia,6,1910
Eva,6,1910
Flora,6,1910
Mabel,6,1910
Marie,6,1910
Beatrice,5,1910
Betty,5,1910
Ellen,5,1910
Esther,5,1910
Frances,5,1910
Gladys,5,1910
Haruko,5,1910
Josephine,5,1910
Julia,5,1910
Laura,5,1910
Louise,5,1910
Lucille,5,1910
Lydia,5,1910
Mary,56,1911
Helen,26,1911
Margaret,19,1911
Rose,19,1911
Alice,16,1911
Lillian,16,1911
Emily,15,1911
Sarah,12,1911
Josephine,11,1911
Ethel,10,1911
Irene,10,1911
Shizuko,10,1911
Annie,9,1911
Florence,9,1911
Mabel,9,1911
Marie,9,1911
Violet,9,1911
Dorothy,8,1911
Gladys,8,1911
Julia,8,1911
Louise,8,1911
Shizue,8,1911
Ayako,7,1911
Eleanor,7,1911
Elizabeth,7,1911
Eva,7,1911
Frances,7,1911
Harriet,7,1911
Hatsuko,7,1911
Katherine,7,1911
Misao,7,1911
Agnes,6,1911
Beatrice,6,1911
Bernice,6,1911
Ellen,6,1911
Elsie,6,1911
Emma,6,1911
Grace,6,1911
Haruko,6,1911
Lily,6,1911
Martha,6,1911
Masako,6,1911
Anna,5,1911
Asako,5,1911
Caroline,5,1911
Edna,5,1911
Hazel,5,1911
Jane,5,1911
Lucy,5,1911
Mildred,5,1911
Tsuruko,5,1911
Virginia,5,1911
Mary,62,1912
Alice,33,1912
Helen,32,1912
Rose,32,1912
Margaret,26,1912
Elizabeth,19,1912
Julia,16,1912
Lillian,16,1912
Annie,15,1912
Dorothy,15,1912
Agnes,14,1912
Mildred,14,1912
Shizuko,14,1912
Florence,13,1912
Elsie,12,1912
Esther,12,1912
Ethel,12,1912
Beatrice,11,1912
Katherine,11,1912
Haruko,10,1912
Hazel,10,1912
Kimiko,10,1912
Lily,10,1912
Masako,10,1912
Ruth,10,1912
Doris,9,1912
Emily,9,1912
Sarah,9,1912
Shizue,9,1912
Thelma,9,1912
Violet,9,1912
Anna,8,1912
Catherine,8,1912
Cecilia,8,1912
Chiyoko,8,1912
Edith,8,1912
Edna,8,1912
Gladys,8,1912
Irene,8,1912
Nancy,8,1912
Betty,7,1912
Eleanor,7,1912
Emma,7,1912
Ida,7,1912
Marie,7,1912
Yoshiko,7,1912
Adeline,6,1912
Caroline,6,1912
Clara,6,1912
Ellen,6,1912
Gertrude,6,1912
Grace,6,1912
Hilda,6,1912
Hisako,6,1912
Minnie,6,1912
Ayako,5,1912
Barbara,5,1912
Bernice,5,1912
Evelyn,5,1912
Fumiko,5,1912
Harriet,5,1912
Henrietta,5,1912
Jennie,5,1912
Kimiyo,5,1912
Louise,5,1912
Lucy,5,1912
Martha,5,1912
Sophie,5,1912
Theresa,5,1912
Tsuruko,5,1912
Yaeko,5,1912
Mary,60,1913
Margaret,31,1913
Alice,30,1913
Dorothy,30,1913
Violet,26,1913
Rose,22,1913
Yoshiko,22,1913
Helen,21,1913
Florence,20,1913
Elizabeth,17,1913
Ethel,17,1913
Mildred,17,1913
Haruko,15,1913
Masako,15,1913
Agnes,14,1913
Julia,14,1913
Ruth,14,1913
Mabel,13,1913
Shizue,13,1913
Edna,12,1913
Gladys,12,1913
Hatsuko,12,1913
Katherine,12,1913
Lillian,12,1913
Shizuko,12,1913
Thelma,12,1913
Annie,11,1913
Betty,11,1913
Doris,11,1913
Edith,11,1913
Emily,11,1913
Esther,11,1913
Frances,11,1913
Irene,11,1913
Anna,9,1913
Fumiko,9,1913
Lucille,9,1913
Lydia,9,1913
Beatrice,8,1913
Cecilia,8,1913
Eleanor,8,1913
Elsie,8,1913
Eva,8,1913
Evelyn,8,1913
Grace,8,1913
Harriet,8,1913
Maria,8,1913
Tsuruko,8,1913
Chiyoko,7,1913
Hilda,7,1913
Lucy,7,1913
Misao,7,1913
Nancy,7,1913
Toshiko,7,1913
Vivian,7,1913
Cecelia,6,1913
Christine,6,1913
Dolores,6,1913
Flora,6,1913
Jane,6,1913
Josephine,6,1913
Louise,6,1913
Marion,6,1913
Rachel,6,1913
Sarah,6,1913
Virginia,6,1913
Adeline,5,1913
Ayako,5,1913
Bernice,5,1913
Carmen,5,1913
Charlotte,5,1913
Clara,5,1913
Dora,5,1913
Emma,5,1913
Jean,5,1913
Kikue,5,1913
Kiyoko,5,1913
Laura,5,1913
Marjorie,5,1913
Minnie,5,1913
Mitsuko,5,1913
Sadako,5,1913
Victoria,5,1913
Yasuko,5,1913
Mary,79,1914
Helen,44,1914
Alice,37,1914
Elizabeth,37,1914
Dorothy,35,1914
Margaret,35,1914
Rose,33,1914
Florence,27,1914
Mildred,27,1914
Shizuko,24,1914
Agnes,23,1914
Lillian,23,1914
Ruth,23,1914
Beatrice,21,1914
Violet,21,1914
Masako,20,1914
Eleanor,16,1914
Elsie,16,1914
Grace,16,1914
Laura,15,1914
Doris,14,1914
Edith,14,1914
Ethel,14,1914
Gladys,14,1914
Shizue,14,1914
Yoshiko,14,1914
Bessie,13,1914
Clara,13,1914
Haruko,13,1914
Tsuruko,13,1914
Ellen,12,1914
Mabel,12,1914
Daisy,11,1914
Emily,11,1914
Eva,11,1914
Annie,10,1914
Edna,10,1914
Esther,10,1914
Julia,10,1914
Katherine,10,1914
Lily,10,1914
Louise,10,1914
Virginia,10,1914
Chiyoko,9,1914
Hilda,9,1914
Josephine,9,1914
Mitsue,9,1914
Betty,8,1914
Evelyn,8,1914
Frances,8,1914
Irene,8,1914
Kiyoko,8,1914
Marie,8,1914
Sally,8,1914
Thelma,8,1914
Yoshie,8,1914
Catherine,7,1914
Harriet,7,1914
Hazel,7,1914
Lucy,7,1914
Sarah,7,1914
Anna,6,1914
Barbara,6,1914
Bernice,6,1914
Flora,6,1914
Fumiko,6,1914
Hatsue,6,1914
Ida,6,1914
Kikue,6,1914
Masae,6,1914
Masayo,6,1914
Mitsuko,6,1914
Nancy,6,1914
Nora,6,1914
Pearl,6,1914
Stella,6,1914
Sueko,6,1914
Teruko,6,1914
Toshiko,6,1914
Adeline,5,1914
Ayako,5,1914
Betsy,5,1914
Caroline,5,1914
Chiyo,5,1914
Christina,5,1914
Christine,5,1914
Fujiko,5,1914
Fusae,5,1914
Harue,5,1914
Hattie,5,1914
Isabel,5,1914
Kimiko,5,1914
Lucille,5,1914
Lydia,5,1914
Madeline,5,1914
Maria,5,1914
Martha,5,1914
