Name,Frequency,YOB
Helen,249,1910
Mary,239,1910
Dorothy,185,1910
Mildred,162,1910
Ruth,155,1910
Margaret,128,1910
Alice,104,1910
Marie,101,1910
Florence,98,1910
Gladys,98,1910
Hazel,86,1910
Irene,86,1910
Evelyn,80,1910
Lucille,79,1910
Esther,77,1910
Grace,73,1910
Frances,69,1910
Gertrude,68,1910
Anna,65,1910
Elizabeth,64,1910
Edna,63,1910
Bernice,57,1910
Ethel,57,1910
Martha,57,1910
Thelma,55,1910
Ruby,54,1910
Louise,52,1910
Lillian,50,1910
Marjorie,50,1910
Leona,49,1910
Mabel,49,1910
Opal,49,1910
Viola,49,1910
Clara,48,1910
Vera,45,1910
Edith,43,1910
Doris,42,1910
Eva,42,1910
Wilma,42,1910
Agnes,40,1910
Bertha,40,1910
Elsie,39,1910
Maxine,38,1910
Velma,38,1910
Josephine,37,1910
Pearl,37,1910
Katherine,36,1910
Emma,35,1910
Fern,34,1910
Laura,34,1910
Catherine,32,1910
Eleanor,32,1910
Marian,32,1910
Beulah,31,1910
Pauline,31,1910
Beatrice,30,1910
Lois,30,1910
Myrtle,30,1910
Virginia,28,1910
Alma,27,1910
Genevieve,27,1910
Loretta,27,1910
Vivian,27,1910
Blanche,26,1910
Ella,26,1910
Ida,26,1910
Rose,26,1910
Ann,25,1910
Kathryn,25,1910
Charlotte,23,1910
Ellen,23,1910
Mae,23,1910
Violet,23,1910
Erma,22,1910
Marguerite,22,1910
Nellie,22,1910
Bessie,21,1910
Betty,20,1910
Jean,20,1910
Inez,19,1910
Jennie,19,1910
Minnie,18,1910
Phyllis,18,1910
Lucile,17,1910
Olive,17,1910
Goldie,16,1910
Henrietta,16,1910
Julia,16,1910
Mable,16,1910
Marcella,16,1910
Norma,16,1910
Sylvia,16,1910
Wanda,16,1910
Jane,15,1910
Jessie,15,1910
Lola,15,1910
Marion,15,1910
Faye,14,1910
Ferne,14,1910
Georgia,14,1910
Harriet,14,1910
Hilda,14,1910
Juanita,14,1910
Lena,14,1910
Sarah,14,1910
Verna,14,1910
Cora,13,1910
Irma,13,1910
Luella,13,1910
Alyce,12,1910
Cleo,12,1910
Dora,12,1910
Eunice,12,1910
Iva,12,1910
June,12,1910
Lorraine,12,1910
Naomi,12,1910
Nina,12,1910
Effie,11,1910
Gretchen,11,1910
Maurine,11,1910
Olga,11,1910
Rachel,11,1910
Stella,11,1910
Alberta,10,1910
Alta,10,1910
Amanda,10,1910
Anne,10,1910
Arlene,10,1910
Elva,10,1910
Lydia,10,1910
Ada,9,1910
Dolores,9,1910
Dorothea,9,1910
Freda,9,1910
Hattie,9,1910
Johanna,9,1910
Leone,9,1910
Lula,9,1910
Theresa,9,1910
Audrey,8,1910
Cecilia,8,1910
Geraldine,8,1910
Iona,8,1910
Joy,8,1910
Kathleen,8,1910
Lillie,8,1910
Madeline,8,1910
Maude,8,1910
May,8,1910
Miriam,8,1910
Sadie,8,1910
Selma,8,1910
Veronica,8,1910
Barbara,7,1910
Belva,7,1910
Bonnie,7,1910
Caroline,7,1910
Carolyn,7,1910
Christine,7,1910
Daisy,7,1910
Estella,7,1910
Flossie,7,1910
Ila,7,1910
Ione,7,1910
Janet,7,1910
Joyce,7,1910
Lela,7,1910
Letha,7,1910
Lottie,7,1910
Lucy,7,1910
Winifred,7,1910
Adelaide,6,1910
Adeline,6,1910
Avis,6,1910
Berniece,6,1910
Carmen,6,1910
Carol,6,1910
Elaine,6,1910
Fay,6,1910
Flora,6,1910
