Name,Frequency,YOB
Mary,53,1910
Dorothy,31,1910
Helen,30,1910
Margaret,24,1910
Ruth,24,1910
Gladys,20,1910
Alice,19,1910
Mildred,19,1910
Thelma,19,1910
Edith,17,1910
Elizabeth,17,1910
Evelyn,15,1910
Florence,15,1910
Frances,15,1910
Agnes,12,1910
Clara,12,1910
Hazel,12,1910
Marie,12,1910
Grace,11,1910
Irene,11,1910
Myrtle,11,1910
Vera,11,1910
Bernice,10,1910
Edna,10,1910
Esther,10,1910
Pauline,10,1910
Pearl,10,1910
Rose,10,1910
Anna,9,1910
Ethel,9,1910
Ida,9,1910
Bertha,8,1910
Lillian,8,1910
Lola,8,1910
Sarah,8,1910
Virginia,8,1910
Blanche,7,1910
Ellen,7,1910
Eva,7,1910
Fern,7,1910
Geraldine,7,1910
Lois,7,1910
Minnie,7,1910
Ruby,7,1910
Viola,7,1910
Violet,7,1910
Betty,6,1910
Elma,6,1910
Elva,6,1910
Emma,6,1910
Genevieve,6,1910
Gertrude,6,1910
Laura,6,1910
Louise,6,1910
Lucille,6,1910
Lucy,6,1910
Mabel,6,1910
Mae,6,1910
Marjorie,6,1910
Martha,6,1910
Nellie,6,1910
Beatrice,5,1910
Beulah,5,1910
Cora,5,1910
Della,5,1910
Dora,5,1910
Eleanor,5,1910
Flora,5,1910
Jessie,5,1910
Josephine,5,1910
Katherine,5,1910
Maxine,5,1910
Nina,5,1910
Mary,50,1911
Helen,45,1911
Dorothy,35,1911
Margaret,34,1911
Ruth,32,1911
Mildred,21,1911
Hazel,18,1911
Florence,16,1911
Gertrude,16,1911
Lois,16,1911
Marie,16,1911
Thelma,16,1911
Anna,15,1911
Edna,15,1911
Esther,15,1911
Gladys,14,1911
Alice,13,1911
Elizabeth,13,1911
Frances,13,1911
Lucille,13,1911
Clara,12,1911
Irene,12,1911
Lillian,12,1911
Louise,12,1911
Ruby,12,1911
Fern,11,1911
Pearl,11,1911
Ethel,10,1911
Georgia,10,1911
Grace,10,1911
Josephine,10,1911
Mae,10,1911
Vera,10,1911
Viola,10,1911
Violet,10,1911
Jean,9,1911
Leona,9,1911
Lola,9,1911
Mabel,9,1911
Alta,8,1911
Beatrice,8,1911
Bernice,8,1911
Bertha,8,1911
Edith,8,1911
Ellen,8,1911
Eva,8,1911
Evelyn,8,1911
Minnie,8,1911
Myrtle,8,1911
Ann,7,1911
Blanche,7,1911
Charlotte,7,1911
Julia,7,1911
Marjorie,7,1911
Martha,7,1911
Virginia,7,1911
Wilma,7,1911
Agnes,6,1911
Betty,6,1911
Catherine,6,1911
Della,6,1911
Doris,6,1911
Flora,6,1911
Genevieve,6,1911
Harriet,6,1911
Katherine,6,1911
Marguerite,6,1911
Patricia,6,1911
Pauline,6,1911
Vivian,6,1911
Dolores,5,1911
Eleanor,5,1911
Erma,5,1911
Ila,5,1911
Inez,5,1911
June,5,1911
Laura,5,1911
Lydia,5,1911
Maxine,5,1911
Nora,5,1911
Opal,5,1911
Rachel,5,1911
Rose,5,1911
Wanda,5,1911
Mary,77,1912
Dorothy,55,1912
Helen,49,1912
Margaret,47,1912
Ruth,46,1912
Mildred,31,1912
Hazel,23,1912
Ruby,22,1912
Edna,21,1912
Grace,21,1912
Evelyn,20,1912
Florence,19,1912
Frances,19,1912
Louise,19,1912
Thelma,19,1912
Alice,18,1912
Irene,18,1912
Lucille,18,1912
Elsie,17,1912
Gladys,17,1912
Elizabeth,16,1912
Lois,16,1912
Doris,15,1912
Vera,15,1912
Edith,14,1912
Esther,14,1912
Eva,14,1912
Marie,14,1912
Anna,13,1912
Catherine,13,1912
Ethel,13,1912
Leona,13,1912
Nellie,13,1912
Virginia,13,1912
Sarah,12,1912
Agnes,11,1912
Eleanor,11,1912
Ella,11,1912
Fern,11,1912
Katherine,11,1912
Mabel,11,1912
Viola,11,1912
Wanda,11,1912
Betty,10,1912
Beulah,10,1912
Dora,10,1912
Emma,10,1912
Jane,10,1912
Jean,10,1912
Juanita,10,1912
Kathryn,10,1912
Alma,9,1912
Bertha,9,1912
Erma,9,1912
Ida,9,1912
Marjorie,9,1912
Olive,9,1912
Alta,8,1912
Bernice,8,1912
Josephine,8,1912
Laura,8,1912
Martha,8,1912
Opal,8,1912
Pearl,8,1912
Phyllis,8,1912
Ada,7,1912
Clara,7,1912
Genevieve,7,1912
Gertrude,7,1912
Jessie,7,1912
Lena,7,1912
Lillian,7,1912
Lucy,7,1912
Marguerite,7,1912
Myrtle,7,1912
Afton,6,1912
Ann,6,1912
Anne,6,1912
Blanche,6,1912
Della,6,1912
Eunice,6,1912
Geneva,6,1912
Leah,6,1912
Mae,6,1912
Marion,6,1912
Melba,6,1912
Naomi,6,1912
Rose,6,1912
Verna,6,1912
Violet,6,1912
Amy,5,1912
Beth,5,1912
Cora,5,1912
Elaine,5,1912
Ellen,5,1912
