Name,Frequency,YOB
Mary,1076,1910
Helen,917,1910
Dorothy,553,1910
Margaret,501,1910
Mildred,426,1910
Ruth,423,1910
Marie,374,1910
Anna,370,1910
Florence,308,1910
Frances,287,1910
Lillian,268,1910
Rose,268,1910
Elizabeth,259,1910
Evelyn,259,1910
Irene,231,1910
Bernice,213,1910
Alice,212,1910
Gertrude,190,1910
Catherine,184,1910
Josephine,184,1910
Hazel,183,1910
Gladys,182,1910
Ann,181,1910
Ethel,174,1910
Edna,171,1910
Grace,171,1910
Eleanor,169,1910
Lucille,168,1910
Virginia,155,1910
Edith,145,1910
Louise,140,1910
Agnes,133,1910
Elsie,126,1910
Pauline,125,1910
Esther,123,1910
Mabel,122,1910
Clara,118,1910
Jean,118,1910
Martha,118,1910
Thelma,110,1910
Marion,104,1910
Anne,102,1910
Viola,102,1910
Betty,101,1910
Violet,101,1910
Myrtle,99,1910
Marjorie,98,1910
Bertha,97,1910
Pearl,92,1910
Katherine,91,1910
Eva,90,1910
Julia,90,1910
Ruby,90,1910
Stella,89,1910
Emma,88,1910
Genevieve,86,1910
Nellie,81,1910
Harriet,79,1910
Sylvia,76,1910
Opal,75,1910
Sophie,75,1910
Mae,72,1910
Bessie,70,1910
Laura,70,1910
Beatrice,68,1910
Doris,68,1910
Ida,68,1910
Kathryn,68,1910
Emily,67,1910
Jane,67,1910
Minnie,67,1910
Charlotte,65,1910
Lois,64,1910
Theresa,63,1910
Blanche,60,1910
Estelle,60,1910
Marian,60,1910
Alma,59,1910
Marguerite,59,1910
Vera,59,1910
Leona,58,1910
Wilma,58,1910
Vivian,56,1910
Adeline,54,1910
Ella,54,1910
Jennie,54,1910
Ellen,53,1910
Lena,53,1910
Velma,53,1910
Beulah,52,1910
Sarah,49,1910
Loretta,48,1910
Norma,45,1910
Fern,44,1910
Geraldine,44,1910
Jessie,43,1910
Victoria,42,1910
Juanita,41,1910
Caroline,38,1910
Jeanette,38,1910
Lottie,38,1910
Barbara,36,1910
Frieda,36,1910
Irma,36,1910
Goldie,35,1910
Inez,35,1910
Lucile,35,1910
Verna,35,1910
Angeline,33,1910
Georgia,33,1910
Olive,33,1910
Dorothea,32,1910
May,32,1910
Erma,31,1910
June,31,1910
Lorraine,31,1910
Madeline,30,1910
Nora,30,1910
Wanda,30,1910
Hilda,29,1910
Jeannette,29,1910
Naomi,29,1910
Olga,29,1910
Patricia,29,1910
Henrietta,28,1910
Phyllis,28,1910
Ada,27,1910
Cora,26,1910
Lola,26,1910
Lucy,26,1910
Della,25,1910
Sally,25,1910
Amelia,24,1910
Faye,24,1910
Hattie,24,1910
Mable,24,1910
Nina,24,1910
Alberta,23,1910
Alta,23,1910
Cecelia,23,1910
Celia,23,1910
Christine,23,1910
Dolores,23,1910
Freda,23,1910
Lillie,23,1910
Marcella,23,1910
Veronica,23,1910
Adele,22,1910
Annette,22,1910
Cecilia,22,1910
Eileen,22,1910
Eunice,22,1910
Geneva,22,1910
Isabel,22,1910
Johanna,22,1910
Winifred,22,1910
Eleanore,21,1910
Isabelle,21,1910
Lorene,21,1910
Lydia,21,1910
Shirley,21,1910
Bernadine,20,1910
Carrie,20,1910
Iva,20,1910
Muriel,20,1910
Roberta,20,1910
Sophia,20,1910
Susan,20,1910
Daisy,19,1910
Elva,19,1910
Harriett,19,1910
Kathleen,19,1910
Lela,19,1910
Rosalie,19,1910
Sadie,19,1910
Tillie,19,1910
Antoinette,18,1910
Audrey,18,1910
Flora,18,1910
Maxine,18,1910
Regina,18,1910
