Name,Frequency,YOB
Mary,619,1910
Helen,324,1910
Ruth,238,1910
Dorothy,215,1910
Mildred,200,1910
Margaret,196,1910
Thelma,137,1910
Edna,113,1910
Martha,112,1910
Hazel,108,1910
Alice,107,1910
Elizabeth,106,1910
Frances,106,1910
Marie,103,1910
Anna,100,1910
Florence,93,1910
Edith,87,1910
Esther,86,1910
Irene,86,1910
Evelyn,82,1910
Louise,81,1910
Virginia,81,1910
Gladys,77,1910
Pauline,77,1910
Lucille,76,1910
Catherine,71,1910
Lillian,66,1910
Josephine,65,1910
Clara,61,1910
Grace,60,1910
Mabel,60,1910
Ruby,60,1910
Nellie,58,1910
Ethel,57,1910
Gertrude,53,1910
Bernice,52,1910
Agnes,47,1910
Eva,43,1910
Rose,43,1910
Alma,42,1910
Opal,42,1910
Elsie,41,1910
Betty,40,1910
Emma,40,1910
Viola,40,1910
Beulah,39,1910
Laura,39,1910
Bertha,38,1910
Doris,38,1910
Loretta,38,1910
Blanche,37,1910
Violet,37,1910
Beatrice,36,1910
Lois,36,1910
Velma,36,1910
Bessie,35,1910
Genevieve,35,1910
Goldie,35,1910
Inez,35,1910
Pearl,35,1910
Sarah,35,1910
Wilma,35,1910
Katherine,33,1910
Marjorie,33,1910
Leona,32,1910
Marguerite,32,1910
Vera,32,1910
Kathryn,31,1910
Ann,30,1910
Georgia,30,1910
Julia,30,1910
Fern,29,1910
Naomi,29,1910
Lucile,28,1910
Olive,28,1910
Myrtle,26,1910
Geraldine,25,1910
Jean,25,1910
Alberta,24,1910
Ida,24,1910
Charlotte,22,1910
Stella,22,1910
Sylvia,22,1910
Eleanor,21,1910
Hilda,21,1910
Jessie,21,1910
Marian,21,1910
Maxine,21,1910
Vivian,21,1910
Mae,20,1910
Minnie,20,1910
Ella,19,1910
Lola,19,1910
Mable,19,1910
Berniece,18,1910
Della,18,1910
Freda,18,1910
Iva,18,1910
Verna,18,1910
Audrey,17,1910
Dora,17,1910
Jane,17,1910
June,17,1910
Alta,16,1910
Cora,16,1910
Geneva,16,1910
Hattie,16,1910
Juanita,16,1910
Lena,16,1910
Marion,16,1910
Flora,15,1910
Kathleen,15,1910
Daisy,14,1910
Dorothea,14,1910
Ellen,14,1910
Lucy,14,1910
Lula,14,1910
Ada,13,1910
Caroline,13,1910
Carolyn,13,1910
Crystal,13,1910
Norma,13,1910
Rachel,13,1910
Roberta,13,1910
Dorotha,12,1910
Henrietta,12,1910
Lela,12,1910
Lorene,12,1910
Marcella,12,1910
Maude,12,1910
Nora,12,1910
Anne,11,1910
Bonnie,11,1910
Faye,11,1910
Harriet,11,1910
Isabelle,11,1910
Lydia,11,1910
Wanda,11,1910
Barbara,10,1910
Carrie,10,1910
Helene,10,1910
Janet,10,1910
Jennie,10,1910
Luella,10,1910
Miriam,10,1910
Nettie,10,1910
Nina,10,1910
Amelia,9,1910
Christine,9,1910
Erma,9,1910
Estella,9,1910
Fannie,9,1910
Fay,9,1910
Garnet,9,1910
Hallie,9,1910
Janice,9,1910
Jeanette,9,1910
Lillie,9,1910
Pansy,9,1910
Susie,9,1910
Annabelle,8,1910
Eileen,8,1910
Eunice,8,1910
Flossie,8,1910
Lenora,8,1910
Leota,8,1910
Lorena,8,1910
Lottie,8,1910
May,8,1910
Nancy,8,1910
Veronica,8,1910
Amy,7,1910
Cleo,7,1910
Dolores,7,1910
Gretchen,7,1910
Harriett,7,1910
Imogene,7,1910
Irma,7,1910
Jeannette,7,1910
Lorraine,7,1910
Madeline,7,1910
Mamie,7,1910
Patricia,7,1910
Phyllis,7,1910
Tillie,7,1910
Winifred,7,1910
Cecelia,6,1910
Cecile,6,1910
Clarice,6,1910
Essie,6,1910
Etta,6,1910
Hannah,6,1910
