Name,Frequency,YOB
Mary,251,1910
Helen,172,1910
Dorothy,144,1910
Ruth,144,1910
Mildred,127,1910
Margaret,118,1910
Thelma,84,1910
Frances,81,1910
Hazel,78,1910
Edna,69,1910
Gladys,68,1910
Velma,66,1910
Alice,65,1910
Irene,64,1910
Anna,63,1910
Florence,60,1910
Ethel,59,1910
Elizabeth,55,1910
Esther,53,1910
Lucille,53,1910
Marie,53,1910
Bertha,52,1910
Edith,52,1910
Evelyn,48,1910
Nellie,48,1910
Clara,46,1910
Opal,46,1910
Martha,45,1910
Virginia,43,1910
Pauline,42,1910
Rose,42,1910
Vera,40,1910
Elsie,39,1910
Doris,38,1910
Josephine,37,1910
Louise,37,1910
Marjorie,37,1910
Viola,37,1910
Pearl,36,1910
Ruby,36,1910
Eva,35,1910
Lois,35,1910
Grace,34,1910
Leona,33,1910
Bernice,32,1910
Agnes,31,1910
Jessie,31,1910
Emma,30,1910
Gertrude,30,1910
Mabel,29,1910
Lillian,28,1910
Marguerite,28,1910
Wilma,28,1910
Beulah,27,1910
Juanita,27,1910
Fern,26,1910
Myrtle,26,1910
Erma,25,1910
Ida,24,1910
Alma,23,1910
Laura,23,1910
Blanche,22,1910
Georgia,22,1910
Violet,22,1910
Catherine,20,1910
Goldie,20,1910
Katherine,20,1910
Bessie,19,1910
Charlotte,19,1910
Kathryn,19,1910
Mable,18,1910
Naomi,18,1910
Beatrice,17,1910
Genevieve,17,1910
Jennie,17,1910
Sarah,17,1910
Vivian,17,1910
Lena,16,1910
Lola,16,1910
Sylvia,16,1910
Betty,15,1910
Daisy,15,1910
Ellen,15,1910
Faye,15,1910
Freda,15,1910
Minnie,15,1910
Norma,15,1910
Ada,14,1910
Audrey,14,1910
Della,14,1910
Eunice,14,1910
Rachel,14,1910
Alberta,13,1910
Ella,13,1910
Elma,13,1910
Inez,13,1910
Iva,13,1910
Julia,13,1910
Maxine,13,1910
Winifred,13,1910
Eleanor,12,1910
Ina,12,1910
Mae,12,1910
Alta,11,1910
Ann,11,1910
Cleo,11,1910
Maude,11,1910
Nadine,11,1910
Olive,11,1910
Verna,11,1910
Cora,10,1910
Eula,10,1910
Geneva,10,1910
Lela,10,1910
Letha,10,1910
Lydia,10,1910
Amy,9,1910
Geraldine,9,1910
Harriet,9,1910
Hilda,9,1910
Irma,9,1910
June,9,1910
Lottie,9,1910
Lucile,9,1910
Maurine,9,1910
Roberta,9,1910
Stella,9,1910
Susie,9,1910
Zella,9,1910
Berniece,8,1910
Etta,8,1910
Flora,8,1910
Jean,8,1910
Laverne,8,1910
Leola,8,1910
Lorene,8,1910
May,8,1910
Merle,8,1910
Peggy,8,1910
Regina,8,1910
Rena,8,1910
Wanda,8,1910
Zelma,8,1910
Anne,7,1910
Carrie,7,1910
Christine,7,1910
Crystal,7,1910
Dora,7,1910
Effie,7,1910
Elva,7,1910
Fannie,7,1910
Frieda,7,1910
Harriett,7,1910
Henrietta,7,1910
Leota,7,1910
Leta,7,1910
Lillie,7,1910
Lorraine,7,1910
Lucy,7,1910
Nina,7,1910
Phyllis,7,1910
Rita,7,1910
Rosa,7,1910
Alvina,6,1910
Anita,6,1910
Arlene,6,1910
Avis,6,1910
Barbara,6,1910
Bonnie,6,1910
Gracie,6,1910
Hattie,6,1910
Hester,6,1910
Isabelle,6,1910
Lula,6,1910
Mamie,6,1910
Marcella,6,1910
Margie,6,1910
Marian,6,1910
Muriel,6,1910
Neva,6,1910
Nola,6,1910
Nora,6,1910
Sara,6,1910
Sophia,6,1910
Velda,6,1910
Caroline,5,1910
Cecilia,5,1910
Dollie,5,1910
Dorothea,5,1910
Eloise,5,1910
Emily,5,1910
Estella,5,1910
Gretchen,5,1910
Gwendolyn,5,1910
Hulda,5,1910
Ila,5,1910
Iola,5,1910
Jane,5,1910
Jeanette,5,1910
Katharine,5,1910
Leora,5,1910
Lila,5,1910
Lilly,5,1910
Loretta,5,1910
Luella,5,1910
Lulu,5,1910
Madge,5,1910
Nettie,5,1910
Nona,5,1910
Ola,5,1910
Olga,5,1910
Ollie,5,1910
Theresa,5,1910
Winona,5,1910
Mary,278,1911
Helen,210,1911
Dorothy,178,1911
Margaret,153,1911
Mildred,151,1911
Ruth,128,1911
Frances,96,1911
Edna,82,1911
Esther,75,1911
Thelma,74,1911
Hazel,73,1911
Edith,69,1911
Gladys,68,1911
Alice,66,1911
Marie,65,1911
Ruby,64,1911
Ethel,60,1911
Florence,60,1911
Elizabeth,59,1911
Evelyn,57,1911
Opal,56,1911
Wilma,56,1911
Vera,55,1911
Anna,54,1911
Grace,53,1911
Irene,53,1911
Lucille,50,1911
Marjorie,49,1911
Mabel,47,1911
Martha,47,1911
Pauline,47,1911
Agnes,46,1911
Louise,46,1911
Clara,45,1911
Velma,45,1911
Doris,42,1911
Pearl,42,1911
Virginia,42,1911
Elsie,40,1911
Laura,40,1911
Myrtle,39,1911
Nellie,39,1911
Bernice,36,1911
Bertha,36,1911
Lillian,36,1911
Beulah,34,1911
Gertrude,34,1911
Lois,34,1911
Bessie,33,1911
Emma,33,1911
Josephine,33,1911
Viola,33,1911
Marguerite,32,1911
Fern,30,1911
Maxine,30,1911
Erma,29,1911
Eva,29,1911
Leona,29,1911
Catherine,28,1911
Ella,28,1911
Alma,27,1911
Blanche,27,1911
Goldie,26,1911
Lena,25,1911
Vivian,25,1911
Olive,24,1911
Rose,24,1911
Betty,23,1911
Katherine,23,1911
Lola,23,1911
Geraldine,22,1911
Lucile,21,1911
Faye,20,1911
Ida,20,1911
Jessie,20,1911
Julia,20,1911
Stella,20,1911
Ann,19,1911
Freda,19,1911
Georgia,19,1911
Eunice,18,1911
Nina,18,1911
Eleanor,17,1911
Ellen,17,1911
Irma,17,1911
Minnie,17,1911
Winifred,17,1911
Alberta,16,1911
Beatrice,16,1911
Genevieve,16,1911
Naomi,16,1911
Violet,16,1911
Geneva,15,1911
Juanita,15,1911
Kathryn,15,1911
Sylvia,15,1911
Daisy,14,1911
Inez,14,1911
Loretta,14,1911
Alta,13,1911
Barbara,13,1911
Elva,13,1911
Frieda,13,1911
Harriet,13,1911
Mable,13,1911
Zelma,13,1911
Cora,12,1911
Hilda,12,1911
Jane,12,1911
Jean,12,1911
Lela,12,1911
Lula,12,1911
Rachel,12,1911
Sarah,12,1911
Verna,12,1911
Ada,11,1911
Audrey,11,1911
Charlotte,11,1911
Effie,11,1911
Ina,11,1911
Iva,11,1911
Roberta,11,1911
Wanda,11,1911
Anne,10,1911
Berniece,10,1911
Christine,10,1911
Dora,10,1911
Ila,10,1911
Lorene,10,1911
Lydia,10,1911
Madge,10,1911
Mae,10,1911
Marion,10,1911
Maude,10,1911
Eula,9,1911
Isabelle,9,1911
Leota,9,1911
Madeline,9,1911
Marian,9,1911
May,9,1911
Muriel,9,1911
Neva,9,1911
Norma,9,1911
Theresa,9,1911
Caroline,8,1911
Cleo,8,1911
Dorothea,8,1911
Hattie,8,1911
Isabel,8,1911
Jennie,8,1911
Lorraine,8,1911
Myrna,8,1911
Nadine,8,1911
Rena,8,1911
Rosa,8,1911
Rosie,8,1911
Zelda,8,1911
Carrie,7,1911
Cecelia,7,1911
Christina,7,1911
Della,7,1911
Eileen,7,1911
Iris,7,1911
June,7,1911
Kathleen,7,1911
Laverne,7,1911
Lillie,7,1911
Melba,7,1911
Olga,7,1911
Regina,7,1911
Sara,7,1911
Veronica,7,1911
Avis,6,1911
Bonnie,6,1911
Carol,6,1911
Dorotha,6,1911
Elaine,6,1911
Gwendolyn,6,1911
Henrietta,6,1911
Joan,6,1911
Katie,6,1911
Leah,6,1911
Letha,6,1911
Lorna,6,1911
Mamie,6,1911
