Name,Frequency,YOB
Mary,793,1910
Anna,199,1910
Elizabeth,191,1910
Margaret,175,1910
Edna,160,1910
Helen,146,1910
Ruth,145,1910
Dorothy,143,1910
Hazel,143,1910
Ruby,136,1910
Gladys,126,1910
Ethel,121,1910
Martha,121,1910
Thelma,117,1910
Virginia,117,1910
Bessie,115,1910
Lillian,112,1910
Myrtle,106,1910
Grace,105,1910
Bertha,103,1910
Lucille,98,1910
Mildred,98,1910
Marie,97,1910
Nellie,92,1910
Clara,91,1910
Alma,90,1910
Louise,90,1910
Emma,88,1910
Pearl,88,1910
Evelyn,87,1910
Frances,85,1910
Edith,83,1910
Stella,83,1910
Minnie,82,1910
Ida,80,1910
Catherine,79,1910
Sarah,79,1910
Mabel,78,1910
Lucy,77,1910
Alice,72,1910
Florence,72,1910
Eva,69,1910
Laura,69,1910
Flora,67,1910
Georgia,67,1910
Mattie,67,1910
Gertrude,65,1910
Mae,65,1910
Lula,64,1910
Annie,63,1910
Irene,63,1910
Elsie,62,1910
Beatrice,61,1910
Pauline,60,1910
Cora,58,1910
Nannie,58,1910
Rose,58,1910
Ella,57,1910
Nancy,56,1910
Dora,55,1910
Opal,55,1910
Beulah,54,1910
Viola,54,1910
Julia,52,1910
Lillie,52,1910
Maggie,52,1910
Della,51,1910
Katherine,51,1910
Hattie,49,1910
Nora,49,1910
Carrie,48,1910
Ada,47,1910
Christine,47,1910
Lola,47,1910
Fannie,46,1910
Goldie,46,1910
Susie,45,1910
Jessie,43,1910
Josephine,41,1910
Lena,41,1910
Willie,41,1910
Betty,40,1910
Geneva,40,1910
Ollie,38,1910
Ann,37,1910
Maude,37,1910
Mamie,35,1910
Eula,34,1910
Flossie,34,1910
Agnes,33,1910
Ora,33,1910
Rosa,33,1910
Sallie,32,1910
Daisy,31,1910
Leona,31,1910
Virgie,31,1910
Marguerite,29,1910
Effie,28,1910
Ellen,28,1910
Iva,28,1910
Rosie,28,1910
Velma,28,1910
Hallie,27,1910
Lois,27,1910
Sadie,27,1910
Bonnie,26,1910
Esther,26,1910
Sue,26,1910
Bernice,25,1910
Kathryn,25,1910
Nettie,25,1910
Lottie,24,1910
Rebecca,24,1910
Marjorie,23,1910
Rachel,23,1910
Roxie,23,1910
Eliza,22,1910
Jewell,22,1910
Loretta,22,1910
Maudie,22,1910
May,22,1910
Nell,22,1910
Vera,22,1910
Verna,22,1910
Blanche,21,1910
Gracie,21,1910
Jane,21,1910
Mayme,21,1910
Alberta,20,1910
Etta,20,1910
Katie,20,1910
Lizzie,20,1910
Mollie,20,1910
Alta,19,1910
Cleo,19,1910
Kathleen,19,1910
Addie,18,1910
Eunice,18,1910
Inez,18,1910
Lela,18,1910
Lorene,18,1910
Margie,18,1910
Ola,18,1910
Oma,18,1910
Sally,18,1910
Violet,18,1910
Jennie,17,1910
June,17,1910
Lona,17,1910
Mable,17,1910
Sylvia,17,1910
Audrey,16,1910
Dovie,16,1910
Emily,16,1910
Polly,16,1910
Rhoda,16,1910
Vivian,16,1910
Dixie,15,1910
Dollie,15,1910
Elva,15,1910
Jewel,15,1910
Lora,15,1910
Amanda,14,1910
Lou,14,1910
Lydia,14,1910
Madge,14,1910
Nina,14,1910
Pearlie,14,1910
Reba,14,1910
Roberta,14,1910
Sara,14,1910
Allie,13,1910
Juanita,13,1910
Lucile,13,1910
Naomi,13,1910
Shirley,13,1910
Wilma,13,1910
Artie,12,1910
Bertie,12,1910
Essie,12,1910
Lee,12,1910
Letha,12,1910
Mallie,12,1910
Nola,12,1910
Zella,12,1910
Cecil,11,1910
Cordelia,11,1910
Gertie,11,1910
Hilda,11,1910
Jeanette,11,1910
Lorena,11,1910
Marcella,11,1910
Maxine,11,1910
Nona,11,1910
Norma,11,1910
Sophia,11,1910
Zelma,11,1910
Barbara,10,1910
Bettie,10,1910
Birdie,10,1910
Charlotte,10,1910
Doris,10,1910
Eleanor,10,1910
Fanny,10,1910
Henrietta,10,1910
Hettie,10,1910
Isabelle,10,1910
Jean,10,1910
Marion,10,1910
Millie,10,1910
Tressie,10,1910
Anne,9,1910
Golda,9,1910
Hester,9,1910
Ina,9,1910
Janie,9,1910
Marian,9,1910
Maud,9,1910
Olive,9,1910
Peggy,9,1910
Susan,9,1910
Winnie,9,1910
Alva,8,1910
Callie,8,1910
Cassie,8,1910
Corinne,8,1910
Dolly,8,1910
Estella,8,1910
Geraldine,8,1910
Judy,8,1910
Lelia,8,1910
Lenora,8,1910
Lila,8,1910
Nella,8,1910
Patricia,8,1910
Sudie,8,1910
Victoria,8,1910
Angie,7,1910
Annette,7,1910
Belva,7,1910
Bettye,7,1910
Cornelia,7,1910
Delphia,7,1910
Dorothea,7,1910
Erma,7,1910
Ernestine,7,1910
Fay,7,1910
Francis,7,1910
Hannah,7,1910
Harriet,7,1910
Iola,7,1910
Jeannette,7,1910
Josie,7,1910
Laverne,7,1910
Lettie,7,1910
Luella,7,1910
Lyda,7,1910
Maxie,7,1910
Olivia,7,1910
Rena,7,1910
Rosella,7,1910
Theresa,7,1910
Vina,7,1910
Zula,7,1910
Aileen,6,1910
Anita,6,1910
Blanch,6,1910
Carmen,6,1910
Carolyn,6,1910
Charles,6,1910
Claudia,6,1910
Estelle,6,1910
Garnet,6,1910
Garnett,6,1910
Kate,6,1910
Leola,6,1910
Leora,6,1910
Leota,6,1910
Lera,6,1910
Loraine,6,1910
Lorraine,6,1910
Melda,6,1910
Patsy,6,1910
Vada,6,1910
Verda,6,1910
Verlie,6,1910
Vicie,6,1910
Zola,6,1910
Alene,5,1910
Aline,5,1910
Alpha,5,1910
Altie,5,1910
America,5,1910
Amy,5,1910
Bethel,5,1910
Billie,5,1910
Caroline,5,1910
Catharine,5,1910
Celia,5,1910
Chloe,5,1910
Claudine,5,1910
Cynthia,5,1910
Delia,5,1910
Dessie,5,1910
Elnora,5,1910
Eloise,5,1910
Faye,5,1910
Flonnie,5,1910
Frankie,5,1910
Freda,5,1910
Genevieve,5,1910
Georgie,5,1910
Hazle,5,1910
Irma,5,1910
Isabel,5,1910
John,5,1910
Julie,5,1910
Leah,5,1910
Lida,5,1910
Linda,5,1910
Linnie,5,1910
Liza,5,1910
Lorine,5,1910
Louella,5,1910
Lovie,5,1910
Lura,5,1910
Marietta,5,1910
Matilda,5,1910
Maybelle,5,1910
Minerva,5,1910
Mossie,5,1910
Nelle,5,1910
Pansy,5,1910
Reva,5,1910
Rosetta,5,1910
Tilda,5,1910
Vela,5,1910
Vesta,5,1910
Wanda,5,1910
Willa,5,1910
Winifred,5,1910
Mary,827,1911
Elizabeth,197,1911
Margaret,193,1911
Anna,188,1911
Ruby,176,1911
Ruth,164,1911
Dorothy,155,1911
Edna,145,1911
Helen,144,1911
Hazel,143,1911
Ethel,141,1911
Virginia,134,1911
Marie,133,1911
Gladys,130,1911
Lillian,117,1911
Bessie,116,1911
Bertha,115,1911
Myrtle,114,1911
Louise,106,1911
Lucille,103,1911
Alice,102,1911
Thelma,102,1911
Frances,101,1911
Grace,100,1911
Emma,95,1911
Sarah,95,1911
Nellie,94,1911
Martha,93,1911
Mildred,90,1911
Mae,86,1911
Irene,81,1911
Mattie,81,1911
Clara,78,1911
Ida,78,1911
Lula,78,1911
Minnie,76,1911
Lucy,75,1911
Edith,73,1911
Eva,73,1911
Opal,73,1911
Viola,73,1911
Ella,72,1911
Pauline,72,1911
Evelyn,68,1911
Nancy,68,1911
Elsie,67,1911
Lillie,67,1911
Alma,66,1911
Pearl,66,1911
Beulah,64,1911
Cora,61,1911
Katherine,61,1911
Mabel,61,1911
Stella,61,1911
Catherine,60,1911
Georgia,60,1911
Gertrude,60,1911
Florence,59,1911
Nora,58,1911
Laura,55,1911
Dora,54,1911
Flora,54,1911
Nannie,54,1911
Carrie,52,1911
Lena,52,1911
Beatrice,51,1911
Goldie,50,1911
Della,49,1911
Geneva,48,1911
Jessie,48,1911
Julia,48,1911
Ada,47,1911
Annie,47,1911
Josephine,46,1911
Rebecca,44,1911
Rosa,44,1911
Esther,43,1911
Daisy,42,1911
Maggie,42,1911
Agnes,40,1911
Ollie,38,1911
Ora,38,1911
Rose,38,1911
Betty,37,1911
Fannie,37,1911
Hattie,35,1911
Mamie,35,1911
Sallie,35,1911
Willie,35,1911
Christine,34,1911
Lizzie,34,1911
Virgie,34,1911
Effie,33,1911
Rachel,33,1911
Maude,32,1911
Katie,31,1911
Ann,30,1911
Jane,30,1911
Leona,30,1911
Lottie,30,1911
Jennie,29,1911
Verna,29,1911
Lola,28,1911
Kathryn,27,1911
Susie,27,1911
Vera,27,1911
Vivian,27,1911
Blanche,26,1911
Lela,26,1911
Bernice,25,1911
Emily,25,1911
Eula,25,1911
May,25,1911
Sadie,25,1911
Sara,25,1911
Sue,25,1911
Alberta,23,1911
Flossie,23,1911
Lois,23,1911
Rosie,23,1911
Ellen,22,1911
Hallie,22,1911
Marjorie,22,1911
Mayme,22,1911
Mollie,22,1911
Violet,22,1911
Addie,21,1911
Eunice,21,1911
Mable,21,1911
Iva,20,1911
Kathleen,20,1911
Nell,20,1911
Sally,20,1911
Allie,19,1911
Bonnie,19,1911
Eliza,19,1911
Essie,19,1911
Etta,19,1911
Marguerite,19,1911
Nettie,19,1911
Hester,18,1911
Inez,18,1911
Jean,18,1911
Juanita,18,1911
Lora,18,1911
Lorene,18,1911
Maudie,18,1911
Nina,18,1911
Susan,18,1911
Sylvia,18,1911
Dixie,17,1911
Faye,17,1911
Gracie,17,1911
Lydia,17,1911
Nola,17,1911
Roberta,17,1911
Roxie,17,1911
Amanda,16,1911
Anne,16,1911
Audrey,16,1911
Ina,16,1911
Jewell,16,1911
Naomi,16,1911
Wilma,16,1911
Callie,15,1911
Eleanor,15,1911
Estelle,15,1911
Gertie,15,1911
Oma,15,1911
Alta,14,1911
Bertie,14,1911
Cleo,14,1911
Dessie,14,1911
Doris,14,1911
Frankie,14,1911
Imogene,14,1911
Lucile,14,1911
Rhoda,14,1911
Willa,14,1911
Zella,14,1911
Charlotte,13,1911
Erma,13,1911
Lorena,13,1911
Lou,13,1911
Ola,13,1911
Victoria,13,1911
Corine,12,1911
Elva,12,1911
Lettie,12,1911
Loretta,12,1911
Margie,12,1911
Marian,12,1911
Maxine,12,1911
Reba,12,1911
Velma,12,1911
Zelma,12,1911
Zora,12,1911
Barbara,11,1911
Birdie,11,1911
Dolly,11,1911
Lelia,11,1911
Mallie,11,1911
Alpha,10,1911
Augusta,10,1911
Clarice,10,1911
Delphia,10,1911
Francis,10,1911
Hilda,10,1911
Linda,10,1911
Madge,10,1911
Marcella,10,1911
Millie,10,1911
Norma,10,1911
Olive,10,1911
Pearlie,10,1911
Rosella,10,1911
Allene,9,1911
Amy,9,1911
Artie,9,1911
Cecil,9,1911
Corinne,9,1911
Cynthia,9,1911
Estella,9,1911
Fanny,9,1911
Hannah,9,1911
Irma,9,1911
Janie,9,1911
Lila,9,1911
Marion,9,1911
Maud,9,1911
Maxie,9,1911
Polly,9,1911
Sophia,9,1911
Zola,9,1911
Bettie,8,1911
Delia,8,1911
Dollie,8,1911
Dovie,8,1911
Exie,8,1911
Fay,8,1911
Henrietta,8,1911
June,8,1911
Leora,8,1911
Liza,8,1911
Lona,8,1911
Lorraine,8,1911
Lura,8,1911
Mossie,8,1911
Myra,8,1911
Myrtie,8,1911
Nona,8,1911
Odessa,8,1911
Amelia,7,1911
Carolyn,7,1911
Claudia,7,1911
Esta,7,1911
Eugenia,7,1911
Freda,7,1911
Garnett,7,1911
Genevieve,7,1911
Goldia,7,1911
Josie,7,1911
Lee,7,1911
Letha,7,1911
Lexie,7,1911
Pansy,7,1911
Shirley,7,1911
Belle,6,1911
Cecilia,6,1911
Chloe,6,1911
Cordia,6,1911
Cornelia,6,1911
Delma,6,1911
Dortha,6,1911
Eloise,6,1911
Flonnie,6,1911
Frieda,6,1911
Georgie,6,1911
Golda,6,1911
Hettie,6,1911
Iona,6,1911
Iris,6,1911
Judy,6,1911
Laverne,6,1911
Lucinda,6,1911
Luella,6,1911
Lyda,6,1911
Margarette,6,1911
Margret,6,1911
Mona,6,1911
Ona,6,1911
Rena,6,1911
Ressie,6,1911
Sudie,6,1911
Tressie,6,1911
Verda,6,1911
Winnie,6,1911
Zula,6,1911
Adelaide,5,1911
Aileen,5,1911
Alline,5,1911
Alva,5,1911
America,5,1911
Ava,5,1911
Billie,5,1911
Cecelia,5,1911
Charlene,5,1911
Dorothea,5,1911
Dorthy,5,1911
Edythe,5,1911
Ernestine,5,1911
Florine,5,1911
Geraldine,5,1911
Ila,5,1911
Isabell,5,1911
Jeanette,5,1911
Jettie,5,1911
Jewel,5,1911
Leah,5,1911
Lida,5,1911
Lilly,5,1911
Lina,5,1911
Lorine,5,1911
Mandy,5,1911
Marietta,5,1911
Maurine,5,1911
Melvina,5,1911
Mina,5,1911
Minerva,5,1911
Oda,5,1911
Odell,5,1911
Ophelia,5,1911
Orene,5,1911
Orpha,5,1911
Reva,5,1911
Sada,5,1911
Vada,5,1911
Vena,5,1911
Wanda,5,1911
Winifred,5,1911
Zada,5,1911
Mary,984,1912
Margaret,236,1912
Anna,232,1912
Ruth,221,1912
Elizabeth,220,1912
Dorothy,209,1912
Ruby,206,1912
Edna,205,1912
Helen,178,1912
Thelma,168,1912
Mildred,166,1912
Gladys,155,1912
Hazel,153,1912
Martha,153,1912
Ethel,150,1912
Virginia,149,1912
Louise,146,1912
Marie,146,1912
Frances,133,1912
Bessie,132,1912
Lucille,131,1912
Myrtle,128,1912
Nellie,128,1912
Grace,122,1912
Lillian,122,1912
Sarah,121,1912
Evelyn,118,1912
Edith,110,1912
Bertha,109,1912
Clara,104,1912
Ida,100,1912
Minnie,100,1912
Emma,98,1912
Opal,97,1912
Mabel,95,1912
Mattie,94,1912
Alma,93,1912
Lucy,93,1912
Mae,92,1912
Florence,91,1912
Catherine,90,1912
Nancy,90,1912
Pauline,90,1912
Alice,89,1912
Elsie,85,1912
Irene,85,1912
Pearl,85,1912
Eva,82,1912
Annie,81,1912
Lillie,78,1912
Laura,77,1912
Ada,75,1912
Lena,74,1912
Ella,71,1912
Geneva,70,1912
Stella,70,1912
Della,69,1912
Katherine,69,1912
Jessie,68,1912
Fannie,67,1912
Lula,67,1912
Beulah,66,1912
Viola,65,1912
Gertrude,63,1912
Beatrice,61,1912
Carrie,61,1912
Nannie,60,1912
Agnes,58,1912
Georgia,58,1912
Flora,57,1912
Hattie,55,1912
Rose,52,1912
Betty,51,1912
Goldie,51,1912
Ora,50,1912
Ann,48,1912
Eula,48,1912
Julia,48,1912
Christine,47,1912
Cora,47,1912
Nora,47,1912
Daisy,46,1912
Bernice,45,1912
Lola,45,1912
Kathryn,42,1912
Josephine,41,1912
Rosa,41,1912
Virgie,41,1912
Ollie,40,1912
Willie,40,1912
Effie,39,1912
Flossie,39,1912
Lois,39,1912
Blanche,38,1912
Esther,38,1912
Dora,36,1912
Susie,36,1912
Alberta,35,1912
Lizzie,35,1912
Juanita,34,1912
Leona,34,1912
Mable,34,1912
Nettie,34,1912
Nell,33,1912
Rosie,33,1912
Wilma,33,1912
Jane,32,1912
Katie,32,1912
Maude,32,1912
Naomi,32,1912
Addie,31,1912
Lottie,31,1912
Maggie,31,1912
Vera,31,1912
Verna,31,1912
Nola,30,1912
Sadie,30,1912
Vivian,30,1912
Nina,29,1912
Roxie,29,1912
Bonnie,28,1912
Ina,28,1912
Iva,28,1912
Jennie,28,1912
Sallie,28,1912
Allie,27,1912
Essie,27,1912
Eunice,27,1912
Mamie,27,1912
Sally,27,1912
Alta,26,1912
Emily,26,1912
Kathleen,26,1912
Sara,26,1912
Velma,26,1912
Violet,26,1912
Ellen,25,1912
Marjorie,25,1912
Dixie,24,1912
Hallie,24,1912
Jean,24,1912
Lorene,24,1912
Maudie,24,1912
Mollie,24,1912
Roberta,24,1912
Sue,24,1912
Zelma,24,1912
Norma,23,1912
Amanda,22,1912
Eleanor,22,1912
Estelle,22,1912
Inez,22,1912
Rebecca,22,1912
Sylvia,22,1912
Anne,21,1912
Cleo,21,1912
Doris,21,1912
Gracie,21,1912
Jewell,21,1912
Loretta,21,1912
Audrey,19,1912
Lela,19,1912
May,19,1912
Rachel,19,1912
Augusta,18,1912
Corinne,18,1912
Erma,18,1912
Marguerite,18,1912
Oma,18,1912
Polly,18,1912
Zella,18,1912
Eliza,17,1912
Henrietta,17,1912
Lydia,17,1912
Etta,16,1912
Lora,16,1912
Ola,16,1912
Birdie,15,1912
Golda,15,1912
Josie,15,1912
Lorena,15,1912
Lou,15,1912
Marcella,15,1912
Mayme,15,1912
Olive,15,1912
Rhoda,15,1912
Alpha,14,1912
Bertie,14,1912
Hester,14,1912
Lila,14,1912
Madge,14,1912
Reba,14,1912
Sophia,14,1912
Sudie,14,1912
Amy,13,1912
Callie,13,1912
Elva,13,1912
Hilda,13,1912
Irma,13,1912
Jeanette,13,1912
Mallie,13,1912
Rena,13,1912
Susan,13,1912
Artie,12,1912
Bettie,12,1912
Carolyn,12,1912
Charlotte,12,1912
Cordelia,12,1912
Dolores,12,1912
Elma,12,1912
Faye,12,1912
Francis,12,1912
Joyce,12,1912
Loraine,12,1912
Matilda,12,1912
Shirley,12,1912
Barbara,11,1912
Dovie,11,1912
Lucinda,11,1912
Luella,11,1912
Margie,11,1912
Marion,11,1912
Millie,11,1912
Vada,11,1912
Verda,11,1912
Zola,11,1912
Delphia,10,1912
Eloise,10,1912
Frankie,10,1912
Freda,10,1912
June,10,1912
Lenora,10,1912
Letha,10,1912
Lucile,10,1912
Lyda,10,1912
Marian,10,1912
Maud,10,1912
Maxine,10,1912
Mossie,10,1912
Nona,10,1912
Ocie,10,1912
Pansy,10,1912
Reva,10,1912
Theresa,10,1912
Vesta,10,1912
Willa,10,1912
Zula,10,1912
Ava,9,1912
Avis,9,1912
Dessie,9,1912
Dorothea,9,1912
Geraldine,9,1912
Gertie,9,1912
Jewel,9,1912
Lee,9,1912
Linda,9,1912
Lura,9,1912
Mona,9,1912
Ophelia,9,1912
Pearlie,9,1912
Peggy,9,1912
Alene,8,1912
Aline,8,1912
Cassie,8,1912
Clarice,8,1912
Delia,8,1912
Dolly,8,1912
Garnet,8,1912
Golden,8,1912
Janie,8,1912
Lelia,8,1912
Leola,8,1912
Liza,8,1912
Lona,8,1912
Magdalene,8,1912
Maxie,8,1912
Miriam,8,1912
Olga,8,1912
Patricia,8,1912
Aileen,7,1912
Allene,7,1912
Cecelia,7,1912
Cecil,7,1912
Cecilia,7,1912
Corine,7,1912
Corrine,7,1912
Dollie,7,1912
Dona,7,1912
Easter,7,1912
Ernestine,7,1912
Esta,7,1912
Fay,7,1912
Fern,7,1912
Florine,7,1912
Hannah,7,1912
Harriet,7,1912
Isabell,7,1912
Lorine,7,1912
Lorraine,7,1912
Louella,7,1912
Macie,7,1912
Madeline,7,1912
Margret,7,1912
Maurine,7,1912
Mellie,7,1912
Myrtie,7,1912
Olivia,7,1912
Ona,7,1912
Orpha,7,1912
Rosetta,7,1912
Victoria,7,1912
Winnie,7,1912
Zora,7,1912
Adell,6,1912
Amelia,6,1912
Billie,6,1912
Connie,6,1912
Cornelia,6,1912
Cynthia,6,1912
Delores,6,1912
Dortha,6,1912
Eileen,6,1912
Elnora,6,1912
Era,6,1912
Estella,6,1912
Floy,6,1912
Goldia,6,1912
Imogene,6,1912
Iona,6,1912
Johnnie,6,1912
Leah,6,1912
Lida,6,1912
Louisa,6,1912
Malinda,6,1912
Manda,6,1912
Mandy,6,1912
Maymie,6,1912
Ova,6,1912
Retha,6,1912
Robbie,6,1912
Tilda,6,1912
Tina,6,1912
Una,6,1912
Vena,6,1912
Vina,6,1912
Almeda,5,1912
America,5,1912
Angeline,5,1912
Bell,5,1912
Beryl,5,1912
Bess,5,1912
Caroline,5,1912
Celia,5,1912
Christina,5,1912
Claire,5,1912
Claudia,5,1912
Clora,5,1912
Corene,5,1912
Edythe,5,1912
Elise,5,1912
Ettie,5,1912
Eulah,5,1912
Fanny,5,1912
Georgie,5,1912
Gusta,5,1912
