Name,Frequency,YOB
Mary,586,1910
Annie,169,1910
Louise,157,1910
Marie,152,1910
Ethel,140,1910
Lucille,135,1910
Beatrice,132,1910
Edna,132,1910
Alice,128,1910
Lillian,116,1910
Helen,113,1910
Hazel,101,1910
Elizabeth,100,1910
Thelma,98,1910
Ruth,97,1910
Anna,96,1910
Josephine,96,1910
Emma,92,1910
Gladys,91,1910
Florence,90,1910
Rose,90,1910
Viola,88,1910
Lillie,87,1910
Gertrude,86,1910
Bessie,85,1910
Pearl,85,1910
Bertha,84,1910
Lena,82,1910
Myrtle,82,1910
Alma,81,1910
Mildred,81,1910
Mattie,78,1910
Eva,73,1910
Irene,73,1910
Margaret,73,1910
Willie,73,1910
Ruby,70,1910
Laura,69,1910
Evelyn,68,1910
Dorothy,67,1910
Clara,66,1910
Ida,66,1910
Agnes,65,1910
Sarah,64,1910
Carrie,63,1910
Frances,63,1910
Rosie,63,1910
Julia,59,1910
Martha,59,1910
Ella,58,1910
Rosa,58,1910
Bernice,57,1910
Jessie,56,1910
Fannie,55,1910
Eunice,53,1910
Mabel,52,1910
Mae,52,1910
Virginia,52,1910
Lula,49,1910
Beulah,48,1910
Mamie,47,1910
Cora,45,1910
Edith,45,1910
Irma,45,1910
Leola,44,1910
Hattie,43,1910
Inez,43,1910
Minnie,43,1910
Effie,42,1910
Hilda,41,1910
Leona,41,1910
Alberta,40,1910
Mable,40,1910
Nellie,39,1910
Katie,38,1910
Velma,38,1910
Maggie,37,1910
Esther,35,1910
Ollie,34,1910
Aline,33,1910
Grace,33,1910
Lizzie,33,1910
Pauline,33,1910
Daisy,32,1910
Dora,32,1910
Elsie,32,1910
Eula,31,1910
Georgia,31,1910
Nora,31,1910
Olivia,31,1910
Sadie,31,1910
Stella,31,1910
Victoria,31,1910
Susie,30,1910
Ellen,29,1910
Vera,29,1910
Blanche,28,1910
Elnora,28,1910
Emily,28,1910
Addie,27,1910
Catherine,27,1910
Marguerite,27,1910
Rebecca,26,1910
Vivian,26,1910
Della,25,1910
Jeanne,25,1910
Maude,25,1910
Essie,24,1910
Lucy,24,1910
Cecile,23,1910
Henrietta,23,1910
Juanita,23,1910
Ora,23,1910
Amelia,22,1910
Ernestine,22,1910
Katherine,22,1910
Rachel,22,1910
Sallie,22,1910
Ada,21,1910
Doris,21,1910
Jennie,21,1910
Lottie,21,1910
May,21,1910
Nancy,21,1910
Geneva,20,1910
Lorena,20,1910
Lydia,20,1910
Nettie,20,1910
Estelle,19,1910
Johnnie,19,1910
Marjorie,19,1910
Rita,19,1910
Roberta,19,1910
Amy,18,1910
Ann,18,1910
Christine,18,1910
Lois,18,1910
Octavia,18,1910
Anita,17,1910
Eloise,17,1910
Norma,17,1910
Ophelia,17,1910
Rosalie,17,1910
Theresa,17,1910
Audrey,16,1910
Corinne,16,1910
Francis,15,1910
Josie,15,1910
Luella,15,1910
Olga,15,1910
Rena,15,1910
Albertha,14,1910
Camille,14,1910
Charlotte,14,1910
Eleanor,14,1910
Eliza,14,1910
Lelia,14,1910
Maria,14,1910
Ola,14,1910
Rosetta,14,1910
Adele,13,1910
Annette,13,1910
Betty,13,1910
Callie,13,1910
Caroline,13,1910
Celestine,13,1910
Corine,13,1910
Gracie,13,1910
Gussie,13,1910
Harriet,13,1910
Lessie,13,1910
Margie,13,1910
Allie,12,1910
Anne,12,1910
Bertie,12,1910
Elva,12,1910
Flora,12,1910
Isabelle,12,1910
Jewell,12,1910
Lela,12,1910
Lucinda,12,1910
Madeline,12,1910
Pinkie,12,1910
Yvonne,12,1910
Adeline,11,1910
Antoinette,11,1910
Augustine,11,1910
Barbara,11,1910
Eve,11,1910
Frankie,11,1910
Isabella,11,1910
Lola,11,1910
Lorraine,11,1910
Lucile,11,1910
Una,11,1910
Virgie,11,1910
Claire,10,1910
Elma,10,1910
Estella,10,1910
Etta,10,1910
Janie,10,1910
Letha,10,1910
Lilly,10,1910
Mathilda,10,1910
Olive,10,1910
Orelia,10,1910
Wilma,10,1910
Winnie,10,1910
Angeline,9,1910
Celeste,9,1910
Estell,9,1910
Gertie,9,1910
Iona,9,1910
Iris,9,1910
Jeanette,9,1910
Jewel,9,1910
Julie,9,1910
Leah,9,1910
Louella,9,1910
Minerva,9,1910
Naomi,9,1910
Nita,9,1910
Nola,9,1910
Odelia,9,1910
Odile,9,1910
Versie,9,1910
Violet,9,1910
Augusta,8,1910
Carmen,8,1910
Cecelia,8,1910
Elaine,8,1910
Elvina,8,1910
Enola,8,1910
Eugenia,8,1910
Genevieve,8,1910
Geraldine,8,1910
Ivy,8,1910
Jannie,8,1910
Laurence,8,1910
Lee,8,1910
Lenora,8,1910
Lettie,8,1910
Liza,8,1910
Nina,8,1910
Odessa,8,1910
Olevia,8,1910
Opal,8,1910
Verna,8,1910
Alida,7,1910
Bettie,7,1910
Billie,7,1910
Clementine,7,1910
Corrine,7,1910
Delphine,7,1910
Earline,7,1910
Elia,7,1910
Elvira,7,1910
Erma,7,1910
Ester,7,1910
Goldie,7,1910
Idell,7,1910
Jane,7,1910
Lorenza,7,1910
Lou,7,1910
Lovenia,7,1910
Maudie,7,1910
Melba,7,1910
Mercedes,7,1910
Mollie,7,1910
Myrtis,7,1910
Nannie,7,1910
Odette,7,1910
Pearlie,7,1910
Priscilla,7,1910
Sally,7,1910
Selena,7,1910
Sophie,7,1910
Vergie,7,1910
Zelma,7,1910
Amanda,6,1910
Audie,6,1910
Aurelia,6,1910
Birdie,6,1910
Cammie,6,1910
Cecil,6,1910
Cecilia,6,1910
Clarice,6,1910
Dolly,6,1910
Earnestine,6,1910
Edwina,6,1910
Elda,6,1910
Elenora,6,1910
Elmira,6,1910
Evie,6,1910
Florida,6,1910
Hannah,6,1910
Hester,6,1910
Ila,6,1910
Ina,6,1910
Iola,6,1910
Isabel,6,1910
Joyce,6,1910
Loretta,6,1910
Marceline,6,1910
Maud,6,1910
Muriel,6,1910
Myrtie,6,1910
Odeal,6,1910
Pearline,6,1910
Queen,6,1910
Rosia,6,1910
Sue,6,1910
Sylvia,6,1910
Wilhelmina,6,1910
Adell,5,1910
Althea,5,1910
Alzina,5,1910
Amelie,5,1910
Artie,5,1910
Beaulah,5,1910
Bell,5,1910
Blanch,5,1910
Bonnie,5,1910
Bulah,5,1910
Carolyn,5,1910
Celina,5,1910
Charity,5,1910
Cleo,5,1910
Clothilde,5,1910
Clotile,5,1910
Delia,5,1910
Dolores,5,1910
Doretha,5,1910
Easter,5,1910
Edmonia,5,1910
Evangeline,5,1910
Evelena,5,1910
Georgie,5,1910
Gustavia,5,1910
Idella,5,1910
Iva,5,1910
Jean,5,1910
Jeannette,5,1910
Jimmie,5,1910
Joanna,5,1910
Kathleen,5,1910
Kathryn,5,1910
Leaner,5,1910
Leonie,5,1910
Lila,5,1910
Lora,5,1910
Lue,5,1910
Madge,5,1910
Mandy,5,1910
Marian,5,1910
Marion,5,1910
Matilda,5,1910
Melissa,5,1910
Melvina,5,1910
Miriam,5,1910
Nell,5,1910
Nolia,5,1910
Ouida,5,1910
Theo,5,1910
Tressie,5,1910
Mary,502,1911
Marie,180,1911
Annie,154,1911
Ethel,151,1911
Louise,126,1911
Helen,115,1911
Lucille,115,1911
Anna,112,1911
Lillian,111,1911
Thelma,109,1911
Alice,105,1911
Beatrice,103,1911
Gladys,103,1911
Hazel,102,1911
Josephine,96,1911
Ruth,94,1911
Lillie,93,1911
Mildred,93,1911
Edna,90,1911
Ruby,90,1911
Elizabeth,84,1911
Alma,78,1911
Bertha,78,1911
Rose,76,1911
Dorothy,75,1911
Myrtle,75,1911
Ella,74,1911
Willie,73,1911
Frances,72,1911
Bessie,70,1911
Sarah,68,1911
Agnes,67,1911
Emma,66,1911
Florence,65,1911
Viola,65,1911
Clara,64,1911
Gertrude,64,1911
Margaret,64,1911
Mattie,64,1911
Laura,63,1911
Martha,63,1911
Irene,62,1911
Ida,61,1911
Bernice,60,1911
Lena,59,1911
Eva,58,1911
Evelyn,58,1911
Pearl,58,1911
Beulah,57,1911
Carrie,55,1911
Eunice,55,1911
Rosie,54,1911
Hilda,53,1911
Mabel,53,1911
Inez,52,1911
Mamie,51,1911
Hattie,50,1911
Fannie,49,1911
Irma,49,1911
Grace,48,1911
Nellie,48,1911
Leona,47,1911
Mae,47,1911
Lula,46,1911
Rosa,46,1911
Virginia,46,1911
Pauline,44,1911
Alberta,43,1911
Daisy,43,1911
Mable,43,1911
Catherine,41,1911
Marguerite,41,1911
Edith,39,1911
Julia,39,1911
Leola,38,1911
Vivian,38,1911
Jessie,36,1911
Blanche,35,1911
Elsie,35,1911
Eula,35,1911
Minnie,35,1911
Ellen,33,1911
Estelle,33,1911
Rosalie,33,1911
Esther,32,1911
Lucy,32,1911
Effie,31,1911
Stella,31,1911
Cecile,29,1911
Olivia,29,1911
Susie,29,1911
Aline,28,1911
Georgia,28,1911
Maggie,28,1911
Ollie,28,1911
Ada,27,1911
Cora,27,1911
Doris,27,1911
Vera,27,1911
Juanita,26,1911
Velma,26,1911
Amelia,25,1911
Audrey,25,1911
Lois,25,1911
May,25,1911
Lydia,24,1911
Rena,24,1911
Lela,23,1911
Nora,23,1911
Sadie,23,1911
Emily,22,1911
Essie,22,1911
Jeanne,22,1911
Katie,22,1911
Nettie,22,1911
Ora,21,1911
Rita,21,1911
Henrietta,20,1911
Katherine,20,1911
Amy,19,1911
Dora,19,1911
Lizzie,19,1911
Ola,19,1911
Marion,18,1911
Rebecca,18,1911
Victoria,18,1911
Winnie,18,1911
Allie,17,1911
Anita,17,1911
Ann,17,1911
Janie,17,1911
Lelia,17,1911
Nancy,17,1911
Rachel,17,1911
Wilma,17,1911
Addie,16,1911
Ernestine,16,1911
Lessie,16,1911
Lorena,16,1911
Myrtis,16,1911
Elnora,15,1911
Sallie,15,1911
Violet,15,1911
Betty,14,1911
Claudia,14,1911
Lou,14,1911
Maude,14,1911
Nola,14,1911
Theresa,14,1911
Adele,13,1911
Corinne,13,1911
Eleanor,13,1911
Eliza,13,1911
Elma,13,1911
Elodie,13,1911
Elvira,13,1911
Gracie,13,1911
Isabelle,13,1911
Lilly,13,1911
Naomi,13,1911
Norma,13,1911
Verna,13,1911
Albertha,12,1911
Antoinette,12,1911
Charlotte,12,1911
Claire,12,1911
Enola,12,1911
Francis,12,1911
Geneva,12,1911
Harriet,12,1911
Iva,12,1911
Lee,12,1911
Lottie,12,1911
Octavia,12,1911
Olga,12,1911
Olive,12,1911
Ophelia,12,1911
Pearlie,12,1911
Virgie,12,1911
Althea,11,1911
Annette,11,1911
Bertie,11,1911
Caroline,11,1911
Della,11,1911
Eloise,11,1911
Elvina,11,1911
Jane,11,1911
Jennie,11,1911
Lola,11,1911
Marjorie,11,1911
Maud,11,1911
Neva,11,1911
Adeline,10,1911
Doretha,10,1911
Elise,10,1911
Elva,10,1911
Erma,10,1911
Estella,10,1911
Gertie,10,1911
Johnnie,10,1911
Lucile,10,1911
Nita,10,1911
Odette,10,1911
